日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2024-08-26,2362,14.69,14.62,14.83,14.53,27417,40196410.0,2.05,-0.2,-0.03,1.32
2024-08-27,2362,14.65,14.19,14.68,14.11,29244,41931068.0,3.9,-2.94,-0.43,1.41
2024-08-28,2362,14.24,14.21,14.28,13.84,29405,41410723.0,3.1,0.14,0.02,1.42
2024-08-29,2362,14.21,14.7,14.82,14.15,46013,66937090.43,4.71,3.45,0.49,2.22
2024-08-30,2362,14.73,15.22,15.38,14.69,58170,88293156.8,4.69,3.54,0.52,2.81
2024-09-02,2362,15.22,14.82,15.35,14.81,34607,52035468.0,3.55,-2.63,-0.4,1.67
2024-09-03,2362,14.81,15.21,15.22,14.81,39081,58961622.0,2.77,2.63,0.39,1.89
2024-09-04,2362,15.13,15.09,15.28,14.95,26198,39521081.0,2.17,-0.79,-0.12,1.26
2024-09-05,2362,15.03,15.32,15.38,15.03,30302,46160265.0,2.32,1.52,0.23,1.46
2024-09-06,2362,15.32,14.97,15.35,14.97,23064,34871018.0,2.48,-2.28,-0.35,1.11
2024-09-09,2362,14.9,14.97,15.16,14.71,26334,39402656.92,3.01,0.0,0.0,1.27
2024-09-10,2362,14.97,15.35,15.43,14.76,37303,56423779.8,4.48,2.54,0.38,1.8
2024-09-11,2362,15.27,15.23,15.4,15.14,25444,38760061.58,1.69,-0.78,-0.12,1.23
2024-09-12,2362,15.32,15.35,15.47,15.21,37430,57482954.0,1.71,0.79,0.12,1.81
2024-09-13,2362,15.36,14.99,15.43,14.96,34357,52070183.0,3.06,-2.35,-0.36,1.66
2024-09-18,2362,14.99,14.74,15.05,14.57,26751,39484305.0,3.2,-1.67,-0.25,1.29
2024-09-19,2362,14.9,15.2,15.27,14.77,39059,58975987.0,3.39,3.12,0.46,1.89
2024-09-20,2362,15.3,15.54,15.59,15.23,54073,83708399.47,2.37,2.24,0.34,2.61
2024-09-23,2362,15.67,15.65,15.94,15.43,51289,80425819.61,3.28,0.71,0.11,2.48
