最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
7214.55,3.15,10102512.0,44936006531.0,7244.48,7002.32,7002.81,000037,上证医药,上证系列指数
1763.98,3.05,38459236.0,98672800612.0,1785.92,1713.06,1716.79,000977,内地低碳,上证系列指数
2071.87,2.93,30119113.0,89232744283.0,2102.99,2008.34,2015.28,000941,新能源,上证系列指数
8208.29,2.86,48482361.0,100650915723.0,8258.37,8017.74,8035.69,000823,800有色,上证系列指数
9357.76,2.8,13146357.0,49941866852.7,9408.74,9097.77,9097.77,000814,细分医药,上证系列指数
9393.49,2.77,13196259.0,52201302405.0,9444.7,9131.67,9133.41,000841,800医药,上证系列指数
9376.04,2.75,9372566.0,40250467640.9,9417.28,9106.61,9106.61,000913,300医药,上证系列指数
7116.63,2.72,51801360.0,109616025816.0,7170.99,6959.99,6972.44,000819,有色金属,上证系列指数
8530.43,2.7,52479874.0,102952090129.0,8590.95,8347.83,8360.77,000811,细分有色,上证系列指数
3051.8,2.69,7932122.0,41921626284.0,3090.51,2946.45,2969.39,000863,CS精准医,上证系列指数
20326.43,2.65,10790367.0,47909046904.0,20437.2,19962.52,19962.52,000807,食品饮料,上证系列指数
6639.23,2.58,39058537.0,107601271820.0,6715.36,6469.51,6487.57,000812,细分机械,上证系列指数
21037.98,2.57,12034352.0,47292598002.0,21156.29,20672.05,20672.05,000815,细分食品,上证系列指数
5263.76,2.55,29745548.0,108371729786.0,5274.64,5154.77,5154.77,000069,消费80,上证系列指数
1068.77,2.55,9734099.0,22907486189.0,1072.86,1029.81,1043.76,000692,科创新能,上证系列指数
1588.18,2.46,53567012.0,127336172224.6,1606.76,1549.9,1553.61,000827,中证环保,上证系列指数
22911.08,2.39,6114685.0,36257157098.0,22966.87,22518.44,22518.44,000912,300消费,上证系列指数
6766.32,2.3,38752625.0,81359471262.0,6800.61,6652.87,6664.9,000145,优势资源,上证系列指数
4114.24,2.25,66099811.0,97459964825.0,4123.29,4034.39,4046.39,000071,材料等权,上证系列指数
1265.0,2.21,3505088.0,21943935010.0,1281.68,1227.01,1240.81,000683,科创生物,上证系列指数
