最新价,涨跌幅,成交量,成交额,最高,最低,今开,指数代码,指数名称,category
20326.43,2.65,10790367.0,47909046904.0,20437.2,19962.52,19962.52,000807,食品饮料,上证系列指数
1588.18,2.46,53567012.0,127336172224.6,1606.76,1549.9,1553.61,000827,中证环保,上证系列指数
14177.83,2.21,13060522.0,53163383305.0,14237.61,13951.28,13951.28,000990,全指消费,上证系列指数
9911.49,1.95,23430452.0,80735701856.1,9968.19,9717.79,9718.8,000991,全指医药,上证系列指数
4496.76,0.74,351938947.0,831194066157.9,4516.84,4452.36,4455.8,000300,沪深300,上证系列指数
9857.33,0.67,228451220.0,452924580547.0,9883.32,9774.91,9774.91,000010,上证180,上证系列指数
2976.47,0.53,84761466.0,226530507719.0,2989.0,2954.93,2954.93,000016,上证50,上证系列指数
7043.94,0.47,280915814.0,523041433984.9,7078.92,6990.75,7030.27,000905,中证500,上证系列指数
5538.04,-0.11,93920439.0,92197299868.0,5593.06,5532.01,5538.04,000922,中证红利,上证系列指数
7438.68,-0.11,327640881.0,565058625663.1,7477.2,7380.83,7449.86,000852,中证1000,上证系列指数
6158.57,-0.15,172264855.0,201188861217.0,6264.93,6153.95,6183.04,000992,全指金融,上证系列指数
8211.51,-0.74,107169792.0,437308249448.8,8236.5,8060.04,8204.95,000993,全指信息,上证系列指数
1341.31,-1.71,15616830.0,111147793261.0,1346.76,1314.74,1335.65,000688,科创50,上证系列指数
2767.97,2.38,54470682.0,41878734599.55,2812.6,2690.74,2709.25,970007,创业板指(美元)(CNH),深证系列指数
2769.78,2.32,54470682.0,326294068894.6,2813.95,2692.3,2711.49,970006,创业板指(港币)(CNH),深证系列指数
2890.13,2.23,293731747.0,771067872982.93,2933.99,2809.32,2828.01,399006,创业板指,深证系列指数
7831.79,1.57,12208012.0,30373635198.9,7882.8,7730.38,7730.71,983066,深港通食品饮料（港币）,深证系列指数
9635.2,1.57,12208012.0,30373635198.9,9697.96,9510.45,9510.85,483066,深港通食品饮料R（港币）,深证系列指数
7741.66,1.56,10464417.0,39755693231.01,7775.12,7601.68,7615.25,399989,中证医疗,深证系列指数
8050.3,1.47,12208012.0,27786959075.82,8109.07,7948.65,7948.65,983065,深港通食品饮料,深证系列指数
9909.62,1.47,12208012.0,27786959075.82,9981.97,9784.5,9784.5,483065,深港通食品饮料R,深证系列指数
7861.3,1.38,105847817.0,359883914370.78,7926.44,7698.93,7736.03,399004,深证100R,深证系列指数
5548.61,1.26,105847817.0,359883914370.78,5594.59,5434.01,5460.19,399330,深证100,深证系列指数
13378.55,0.78,36129651.0,104241956733.22,13379.39,13182.02,13271.6,399967,中证军工,深证系列指数
6743.42,0.74,25520770.0,70098554756.61,6769.95,6699.72,6701.25,399812,养老产业,深证系列指数
4496.76,0.74,351938947.0,831194066157.9,4516.84,4452.36,4455.8,399300,沪深300,深证系列指数
6230.59,0.69,507126019.0,1108148574059.75,6278.17,6154.98,6185.38,399011,深证1000,深证系列指数
1483.21,0.08,49417121.0,52772863424.37,1493.84,1477.21,1484.82,399971,中证传媒,深证系列指数
7438.68,-0.11,327640881.0,565058625663.1,7477.2,7380.83,7449.86,399852,中证1000,深证系列指数
,,,,,,,988007,创业板指(美元)(CNH),深证系列指数
,,,,,,,988006,创业板指(港币)(CNH),深证系列指数
14454.29,1.83,37957319.0,80048750398.0,14521.34,14257.61,14257.61,932081,全指消费行业,中证系列指数
10518.75,1.59,63897257.0,148677436246.0,10586.81,10342.97,10350.44,932082,全指医药行业,中证系列指数
4302.5,1.05,17509553.0,60358047858.0,4308.08,4252.94,4253.7,932315,中证红利质量,中证系列指数
5171.45,0.89,351938947.0,116587435668.0,5199.9,5120.64,5125.08,930749,沪深300USD(CNH),中证系列指数
5168.82,0.86,351938947.0,116528005292.8,5196.59,5111.12,5115.67,930748,沪深300USD,中证系列指数
7420.33,0.86,351938947.0,908370435134.4,7460.46,7347.24,7354.1,933000,沪深300(净)HKD(CNH),中证系列指数
5592.24,0.7,5500436.0,46799828539.0,5628.33,5553.17,5554.78,H11136,中国互联网,中证系列指数
2258.69,0.69,21377268.0,101093924240.3,2277.36,2243.15,2243.88,930796,全球中国互联网,中证系列指数
1927.77,0.68,21377268.0,110483993699.2,1942.95,1914.73,1914.73,931072,全球中国互联网HKD,中证系列指数
10252.68,0.64,6743721.0,52830372765.0,10343.13,10187.15,10190.76,930604,中国互联网30,中证系列指数
5534.41,0.61,5500436.0,46623883565.7,5567.91,5496.4,5500.91,932307,中国互联网人民币中间,中证系列指数
6192.78,0.6,351938947.0,178498925681.9,6217.96,6132.92,6139.23,931359,沪深300AUD(CNH),中证系列指数
6203.24,0.48,172370153.0,370591971218.6,6233.88,6169.24,6170.95,950092,上证180优选,中证系列指数
6089.19,0.42,276141584.0,696321930908.8,6134.73,6049.28,6059.16,930767,沪深300优选,中证系列指数
9310.91,0.35,6743721.0,52631755829.5,9401.49,9268.98,9278.82,H30533,中国互联网50,中证系列指数
5589.56,0.0,93920439.0,16600123836.1,5641.97,5582.67,5586.46,932022,中证红利(全)SGD,中证系列指数
5565.43,-0.01,93920439.0,16600123836.1,5617.6,5558.56,5562.33,932023,中证红利(净)SGD,中证系列指数
5353.94,-0.06,93920439.0,16600123836.1,5404.14,5347.34,5350.97,932021,中证红利SGD,中证系列指数
9600.52,-0.07,92987313.0,132752820110.0,9777.02,9591.99,9624.24,932075,全指金融,中证系列指数
9380.87,-0.13,134597784.0,167644867201.0,9547.83,9372.6,9410.78,932083,全指金融行业,中证系列指数
8013.18,-0.91,217699384.0,686063829766.0,8044.75,7897.44,8038.15,932084,全指信息行业,中证系列指数
