序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
1,931841,新能车15USD,3960.74,5.64,211.31,15986924,10895550628.7,7.86,4044.17,3749.49,3759.98,3749.43,1.34,931841,新能车15USD,中证系列指数
2,931792,新能车15,4557.32,5.51,238.02,15986924,77717944339.0,7.66,4650.05,4319.36,4331.45,4319.3,1.34,931792,新能车15,中证系列指数
3,H50006,180医药,6189.91,4.9,289.07,3467863,23362502286.0,5.23,6209.91,5901.05,5901.05,5900.84,1.37,H50006,180医药,中证系列指数
4,930997,新能源车,2428.52,4.4,102.39,31577023,120040690933.0,6.04,2470.54,2329.93,2337.19,2326.13,1.41,930997,新能源车,中证系列指数
5,931719,CS电池,3139.15,4.34,130.59,28942274,103428568068.0,6.4,3197.88,3005.43,3021.54,3008.56,1.4,931719,CS电池,中证系列指数
6,931250,港股通创新药,1213.7,4.08,47.57,13448457,26887369172.6,5.65,1230.4,1164.54,1170.26,1166.13,1.05,931250,港股通创新药,中证系列指数
7,931787,港股创新药,1518.74,4.08,59.51,13385176,26876317592.6,5.65,1539.69,1457.2,1464.39,1459.23,1.05,931787,港股创新药,中证系列指数
8,931733,绿色能源,4410.36,3.98,168.7,30528742,119268414940.0,5.38,4470.59,4242.25,4252.94,4241.66,1.21,931733,绿色能源,中证系列指数
9,931440,创新药30,3134.45,3.97,119.72,6654215,36745836250.0,5.05,3161.84,3009.72,3009.72,3014.73,1.15,931440,创新药30,中证系列指数
10,CESHKB,中华香港生物科技,9513.99,3.91,358.01,7207672,21678511898.8,5.59,9641.9,9129.8,9183.89,9155.98,1.05,CESHKB,中华香港生物科技,中证系列指数
11,931409,SHS创新药,2450.09,3.9,91.89,17003187,58486010221.2,5.05,2475.03,2356.01,2360.99,2358.2,1.01,931409,SHS创新药,中证系列指数
12,930965,港股通医药C,3844.36,3.57,132.4,16083246,28521779508.1,4.96,3892.1,3707.89,3727.7,3711.96,0.96,930965,港股通医药C,中证系列指数
13,H11052,智能电车,3751.39,3.5,126.79,29671291,139283651972.0,5.21,3805.05,3616.26,3633.45,3624.6,1.23,H11052,智能电车,中证系列指数
14,930975,港股通医药CCNY,4450.37,3.46,148.66,16083246,26096002158.3,4.94,4506.16,4293.82,4316.34,4301.71,0.96,930975,港股通医药CCNY,中证系列指数
15,H30038,AMAC科技,7191.09,3.39,235.46,12810553,35808250451.0,4.14,7214.0,6925.9,6966.57,6955.63,0.89,H30038,AMAC科技,中证系列指数
16,950161,科创新药,1461.41,3.27,46.3,3159389,18297845326.0,6.5,1493.19,1401.21,1421.34,1415.11,1.21,950161,科创新药,中证系列指数
17,H30463,沪港深500医药,8967.6,3.19,277.62,15669191,54753687292.2,3.97,9037.06,8691.82,8698.95,8689.98,1.07,H30463,沪港深500医药,中证系列指数
18,931746,储能产业,3225.8,3.02,94.54,29944615,92416407265.0,4.89,3273.53,3120.51,3131.29,3131.26,1.13,931746,储能产业,中证系列指数
19,H11059,工业有色,3119.88,3.0,90.92,42451530,86771536420.0,3.35,3130.16,3028.7,3047.52,3028.96,1.19,H11059,工业有色,中证系列指数
20,931892,有色矿业,2956.5,2.96,84.92,47149938,96682933322.0,3.23,2979.51,2886.65,2889.66,2871.58,1.18,931892,有色矿业,中证系列指数
21,932069,港股通医疗主题,1135.11,2.94,32.4,13975113,24807443932.6,4.14,1147.24,1101.61,1107.15,1102.71,0.96,932069,港股通医疗主题,中证系列指数
22,H50033,沪城消费,2158.27,2.91,61.05,28830552,124758881177.0,2.88,2162.63,2102.23,2102.23,2097.22,1.06,H50033,沪城消费,中证系列指数
23,H30031,800有色,8208.29,2.86,228.54,48482361,100650915723.0,3.02,8258.37,8017.74,8035.69,7979.75,1.18,H30031,800有色,中证系列指数
24,930632,CS稀金属,2245.37,2.75,60.08,39523687,103435096582.0,3.58,2264.45,2186.26,2192.68,2185.29,1.02,930632,CS稀金属,中证系列指数
25,930726,CS生医,2846.28,2.75,76.2,6900948,36017307381.0,3.6,2861.16,2761.52,2764.64,2770.08,0.98,930726,CS生医,中证系列指数
26,930719,CS精准医,3051.81,2.69,79.94,7932122,41921626284.0,4.85,3090.51,2946.45,2969.39,2971.87,1.1,930719,CS精准医,中证系列指数
27,931238,SSH黄金股票,2621.19,2.69,68.75,22483810,35147566220.1,2.75,2646.1,2575.93,2575.94,2552.44,1.19,931238,SSH黄金股票,中证系列指数
28,930708,中证有色,2350.83,2.67,61.12,58718782,114552269052.0,2.9,2366.57,2300.08,2303.52,2289.71,1.18,930708,中证有色,中证系列指数
29,931152,CS创新药,2162.58,2.65,55.91,11123316,49519271876.0,3.77,2180.53,2101.21,2106.68,2106.67,0.93,931152,CS创新药,中证系列指数
30,930622,CSSW白酒,41649.19,2.64,1069.71,3528591,29082758320.0,2.9,41916.45,40741.61,40741.61,40579.48,1.05,930622,CSSW白酒,中证系列指数
31,931755,SEEE碳中和,1772.13,2.64,45.65,76098379,168117204086.0,3.32,1789.97,1732.66,1732.87,1726.48,1.17,931755,SEEE碳中和,中证系列指数
32,H50005,180消费,16847.41,2.5,410.87,2898370,20740584487.0,1.89,16890.87,16580.29,16580.29,16436.54,2.09,H50005,180消费,中证系列指数
