序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,指数代码,指数名称,category
1,970081,创业板电池,2772.68,5.91,154.73,18737715.0,72492015918.05,8.45,2843.35,2622.04,2629.84,2617.95,1.49,970081,创业板电池,深证系列指数
2,399638,深证环保,6158.97,5.62,327.81,30890286.0,104679260364.94,7.89,6295.81,5835.7,5843.39,5831.16,1.31,399638,深证环保,深证系列指数
3,980032,新能电池,12374.64,5.36,629.67,25883866.0,101162458906.76,6.97,12595.02,11776.91,11800.35,11744.97,1.5,980032,新能电池,深证系列指数
4,480032,新能电池R,16204.76,5.36,824.56,25883866.0,101162458906.76,6.97,16493.34,15422.02,15452.71,15380.2,1.5,480032,新能电池R,深证系列指数
5,399976,CS新能车,3571.87,4.5,153.86,31821286.0,120226428359.29,6.07,3633.53,3425.92,3434.77,3418.01,1.44,399976,CS新能车,深证系列指数
6,399417,新能源车,3300.36,4.4,139.06,36372041.0,146573236102.86,5.92,3351.31,3164.13,3172.34,3161.3,1.3,399417,新能源车,深证系列指数
7,983038,深港通食品零售（港币）,2455.69,4.32,101.58,7392619.0,6937846302.39,4.56,2458.31,2350.96,2351.11,2354.11,1.44,983038,深港通食品零售（港币）,深证系列指数
8,483038,深港通食品零售R（港币）,2874.79,4.32,118.92,7392619.0,6937846302.39,4.56,2877.85,2752.18,2752.36,2755.87,1.44,483038,深港通食品零售R（港币）,深证系列指数
9,983037,深港通食品零售,2525.21,4.22,102.15,7392619.0,6347003783.82,4.56,2528.79,2418.35,2418.35,2423.06,1.44,983037,深港通食品零售,深证系列指数
10,483037,深港通食品零售R,2956.82,4.22,119.61,7392619.0,6347003783.82,4.56,2961.01,2831.7,2831.7,2837.21,1.44,483037,深港通食品零售R,深证系列指数
11,970036,深证储能,8440.26,4.21,340.61,35374552.0,129315110062.77,6.43,8606.96,8085.98,8125.72,8099.65,1.32,970036,深证储能,深证系列指数
12,470036,深证储能R,9175.67,4.21,370.29,35374552.0,129315110062.77,6.43,9356.9,8790.52,8833.73,8805.38,1.32,470036,深证储能R,深证系列指数
13,399668,创业板V,4821.5,3.89,180.44,51163058.0,151652636516.09,5.71,4898.38,4633.21,4647.81,4641.06,1.02,399668,创业板V,深证系列指数
14,480021,碳中和50R,2219.62,3.79,81.07,30493408.0,71471798827.47,5.05,2246.36,2138.47,2139.94,2138.55,1.05,480021,碳中和50R,深证系列指数
15,980021,碳中和50,1999.53,3.79,73.03,30493408.0,71471798827.47,5.04,2023.62,1926.43,1927.76,1926.5,1.05,980021,碳中和50,深证系列指数
16,399358,国证环保,4806.0,3.71,172.02,42961401.0,103389715099.98,5.35,4879.52,4631.49,4638.2,4633.98,1.17,399358,国证环保,深证系列指数
17,399412,国证新能,2589.66,3.63,90.62,47124427.0,142927376442.2,5.06,2624.47,2498.06,2506.34,2499.04,1.28,399412,国证新能,深证系列指数
18,987018,港股通创新药,2342.11,3.62,81.91,7923559.0,18427183874.68,5.31,2373.65,2253.54,2266.27,2260.2,0.91,987018,港股通创新药,深证系列指数
19,980086,创新药,2806.53,3.6,97.61,13809120.0,46126317570.03,5.41,2847.8,2701.12,2711.65,2708.92,0.98,980086,创新药,深证系列指数
20,399294,中小创Q,3260.08,3.45,108.69,27124565.0,113839828095.87,4.9,3294.2,3139.89,3150.27,3151.39,0.99,399294,中小创Q,深证系列指数
21,399030,碳科技30,3700.85,3.34,119.48,16278713.0,82175401778.97,5.77,3777.25,3570.55,3596.09,3581.37,1.22,399030,碳科技30,深证系列指数
22,399266,创新能源,2893.34,3.32,92.94,23620150.0,104088679840.46,5.8,2956.65,2794.25,2818.78,2800.4,1.23,399266,创新能源,深证系列指数
23,483088,深港通新能源车R(港币),5568.5,3.31,178.21,36299741.0,147380876013.21,5.19,5668.44,5388.77,5424.07,5390.29,1.21,483088,深港通新能源车R(港币),深证系列指数
24,983088,深港通新能源车(港币),4778.77,3.31,152.94,36299741.0,147380876013.21,5.19,4864.54,4624.52,4654.82,4625.83,1.21,983088,深港通新能源车(港币),深证系列指数
25,983087,深港通新能源车,5377.7,3.21,167.15,36299741.0,134829616594.15,5.11,5474.16,5207.71,5239.71,5210.55,1.21,983087,深港通新能源车,深证系列指数
26,483087,深港通新能源车R,6268.08,3.21,194.83,36299741.0,134829616594.15,5.11,6380.51,6069.94,6107.23,6073.25,1.21,483087,深港通新能源车R,深证系列指数
27,399432,智能汽车,5829.72,3.18,179.62,26011899.0,120707053646.59,5.25,5924.74,5628.31,5678.83,5650.1,1.17,399432,智能汽车,深证系列指数
28,983060,深港通生科（港币）,7785.51,3.13,236.37,13575122.0,38673842927.52,4.49,7875.41,7536.24,7573.46,7549.14,0.96,983060,深港通生科（港币）,深证系列指数
29,483060,深港通生科R（港币）,8160.43,3.13,247.75,13575122.0,38673842927.52,4.49,8254.66,7899.16,7938.18,7912.68,0.96,483060,深港通生科R（港币）,深证系列指数
30,970043,新能装备,4794.61,3.08,143.24,29480253.0,103307445090.61,4.78,4870.3,4648.13,4662.05,4651.37,1.18,970043,新能装备,深证系列指数
31,470043,新能装备R,5281.79,3.08,157.79,29480253.0,103307445090.61,4.78,5365.18,5120.44,5135.77,5124.0,1.18,470043,新能装备R,深证系列指数
32,489013,稀土产业链R,3493.32,3.08,104.26,25281596.0,124666950542.74,4.59,3542.79,3387.39,3396.83,3389.06,0.95,489013,稀土产业链R,深证系列指数
33,989013,稀土产业链,3214.58,3.08,95.93,25281596.0,124666950542.74,4.59,3260.11,3117.11,3125.79,3118.65,0.95,989013,稀土产业链,深证系列指数
34,483059,深港通生科R,8394.19,3.03,247.11,13575122.0,35380341614.27,4.46,8493.12,8129.41,8167.88,8147.08,0.96,483059,深港通生科R,深证系列指数
35,983059,深港通生科,8007.24,3.03,235.71,13575122.0,35380341614.27,4.46,8101.61,7754.67,7791.36,7771.53,0.96,983059,深港通生科,深证系列指数
36,399682,深成工业,1625.54,3.0,47.31,53609177.0,160221901205.54,4.91,1653.78,1576.26,1583.18,1578.23,1.04,399682,深成工业,深证系列指数
37,480027,新能源电池R,3015.42,2.93,85.82,18604026.0,83316912349.99,4.8,3070.13,2929.45,2943.87,2929.6,1.06,480027,新能源电池R,深证系列指数
38,980027,新能源电池,2803.51,2.93,79.79,18604026.0,83316912349.99,4.8,2854.37,2723.58,2736.99,2723.72,1.06,980027,新能源电池,深证系列指数
39,483086,深港通节能R(港币),2136.59,2.9,60.31,40779748.0,128875832193.85,4.27,2169.5,2080.86,2087.57,2076.28,1.34,483086,深港通节能R(港币),深证系列指数
40,983086,深港通节能(港币),1734.57,2.9,48.96,40779748.0,128875832193.85,4.27,1761.29,1689.33,1694.77,1685.61,1.34,983086,深港通节能(港币),深证系列指数
41,399670,深周期50,3928.17,2.88,109.86,69094836.0,188192650267.03,3.69,3958.85,3817.93,3836.58,3818.31,1.04,399670,深周期50,深证系列指数
42,399808,中证新能,2260.96,2.83,62.27,51243709.0,135925196034.16,4.02,2287.91,2199.47,2205.89,2198.69,1.22,399808,中证新能,深证系列指数
43,399673,创业板50,2988.25,2.82,81.96,40872868.0,249634400280.85,5.34,3040.05,2884.77,2906.16,2906.29,1.01,399673,创业板50,深证系列指数
44,983085,深港通节能,1951.45,2.81,53.28,40779748.0,117900495258.7,4.2,1981.53,1901.86,1907.22,1898.17,1.34,983085,深港通节能,深证系列指数
45,483085,深港通节能R,2404.54,2.81,65.65,40779748.0,117900495258.7,4.2,2441.6,2343.44,2350.04,2338.89,1.34,483085,深港通节能R,深证系列指数
46,399410,苏州率先,2659.95,2.76,71.46,11671882.0,50920943403.5,2.59,2671.34,2604.42,2631.8,2588.49,1.03,399410,苏州率先,深证系列指数
47,399913,300 医药,9376.04,2.75,250.83,9372566.0,40250467640.9,3.4,9417.28,9106.61,9106.61,9125.21,1.2,399913,300 医药,深证系列指数
48,399395,国证有色,7387.11,2.73,196.41,58432539.0,117501032963.85,2.91,7433.36,7224.42,7240.41,7190.7,1.18,399395,国证有色,深证系列指数
49,970040,创业高装,4027.96,2.67,104.88,17827873.0,47441604377.69,2.85,4051.43,3939.77,3973.44,3923.08,1.02,970040,创业高装,深证系列指数
50,470040,创业高装R,4305.93,2.67,112.11,17827873.0,47441604377.69,2.85,4331.03,4211.66,4247.65,4193.82,1.02,470040,创业高装R,深证系列指数
51,399362,民企100,8134.59,2.64,209.01,64333284.0,300953206482.61,3.92,8195.51,7884.94,7921.62,7925.58,0.97,399362,民企100,深证系列指数
52,399997,中证白酒,10344.92,2.64,265.7,3528591.0,29082758323.43,2.9,10411.35,10119.49,10119.49,10079.22,1.05,399997,中证白酒,深证系列指数
53,399366,能源金属,2271.48,2.63,58.18,56520678.0,102518584424.63,3.58,2293.21,2213.97,2219.79,2213.3,0.99,399366,能源金属,深证系列指数
54,980049,国证酒指,93081.46,2.57,2330.1,4978912.0,32537105309.69,2.82,93668.73,91110.55,91110.55,90751.36,1.07,980049,国证酒指,深证系列指数
55,483161,低碳科技R(港币),3365.99,2.56,83.94,39126585.0,161226006075.34,4.23,3416.02,3277.31,3286.97,3282.05,1.27,483161,低碳科技R(港币),深证系列指数
56,970057,深证民企50,3108.53,2.56,77.51,64479935.0,263733868096.88,4.21,3143.8,3016.2,3032.21,3031.02,1.29,970057,深证民企50,深证系列指数
57,470057,深证民企50R,3619.25,2.56,90.26,64479935.0,263733868096.88,4.21,3660.32,3511.76,3530.39,3528.99,1.29,470057,深证民企50R,深证系列指数
58,399987,中证酒,5858.67,2.54,145.18,5133265.0,32516265917.82,2.81,5896.36,5735.55,5735.55,5713.49,1.03,399987,中证酒,深证系列指数
