日期,开盘,收盘,最高,最低,成交量,成交额
2020-08-31,4870.93,4816.22,4901.21,4816.21,202567030,357005066240.0
2020-09-01,4803.39,4842.12,4842.14,4791.78,138395402,262018072576.0
2020-09-02,4859.08,4843.89,4863.55,4797.52,157989524,280778612736.0
2020-09-03,4841.5,4817.1,4877.01,4800.06,145671201,279411990528.0
2020-09-04,4737.24,4770.22,4778.2,4726.56,120032796,238463336448.0
2020-09-07,4759.52,4669.37,4789.3,4655.56,148607790,282316394496.0
2020-09-08,4683.83,4694.39,4707.9,4639.05,139199227,249198137344.0
2020-09-09,4634.25,4584.59,4645.2,4558.03,162277107,244905193472.0
2020-09-10,4632.1,4581.98,4647.75,4572.21,150652879,226146353152.0
2020-09-11,4572.26,4627.28,4630.88,4563.11,115302423,198240927744.0
2020-09-14,4652.05,4651.05,4666.99,4625.99,107235180,211653410816.0
2020-09-15,4649.45,4688.48,4691.5,4630.54,101915924,194573684736.0
2020-09-16,4683.01,4657.36,4690.68,4638.46,108753641,196120186880.0
2020-09-17,4642.05,4632.71,4664.95,4601.64,105983631,214146646016.0
2020-09-18,4636.64,4737.09,4737.8,4631.7,160426476,281885945856.0
2020-09-21,4750.75,4691.43,4752.98,4688.72,124535826,224137912320.0
2020-09-22,4654.22,4635.76,4706.21,4622.11,119672947,202909216768.0
2020-09-23,4639.66,4652.33,4665.96,4623.55,95826529,190393470976.0
2020-09-24,4623.95,4563.07,4631.95,4562.21,112593682,193515872256.0
2020-09-25,4582.48,4570.02,4599.54,4554.72,93015155,167457378304.0
2020-09-28,4582.65,4581.91,4613.63,4571.15,85048389,159314673664.0
2020-09-29,4608.29,4591.8,4616.68,4586.35,85993859,159937888256.0
2020-09-30,4607.58,4587.4,4634.72,4563.41,89081201,165532221440.0
2020-10-09,4663.61,4681.14,4695.4,4655.09,111337513,229926731776.0
2020-10-12,4705.19,4823.16,4823.27,4704.16,155784558,307848556544.0
2020-10-13,4812.9,4839.2,4845.92,4795.37,116516339,242172567552.0
2020-10-14,4830.46,4807.1,4830.46,4795.91,111906924,229836206080.0
2020-10-15,4810.78,4798.74,4833.89,4796.26,109964961,213878284288.0
2020-10-16,4798.92,4791.68,4825.55,4765.97,116716101,204175130624.0
2020-10-19,4823.49,4755.49,4849.61,4747.34,129246362,225392197632.0
2020-10-20,4751.37,4793.47,4793.47,4739.46,98048156,185849196544.0
2020-10-21,4801.63,4792.83,4801.63,4758.86,103805704,189978697728.0
2020-10-22,4780.6,4777.98,4791.81,4725.5,101350892,194614972416.0
2020-10-23,4775.47,4718.49,4802.46,4717.1,106825185,200985821184.0
2020-10-26,4684.05,4691.24,4713.39,4639.3,108343276,205518987264.0
2020-10-27,4680.14,4699.28,4708.46,4671.85,92656305,186675544064.0
2020-10-28,4703.0,4737.27,4753.31,4685.6,108463401,226754265088.0
2020-10-29,4683.61,4772.92,4803.03,4679.25,117117251,252303503360.0
2020-10-30,4776.47,4695.33,4778.51,4683.47,139802304,280783323136.0
2020-11-02,4702.75,4720.83,4738.02,4695.44,142867694,279027683328.0
2020-11-03,4743.17,4777.56,4793.4,4734.17,136055409,252390555648.0
2020-11-04,4781.45,4813.66,4825.46,4770.56,114661806,230513774592.0
2020-11-05,4861.34,4885.11,4885.11,4838.0,139244595,281951932416.0
2020-11-06,4897.63,4885.72,4897.63,4845.43,153639035,305365102592.0
2020-11-09,4918.86,4981.35,4997.8,4918.86,197131983,371923283968.0
2020-11-10,4995.41,4953.88,4995.41,4928.93,176267215,334271459328.0
2020-11-11,4937.76,4904.9,4957.58,4901.71,164470515,303858556928.0
2020-11-12,4916.77,4908.46,4926.34,4891.51,118114619,227645906944.0
2020-11-13,4886.98,4856.85,4886.98,4825.76,133693079,255353110528.0
2020-11-16,4880.96,4904.17,4904.17,4848.62,148770980,266705031168.0
2020-11-17,4903.12,4894.79,4909.29,4865.39,151487465,288911409152.0
2020-11-18,4889.67,4891.67,4911.09,4870.72,164216617,290727223296.0
2020-11-19,4880.92,4927.99,4939.79,4870.2,133681377,247727136768.0
2020-11-20,4928.22,4943.29,4947.43,4922.59,129400340,229053677568.0
2020-11-23,4954.6,5005.03,5029.65,4940.45,205915187,333633826816.0
