code,date,open,high,low,close,pct_chg,volume,amount,是否涨停,振幅,涨跌额,换手率
000617,2025-02-24,6.55,6.59,6.47,6.51,-0.91,635331,417834806.84,0,1.83,-0.06,0.5
000617,2025-02-25,6.45,6.49,6.4,6.41,-1.54,546648,355434473.61,0,1.38,-0.1,0.43
000617,2025-02-26,6.41,6.51,6.35,6.48,1.09,818291,529872629.0,0,2.5,0.07,0.65
000617,2025-02-27,6.44,6.5,6.31,6.41,-1.08,887295,572821110.79,0,2.93,-0.07,0.7
000617,2025-02-28,6.37,6.46,6.23,6.26,-2.34,834934,533603090.7,0,3.59,-0.15,0.66
000617,2025-03-03,6.27,6.35,6.22,6.29,0.48,529966,336542089.87,0,2.08,0.03,0.42
000617,2025-03-04,6.26,6.36,6.25,6.35,0.95,454243,289605219.38,0,1.75,0.06,0.36
000617,2025-03-05,6.35,6.38,6.27,6.36,0.16,533574,340619005.48,0,1.73,0.01,0.42
000617,2025-03-06,6.38,6.63,6.38,6.6,3.77,1443281,951123526.05,0,3.93,0.24,1.14
000617,2025-03-07,6.56,6.6,6.4,6.43,-2.58,864037,564763363.6,0,3.03,-0.17,0.68
000617,2025-03-10,6.41,6.43,6.3,6.34,-1.4,630600,403562348.46,0,2.02,-0.09,0.5
000617,2025-03-11,6.28,6.34,6.27,6.34,0.0,484340,307925634.93,0,1.1,0.0,0.38
000617,2025-03-12,6.34,6.41,6.31,6.35,0.16,486716,312326324.47,0,1.58,0.01,0.38
000617,2025-03-13,6.35,6.38,6.27,6.32,-0.47,459848,293055197.3,0,1.73,-0.03,0.36
000617,2025-03-14,6.33,6.59,6.3,6.52,3.16,1316346,861336618.72,0,4.59,0.2,1.04
000617,2025-03-17,6.53,6.57,6.49,6.51,-0.15,594361,390996982.3,0,1.23,-0.01,0.47
000617,2025-03-18,6.53,6.55,6.48,6.52,0.15,475172,312307774.32,0,1.08,0.01,0.38
000617,2025-03-19,6.52,6.56,6.5,6.54,0.31,502007,330798528.44,0,0.92,0.02,0.4
000617,2025-03-20,6.53,6.53,6.46,6.47,-1.07,417152,273163113.14,0,1.07,-0.07,0.33
000617,2025-03-21,6.46,6.51,6.37,6.41,-0.93,533151,346768303.0,0,2.16,-0.06,0.42
000617,2025-03-24,6.4,6.43,6.29,6.37,-0.62,487174,311837494.0,0,2.18,-0.04,0.39
000617,2025-03-25,6.37,6.41,6.34,6.38,0.16,303090,194986351.02,0,1.1,0.01,0.24
000617,2025-03-26,6.36,6.42,6.33,6.38,0.0,439078,282247422.72,0,1.41,0.0,0.35
000617,2025-03-27,6.37,6.5,6.32,6.42,0.63,599035,388430902.67,0,2.82,0.04,0.47
000617,2025-03-28,6.42,6.52,6.4,6.49,1.09,727017,475556258.07,0,1.87,0.07,0.58
000617,2025-03-31,6.41,6.47,6.27,6.32,-2.62,910956,583482058.03,0,3.08,-0.17,0.72
