,日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-15,601066,18.17,18.15,18.38,18.12,44184,81880400.0,1.43,-0.49,-0.09,0.12
1,2024-07-16,601066,18.2,18.32,18.33,18.07,64453,119906973.0,1.43,0.94,0.17,0.17
2,2024-07-17,601066,18.32,18.6,18.69,18.29,90721,171248259.0,2.18,1.53,0.28,0.24
3,2024-07-18,601066,18.6,18.71,18.72,18.36,77278,146128055.0,1.94,0.59,0.11,0.2
4,2024-07-19,601066,18.69,19.31,19.4,18.62,136938,266583841.0,4.17,3.21,0.6,0.36
5,2024-07-22,601066,19.45,19.29,19.56,19.0,162924,319498346.0,2.9,-0.1,-0.02,0.43
6,2024-07-23,601066,19.13,18.75,19.19,18.71,86737,167372382.0,2.49,-2.8,-0.54,0.23
7,2024-07-24,601066,18.61,18.47,18.71,18.37,65665,123957232.0,1.81,-1.49,-0.28,0.17
8,2024-07-25,601066,18.47,18.66,18.86,18.37,64472,122688101.0,2.65,1.03,0.19,0.17
9,2024-07-26,601066,18.68,18.9,19.2,18.66,70765,136450666.0,2.89,1.29,0.24,0.19
10,2024-07-29,601066,18.49,18.63,18.84,18.4,69720,132392123.0,2.33,-1.43,-0.27,0.18
11,2024-07-30,601066,18.6,18.66,18.73,18.44,60161,114047857.0,1.56,0.16,0.03,0.16
12,2024-07-31,601066,18.67,19.56,19.77,18.67,188824,372696876.0,5.89,4.82,0.9,0.5
13,2024-08-01,601066,19.46,19.39,19.62,19.37,88113,174546354.0,1.28,-0.87,-0.17,0.23
14,2024-08-02,601066,19.24,19.07,19.56,19.07,73752,144426379.0,2.53,-1.65,-0.32,0.19
15,2024-08-05,601066,19.01,19.03,19.47,19.01,98691,192891996.0,2.41,-0.21,-0.04,0.26
16,2024-08-06,601066,19.17,19.11,19.27,18.92,68166,132225160.0,1.84,0.42,0.08,0.18
17,2024-08-07,601066,19.08,19.01,19.17,18.94,47906,92741281.0,1.2,-0.52,-0.1,0.13
18,2024-08-08,601066,19.04,19.13,19.3,18.97,55769,108638544.0,1.74,0.63,0.12,0.15
19,2024-08-09,601066,19.28,18.95,19.28,18.95,47506,92172626.0,1.73,-0.94,-0.18,0.12
20,2024-08-12,601066,18.82,18.95,19.03,18.78,38280,73688141.0,1.32,0.0,0.0,0.1
21,2024-08-13,601066,18.92,19.12,19.13,18.85,39306,75907141.0,1.48,0.9,0.17,0.1
22,2024-08-14,601066,19.05,19.0,19.2,18.99,35199,68308072.0,1.1,-0.63,-0.12,0.09
23,2024-08-15,601066,19.0,19.32,19.42,18.92,73470,144160171.0,2.63,1.68,0.32,0.19
24,2024-08-16,601066,19.26,19.22,19.34,19.17,37930,74249557.0,0.88,-0.52,-0.1,0.1
25,2024-08-19,601066,19.17,19.06,19.32,19.03,41083,80084298.0,1.51,-0.83,-0.16,0.11
26,2024-08-20,601066,19.05,18.9,19.1,18.88,44102,85098506.0,1.15,-0.84,-0.16,0.12
27,2024-08-21,601066,18.91,18.91,19.02,18.85,33707,64985760.0,0.9,0.05,0.01,0.09
28,2024-08-22,601066,19.02,18.64,19.02,18.62,50467,95246065.0,2.12,-1.43,-0.27,0.13
29,2024-08-23,601066,18.61,18.9,19.09,18.56,45555,86282265.0,2.84,1.39,0.26,0.12
30,2024-08-26,601066,18.89,18.9,19.11,18.81,45391,86318499.0,1.59,0.0,0.0,0.12
31,2024-08-27,601066,18.82,18.48,18.82,18.37,47563,88435679.0,2.38,-2.22,-0.42,0.12
32,2024-08-28,601066,18.48,18.56,18.66,18.44,32855,61269495.0,1.19,0.43,0.08,0.09
33,2024-08-29,601066,18.6,18.67,18.94,18.53,47933,90416490.0,2.21,0.59,0.11,0.13
34,2024-08-30,601066,18.61,19.13,19.36,18.61,116206,223734641.0,4.02,2.46,0.46,0.3
35,2024-09-02,601066,19.13,18.61,19.13,18.6,71156,134169685.0,2.77,-2.72,-0.52,0.19
36,2024-09-03,601066,18.61,18.73,18.86,18.46,53289,100188642.0,2.15,0.64,0.12,0.14
37,2024-09-04,601066,18.69,18.79,18.91,18.61,36526,68962747.0,1.6,0.32,0.06,0.1
38,2024-09-05,601066,18.71,19.01,19.03,18.71,48253,91847519.0,1.7,1.17,0.22,0.13
39,2024-09-06,601066,19.49,19.19,19.89,19.15,203975,400019882.0,3.89,0.95,0.18,0.54
40,2024-09-09,601066,18.91,19.15,19.45,18.83,98244,189806555.0,3.23,-0.21,-0.04,0.26
41,2024-09-10,601066,19.2,19.43,19.81,19.01,120236,233797672.0,4.18,1.46,0.28,0.32
42,2024-09-11,601066,19.33,19.34,19.51,19.16,79221,153724853.0,1.8,-0.46,-0.09,0.21
43,2024-09-12,601066,19.31,19.28,19.4,19.21,51270,99406894.0,0.98,-0.31,-0.06,0.13
44,2024-09-13,601066,19.35,19.28,19.54,19.26,64259,125070211.0,1.45,0.0,0.0,0.17
45,2024-09-18,601066,19.18,19.47,19.59,19.11,58714,114222987.0,2.49,0.99,0.19,0.15
46,2024-09-19,601066,19.6,19.61,19.89,19.4,98346,194013314.0,2.52,0.72,0.14,0.26
47,2024-09-20,601066,19.56,19.78,19.8,19.44,96570,190521356.0,1.84,0.87,0.17,0.25
48,2024-09-23,601066,19.86,19.69,19.88,19.57,63297,125291363.0,1.57,-0.46,-0.09,0.17
49,2024-09-24,601066,19.89,20.83,20.92,19.66,314224,643653470.0,6.4,5.79,1.14,0.82
50,2024-09-25,601066,21.42,20.94,21.63,20.91,309784,662090292.0,3.46,0.53,0.11,0.81
51,2024-09-26,601066,20.8,22.11,22.16,20.73,315386,681593216.0,6.83,5.59,1.17,0.83
52,2024-09-27,601066,22.86,24.33,24.33,22.41,364457,846081651.0,8.68,10.04,2.22,0.96
53,2024-09-30,601066,26.71,26.77,26.77,25.71,678537,1806352467.0,4.36,10.03,2.44,1.78
54,2024-10-08,601066,29.46,29.46,29.46,27.92,706882,2083566358.0,5.75,10.05,2.69,1.85
55,2024-10-09,601066,29.91,28.75,31.26,27.61,1531366,4589207188.0,12.39,-2.41,-0.71,4.02
56,2024-10-10,601066,28.76,26.68,29.17,25.88,751900,2041037855.0,11.44,-7.2,-2.07,1.97
57,2024-10-11,601066,26.17,27.76,28.89,25.71,699114,1911475797.0,11.92,4.05,1.08,1.83
58,2024-10-14,601066,27.21,27.27,27.28,25.71,603443,1605126134.0,5.66,-1.77,-0.49,1.58
59,2024-10-15,601066,26.67,26.6,27.5,26.36,365471,987332406.0,4.18,-2.46,-0.67,0.96
60,2024-10-16,601066,25.99,25.99,26.77,25.92,289782,762881483.0,3.2,-2.29,-0.61,0.76
61,2024-10-17,601066,26.03,25.46,26.43,25.44,282095,733150397.0,3.81,-2.04,-0.53,0.74
62,2024-10-18,601066,25.4,26.77,27.87,25.14,604485,1600353748.0,10.72,5.15,1.31,1.59
63,2024-10-21,601066,26.44,26.2,26.6,26.03,375390,989011527.0,2.13,-2.13,-0.57,0.98
64,2024-10-22,601066,26.16,26.13,26.38,25.93,225261,591024299.0,1.72,-0.27,-0.07,0.59
