,成交时间,成交价格,成交金额,成交量,性质
0,09:25:03,4.95,10772685,21763,卖盘
1,09:30:03,4.94,591011,1194,卖盘
2,09:30:06,4.95,2390672,4830,买盘
3,09:30:09,4.95,1004340,2030,买盘
4,09:30:12,4.96,2945816,5957,买盘
5,09:30:15,4.95,1168142,2358,卖盘
6,09:30:18,4.95,2649288,5359,买盘
7,09:30:21,4.95,1175293,2377,买盘
8,09:30:24,4.95,1260429,2549,买盘
9,09:30:27,4.94,389766,788,卖盘
10,09:30:30,4.94,360981,730,卖盘
11,09:30:33,4.94,2721746,5509,卖盘
12,09:30:36,4.94,757451,1533,卖盘
13,09:30:39,4.94,999636,2023,卖盘
14,09:30:42,4.94,868865,1758,卖盘
15,09:30:45,4.94,1701371,3444,卖盘
16,09:30:48,4.94,1440601,2917,卖盘
17,09:30:51,4.93,635223,1286,卖盘
18,09:30:54,4.93,800521,1621,卖盘
19,09:30:57,4.93,647146,1312,卖盘
20,09:31:00,4.94,1171459,2375,买盘
21,09:31:03,4.94,864343,1751,买盘
22,09:31:06,4.94,1276083,2586,买盘
23,09:31:09,4.94,2240075,4542,买盘
24,09:31:12,4.94,938606,1901,买盘
25,09:31:15,4.94,525244,1064,买盘
26,09:31:18,4.93,1090567,2210,卖盘
27,09:31:21,4.94,1157767,2345,买盘
28,09:31:24,4.94,617225,1249,买盘
29,09:31:27,4.94,2425079,4909,卖盘
30,09:31:30,4.94,702553,1422,卖盘
31,09:31:33,4.95,456368,923,买盘
32,09:31:36,4.95,921446,1863,买盘
33,09:31:39,4.95,912846,1846,买盘
34,09:31:42,4.96,4280954,8652,买盘
35,09:31:45,4.96,351643,710,买盘
36,09:31:48,4.95,271561,548,卖盘
37,09:31:51,4.95,174794,353,卖盘
38,09:31:54,4.95,381292,769,卖盘
39,09:31:57,4.95,517593,1045,卖盘
40,09:32:00,4.96,372608,752,买盘
41,09:32:03,4.95,641628,1296,卖盘
42,09:32:06,4.96,2231592,4500,买盘
43,09:32:09,4.96,621870,1254,买盘
44,09:32:12,4.96,610001,1230,卖盘
45,09:32:15,4.95,382694,772,卖盘
46,09:32:18,4.96,358936,724,买盘
47,09:32:21,4.95,384198,775,卖盘
48,09:32:24,4.95,279092,563,卖盘
49,09:32:27,4.95,4337161,8761,卖盘
50,09:32:30,4.95,366736,740,卖盘
51,09:32:33,4.95,289215,584,卖盘
