,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-29,0.291,0.286,0.292,0.285,11325788,325775299.0,2.41,-1.72,-0.005,1.52
1,2024-07-30,0.286,0.285,0.289,0.284,12312285,352263637.0,1.75,-0.35,-0.001,1.66
2,2024-07-31,0.285,0.3,0.301,0.284,25451439,749985829.0,5.96,5.26,0.015,3.43
3,2024-08-01,0.3,0.297,0.302,0.295,13835135,411913286.0,2.33,-1.0,-0.003,1.86
4,2024-08-02,0.295,0.3,0.307,0.295,21606241,652895653.0,4.04,1.01,0.003,2.91
5,2024-08-05,0.298,0.299,0.307,0.298,18848954,570066646.0,3.0,-0.33,-0.001,2.54
6,2024-08-06,0.301,0.305,0.306,0.3,15205092,460593888.0,2.01,2.01,0.006,2.05
7,2024-08-07,0.304,0.302,0.304,0.3,11636695,351037330.0,1.31,-0.98,-0.003,1.57
8,2024-08-08,0.3,0.302,0.304,0.3,10991022,331905844.0,1.32,0.0,0.0,1.48
9,2024-08-09,0.302,0.296,0.304,0.296,15064268,450416548.0,2.65,-1.99,-0.006,2.03
10,2024-08-12,0.296,0.298,0.3,0.295,9682109,288302297.0,1.69,0.68,0.002,1.3
11,2024-08-13,0.298,0.296,0.298,0.293,10507869,309435338.0,1.68,-0.67,-0.002,1.41
12,2024-08-14,0.295,0.291,0.296,0.29,9436062,275349000.0,2.03,-1.69,-0.005,1.27
13,2024-08-15,0.291,0.293,0.296,0.289,12758984,373297239.0,2.41,0.69,0.002,1.72
14,2024-08-16,0.292,0.292,0.293,0.288,13864146,403068613.0,1.71,-0.34,-0.001,1.87
15,2024-08-19,0.291,0.289,0.294,0.289,12588653,366052763.0,1.71,-1.03,-0.003,1.69
16,2024-08-20,0.289,0.284,0.29,0.283,16783121,478704283.0,2.42,-1.73,-0.005,2.26
17,2024-08-21,0.284,0.281,0.285,0.28,11747206,331444116.0,1.76,-1.06,-0.003,1.58
18,2024-08-22,0.281,0.276,0.282,0.275,17427790,484044006.0,2.49,-1.78,-0.005,2.35
19,2024-08-23,0.275,0.274,0.276,0.273,11439876,313796456.0,1.09,-0.72,-0.002,1.54
20,2024-08-26,0.274,0.271,0.275,0.27,15646550,424868601.0,1.82,-1.09,-0.003,2.11
21,2024-08-27,0.271,0.27,0.272,0.269,9842030,265961292.0,1.11,-0.37,-0.001,1.32
