,日期,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
0,2024-07-24,1.532,1.508,1.532,1.507,74878,11334112.5,1.64,-1.18,-0.018,0.4
1,2024-07-25,1.47,1.47,1.484,1.461,112119,16488621.856,1.53,-2.52,-0.038,0.59
2,2024-07-26,1.467,1.481,1.481,1.456,95431,14043327.9,1.7,0.75,0.011,0.5
3,2024-07-29,1.506,1.532,1.538,1.498,233296,35397145.2,2.7,3.44,0.051,1.23
4,2024-07-30,1.53,1.52,1.53,1.505,108494,16429508.0,1.63,-0.78,-0.012,0.57
5,2024-07-31,1.503,1.513,1.52,1.5,159113,24041316.2,1.32,-0.46,-0.007,0.84
6,2024-08-01,1.552,1.523,1.552,1.517,223067,34036201.966,2.31,0.66,0.01,1.18
7,2024-08-02,1.477,1.475,1.493,1.469,138857,20584033.1,1.58,-3.15,-0.048,0.73
8,2024-08-05,1.423,1.382,1.423,1.354,295441,41077709.066,4.68,-6.31,-0.093,1.56
9,2024-08-06,1.402,1.393,1.408,1.387,182206,25460663.7,1.52,0.8,0.011,0.96
10,2024-08-07,1.394,1.397,1.405,1.39,138486,19363121.7,1.08,0.29,0.004,0.73
11,2024-08-08,1.391,1.381,1.391,1.375,58904,8122194.6,1.15,-1.15,-0.016,0.31
12,2024-08-09,1.408,1.408,1.413,1.403,105322,14835113.0,0.72,1.96,0.027,0.56
13,2024-08-12,1.413,1.431,1.431,1.412,95345,13544807.1,1.35,1.63,0.023,0.5
14,2024-08-13,1.431,1.44,1.443,1.43,119303,17135500.5,0.91,0.63,0.009,0.63
15,2024-08-14,1.461,1.466,1.466,1.456,103069,15080119.5,0.69,1.81,0.026,0.55
16,2024-08-15,1.475,1.477,1.487,1.467,133109,19662865.6,1.36,0.75,0.011,0.7
17,2024-08-16,1.503,1.505,1.519,1.501,126893,19102004.5,1.22,1.9,0.028,0.67
18,2024-08-19,1.505,1.482,1.509,1.479,126659,18955991.8,1.99,-1.53,-0.023,0.67
19,2024-08-20,1.502,1.502,1.507,1.496,96696,14516411.0,0.74,1.35,0.02,0.51
20,2024-08-21,1.499,1.503,1.503,1.49,75685,11323449.9,0.87,0.07,0.001,0.4
21,2024-08-22,1.507,1.5,1.512,1.496,119698,18004506.4,1.06,-0.2,-0.003,0.63
