,code,name,market
0,000001,平安银行,A股
1,000002,万  科Ａ,A股
2,000004,*ST国华,A股
3,000006,深振业Ａ,A股
4,000007,全新好,A股
5,000008,神州高铁,A股
6,000009,中国宝安,A股
7,000010,美丽生态,A股
8,000011,深物业A,A股
9,000012,南  玻Ａ,A股
10,000014,沙河股份,A股
11,000016,深康佳Ａ,A股
12,000017,深中华A,A股
13,000019,深粮控股,A股
14,000020,深华发Ａ,A股
15,000021,深科技,A股
16,000025,特  力Ａ,A股
17,000026,飞亚达,A股
18,000027,深圳能源,A股
19,000028,国药一致,A股
20,000029,深深房Ａ,A股
21,000030,富奥股份,A股
22,000031,大悦城,A股
23,000032,深桑达Ａ,A股
24,000034,神州数码,A股
25,000035,中国天楹,A股
26,000036,华联控股,A股
27,000037,深南电A,A股
28,000039,中集集团,A股
29,000042,中洲控股,A股
30,000045,深纺织Ａ,A股
31,000048,京基智农,A股
32,000049,德赛电池,A股
33,000050,深天马Ａ,A股
34,000055,方大集团,A股
35,000056,皇庭国际,A股
36,000058,深 赛 格,A股
37,000059,华锦股份,A股
38,000060,中金岭南,A股
39,000061,农 产 品,A股
40,000062,深圳华强,A股
41,000063,中兴通讯,A股
42,000065,北方国际,A股
43,000066,中国长城,A股
44,000068,华控赛格,A股
45,000069,华侨城Ａ,A股
46,000070,特发信息,A股
47,000078,海王生物,A股
48,000088,盐 田 港,A股
49,000089,深圳机场,A股
50,000090,天健集团,A股
51,000096,广聚能源,A股
52,000099,中信海直,A股
53,000100,TCL科技,A股
54,000151,中成股份,A股
55,000153,丰原药业,A股
56,000155,川能动力,A股
57,000156,华数传媒,A股
58,000157,中联重科,A股
59,000158,常山北明,A股
60,000159,国际实业,A股
61,000166,申万宏源,A股
62,000301,东方盛虹,A股
63,000333,美的集团,A股
64,000338,潍柴动力,A股
65,000400,许继电气,A股
66,000401,冀东水泥,A股
67,000402,金 融 街,A股
68,000403,派林生物,A股
69,000404,长虹华意,A股
70,000407,胜利股份,A股
71,000408,藏格矿业,A股
72,000409,云鼎科技,A股
73,000410,沈阳机床,A股
74,000411,英特集团,A股
75,000415,渤海租赁,A股
76,000417,合百集团,A股
77,000419,通程控股,A股
78,000420,吉林化纤,A股
79,000421,南京公用,A股
80,000422,湖北宜化,A股
81,000423,东阿阿胶,A股
82,000425,徐工机械,A股
83,000426,兴业银锡,A股
84,000428,华天酒店,A股
85,000429,粤高速Ａ,A股
86,000430,ST张家界,A股
87,000488,ST晨鸣,A股
88,000498,山东路桥,A股
89,000501,武商集团,A股
90,000503,国新健康,A股
91,000504,*ST生物,A股
92,000505,京粮控股,A股
93,000506,中润资源,A股
94,000507,珠海港,A股
95,000509,华塑控股,A股
96,000510,新金路,A股
97,000513,丽珠集团,A股
98,000514,渝 开 发,A股
99,000516,国际医学,A股
100,000517,荣安地产,A股
101,000518,*ST四环,A股
102,000519,中兵红箭,A股
103,000520,凤凰航运,A股
104,000521,长虹美菱,A股
105,000523,红棉股份,A股
106,000524,岭南控股,A股
107,000525,红太阳,A股
108,000526,学大教育,A股
109,000528,柳    工,A股
110,000529,广弘控股,A股
111,000530,冰山冷热,A股
112,000531,穗恒运Ａ,A股
113,000532,华金资本,A股
114,000533,顺钠股份,A股
115,000534,万泽股份,A股
116,000536,华映科技,A股
117,000537,中绿电,A股
118,000538,云南白药,A股
119,000539,粤电力Ａ,A股
120,000541,佛山照明,A股
121,000543,皖能电力,A股
122,000544,中原环保,A股
123,000545,金浦钛业,A股
124,000546,金圆股份,A股
125,000547,航天发展,A股
126,000548,湖南投资,A股
127,000550,江铃汽车,A股
128,000551,创元科技,A股
129,000552,甘肃能化,A股
130,000553,安道麦A,A股
