,性质
0,买盘
1,买盘
2,卖盘
3,买盘
4,买盘
5,买盘
6,买盘
7,买盘
8,买盘
9,买盘
10,卖盘
11,卖盘
12,中性盘
13,卖盘
14,卖盘
15,买盘
16,买盘
17,买盘
18,卖盘
19,买盘
20,卖盘
21,买盘
22,买盘
23,卖盘
24,买盘
25,中性盘
26,卖盘
27,卖盘
28,买盘
29,买盘
30,卖盘
31,卖盘
32,卖盘
33,卖盘
34,卖盘
35,卖盘
36,卖盘
37,买盘
38,卖盘
39,中性盘
40,中性盘
41,买盘
42,买盘
43,买盘
44,买盘
45,买盘
46,买盘
47,买盘
48,买盘
49,买盘
50,买盘
51,卖盘
52,卖盘
53,卖盘
54,买盘
55,中性盘
56,买盘
57,中性盘
58,买盘
59,买盘
60,卖盘
61,买盘
62,买盘
63,买盘
64,卖盘
65,中性盘
66,卖盘
67,买盘
68,卖盘
69,买盘
70,卖盘
71,中性盘
72,卖盘
73,买盘
74,卖盘
75,买盘
76,卖盘
77,买盘
78,买盘
79,买盘
80,买盘
81,卖盘
82,买盘
83,卖盘
84,中性盘
85,买盘
86,卖盘
87,买盘
88,卖盘
89,卖盘
90,买盘
91,卖盘
92,买盘
93,买盘
94,卖盘
95,买盘
96,卖盘
97,卖盘
98,卖盘
99,买盘
100,卖盘
101,卖盘
102,买盘
103,卖盘
104,买盘
105,买盘
106,卖盘
107,卖盘
108,买盘
109,买盘
110,买盘
111,买盘
112,买盘
113,买盘
114,买盘
115,中性盘
116,买盘
117,买盘
118,卖盘
119,买盘
120,卖盘
121,买盘
122,买盘
123,卖盘
124,卖盘
125,卖盘
126,卖盘
127,买盘
128,卖盘
129,买盘
130,买盘
131,买盘
132,买盘
133,买盘
134,买盘
135,卖盘
136,买盘
137,买盘
138,买盘
139,买盘
140,卖盘
141,卖盘
142,买盘
143,卖盘
144,买盘
145,买盘
146,买盘
147,卖盘
148,卖盘
149,卖盘
150,买盘
151,买盘
152,卖盘
153,买盘
154,买盘
155,卖盘
156,卖盘
157,中性盘
158,卖盘
159,卖盘
160,买盘
161,中性盘
162,买盘
163,中性盘
164,买盘
165,卖盘
166,卖盘
167,买盘
168,卖盘
169,卖盘
