,成交价格
0,12.72
1,12.77
2,12.73
3,12.78
4,12.8
5,12.83
6,12.84
7,12.87
8,12.87
9,12.88
10,12.87
11,12.88
12,12.85
13,12.85
14,12.84
15,12.9
16,12.93
17,12.95
18,12.95
19,12.96
20,12.95
21,12.96
22,13.02
23,13.02
24,13.03
25,13.04
26,13.03
27,13.03
28,13.03
29,13.03
30,13.03
31,13.03
32,13.0
33,12.98
34,12.96
35,12.94
36,12.92
37,12.93
38,12.92
39,12.93
40,12.94
41,12.97
42,13.03
43,13.04
44,13.05
45,13.06
46,13.09
47,13.13
48,13.15
49,13.17
50,13.18
51,13.17
52,13.15
53,13.14
54,13.13
55,13.09
56,13.12
57,13.1
58,13.1
59,13.11
60,13.11
61,13.12
62,13.12
63,13.12
64,13.12
65,13.11
66,13.07
67,13.11
68,13.08
69,13.11
70,13.08
71,13.09
72,13.09
73,13.09
74,13.08
75,13.08
76,13.08
77,13.1
78,13.13
79,13.13
80,13.18
81,13.16
82,13.18
83,13.16
84,13.18
85,13.19
86,13.18
87,13.18
88,13.17
89,13.15
90,13.15
91,13.11
92,13.12
93,13.12
94,13.11
95,13.11
96,13.11
97,13.1
98,13.1
99,13.11
100,13.1
101,13.11
102,13.16
103,13.14
104,13.17
105,13.17
106,13.17
107,13.17
108,13.22
109,13.24
110,13.27
111,13.28
112,13.29
113,13.29
114,13.3
115,13.3
116,13.3
117,13.35
118,13.3
119,13.3
120,13.29
121,13.31
122,13.33
123,13.29
124,13.29
125,13.27
126,13.26
127,13.28
128,13.28
129,13.3
130,13.31
131,13.32
132,13.33
133,13.37
134,13.38
135,13.38
136,13.39
137,13.39
138,13.39
139,13.4
140,13.38
141,13.36
142,13.36
143,13.33
144,13.34
145,13.33
146,13.31
147,13.3
148,13.3
149,13.3
150,13.3
151,13.33
152,13.33
153,13.34
154,13.35
155,13.34
156,13.34
157,13.32
158,13.31
159,13.31
160,13.31
161,13.3
162,13.3
163,13.31
164,13.32
165,13.31
166,13.31
167,13.31
168,13.28
169,13.25
170,13.23
171,13.25
172,13.24
173,13.24
174,13.28
175,13.29
176,13.29
177,13.27
178,13.28
179,13.28
180,13.28
181,13.28
182,13.27
183,13.25
184,13.25
185,13.25
186,13.25
187,13.24
188,13.24
189,13.22
190,13.22
191,13.21
192,13.2
193,13.2
194,13.19
195,13.2
196,13.19
197,13.19
198,13.2
199,13.2
200,13.23
201,13.23
202,13.22
203,13.22
204,13.23
205,13.21
206,13.22
207,13.21
208,13.21
209,13.22
210,13.22
211,13.24
212,13.23
213,13.24
214,13.26
215,13.27
216,13.26
217,13.26
218,13.26
219,13.24
220,13.26
221,13.26
222,13.26
223,13.26
224,13.25
225,13.25
226,13.24
227,13.23
228,13.23
229,13.23
230,13.24
231,13.23
232,13.23
233,13.23
234,13.23
235,13.24
236,13.25
237,13.24
238,13.25
239,13.25
240,13.25
241,13.26
242,13.26
243,13.27
244,13.27
245,13.27
246,13.27
247,13.28
248,13.28
249,13.28
250,13.29
251,13.3
252,13.3
253,13.3
254,13.3
255,13.31
256,13.31
257,13.32
258,13.32
259,13.32
260,13.32
261,13.32
262,13.32
263,13.29
264,13.29
265,13.29
266,13.29
267,13.31
268,13.28
269,13.31
270,13.31
271,13.31
272,13.31
273,13.3
274,13.31
275,13.31
276,13.29
277,13.29
278,13.28
279,13.29
280,13.29
281,13.28
282,13.27
283,13.27
284,13.27
285,13.27
286,13.27
287,13.25
288,13.25
289,13.24
290,13.23
291,13.23
292,13.23
293,13.23
294,13.23
295,13.21
296,13.21
297,13.2
298,13.2
299,13.19
300,13.2
301,13.19
302,13.18
303,13.18
304,13.18
305,13.18
306,13.18
307,13.18
308,13.17
309,13.18
310,13.17
311,13.19
312,13.19
313,13.18
314,13.18
315,13.18
316,13.16
317,13.15
318,13.15
319,13.15
320,13.14
321,13.14
322,13.13
323,13.12
324,13.12
325,13.11
326,13.1
327,13.1
328,13.09
329,13.09
330,13.09
331,13.08
332,13.09
333,13.09
334,13.09
335,13.08
336,13.08
337,13.08
338,13.07
339,13.07
340,13.07
341,13.07
342,13.06
343,13.06
344,13.07
345,13.09
346,13.08
347,13.09
348,13.09
349,13.08
350,13.09
351,13.1
352,13.08
353,13.08
354,13.08
355,13.08
356,13.08
357,13.09
358,13.1
359,13.1
360,13.09
361,13.1
362,13.1
363,13.09
364,13.1
365,13.11
366,13.1
367,13.12
368,13.13
369,13.12
370,13.13
371,13.12
372,13.13
373,13.11
374,13.07
375,13.07
376,13.05
377,13.05
378,13.05
379,13.04
380,13.05
381,13.03
382,13.04
383,13.02
384,13.03
385,13.03
386,13.02
387,13.0
388,13.0
389,12.99
390,12.99
391,13.0
392,12.99
393,12.98
394,12.99
395,12.99
396,12.99
397,12.99
398,13.0
399,13.0
400,13.01
401,13.0
402,13.01
403,13.02
404,13.02
405,13.02
406,13.04
407,13.04
408,13.04
409,13.05
410,13.05
411,13.06
412,13.08
413,13.08
414,13.08
415,13.07
416,13.08
417,13.07
418,13.07
419,13.05
420,13.04
421,13.05
422,13.05
423,13.06
424,13.05
425,13.08
426,13.08
427,13.08
428,13.08
429,13.08
430,13.08
431,13.09
432,13.08
433,13.09
434,13.08
435,13.09
436,13.09
437,13.09
438,13.09
439,13.09
440,13.09
441,13.09
442,13.09
443,13.09
444,13.1
445,13.09
446,13.09
447,13.08
448,13.08
449,13.07
450,13.07
451,13.07
452,13.07
453,13.07
454,13.06
455,13.06
456,13.07
457,13.06
458,13.06
459,13.06
460,13.07
461,13.06
462,13.06
463,13.06
464,13.06
465,13.06
466,13.05
467,13.06
468,13.05
469,13.06
470,13.06
471,13.05
472,13.05
473,13.06
474,13.05
475,13.04
476,13.04
477,13.05
478,13.04
479,13.06
480,13.04
481,13.04
482,13.04
483,13.06
484,13.05
485,13.05
486,13.05
487,13.06
488,13.09
489,13.12
490,13.09
491,13.1
492,13.1
493,13.1
494,13.11
495,13.11
496,13.13
497,13.13
498,13.14
499,13.14
500,13.14
501,13.14
502,13.14
503,13.14
504,13.13
505,13.14
506,13.13
507,13.14
508,13.12
509,13.12
510,13.11
511,13.11
512,13.11
513,13.11
514,13.1
515,13.1
516,13.1
517,13.11
518,13.11
519,13.1
520,13.1
521,13.1
522,13.09
523,13.08
524,13.09
525,13.07
526,13.08
527,13.06
528,13.08
529,13.09
530,13.08
531,13.07
532,13.07
533,13.06
534,13.06
535,13.07
536,13.07
537,13.07
538,13.07
539,13.07
540,13.07
541,13.06
542,13.06
543,13.06
544,13.05
545,13.05
546,13.05
547,13.05
548,13.05
549,13.05
550,13.05
551,13.04
552,13.05
553,13.05
554,13.04
555,13.04
556,13.03
557,13.03
558,13.02
559,13.02
560,13.01
561,13.0
562,13.0
563,12.99
564,13.0
565,12.99
566,13.0
567,12.98
568,12.99
569,12.99
570,12.99
571,13.0
572,13.0
573,13.0
574,13.0
575,13.0
576,13.0
577,13.0
578,13.0
579,12.99
580,12.98
581,12.98
582,12.98
583,12.98
584,12.99
585,13.0
586,13.0
587,13.0
588,13.0
589,13.0
590,13.01
591,13.0
592,13.0
593,12.99
594,12.99
595,13.0
596,13.0
597,13.0
598,13.0
599,13.01
600,13.0
601,13.0
602,13.01
603,13.0
604,13.01
605,13.0
606,13.0
607,12.98
608,12.98
609,12.98
610,12.97
611,12.96
612,12.97
613,12.97
614,12.95
615,12.95
616,12.95
617,12.95
618,12.96
619,12.96
620,12.96
621,12.95
622,12.95
623,12.95
624,12.95
625,12.95
626,12.96
627,12.95
628,12.94
629,12.94
630,12.94
631,12.93
632,12.93
633,12.93
634,12.93
635,12.93
636,12.93
637,12.93
638,12.93
639,12.94
640,12.93
641,12.96
642,12.96
643,12.95
644,12.95
645,12.95
646,12.98
647,12.95
648,12.95
649,13.0
650,12.98
651,12.97
652,12.99
653,12.99
654,12.98
655,12.99
656,12.99
657,12.99
658,12.99
659,13.0
660,12.99
661,12.99
662,12.99
663,12.98
664,12.98
665,12.98
666,12.97
667,13.01
668,12.98
669,13.01
670,12.99
671,12.99
672,13.0
673,13.0
674,13.0
675,13.0
676,13.0
677,13.01
678,13.0
679,13.0
680,13.0
681,13.0
682,13.0
683,13.0
684,13.0
685,13.0
686,13.0
687,13.0
688,13.0
689,13.0
690,13.0
691,13.0
692,13.0
693,13.0
694,12.99
695,13.0
696,13.0
697,13.0
698,13.0
699,13.0
700,13.0
701,13.0
702,13.0
703,13.0
704,13.0
705,13.0
706,13.0
707,13.0
708,12.99
709,12.99
710,12.99
711,12.98
712,12.99
713,12.98
714,12.99
715,12.98
716,12.99
717,12.99
718,12.99
719,12.97
720,12.98
721,12.97
722,12.98
723,12.98
724,12.98
725,12.98
726,12.98
727,12.97
728,12.97
729,12.98
730,12.97
731,12.98
732,12.98
733,12.98
734,13.0
735,13.0
736,13.01
737,13.01
738,13.01
739,12.99
740,13.0
741,13.01
742,13.02
743,13.03
744,13.02
745,13.03
746,13.04
747,13.03
748,13.04
749,13.04
750,13.05
751,13.05
752,13.04
753,13.04
754,13.04
755,13.03
756,13.04
757,13.04
758,13.05
759,13.03
760,13.04
761,13.04
762,13.04
763,13.04
764,13.03
765,13.03
766,13.04
767,13.05
768,13.04
769,13.05
770,13.05
771,13.05
772,13.06
773,13.07
774,13.08
775,13.08
776,13.08
777,13.08
778,13.09
779,13.1
780,13.09
781,13.09
782,13.09
783,13.09
784,13.04
785,13.05
786,13.05
