,成交时间
0,09:25:00
1,09:30:00
2,09:30:03
3,09:30:06
4,09:30:09
5,09:30:12
6,09:30:15
7,09:30:18
8,09:30:21
9,09:30:24
10,09:30:27
11,09:30:30
12,09:30:33
13,09:30:36
14,09:30:39
15,09:30:42
16,09:30:45
17,09:30:48
18,09:30:51
19,09:30:54
20,09:30:57
21,09:31:00
22,09:31:03
23,09:31:06
24,09:31:09
25,09:31:12
26,09:31:15
27,09:31:18
28,09:31:21
29,09:31:24
30,09:31:27
31,09:31:30
32,09:31:33
33,09:31:36
34,09:31:39
35,09:31:42
36,09:31:45
37,09:31:48
38,09:31:51
39,09:31:54
40,09:31:57
41,09:32:00
42,09:32:03
43,09:32:06
44,09:32:09
45,09:32:12
46,09:32:15
47,09:32:18
48,09:32:21
49,09:32:24
50,09:32:27
51,09:32:30
52,09:32:33
53,09:32:36
54,09:32:39
55,09:32:42
56,09:32:45
57,09:32:48
58,09:32:51
59,09:32:54
60,09:32:57
61,09:33:00
62,09:33:03
63,09:33:06
64,09:33:09
65,09:33:12
66,09:33:15
67,09:33:18
68,09:33:21
69,09:33:24
70,09:33:27
71,09:33:30
72,09:33:33
73,09:33:36
74,09:33:39
75,09:33:42
76,09:33:45
77,09:33:48
78,09:33:51
79,09:33:54
80,09:33:57
81,09:34:00
82,09:34:03
83,09:34:06
84,09:34:09
85,09:34:12
86,09:34:15
87,09:34:18
88,09:34:21
89,09:34:24
90,09:34:27
91,09:34:30
92,09:34:33
93,09:34:36
94,09:34:39
95,09:34:42
96,09:34:45
97,09:34:48
98,09:34:51
99,09:34:54
100,09:34:57
101,09:35:00
102,09:35:03
103,09:35:06
104,09:35:09
105,09:35:12
106,09:35:15
107,09:35:18
108,09:35:21
109,09:35:24
110,09:35:27
111,09:35:30
112,09:35:33
113,09:35:36
114,09:35:39
115,09:35:42
116,09:35:45
117,09:35:48
118,09:35:51
119,09:35:54
120,09:35:57
121,09:36:00
122,09:36:03
123,09:36:06
124,09:36:09
125,09:36:12
126,09:36:15
127,09:36:18
128,09:36:21
129,09:36:24
130,09:36:27
131,09:36:30
132,09:36:33
133,09:36:36
134,09:36:39
135,09:36:42
136,09:36:45
137,09:36:48
138,09:36:51
139,09:36:54
140,09:36:57
141,09:37:00
142,09:37:03
143,09:37:06
144,09:37:09
145,09:37:12
146,09:37:15
147,09:37:18
148,09:37:21
149,09:37:24
150,09:37:27
151,09:37:30
152,09:37:33
153,09:37:36
154,09:37:39
155,09:37:42
156,09:37:45
157,09:37:48
158,09:37:51
159,09:37:54
160,09:37:57
161,09:38:00
162,09:38:03
163,09:38:06
164,09:38:09
165,09:38:12
166,09:38:15
167,09:38:18
168,09:38:21
169,09:38:24
170,09:38:27
171,09:38:30
172,09:38:33
173,09:38:36
174,09:38:39
175,09:38:42
176,09:38:45
177,09:38:48
178,09:38:51
179,09:38:54
180,09:38:57
181,09:39:00
182,09:39:03
183,09:39:06
184,09:39:09
185,09:39:12
186,09:39:15
187,09:39:18
188,09:39:21
189,09:39:24
190,09:39:27
191,09:39:30
192,09:39:33
193,09:39:36
194,09:39:39
195,09:39:42
196,09:39:45
197,09:39:48
198,09:39:51
199,09:39:54
200,09:39:57
201,09:40:00
202,09:40:03
203,09:40:06
204,09:40:09
205,09:40:12
206,09:40:15
207,09:40:18
208,09:40:21
209,09:40:24
210,09:40:27
211,09:40:30
212,09:40:33
213,09:40:36
214,09:40:39
215,09:40:42
216,09:40:45
217,09:40:48
218,09:40:51
219,09:40:54
220,09:40:57
221,09:41:00
222,09:41:03
223,09:41:06
224,09:41:09
225,09:41:12
226,09:41:15
227,09:41:18
228,09:41:21
229,09:41:24
230,09:41:27
231,09:41:30
232,09:41:33
233,09:41:36
234,09:41:39
235,09:41:42
236,09:41:45
237,09:41:48
238,09:41:51
239,09:41:54
240,09:41:57
241,09:42:00
242,09:42:03
243,09:42:06
244,09:42:09
245,09:42:12
246,09:42:15
247,09:42:18
248,09:42:21
249,09:42:24
250,09:42:27
251,09:42:30
252,09:42:33
253,09:42:36
254,09:42:39
255,09:42:42
256,09:42:45
257,09:42:48
258,09:42:51
259,09:42:54
260,09:42:57
261,09:43:00
262,09:43:03
263,09:43:06
264,09:43:09
265,09:43:12
266,09:43:15
267,09:43:18
268,09:43:21
269,09:43:24
270,09:43:27
271,09:43:30
272,09:43:33
273,09:43:36
274,09:43:39
275,09:43:42
276,09:43:45
277,09:43:48
278,09:43:51
279,09:43:54
280,09:43:57
281,09:44:00
282,09:44:03
283,09:44:06
284,09:44:09
285,09:44:12
286,09:44:15
287,09:44:18
288,09:44:21
289,09:44:24
290,09:44:27
291,09:44:30
292,09:44:33
293,09:44:36
294,09:44:39
295,09:44:42
296,09:44:45
297,09:44:48
298,09:44:51
299,09:44:54
300,09:44:57
301,09:45:00
302,09:45:03
303,09:45:06
304,09:45:09
305,09:45:12
306,09:45:15
307,09:45:18
308,09:45:21
309,09:45:24
310,09:45:27
311,09:45:30
312,09:45:33
313,09:45:36
314,09:45:39
315,09:45:42
316,09:45:45
317,09:45:48
318,09:45:51
319,09:45:54
320,09:45:57
321,09:46:00
322,09:46:03
323,09:46:06
324,09:46:09
325,09:46:12
326,09:46:15
327,09:46:18
328,09:46:21
329,09:46:24
330,09:46:27
331,09:46:30
332,09:46:33
333,09:46:36
334,09:46:39
335,09:46:42
336,09:46:45
337,09:46:48
338,09:46:51
339,09:46:54
340,09:46:57
341,09:47:00
342,09:47:03
343,09:47:06
344,09:47:09
345,09:47:12
346,09:47:15
347,09:47:18
348,09:47:21
349,09:47:24
350,09:47:27
351,09:47:30
352,09:47:33
353,09:47:36
354,09:47:39
355,09:47:42
356,09:47:45
357,09:47:48
358,09:47:51
359,09:47:54
360,09:47:57
361,09:48:00
362,09:48:03
363,09:48:06
364,09:48:09
365,09:48:12
366,09:48:15
367,09:48:18
368,09:48:21
369,09:48:24
370,09:48:27
371,09:48:30
372,09:48:33
373,09:48:36
374,09:48:39
375,09:48:42
376,09:48:45
377,09:48:48
378,09:48:51
379,09:48:54
380,09:48:57
381,09:49:00
382,09:49:03
383,09:49:06
384,09:49:09
385,09:49:12
386,09:49:15
387,09:49:18
388,09:49:21
389,09:49:24
390,09:49:27
391,09:49:30
392,09:49:33
393,09:49:36
394,09:49:39
395,09:49:42
396,09:49:45
397,09:49:48
398,09:49:51
399,09:49:54
400,09:49:57
401,09:50:00
402,09:50:03
403,09:50:06
404,09:50:09
405,09:50:12
406,09:50:15
407,09:50:18
408,09:50:21
409,09:50:24
410,09:50:27
411,09:50:30
412,09:50:33
413,09:50:36
414,09:50:39
415,09:50:42
416,09:50:45
417,09:50:48
418,09:50:51
419,09:50:54
420,09:50:57
421,09:51:00
422,09:51:03
423,09:51:06
