,成交量
0,7223
1,2376
2,5170
3,2128
4,1711
5,640
6,390
7,560
8,294
9,615
10,747
11,1775
12,656
13,922
14,914
15,3146
16,1688
17,1638
18,806
19,750
20,1300
21,846
22,5882
23,1455
24,351
25,722
26,1135
27,2635
28,1726
29,1722
30,979
31,1529
32,399
33,707
34,698
35,286
36,699
37,430
38,2799
39,768
40,746
41,1722
42,696
43,151
44,312
45,547
46,644
47,5572
48,778
49,701
50,633
51,2778
52,2767
53,1620
54,881
55,532
56,805
57,1438
58,1965
59,790
60,597
61,1622
62,2736
63,1048
64,1412
65,859
66,1127
67,672
68,488
69,629
70,728
71,426
72,452
73,975
74,2294
75,720
76,762
77,2423
78,689
79,1037
80,2567
81,1452
82,614
83,1419
84,2561
85,1045
86,1480
87,843
88,1797
89,2819
90,366
91,514
92,409
93,359
94,963
95,550
96,748
97,1026
98,488
99,605
100,671
101,647
102,1141
103,470
104,398
105,655
106,505
107,799
108,4605
109,640
110,1934
111,1138
112,2674
113,3018
114,2529
115,2279
116,2782
117,3068
118,2111
119,2163
120,2290
121,2816
122,2310
123,1988
124,1889
125,2186
126,2134
127,2062
128,1385
129,2027
130,1204
131,968
132,1002
133,2486
134,1224
135,2358
136,2473
137,2321
138,4436
139,1452
140,2971
141,2415
142,3116
143,2119
144,1131
145,1922
146,1475
147,629
148,783
149,1377
150,1133
151,806
152,1130
153,1000
154,385
155,1217
156,1051
157,779
158,534
159,1005
160,2445
161,1142
162,1128
163,650
164,981
165,592
166,523
167,770
168,3276
169,922
170,455
171,1045
172,315
173,1651
174,1273
175,771
176,574
177,603
178,768
179,866
180,789
181,669
182,1825
183,592
184,459
185,1427
186,1208
187,1446
188,793
189,366
190,810
191,373
192,633
193,856
194,985
195,960
196,842
197,1179
198,774
199,270
200,294
201,325
202,725
203,447
204,866
205,669
206,2235
207,307
208,576
209,800
210,970
211,177
212,878
213,371
214,306
215,346
216,868
217,824
218,607
219,1359
220,868
221,939
222,569
223,956
224,517
225,486
226,321
227,531
228,338
229,590
230,822
231,724
232,719
233,625
234,171
235,526
236,164
237,494
238,214
239,198
240,1380
241,641
242,86
243,261
244,517
245,145
246,440
247,577
248,497
249,355
250,586
251,1218
252,681
253,572
254,1226
255,153
256,442
257,261
258,629
259,1406
260,1135
261,641
262,1752
263,1082
264,645
265,648
266,480
267,1212
268,638
269,1060
270,734
271,391
272,156
273,182
274,582
275,779
276,391
277,472
278,648
279,328
280,1616
281,445
282,712
283,382
284,573
285,651
286,458
287,450
288,276
289,134
290,201
291,252
292,465
293,513
294,513
295,594
296,527
297,628
298,955
299,671
300,137
301,313
302,452
303,975
304,548
305,1728
306,362
307,207
308,828
309,320
310,972
311,469
312,296
313,1624
314,309
315,397
316,600
317,322
318,572
319,431
320,1095
321,241
322,621
323,228
324,474
325,569
326,675
327,1233
328,411
329,472
330,1057
331,684
332,739
333,693
334,605
335,1293
336,452
337,420
338,577
339,1288
340,939
341,496
342,526
343,327
344,199
345,624
346,1361
347,187
348,175
349,1056
350,310
351,655
352,741
353,303
354,1009
355,463
356,224
357,1398
358,748
359,145
360,350
361,838
362,489
363,257
