,成交金额
0,9187656
1,3027441
2,6588818
3,2717418
4,2190003
5,821130
6,500927
7,719859
8,378467
9,791997
10,962101
11,2282958
12,844357
13,1185462
14,1174389
15,4052915
16,2181288
17,2122826
18,1045179
19,973076
20,1683640
21,1096200
22,7647929
23,1894100
24,457213
25,939932
26,1479975
27,3433747
28,2250652
29,2246090
30,1276603
31,1991806
32,519249
33,918656
34,905071
35,370467
36,903882
37,555916
38,3621468
39,994392
40,964201
41,2235723
42,906229
43,196761
44,407041
45,714414
46,842204
47,7303339
48,1022238
49,923013
50,834008
51,3660329
52,3643820
53,2129368
54,1154370
55,696760
56,1054595
57,1881764
58,2576725
59,1035733
60,782585
61,2126911
62,3584429
63,1375157
64,1852084
65,1125636
66,1475074
67,879712
68,638241
69,823963
70,953522
71,557955
72,591751
73,1276647
74,3001315
75,942432
76,997437
77,3176870
78,903382
79,1359970
80,3378233
81,1911458
82,809194
83,1870515
84,3376567
85,1377577
86,1950594
87,1111708
88,2368613
89,3708943
90,480988
91,674261
92,536195
93,470804
94,1261929
95,721289
96,980854
97,1344544
98,639880
99,792932
100,879516
101,848386
102,1499294
103,617967
104,523512
105,862824
106,665408
107,1053244
108,6079003
109,846731
110,2562951
111,1510604
112,3549377
113,4008558
114,3363182
115,3030865
116,3702401
117,4082467
118,2807245
119,2879364
120,3050034
121,3744154
122,3074309
123,2646972
124,2511643
125,2905491
126,2832728
127,2734417
128,1839507
129,2693392
130,1602223
131,1288517
132,1336100
133,3318995
134,1636917
135,3156149
136,3310575
137,3104935
138,5939254
139,1943677
140,3976930
141,3228863
142,4158126
143,2828639
144,1507658
145,2560331
146,1963964
147,837727
148,1042575
149,1831950
150,1506775
151,1073323
152,1506496
153,1334290
154,513356
155,1624128
156,1401158
157,1037926
158,711036
159,1338463
160,3252235
161,1518713
162,1500191
163,864035
164,1305326
165,788305
166,696393
167,1025082
168,4351767
169,1221995
170,602601
171,1384893
172,417413
173,2191735
174,1690759
175,1023324
176,762443
177,800704
178,1019358
179,1150438
180,1046875
181,888061
182,2421082
183,785561
184,608360
185,1892026
186,1600618
187,1914980
188,1049363
189,484115
190,1070606
191,492754
192,835799
193,1130557
194,1300254
195,1267496
196,1111277
197,1556179
198,1021073
199,356516
200,388432
201,429613
202,958130
203,590825
204,1144477
205,883815
206,2953440
207,405614
208,761076
209,1057325
210,1282601
211,234032
212,1161341
213,491391
214,405482
215,458788
216,1150149
217,1092464
218,804799
219,1801165
220,1150877
221,1244809
222,754380
223,1266375
224,684966
225,644026
226,425157
227,703497
228,447326
229,780829
230,1087722
231,958440
232,951783
233,827135
234,226349
235,696537
236,217241
237,654366
238,282780
239,262299
240,1827323
241,849143
242,114036
243,346234
244,685967
245,192438
246,584009
247,766215
248,659894
249,471535
250,778687
251,1618963
252,905551
253,760474
254,1630360
255,203584
256,588221
257,347454
258,837888
259,1871749
260,1511989
261,853588
262,2331332
263,1439896
264,857203
265,862341
266,638515
267,1612164
268,848087
269,1409270
270,977056
271,520273
272,207595
273,242170
274,774121
275,1036538
276,520006
277,627709
278,861277
279,436103
280,2146032
281,590864
282,944215
283,506941
284,760377
285,864119
286,607215
287,596634
288,365528
289,177478
290,266082
291,333471
292,614525
293,678417
294,678374
295,784707
296,695877
297,829033
298,1260882
299,886046
300,180798
301,412902
302,596154
303,1285335
304,722969
305,2278465
306,477205
307,272827
