920414 欧普泰 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/03 6.69 7.23 6.69 7.04 15600 266075.00
2021/08/05 7.06 7.23 6.72 6.72 22100 383145.09
2021/08/06 7.04 7.74 7.04 7.69 20800 380646.81
2021/08/09 6.23 6.23 6.23 6.23 1000 15100.00
2021/08/10 6.85 7.65 6.85 7.65 325100 3565750.00
2021/08/11 7.65 7.74 7.65 7.74 7500 138865.00
2021/08/12 7.38 8.08 7.38 7.99 3600 67635.00
2021/08/13 8.17 8.17 8.17 8.17 200 2962.50
2021/08/16 8.10 8.72 8.10 8.70 6900 139014.00
2021/08/17 8.48 8.48 8.48 8.48 1000 20500.00
2021/08/19 8.21 8.21 7.47 7.47 8400 159526.00
2021/08/20 7.38 7.43 7.16 7.28 2800 50072.00
2021/08/23 7.40 7.65 7.40 7.45 8100 147759.13
2021/08/24 7.45 7.45 6.93 7.06 4000 69340.00
2021/08/25 6.80 6.81 6.27 6.47 7800 122258.00
2021/08/26 6.60 7.01 6.60 7.00 106700 1208716.75
2021/08/27 7.08 7.23 6.90 7.22 6600 115070.00
2021/08/30 6.93 7.23 6.93 7.23 5100 85750.00
2021/09/01 7.21 7.94 7.21 7.91 9700 174896.13
2021/09/02 8.14 8.39 8.14 8.24 1900 38277.64
2021/09/03 8.40 8.44 8.22 8.40 19000 383903.22
2021/09/06 8.40 9.81 8.40 9.81 174300 3991776.75
2021/09/07 9.81 9.90 9.24 9.52 90800 1953603.50
2021/09/08 9.52 10.73 9.52 10.50 48100 1143080.25
2021/09/09 10.50 14.05 10.50 13.30 104500 3266463.25
2021/09/10 13.53 14.41 12.72 13.17 143300 4568144.50
2021/09/13 13.27 13.98 12.99 13.88 246900 8110890.50
2021/09/14 13.88 14.44 13.72 14.04 79400 2676691.00
2021/09/15 14.31 14.31 13.55 13.67 29000 973753.25
2021/09/16 13.40 13.69 13.40 13.69 12200 395567.50
2021/09/17 13.00 13.69 13.00 13.69 100200 2976435.00
2021/09/22 13.69 14.52 13.69 14.07 15900 537474.00
2021/09/23 14.52 14.52 14.10 14.52 8200 280810.00
2021/09/24 14.10 14.23 14.10 14.17 6800 230849.41
2021/09/27 13.96 14.52 13.27 13.69 32000 1059085.00
2021/09/28 13.36 13.97 13.27 13.90 288200 7244594.00
2021/09/29 13.90 14.32 13.90 14.32 3600 122692.00
2021/09/30 14.52 14.52 14.52 14.52 1000 35000.00
2021/10/08 14.76 14.76 14.45 14.50 4000 139973.78
2021/10/11 13.79 14.10 13.79 14.10 900 30545.00
2021/10/12 14.10 14.10 13.40 13.60 5800 192487.00
2021/10/13 13.40 14.10 13.40 14.10 300 10030.00
2021/10/18 13.40 13.48 13.40 13.48 10000 324000.00
2021/10/19 13.48 13.48 12.99 13.02 10300 323550.00
