920819 颖泰生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 5.17 5.19 5.12 5.16 614600 3414088.50
2021/08/03 5.14 5.18 5.13 5.16 214600 1192053.38
2021/08/04 5.14 5.21 5.12 5.16 380700 2111487.50
2021/08/05 5.14 5.18 5.12 5.13 237600 1314575.00
2021/08/06 5.15 5.15 5.09 5.12 421700 2321042.50
2021/08/09 5.09 5.27 5.07 5.18 3631300 15880498.00
2021/08/10 5.21 5.24 5.15 5.19 230500 1292766.63
2021/08/11 5.17 5.21 5.15 5.20 257200 1435766.13
2021/08/12 5.23 5.36 5.23 5.29 1295800 7384311.50
2021/08/13 5.32 5.46 5.32 5.46 2230000 12920371.00
2021/08/16 5.55 5.61 5.48 5.59 3611700 19154098.00
2021/08/17 5.60 5.60 5.48 5.51 1078600 6381312.00
2021/08/18 5.52 5.56 5.42 5.45 815900 4795726.50
2021/08/19 5.45 5.48 5.26 5.43 806300 4666848.00
2021/08/20 5.48 5.48 5.31 5.39 447100 2584890.25
2021/08/23 5.37 5.43 5.35 5.39 348800 2017780.13
2021/08/24 5.39 5.44 5.34 5.36 535400 3094554.00
2021/08/25 5.37 5.38 5.30 5.34 685000 3919930.25
2021/08/26 5.37 5.38 5.32 5.32 821700 4724217.50
2021/08/27 5.33 5.43 5.31 5.40 1003700 5796035.50
2021/08/30 5.40 5.50 5.35 5.43 893500 5214261.50
2021/08/31 5.42 5.51 5.38 5.48 881900 5160508.50
2021/09/01 5.46 5.58 5.46 5.54 927500 5501906.50
2021/09/02 5.58 5.63 5.53 5.63 1757400 10533211.00
2021/09/03 6.60 6.60 5.82 5.82 7371500 48070136.00
2021/09/06 6.00 7.55 6.00 6.90 14069600 101717336.00
2021/09/07 6.90 7.07 6.61 6.72 5284200 37867112.00
2021/09/08 6.72 6.72 6.61 6.67 2673100 18857874.00
2021/09/09 6.71 7.01 6.69 6.97 3973200 28995784.00
2021/09/10 6.98 7.22 6.87 7.01 3424900 25435914.00
2021/09/13 7.06 7.17 6.66 6.78 2621300 19155748.00
2021/09/14 6.82 6.89 6.61 6.76 1741500 12544866.00
2021/09/15 6.76 6.80 6.60 6.65 1420900 10084038.00
2021/09/16 6.61 6.64 6.18 6.27 2131500 14427552.00
2021/09/17 6.28 6.44 6.23 6.41 1371500 9269464.00
2021/09/22 6.70 6.75 6.61 6.69 2537100 18006348.00
2021/09/23 6.72 6.75 6.60 6.68 1486700 10540113.00
2021/09/24 6.70 6.72 6.62 6.66 1172200 8288720.50
2021/09/27 6.68 6.71 6.38 6.42 1219900 8412841.00
2021/09/28 6.50 6.54 6.43 6.48 585200 4032142.00
2021/09/29 6.41 6.55 6.28 6.37 52868600 281493344.00
2021/09/30 6.37 6.60 6.35 6.57 1122800 7783337.00
2021/10/08 6.60 6.60 6.40 6.45 836700 5718960.00
2021/10/11 6.37 6.51 6.35 6.41 556000 3805681.50
2021/10/12 6.40 6.49 6.29 6.32 501300 3400456.75
2021/10/13 6.33 6.40 6.33 6.37 391700 2650238.25
2021/10/14 6.38 6.43 6.35 6.41 344300 2343399.50
2021/10/15 6.41 6.44 6.35 6.38 339300 2303190.25
2021/10/18 6.33 6.41 6.33 6.39 242100 1635217.88
2021/10/19 6.36 6.39 6.23 6.30 598000 4014274.00
2021/10/20 6.33 6.33 6.21 6.28 482400 3207084.75
2021/10/21 6.28 6.38 6.27 6.37 609500 4106016.50
2021/10/22 6.42 6.43 6.36 6.38 306100 2083617.25
2021/10/25 6.42 6.59 6.40 6.44 918000 6317048.00
2021/10/26 6.47 6.52 6.35 6.35 623100 4253966.00
2021/10/27 6.35 6.43 6.04 6.14 816400 5382263.50
2021/10/28 6.10 6.13 5.80 5.84 708700 4453592.50
2021/10/29 5.95 6.11 5.82 6.07 664700 4233349.00
2021/11/01 6.27 6.58 6.27 6.47 4041300 23935782.00
2021/11/02 6.54 6.54 6.32 6.35 834200 5697006.00
2021/11/03 6.43 6.53 6.36 6.47 875500 6000733.00
2021/11/04 6.54 6.79 6.43 6.74 40784200 232962288.00
2021/11/05 6.75 6.75 5.79 6.07 15410700 98695840.00
2021/11/08 6.12 6.65 6.12 6.54 9105900 58000416.00
2021/11/09 6.67 6.67 6.41 6.50 15136600 79804392.00
2021/11/10 6.50 6.65 6.48 6.60 4847400 27847974.00
2021/11/11 6.65 6.75 6.54 6.57 5603000 39418892.00
2021/11/12 6.69 6.98 6.58 6.98 9269600 65449976.00
2021/11/15 6.95 6.98 6.27 6.48 21887900 154571600.00
2021/11/16 6.38 6.42 6.09 6.12 10110500 64225824.00
2021/11/17 6.12 6.29 6.10 6.18 4496200 29687778.00
2021/11/18 6.24 6.25 5.87 5.92 5831700 37243044.00
2021/11/19 5.92 5.93 5.80 5.86 4293100 26856724.00
2021/11/22 5.86 5.98 5.86 5.93 3454400 21850498.00
2021/11/23 5.97 6.15 5.90 6.06 4947800 31895174.00
2021/11/24 6.07 6.07 5.88 5.92 4831500 27806912.00
2021/11/25 5.97 5.97 5.83 5.85 3994600 23896172.00
2021/11/26 5.86 5.91 5.69 5.70 3731900 22963066.00
2021/11/29 5.63 5.69 5.60 5.64 3234600 18684146.00
2021/11/30 5.66 5.69 5.39 5.44 7405000 41760164.00
2021/12/01 5.43 5.47 5.36 5.40 3583400 20047588.00
2021/12/02 5.40 5.41 5.29 5.31 6689800 33986776.00
2021/12/03 5.31 5.34 5.26 5.29 2197300 11983527.00
2021/12/06 5.29 5.35 5.25 5.26 2394500 13645732.00
2021/12/07 5.26 5.35 5.22 5.27 1562800 8854034.00
2021/12/08 5.32 5.32 5.24 5.27 1072800 6076185.50
2021/12/09 5.30 5.32 5.27 5.29 2041900 11622604.00
2021/12/10 5.29 5.29 5.19 5.25 2202100 12408900.00
2021/12/13 5.30 5.30 5.25 5.28 1392200 7894469.50
2021/12/14 5.29 5.44 5.28 5.38 3201200 18537556.00
2021/12/15 5.42 5.42 5.35 5.37 1416300 8175696.50
