600158 中体产业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 10.44 10.71 10.22 10.53 11164618 117474240.00
2021/08/03 10.51 11.10 10.46 10.86 13680909 148379136.00
2021/08/04 11.95 11.95 11.95 11.95 9475548 113801328.00
2021/08/05 12.44 12.89 11.64 11.74 68685752 850199488.00
2021/08/06 11.54 11.55 11.13 11.41 34285669 389184864.00
2021/08/09 11.22 11.51 11.13 11.25 19867842 225322112.00
2021/08/10 11.24 11.79 11.15 11.56 25659481 296424800.00
2021/08/11 11.48 11.53 11.31 11.32 14167642 162073936.00
2021/08/12 11.29 11.41 11.24 11.27 9506030 108139200.00
2021/08/13 11.19 11.27 10.99 11.12 12099423 135439840.00
2021/08/16 11.19 11.41 11.19 11.24 10538313 119689480.00
2021/08/17 11.17 11.31 11.00 11.04 10005157 112040232.00
2021/08/18 11.05 11.17 11.03 11.15 6933867 77376336.00
2021/08/19 11.18 11.58 11.16 11.40 15989274 183435088.00
2021/08/20 11.38 11.38 11.01 11.19 11126977 124809656.00
2021/08/23 11.19 11.36 11.17 11.21 9852074 111461384.00
2021/08/24 11.20 11.25 11.06 11.11 9216146 102990528.00
2021/08/25 11.09 11.18 11.03 11.13 6885170 76938496.00
2021/08/26 11.13 11.25 11.06 11.12 8537857 95589096.00
2021/08/27 11.12 11.24 11.03 11.13 7783623 87025536.00
2021/08/30 11.15 11.23 10.72 10.84 14865179 164303536.00
2021/08/31 10.64 11.34 10.53 11.23 18685657 207441760.00
2021/09/01 11.20 11.81 11.13 11.47 24254433 280607968.00
2021/09/02 11.37 11.63 11.34 11.48 13359821 153670608.00
2021/09/03 11.49 12.22 11.40 11.88 32057244 381916032.00
2021/09/06 11.78 12.05 11.74 11.93 17625361 210730480.00
2021/09/07 11.84 12.22 11.82 12.11 20412408 247715168.00
2021/09/08 12.06 12.82 12.05 12.39 26972537 337454976.00
2021/09/09 12.38 12.68 12.24 12.54 18515163 232459648.00
2021/09/10 12.64 13.03 12.33 12.46 27218812 343989760.00
2021/09/13 12.22 12.64 12.20 12.47 18732940 234375520.00
2021/09/14 12.54 12.97 12.50 12.62 23670389 302979168.00
2021/09/15 12.56 12.86 12.46 12.61 17531787 222784880.00
2021/09/16 12.54 12.79 12.28 12.34 24439424 306051392.00
2021/09/17 12.28 12.41 12.03 12.21 13592698 166625968.00
2021/09/22 12.13 12.82 12.11 12.61 18288480 231241840.00
2021/09/23 12.68 12.77 12.52 12.61 15206925 193164064.00
2021/09/24 12.61 12.83 12.51 12.59 17387845 221400096.00
2021/09/27 12.61 12.69 12.10 12.33 18582764 229774464.00
2021/09/28 12.34 12.51 12.19 12.25 10716401 132860576.00
2021/09/29 12.18 12.25 11.76 11.88 18462914 222105904.00
2021/09/30 11.91 12.08 11.82 12.02 10710379 128700024.00
2021/10/08 12.17 13.23 12.15 13.23 24902605 326466240.00
2021/10/11 13.44 13.70 13.07 13.15 43914746 586563648.00
2021/10/12 13.17 13.48 13.11 13.19 29757407 397048672.00
2021/10/13 13.19 14.03 13.18 13.28 32150817 435914144.00
2021/10/14 13.48 13.82 13.29 13.53 28070088 381477568.00
2021/10/15 13.46 13.58 13.13 13.19 22687849 302544736.00
2021/10/18 13.24 13.46 12.89 13.13 27277964 361228288.00
2021/10/19 13.08 13.32 12.78 12.81 25072318 326720096.00
2021/10/20 12.75 12.94 12.59 12.60 18309399 234022400.00
2021/10/21 12.60 12.86 12.59 12.77 16058283 205639456.00
2021/10/22 12.84 12.98 12.13 12.33 26422427 330982240.00
2021/10/25 12.14 12.43 12.02 12.39 12342379 151881504.00
2021/10/26 12.34 12.53 12.19 12.23 12188834 150665088.00
2021/10/27 12.32 12.41 11.33 11.41 31469279 371869088.00
2021/10/28 11.38 11.51 11.18 11.26 14945728 169665296.00
2021/10/29 11.22 11.69 11.22 11.65 18629867 215327952.00
2021/11/01 11.64 11.80 11.52 11.61 19126823 223947680.00
2021/11/02 11.63 11.71 11.17 11.39 16930841 194273184.00
2021/11/03 11.40 11.55 11.33 11.43 10584904 121449040.00
2021/11/04 11.49 11.73 11.37 11.65 12332468 143461024.00
2021/11/05 11.66 11.86 11.54 11.59 11924109 139953984.00
2021/11/08 11.62 12.11 11.60 11.97 16904937 202137472.00
2021/11/09 11.89 12.06 11.89 12.00 10699463 128788216.00
2021/11/10 12.01 12.10 11.88 12.01 10665943 128487136.00
2021/11/11 12.03 12.17 11.96 12.07 12025073 146055152.00
2021/11/12 12.07 12.31 11.86 12.27 17762092 215793968.00
2021/11/15 12.34 12.76 12.29 12.52 21481657 270598464.00
2021/11/16 12.47 12.83 12.44 12.58 19984087 254353392.00
2021/11/17 12.58 12.70 12.44 12.68 16654247 210585648.00
2021/11/18 12.59 12.65 12.40 12.40 15024138 188588912.00
2021/11/19 12.34 12.49 12.33 12.39 11615200 144733584.00
2021/11/22 12.39 12.50 12.31 12.33 11809585 147037664.00
2021/11/23 12.27 12.45 12.10 12.34 17561545 216115232.00
2021/11/24 12.32 12.43 12.20 12.27 10329258 127801128.00
2021/11/25 12.33 12.48 12.11 12.14 15426059 190931360.00
2021/11/26 12.21 12.22 11.73 11.89 20160615 241944272.00
2021/11/29 11.64 11.69 11.44 11.49 17349020 201232432.00
2021/11/30 11.51 11.65 11.50 11.56 12420692 144557392.00
2021/12/01 11.59 11.63 11.40 11.61 9261601 107420864.00
2021/12/02 11.58 11.64 11.38 11.40 12267822 141735312.00
2021/12/03 11.41 11.85 11.41 11.78 17823391 209492096.00
2021/12/06 11.76 11.82 11.59 11.61 11714912 137595936.00
2021/12/07 11.60 11.78 11.55 11.64 12103773 141757792.00
2021/12/08 11.70 11.81 11.63 11.74 11773216 138968976.00
2021/12/09 11.77 12.23 11.76 11.97 24554438 296040544.00
2021/12/10 11.97 12.16 11.87 12.16 15979891 193056608.00
2021/12/13 12.25 12.46 11.98 12.02 22439662 274320960.00
