600170 上海建工 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 2.36 2.38 2.34 2.37 20217063 53977492.00
2021/08/03 2.37 2.38 2.35 2.38 20252778 54227396.00
2021/08/04 2.38 2.38 2.36 2.36 15755866 42176360.00
2021/08/05 2.36 2.37 2.34 2.35 16257626 43328712.00
2021/08/06 2.35 2.35 2.33 2.34 12810751 33951932.00
2021/08/09 2.33 2.37 2.33 2.37 16742228 44668540.00
2021/08/10 2.37 2.37 2.36 2.36 11522914 30819396.00
2021/08/11 2.36 2.40 2.36 2.37 24973057 67186984.00
2021/08/12 2.37 2.38 2.37 2.38 11323833 30406182.00
2021/08/13 2.38 2.40 2.38 2.38 19257918 52006820.00
2021/08/16 2.39 2.40 2.38 2.39 16284188 43983840.00
2021/08/17 2.39 2.41 2.38 2.39 25701637 69545064.00
2021/08/18 2.38 2.40 2.38 2.40 19225125 51905404.00
2021/08/19 2.40 2.40 2.36 2.37 21005826 56485608.00
2021/08/20 2.37 2.37 2.35 2.36 15197894 40560532.00
2021/08/23 2.36 2.38 2.36 2.37 13505872 36186564.00
2021/08/24 2.37 2.38 2.36 2.37 12757283 34154076.00
2021/08/25 2.37 2.38 2.36 2.37 17423897 46746116.00
2021/08/26 2.38 2.43 2.37 2.40 39304329 106570272.00
2021/08/27 2.40 2.41 2.39 2.41 18215336 49318428.00
2021/08/30 2.41 2.43 2.40 2.40 18713275 50980400.00
2021/08/31 2.40 2.47 2.40 2.46 42532461 116837816.00
2021/09/01 2.47 2.53 2.47 2.51 58495950 164802720.00
2021/09/02 2.51 2.54 2.50 2.54 46591929 132163088.00
2021/09/03 2.53 2.58 2.53 2.55 53535398 153649888.00
2021/09/06 2.57 2.60 2.55 2.57 48962798 141435920.00
2021/09/07 2.57 2.62 2.56 2.62 46090866 134192440.00
2021/09/08 2.62 2.64 2.61 2.64 45221295 132901152.00
2021/09/09 2.66 2.76 2.65 2.75 81684253 246597456.00
2021/09/10 2.76 2.86 2.72 2.73 115431692 357270368.00
2021/09/13 2.73 2.82 2.72 2.81 68269958 211261808.00
2021/09/14 2.81 2.84 2.69 2.72 76344655 233359632.00
2021/09/15 2.70 2.74 2.69 2.71 50882722 154081312.00
2021/09/16 2.73 2.79 2.71 2.73 50912659 155588128.00
2021/09/17 2.73 2.74 2.64 2.68 52954959 158236928.00
2021/09/22 2.65 2.98 2.64 2.98 268903010 862859072.00
2021/09/23 3.31 3.31 3.18 3.31 312202345 1128585472.00
2021/09/24 3.67 3.67 3.61 3.67 359239385 1429647872.00
2021/09/27 3.77 3.78 3.27 3.28 694977810 2583297024.00
2021/09/28 3.26 3.64 3.25 3.64 224016063 866202624.00
2021/09/29 3.64 4.03 3.50 3.89 693898113 2857357312.00
2021/09/30 3.69 3.89 3.47 3.79 467536817 1861192192.00
2021/10/08 3.69 3.80 3.42 3.54 304971606 1177239552.00
2021/10/11 3.49 3.55 3.16 3.16 262679247 928232192.00
2021/10/12 3.09 3.21 2.97 3.04 200785732 676167872.00
2021/10/13 3.01 3.01 2.85 2.89 162770599 523476320.00
2021/10/14 2.89 2.99 2.88 2.92 123326656 400580256.00
2021/10/15 2.92 2.93 2.77 2.84 137265614 431687872.00
2021/10/18 2.83 2.90 2.81 2.86 90144662 285382048.00
2021/10/19 2.88 3.01 2.82 2.97 171136374 555948224.00
2021/10/20 2.97 3.02 2.89 2.97 106419180 346843264.00
2021/10/21 2.95 3.00 2.92 2.95 89708384 292999168.00
2021/10/22 2.99 3.12 2.97 2.99 148900991 497475232.00
2021/10/25 2.96 3.08 2.90 3.01 113412153 376124640.00
2021/10/26 2.97 3.02 2.87 2.92 140689478 455824768.00
