600399 抚顺特钢 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 22.93 24.83 22.63 24.43 39833661 952349888.00
2021/08/03 24.33 24.83 22.63 23.73 35761670 848848576.00
2021/08/04 23.50 25.96 23.23 25.22 35991070 889627712.00
2021/08/05 24.93 27.16 24.83 26.63 31372912 823462848.00
2021/08/06 26.79 26.92 25.33 25.97 26908008 698126784.00
2021/08/09 26.05 26.43 24.53 25.36 27085653 694364352.00
2021/08/10 25.31 27.10 25.18 26.73 30051190 791867968.00
2021/08/11 26.53 27.13 25.23 26.93 38654799 1013937984.00
2021/08/12 26.24 26.68 25.33 25.53 31473853 816669888.00
2021/08/13 25.26 25.38 23.94 24.51 39334721 967782272.00
2021/08/16 23.98 25.18 23.79 23.84 27749230 678209728.00
2021/08/17 24.01 24.76 23.19 23.82 31905249 765178816.00
2021/08/18 23.31 25.28 23.02 24.33 37257173 913742592.00
2021/08/19 24.33 26.77 23.94 25.88 41780548 1072709568.00
2021/08/20 25.93 27.48 25.08 27.40 43044018 1140632704.00
2021/08/23 27.40 29.23 26.46 26.91 59655772 1658703872.00
2021/08/24 25.93 27.95 24.79 27.27 63738756 1684118400.00
2021/08/25 26.72 26.93 25.21 25.74 49963957 1298180352.00
2021/08/26 26.04 26.86 25.32 25.73 26120033 683295744.00
2021/08/27 25.63 26.25 25.10 25.85 23444921 603618688.00
2021/08/30 26.13 28.02 26.13 26.93 38993085 1063131008.00
2021/08/31 27.23 27.63 26.43 26.85 22012312 595454528.00
2021/09/01 26.93 27.73 24.53 25.40 42103368 1085622912.00
2021/09/02 25.02 25.54 24.01 24.83 44066329 1085946112.00
2021/09/03 24.78 24.81 23.13 24.63 46906849 1125671168.00
2021/09/06 24.03 25.01 23.14 24.63 31325321 760180416.00
2021/09/07 24.63 25.95 24.42 24.52 32064198 804141824.00
2021/09/08 24.42 24.42 23.53 23.78 32348776 773105344.00
2021/09/09 23.88 24.51 23.14 24.03 30072753 713176128.00
2021/09/10 24.03 24.64 23.34 24.39 24075389 581058752.00
2021/09/13 24.23 24.53 22.42 22.88 42303918 978005312.00
2021/09/14 22.93 23.78 22.80 22.98 27659016 644461056.00
2021/09/15 22.98 23.22 21.99 22.64 36628614 830272896.00
2021/09/16 22.63 22.66 21.28 21.53 40211353 880959040.00
2021/09/17 21.60 22.02 20.47 20.79 42188551 899510336.00
2021/09/22 20.97 22.78 20.86 22.23 49314399 1098953856.00
