600602 云赛智联 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 5.05 5.14 4.97 5.13 4138482 21748636.00
2021/08/03 5.13 5.19 5.09 5.13 4214745 22476730.00
2021/08/04 5.12 5.18 5.05 5.09 5210965 27589796.00
2021/08/05 5.09 5.09 4.94 4.99 5497403 28520142.00
2021/08/06 4.97 5.04 4.93 5.04 4189799 21573332.00
2021/08/09 5.02 5.08 5.00 5.08 3633504 18984764.00
2021/08/10 5.07 5.13 5.01 5.13 4200446 22117622.00
2021/08/11 5.11 5.13 5.07 5.09 3934832 20732724.00
2021/08/12 5.10 5.18 5.10 5.11 4661117 24759614.00
2021/08/13 5.13 5.17 5.07 5.11 3893061 20588440.00
2021/08/16 5.08 5.17 5.08 5.12 3225332 17126524.00
2021/08/17 5.09 5.12 4.96 4.99 4887144 25508236.00
2021/08/18 4.99 5.04 4.93 5.03 2973761 15370820.00
2021/08/19 5.02 5.06 4.97 5.00 2778425 14425929.00
2021/08/20 5.01 5.01 4.93 4.98 3383595 17383834.00
2021/08/23 4.98 5.06 4.98 5.05 2780990 14483580.00
2021/08/24 5.07 5.13 5.04 5.11 4002259 21093254.00
2021/08/25 5.12 5.15 5.09 5.13 4393548 23268668.00
2021/08/26 5.13 5.18 5.07 5.12 5843564 30969386.00
2021/08/27 5.12 5.65 5.10 5.65 28078449 158463472.00
2021/08/30 6.23 6.23 6.23 6.23 18262166 117060488.00
2021/08/31 6.38 6.87 6.30 6.61 102596608 693977600.00
2021/09/01 6.37 7.22 6.32 6.67 82667316 569348928.00
2021/09/02 6.45 6.92 6.35 6.61 65565853 444116608.00
2021/09/03 6.61 6.66 6.31 6.40 44647553 296038080.00
2021/09/06 6.36 6.44 6.09 6.23 30492231 195277488.00
2021/09/07 6.21 6.28 6.16 6.25 21413647 137304896.00
2021/09/08 6.31 6.34 6.16 6.22 21739416 139035360.00
2021/09/09 6.20 6.47 6.14 6.40 33157708 216369696.00
2021/09/10 6.33 6.34 6.13 6.15 22348801 142902624.00
2021/09/13 6.13 6.22 6.10 6.19 13285283 84238528.00
2021/09/14 6.31 6.41 6.15 6.21 23062627 149184208.00
2021/09/15 6.31 6.31 5.98 6.07 21257748 133583056.00
2021/09/16 6.05 6.15 5.96 5.97 12573354 78301768.00
2021/09/17 5.92 5.99 5.73 5.85 16703612 100557600.00
2021/09/22 5.78 5.95 5.74 5.94 9315379 56456196.00
2021/09/23 5.96 6.00 5.89 5.93 9496663 58167324.00
2021/09/24 5.92 5.95 5.82 5.83 7550731 45706724.00
2021/09/27 5.84 5.91 5.67 5.73 8717520 51934668.00
2021/09/28 5.72 5.77 5.67 5.77 5321937 31448202.00
2021/09/29 5.73 5.73 5.55 5.55 8328843 48201988.00
2021/09/30 5.60 5.70 5.55 5.70 6178254 36038108.00
2021/10/08 5.72 5.84 5.71 5.79 6247180 37288300.00
2021/10/11 5.71 5.85 5.67 5.84 6780341 40497212.00
2021/10/12 5.96 5.96 5.59 5.66 9259886 54452172.00
2021/10/13 5.62 5.76 5.60 5.74 6223851 36541104.00
2021/10/14 5.76 5.76 5.67 5.70 4330000 25499052.00
2021/10/15 5.71 5.95 5.69 5.80 12475152 74914824.00
2021/10/18 5.92 5.92 5.67 5.78 7314827 43436800.00
2021/10/19 5.76 5.84 5.73 5.79 5958051 35485576.00
2021/10/20 5.91 6.10 5.86 6.01 22093068 136168032.00
2021/10/21 5.91 5.96 5.84 5.88 11728180 71179384.00
2021/10/22 5.84 5.88 5.76 5.78 6522079 39035696.00
2021/10/25 5.77 5.78 5.66 5.70 6776595 39765960.00
2021/10/26 5.70 5.74 5.67 5.67 4197896 24657340.00
2021/10/27 5.66 5.78 5.60 5.62 5974667 34885880.00
2021/10/28 5.73 5.73 5.22 5.22 12915916 71886848.00
2021/10/29 5.20 5.35 5.18 5.32 5241116 28582720.00
2021/11/01 5.32 5.40 5.28 5.31 4442968 24556984.00
2021/11/02 5.37 5.44 5.19 5.24 6845600 37512132.00
2021/11/03 5.25 5.32 5.23 5.27 3904642 21275984.00
2021/11/04 5.26 5.31 5.23 5.29 3530974 19244182.00
2021/11/05 5.27 5.47 5.27 5.35 7953735 44239192.00
2021/11/08 5.40 5.40 5.30 5.39 4091066 22638278.00
2021/11/09 5.40 5.44 5.35 5.42 3902980 21739680.00
2021/11/10 5.42 5.48 5.35 5.47 5747909 32156656.00
2021/11/11 5.43 5.61 5.43 5.56 6193669 35401948.00
2021/11/12 5.70 5.81 5.56 5.78 13653529 80485624.00
2021/11/15 5.72 6.00 5.71 5.92 10243003 62339928.00
2021/11/16 5.91 5.94 5.81 5.83 8618938 52144632.00
2021/11/17 5.86 6.02 5.85 6.02 12548088 77176744.00
2021/11/18 6.08 6.08 5.94 5.94 9425862 58342096.00
2021/11/19 5.93 6.03 5.90 5.96 6560105 40326344.00
2021/11/22 5.96 5.96 5.84 5.90 7673667 46531852.00
2021/11/23 5.89 5.95 5.86 5.88 5730338 34797048.00
2021/11/24 5.90 5.94 5.86 5.87 4102925 24922248.00
2021/11/25 5.91 5.93 5.82 5.86 5879177 35583684.00
2021/11/26 5.87 5.90 5.76 5.86 6332785 37946016.00
2021/11/29 5.77 5.79 5.70 5.72 5653729 33430152.00
2021/11/30 5.73 5.97 5.71 5.93 11432586 69302832.00
2021/12/01 5.92 6.05 5.84 6.03 12841185 79005256.00
2021/12/02 6.02 6.09 5.91 5.93 8473151 52238080.00
