600616 金枫酒业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 7.39 7.90 7.28 7.86 30694599 242012736.00
2021/08/03 7.76 7.90 7.68 7.72 20947007 165850640.00
2021/08/04 7.73 7.81 7.60 7.67 16260775 127075352.00
2021/08/05 7.44 7.73 7.39 7.47 20247039 155496416.00
2021/08/06 7.46 7.55 7.34 7.39 16852138 127591536.00
2021/08/09 7.40 7.66 7.37 7.54 17651620 135945168.00
2021/08/10 7.59 8.01 7.53 7.94 39449223 313029120.00
2021/08/11 7.79 7.95 7.70 7.82 25613600 203665008.00
2021/08/12 7.80 7.98 7.71 7.77 19764787 157698464.00
2021/08/13 7.74 7.88 7.67 7.77 17334033 137477088.00
2021/08/16 7.71 7.89 7.69 7.81 17912686 142679088.00
2021/08/17 7.79 7.79 7.45 7.46 20424622 158198896.00
2021/08/18 7.46 7.55 7.40 7.50 12138267 92760104.00
2021/08/19 7.46 7.61 7.45 7.50 9679120 74209552.00
2021/08/20 7.44 7.44 7.04 7.18 19515484 143401104.00
2021/08/23 7.13 7.30 7.07 7.20 15708441 115690752.00
2021/08/24 7.19 7.31 7.13 7.26 14719940 109027352.00
2021/08/25 7.26 7.47 7.23 7.36 17856511 134834048.00
2021/08/26 7.30 7.31 7.14 7.14 16202095 119360520.00
2021/08/27 7.13 7.20 7.09 7.10 11134996 81157408.00
2021/08/30 6.90 6.98 6.62 6.86 21546181 149664432.00
2021/08/31 6.86 6.89 6.68 6.72 12674728 87427736.00
2021/09/01 6.72 6.94 6.59 6.86 17222743 119848392.00
2021/09/02 6.83 6.91 6.76 6.86 11052706 77322936.00
2021/09/03 6.84 7.34 6.79 7.21 27519219 200199696.00
2021/09/06 7.20 7.61 7.09 7.34 28491551 214003696.00
2021/09/07 7.26 7.38 7.19 7.29 16579778 123360072.00
2021/09/08 7.27 7.35 7.19 7.31 17828943 132319712.00
2021/09/09 7.31 7.46 7.20 7.33 20842623 155855504.00
2021/09/10 7.30 7.49 7.26 7.38 18975262 142990560.00
2021/09/13 7.39 7.42 7.23 7.27 13193331 98470824.00
2021/09/14 7.27 7.47 7.22 7.26 18431645 137996960.00
2021/09/15 7.24 7.24 7.04 7.08 13646549 98818872.00
2021/09/16 7.11 7.38 7.05 7.21 21923661 162220080.00
2021/09/17 7.14 7.44 6.97 7.36 32355986 239853344.00
2021/09/22 7.27 7.34 7.05 7.14 16572828 121047008.00
2021/09/23 7.26 7.26 7.12 7.15 11148015 81768464.00
