600819 耀皮玻璃 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 5.48 5.86 5.38 5.82 13039716 76398904.00
2021/08/03 5.82 5.85 5.73 5.76 8652800 51675912.00
2021/08/04 5.73 5.95 5.73 5.95 9917900 59860152.00
2021/08/05 5.98 5.98 5.78 5.84 9288625 56001000.00
2021/08/06 5.84 6.01 5.84 5.89 10871800 66245704.00
2021/08/09 5.89 5.98 5.77 5.82 7378300 44388892.00
2021/08/10 5.82 6.18 5.80 6.06 12729981 79020776.00
2021/08/11 6.08 6.18 5.99 6.13 8893600 55097628.00
2021/08/12 6.14 6.15 6.03 6.04 6778917 41943588.00
2021/08/13 6.04 6.12 6.00 6.08 6504700 40125532.00
2021/08/16 6.08 6.21 5.90 5.92 8583290 52492252.00
2021/08/17 5.93 6.02 5.71 5.71 8250516 49157928.00
2021/08/18 5.71 5.91 5.71 5.79 6217500 36767120.00
2021/08/19 5.77 6.16 5.72 5.98 10920700 66047420.00
2021/08/20 5.92 6.20 5.80 6.13 13969300 86243408.00
2021/08/23 6.13 6.18 6.04 6.11 10013219 62115840.00
2021/08/24 6.11 6.44 6.08 6.33 17655057 112777672.00
2021/08/25 6.28 6.47 6.22 6.41 11887801 76766408.00
2021/08/26 6.41 6.54 6.35 6.42 12511322 81952912.00
2021/08/27 6.32 6.43 6.17 6.34 15118220 96759280.00
2021/08/30 6.36 6.62 6.32 6.53 15014275 99566608.00
2021/08/31 6.54 6.59 6.36 6.55 11503500 75667160.00
2021/09/01 6.54 6.86 6.31 6.42 19602284 130873912.00
2021/09/02 6.37 6.83 6.32 6.75 19754502 134661456.00
2021/09/03 6.69 7.04 6.60 6.69 20945800 144684112.00
2021/09/06 6.68 6.75 6.39 6.52 14752696 97854640.00
2021/09/07 6.50 6.69 6.42 6.64 12550981 83692296.00
2021/09/08 6.60 6.77 6.49 6.70 12804252 86508512.00
2021/09/09 6.62 6.68 6.51 6.59 10535435 70533920.00
2021/09/10 6.54 6.66 6.36 6.41 10561470 69503576.00
2021/09/13 6.39 6.47 6.24 6.45 8671500 56140468.00
2021/09/14 6.43 6.61 6.34 6.35 9930100 65329612.00
2021/09/15 6.34 6.61 6.30 6.60 8861006 58825996.00
2021/09/16 6.60 6.77 6.47 6.55 11558600 77642728.00
2021/09/17 6.49 6.56 6.10 6.19 11361158 72640520.00
2021/09/22 6.17 6.42 6.01 6.39 8164458 51744920.00
2021/09/23 6.51 6.87 6.47 6.85 17652422 121227504.00
2021/09/24 6.72 6.76 6.15 6.15 20400491 130921552.00
2021/09/27 6.18 6.18 5.67 5.79 13081483 78153008.00
2021/09/28 5.79 5.79 5.61 5.67 7601290 44113792.00
2021/09/29 5.63 5.66 5.41 5.42 8094720 45523856.00
2021/09/30 5.42 5.48 5.35 5.44 7634201 42104752.00
2021/10/08 5.47 5.65 5.45 5.50 6928766 39014744.00
2021/10/11 5.53 5.57 5.44 5.51 5965700 33549034.00
2021/10/12 5.51 5.51 5.20 5.28 7263484 39380096.00
2021/10/13 5.28 5.35 5.24 5.33 4667283 25278344.00
2021/10/14 5.35 5.52 5.28 5.45 6582700 36472480.00
2021/10/15 5.44 5.44 5.33 5.35 4222817 23171628.00
2021/10/18 5.36 5.48 5.29 5.46 6053848 33369046.00
2021/10/19 5.42 5.47 5.39 5.47 5052100 27996000.00
2021/10/20 5.47 5.51 5.38 5.46 4688600 26057902.00
2021/10/21 5.47 5.47 5.32 5.33 5556000 30546272.00
2021/10/22 5.29 5.36 5.19 5.20 5580800 29912084.00
2021/10/25 5.19 5.32 5.13 5.27 4377989 23424648.00
