600825 新华传媒 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 4.00 4.06 3.92 4.01 3829215 15460402.00
2021/08/03 4.01 4.25 4.00 4.14 10226606 42644792.00
2021/08/04 4.14 4.14 4.04 4.06 5004895 20556360.00
2021/08/05 4.05 4.11 4.03 4.05 2932595 11984060.00
2021/08/06 4.07 4.07 3.96 3.99 4307200 17334572.00
2021/08/09 3.99 4.06 3.96 4.05 3147770 12782448.00
2021/08/10 4.05 4.07 4.03 4.06 3003788 12274334.00
2021/08/11 4.08 4.08 4.03 4.06 3676299 14996201.00
2021/08/12 4.05 4.14 4.04 4.09 3137113 12930772.00
2021/08/13 4.10 4.10 4.01 4.03 2973400 12096329.00
2021/08/16 4.03 4.08 4.02 4.06 2784637 11377635.00
2021/08/17 4.06 4.07 3.98 3.98 3322168 13466444.00
2021/08/18 3.98 4.01 3.95 3.99 3833601 15365653.00
2021/08/19 3.99 4.01 3.97 3.99 3082700 12409358.00
2021/08/20 4.00 4.00 3.90 3.95 4302301 17101514.00
2021/08/23 3.96 4.01 3.95 3.96 5163100 20678274.00
2021/08/24 3.97 3.98 3.94 3.95 3872400 15414027.00
2021/08/25 3.95 4.01 3.94 3.97 4690254 18799754.00
2021/08/26 3.98 4.00 3.94 3.97 3993758 16000987.00
2021/08/27 3.97 3.99 3.94 3.95 3280820 13081445.00
2021/08/30 3.97 4.01 3.95 3.99 4443169 17832472.00
2021/08/31 4.01 4.35 4.01 4.26 21652845 91164112.00
2021/09/01 4.23 4.35 4.20 4.29 11446307 49235352.00
2021/09/02 4.30 4.35 4.22 4.30 9466158 40834208.00
2021/09/03 4.34 4.37 4.25 4.30 8626200 37303148.00
2021/09/06 4.28 4.31 4.24 4.26 7551320 32488374.00
2021/09/07 4.26 4.34 4.26 4.34 8017124 34747052.00
2021/09/08 4.31 4.49 4.31 4.48 15076457 67082216.00
2021/09/09 4.47 4.52 4.42 4.46 8136556 36535880.00
2021/09/10 4.45 4.49 4.40 4.42 7957201 35619264.00
2021/09/13 4.42 4.47 4.38 4.45 6344700 28280662.00
2021/09/14 4.45 4.48 4.25 4.30 9887740 43409104.00
2021/09/15 4.26 4.40 4.25 4.37 6074688 26672016.00
2021/09/16 4.37 4.43 4.25 4.25 6310212 27440782.00
2021/09/17 4.30 4.30 4.13 4.17 8194270 34517696.00
2021/09/22 4.15 4.19 4.10 4.17 4241991 17723692.00
2021/09/23 4.20 4.35 4.17 4.27 13387415 57275172.00
2021/09/24 4.27 4.31 4.15 4.17 10265600 43459196.00
2021/09/27 4.18 4.20 3.98 4.01 11637900 47620356.00
2021/09/28 4.01 4.05 3.97 4.01 7962958 32109744.00
2021/09/29 3.99 4.01 3.90 3.91 7910453 31369412.00
2021/09/30 3.91 4.01 3.90 3.99 7001839 27946306.00
2021/10/08 3.99 4.14 3.98 4.13 9727132 40124888.00
