600831 广电网络 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 5.30 5.37 5.23 5.35 4832500 25953104.00
2021/08/03 5.35 5.50 5.31 5.41 5920473 32389284.00
2021/08/04 5.42 5.42 5.35 5.37 5125941 27796566.00
2021/08/05 5.36 5.36 5.24 5.26 4927567 26250962.00
2021/08/06 5.27 5.28 5.14 5.19 6137886 32098252.00
2021/08/09 5.21 5.34 5.19 5.28 4976729 26541472.00
2021/08/10 5.26 5.45 5.26 5.45 7256503 38972416.00
2021/08/11 5.52 5.53 5.38 5.45 10244545 56425460.00
2021/08/12 5.43 5.46 5.40 5.41 5486502 30035798.00
2021/08/13 5.43 5.47 5.33 5.36 5982032 32605734.00
2021/08/16 5.36 5.43 5.36 5.38 4224247 22999060.00
2021/08/17 5.38 5.41 5.25 5.26 5648951 30327192.00
2021/08/18 5.24 5.31 5.22 5.30 3317830 17653356.00
2021/08/19 5.30 5.40 5.28 5.37 7084830 38367764.00
2021/08/20 5.39 5.39 5.26 5.32 6004344 32139570.00
2021/08/23 5.29 5.37 5.29 5.34 4615971 24880114.00
2021/08/24 5.33 5.37 5.32 5.36 3858159 20849208.00
2021/08/25 5.36 5.44 5.33 5.43 7635723 41695664.00
2021/08/26 5.40 5.47 5.39 5.42 5646011 30983762.00
2021/08/27 5.44 5.66 5.37 5.64 16260518 90610000.00
2021/08/30 5.82 5.99 5.62 5.64 24040124 139855728.00
2021/08/31 5.67 5.69 5.56 5.63 11765670 66798080.00
2021/09/01 5.66 5.69 5.59 5.62 11081348 63004612.00
2021/09/02 5.64 5.64 5.57 5.61 6899095 38951004.00
2021/09/03 5.62 5.81 5.58 5.76 14644095 84175832.00
2021/09/06 5.72 5.83 5.68 5.81 11009140 63870356.00
2021/09/07 5.76 5.93 5.74 5.77 13173992 77072512.00
2021/09/08 5.78 5.93 5.76 5.91 19347460 114576368.00
2021/09/09 5.96 5.96 5.78 5.84 12268785 72325424.00
2021/09/10 5.82 5.90 5.76 5.76 10488710 61478100.00
2021/09/13 5.74 5.82 5.70 5.78 8899899 51767700.00
2021/09/14 5.80 5.80 5.62 5.64 9071600 52166896.00
2021/09/15 5.64 5.73 5.61 5.72 6096008 34940992.00
2021/09/16 5.72 5.75 5.60 5.60 6761428 38603652.00
2021/09/17 5.61 5.63 5.46 5.53 7101987 39729524.00
2021/09/22 5.48 5.54 5.45 5.53 4250070 23564476.00
2021/09/23 5.54 5.63 5.54 5.62 5408037 30569504.00
2021/09/24 5.62 5.64 5.53 5.53 4364201 24544802.00
2021/09/27 5.53 5.56 5.32 5.37 6772300 36886312.00
2021/09/28 5.37 5.38 5.33 5.35 3087774 16679654.00
2021/09/29 5.35 5.36 5.25 5.26 4963877 26550932.00
2021/09/30 5.32 5.32 5.27 5.28 3157616 16905446.00
2021/10/08 5.31 5.41 5.31 5.41 3723900 20210220.00
2021/10/11 5.48 5.49 5.38 5.39 3892935 21259092.00
2021/10/12 5.38 5.42 5.30 5.32 3415400 18389948.00
2021/10/13 5.31 5.37 5.31 5.33 2352436 12670426.00
2021/10/14 5.37 5.38 5.31 5.36 2241200 12098590.00
2021/10/15 5.37 5.38 5.28 5.28 2779100 14892863.00
2021/10/18 5.26 5.32 5.24 5.29 2553118 13576554.00
2021/10/19 5.29 5.31 5.26 5.30 2183601 11669134.00
2021/10/20 5.31 5.32 5.25 5.26 2111701 11251452.00
2021/10/21 5.26 5.28 5.22 5.22 2576100 13631414.00
2021/10/22 5.21 5.24 5.18 5.18 2925123 15388359.00
2021/10/25 5.19 5.19 5.13 5.18 2843093 14789891.00
2021/10/26 5.18 5.22 5.16 5.19 2055800 10768657.00
2021/10/27 5.20 5.21 5.09 5.10 3120925 16123320.00
2021/10/28 5.10 5.12 5.00 5.02 2851646 14527207.00
2021/10/29 5.03 5.15 5.01 5.13 3522731 18100986.00
2021/11/01 5.13 5.18 5.08 5.13 2282816 11829366.00
2021/11/02 5.13 5.16 5.00 5.03 3527800 18048300.00
2021/11/03 5.03 5.10 5.03 5.09 1995002 10225130.00
2021/11/04 5.09 5.12 5.05 5.12 2047994 10527197.00
2021/11/05 5.11 5.23 5.09 5.19 5195885 27185840.00
2021/11/08 5.20 5.20 5.14 5.17 3236250 16888796.00
