601939 建设银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2007/09/25 2.95 3.42 2.84 2.93 2736229632 23766599680.00
2007/09/26 3.01 3.16 2.91 2.96 482580800 4164199680.00
2007/09/27 3.04 3.65 3.03 3.65 645804992 5787534336.00
2007/09/28 3.79 3.84 3.56 3.70 514626016 4799733248.00
2007/10/08 3.89 4.30 3.65 4.14 535205664 5188771840.00
2007/10/09 4.07 4.42 3.85 4.17 320626400 3179614720.00
2007/10/10 4.19 4.46 4.12 4.26 314792864 3152836096.00
2007/10/11 4.31 4.55 4.13 4.53 320170784 3214321920.00
2007/10/12 4.58 4.58 3.91 4.36 325928032 3242246912.00
2007/10/15 4.29 4.35 4.02 4.26 294362432 2897081600.00
2007/10/16 4.26 4.80 4.26 4.43 353672928 3626902272.00
2007/10/17 4.31 4.37 4.13 4.22 188688304 1869329536.00
2007/10/18 4.20 4.21 3.87 3.92 198657728 1916542336.00
2007/10/19 3.97 4.12 3.84 3.93 100265152 965433408.00
2007/10/22 3.79 3.91 3.64 3.67 117968512 1108344832.00
2007/10/23 3.67 4.00 3.61 3.99 145878064 1379063808.00
2007/10/24 4.05 4.27 3.96 3.98 179478240 1763478400.00
2007/10/25 3.94 4.21 3.72 4.05 202285520 1956783104.00
2007/10/26 4.03 4.29 3.97 4.26 240664464 2375801600.00
2007/10/29 4.45 4.87 4.37 4.65 285771776 2969062400.00
2007/10/30 4.77 5.17 4.57 5.11 262621712 2810330624.00
2007/10/31 5.24 5.30 5.05 5.21 286857376 3133229312.00
2007/11/01 5.20 5.74 5.08 5.54 261103680 2945068544.00
2007/11/02 5.33 5.78 5.21 5.46 235687776 2660084736.00
2007/11/05 5.46 5.48 4.96 5.05 252113264 2759240192.00
2007/11/06 4.94 5.15 4.77 4.90 174154176 1852160128.00
2007/11/07 5.04 5.21 4.91 5.19 117171592 1267589632.00
2007/11/08 5.05 5.33 4.97 5.03 144041888 1568253952.00
2007/11/09 4.95 5.22 4.75 5.08 132626360 1425283840.00
2007/11/12 4.87 5.18 4.68 5.06 192792976 2059720320.00
2007/11/13 5.17 5.24 4.76 4.83 146032384 1564541696.00
2007/11/14 4.96 5.14 4.79 5.12 132522520 1422182272.00
2007/11/15 5.11 5.41 4.98 5.25 192848208 2119130112.00
2007/11/16 5.13 5.32 4.94 5.06 129099016 1400573696.00
2007/11/19 5.09 5.10 4.85 4.96 90116200 962283712.00
2007/11/20 4.84 5.10 4.69 4.96 112817048 1197375872.00
2007/11/21 4.97 5.05 4.74 4.76 87871592 930651136.00
2007/11/22 4.59 4.76 4.31 4.40 137517200 1400023808.00
2007/11/23 4.31 4.50 4.21 4.49 77685008 782424384.00
2007/11/26 4.63 4.67 4.34 4.36 82625344 844084672.00
2007/11/27 4.29 4.49 4.22 4.33 59005784 594716544.00
2007/11/28 4.37 4.45 4.12 4.19 94897496 938994176.00
2007/11/29 4.30 4.68 4.16 4.66 159749024 1626850304.00
2007/11/30 4.63 4.76 4.43 4.49 99059120 1016549376.00
2007/12/03 4.45 4.68 4.31 4.59 81469880 833998080.00
2007/12/04 4.59 4.71 4.53 4.60 70579832 729029312.00
2007/12/05 4.55 4.80 4.48 4.78 114148768 1187052416.00
2007/12/06 4.82 4.83 4.60 4.64 64846764 675579840.00
2007/12/07 4.68 4.71 4.57 4.70 87245360 903129152.00
2007/12/10 4.49 4.67 4.45 4.66 138609008 1424175360.00
2007/12/11 4.68 4.68 4.36 4.48 156061632 1589147136.00
2007/12/12 4.48 4.48 4.23 4.31 156557008 1564805376.00
2007/12/13 4.24 4.31 4.12 4.15 150303488 1487309952.00
2007/12/14 4.10 4.14 4.01 4.14 120609352 1177674240.00
2007/12/17 4.17 4.20 3.75 3.77 159509664 1521813760.00
2007/12/18 3.76 3.98 3.67 3.86 66972208 635018944.00
2007/12/19 3.95 4.08 3.86 4.06 61727784 597096832.00
2007/12/20 4.07 4.16 3.95 4.10 77830464 760164672.00
2007/12/21 4.03 4.29 3.99 4.13 120357720 1179408512.00
2007/12/24 4.17 4.31 4.08 4.26 142906816 1412753664.00
2007/12/25 4.26 4.26 3.99 4.06 367322048 3580983552.00
2007/12/26 4.06 4.13 3.80 3.94 289434848 2782720512.00
2007/12/27 3.98 4.19 3.84 4.19 296453216 2884578304.00
2007/12/28 4.22 4.34 4.12 4.17 270517184 2683427584.00
2008/01/02 4.21 4.23 4.03 4.12 149210720 1461973760.00
2008/01/03 4.10 4.10 3.84 4.05 252961120 2430770688.00
2008/01/04 4.02 4.10 3.91 4.05 178865360 1736366976.00
2008/01/07 4.05 4.05 3.91 4.01 245762832 2374526464.00
2008/01/08 4.05 4.26 4.04 4.15 283283360 2795917824.00
2008/01/09 4.18 4.24 4.10 4.19 164095376 1617402368.00
2008/01/10 4.26 4.33 4.15 4.22 204612576 2031354624.00
2008/01/11 4.24 4.45 4.24 4.39 253838944 2551489024.00
2008/01/14 4.46 4.50 4.31 4.34 181715312 1829365632.00
2008/01/15 4.35 4.39 4.12 4.16 215817456 2136415616.00
2008/01/16 4.09 4.09 3.89 3.94 286514304 2759646720.00
2008/01/17 3.87 3.98 3.52 3.70 266240800 2503397632.00
2008/01/18 3.80 3.85 3.65 3.76 122616264 1152644736.00
2008/01/21 3.77 3.79 3.37 3.39 198714544 1815305728.00
2008/01/22 3.26 3.28 2.55 2.70 264191824 2237720832.00
2008/01/23 2.75 3.00 2.61 2.91 180131344 1516833408.00
2008/01/24 3.05 3.08 2.62 2.76 203885552 1709944192.00
2008/01/25 2.76 3.10 2.59 3.02 193255248 1633286144.00
2008/01/28 2.93 2.93 2.44 2.47 137856512 1128035968.00
2008/01/29 2.50 2.63 2.25 2.49 98674744 790773312.00
2008/01/30 2.57 2.65 2.23 2.33 173710160 1385241088.00
2008/01/31 2.34 2.48 2.27 2.35 73820696 587150976.00
2008/02/01 2.40 2.60 2.29 2.53 120801304 966872512.00
2008/02/04 2.67 3.09 2.66 3.07 182104160 1548538496.00
2008/02/05 3.00 3.02 2.81 2.90 81179176 689694592.00
2008/02/13 2.72 2.91 2.67 2.72 63755408 531749504.00
2008/02/14 2.80 2.86 2.64 2.74 62875404 522252736.00
2008/02/15 2.68 2.69 2.44 2.61 77249456 627232768.00
2008/02/18 2.67 2.70 2.59 2.62 88969968 729381952.00
2008/02/19 2.67 2.78 2.53 2.77 101004264 829751808.00
2008/02/20 2.73 2.77 2.44 2.53 174199920 1414994944.00
2008/02/21 2.50 2.50 2.33 2.40 123273416 980455680.00
2008/02/22 2.38 2.38 2.13 2.22 179933216 1400200704.00
2008/02/25 2.22 2.28 1.95 2.02 114147128 864800576.00
2008/02/26 2.16 2.27 1.97 2.16 92439232 711220672.00
2008/02/27 2.20 2.46 2.18 2.39 104221456 827541120.00
2008/02/28 2.43 2.43 2.20 2.31 54416040 427305536.00
2008/02/29 2.30 2.42 2.27 2.35 42238028 334042880.00
2008/03/03 2.30 2.51 2.24 2.43 79749616 635442048.00
2008/03/04 2.44 2.44 2.24 2.25 93838864 738918720.00
2008/03/05 2.25 2.29 2.07 2.19 68567560 528714272.00
2008/03/06 2.20 2.43 2.10 2.34 80167992 627893440.00
2008/03/07 2.25 2.30 2.13 2.21 43147004 334741568.00
2008/03/10 2.16 2.16 2.00 2.04 72890176 553422208.00
2008/03/11 1.97 2.05 1.88 1.99 62908480 471158944.00
2008/03/12 2.15 2.19 1.84 1.85 75195840 560960832.00
2008/03/13 1.76 1.76 1.51 1.70 95769744 684972032.00
2008/03/14 1.68 1.75 1.56 1.67 45432596 324046912.00
2008/03/17 1.67 1.71 1.51 1.57 54060576 382177984.00
2008/03/18 1.55 1.70 1.36 1.42 88254488 617856576.00
2008/03/19 1.52 1.69 1.47 1.60 61588852 436765184.00
2008/03/20 1.51 1.73 1.33 1.67 96186736 677334784.00
2008/03/21 1.64 1.73 1.56 1.60 54049552 385520992.00
2008/03/24 1.62 1.71 1.39 1.41 64543512 451241280.00
2008/03/25 1.36 1.50 1.28 1.46 71984024 492987168.00
2008/03/26 1.55 1.62 1.42 1.46 47643260 334895392.00
2008/03/27 1.36 1.37 1.00 1.10 126111320 840015744.00
2008/03/28 1.04 1.57 1.02 1.48 136738720 932543872.00
2008/03/31 1.27 1.52 1.22 1.33 63756860 437095936.00
2008/04/01 1.36 1.54 1.28 1.39 99102336 685501120.00
2008/04/02 1.57 1.84 1.49 1.69 258530896 1866466688.00
2008/04/03 1.59 1.84 1.51 1.83 97999832 709022208.00
2008/04/07 1.83 1.97 1.70 1.91 122507768 906288960.00
2008/04/08 1.92 2.01 1.84 1.91 107046960 797230272.00
2008/04/09 1.86 1.91 1.57 1.58 81891792 593584128.00
2008/04/10 1.57 1.73 1.49 1.71 59789568 426135040.00
2008/04/11 1.74 1.85 1.70 1.82 47915304 349940928.00
2008/04/14 1.67 1.73 1.41 1.43 81841776 578376128.00
2008/04/15 1.41 1.54 1.22 1.53 49729776 342345856.00
2008/04/16 1.54 1.57 1.40 1.43 24211504 168969408.00
2008/04/17 1.42 1.65 1.29 1.37 36914492 255171264.00
2008/04/18 1.34 1.40 1.11 1.13 60685348 406472224.00
2008/04/21 1.58 1.60 1.13 1.27 85283528 582593408.00
2008/04/22 1.21 1.55 1.11 1.53 83122640 567506432.00
2008/04/23 1.44 1.94 1.43 1.81 213286752 1557028352.00
2008/04/24 2.33 2.49 2.11 2.48 430375584 3406669824.00
2008/04/25 2.36 2.51 2.26 2.28 155206544 1230957184.00
