603323 苏农银行 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 3.40 3.57 3.36 3.53 24027463 111143056.00
2021/08/03 3.51 3.54 3.47 3.48 11794521 54744680.00
2021/08/04 3.49 3.49 3.44 3.46 10038142 46116212.00
2021/08/05 3.46 3.57 3.45 3.54 17206472 80383976.00
2021/08/06 3.53 3.58 3.50 3.58 14827170 69670648.00
2021/08/09 3.57 3.63 3.56 3.57 19221925 91143016.00
2021/08/10 3.56 3.62 3.51 3.60 15316881 72217136.00
2021/08/11 3.59 3.74 3.58 3.70 31218520 151388768.00
2021/08/12 3.68 3.75 3.66 3.70 12991042 63124244.00
2021/08/13 3.70 3.73 3.63 3.69 13599018 65628468.00
2021/08/16 3.69 3.82 3.65 3.79 26163007 128985536.00
2021/08/17 3.78 3.81 3.68 3.71 15116555 74120176.00
2021/08/18 3.69 3.81 3.68 3.81 18280459 89990544.00
2021/08/19 3.78 3.79 3.71 3.76 13363290 65543668.00
2021/08/20 3.78 3.81 3.73 3.76 14876788 73408208.00
2021/08/23 3.76 3.88 3.76 3.86 28972902 145284544.00
2021/08/24 3.85 3.90 3.81 3.82 18648306 93508392.00
2021/08/25 3.82 3.85 3.77 3.82 10637044 52962492.00
2021/08/26 3.82 3.82 3.70 3.74 15777223 77530400.00
2021/08/27 3.73 3.75 3.69 3.70 9311047 45431300.00
2021/08/30 3.71 3.73 3.60 3.63 18786592 90081448.00
2021/08/31 3.62 3.68 3.60 3.67 12260639 58859728.00
2021/09/01 3.67 3.78 3.65 3.75 18193269 88808520.00
2021/09/02 3.76 3.80 3.72 3.80 14511922 71647240.00
2021/09/03 3.80 3.85 3.74 3.78 12299449 61062556.00
2021/09/06 3.80 3.87 3.79 3.86 19523411 98239656.00
2021/09/07 3.89 4.01 3.85 4.00 33094579 169400944.00
2021/09/08 3.98 4.02 3.93 3.96 19508740 100610296.00
2021/09/09 3.92 3.98 3.91 3.96 13712952 70451136.00
2021/09/10 3.96 4.11 3.95 4.06 31300220 163793120.00
2021/09/13 4.04 4.14 3.95 4.13 32021709 167861152.00
2021/09/14 4.12 4.15 3.98 4.03 34264308 179820768.00
2021/09/15 4.03 4.19 4.00 4.16 34199404 182858032.00
2021/09/16 4.17 4.22 4.07 4.14 26816096 143163200.00
2021/09/17 4.11 4.16 3.96 4.04 24738171 129778448.00
2021/09/22 3.92 4.11 3.85 4.05 27105393 139640880.00
2021/09/23 4.05 4.29 4.04 4.18 21816657 117423312.00
2021/09/24 4.21 4.21 3.96 3.99 21691962 113245104.00
2021/09/27 3.98 3.98 3.87 3.93 15206020 77674760.00
2021/09/28 3.93 4.17 3.89 4.15 39348593 208204832.00
2021/09/29 4.14 4.15 4.02 4.05 22075438 116279672.00
2021/09/30 4.03 4.06 3.94 4.01 14748662 76482064.00
2021/10/08 4.01 4.12 3.99 4.09 16302965 85679792.00
2021/10/11 4.07 4.24 4.06 4.20 25961829 139619136.00
2021/10/12 4.16 4.18 4.06 4.16 21052329 112183264.00
2021/10/13 4.14 4.16 3.98 4.02 18406173 96489840.00
2021/10/14 4.04 4.14 4.01 4.01 13537036 71407056.00
2021/10/15 4.01 4.07 3.91 3.92 18519379 95596720.00
2021/10/18 3.92 3.98 3.90 3.98 12881756 66107968.00
2021/10/19 3.97 4.21 3.96 4.12 25423260 134890752.00
2021/10/20 4.14 4.16 4.06 4.16 17316065 92133792.00
2021/10/21 4.16 4.26 4.16 4.18 22606186 122489800.00
2021/10/22 4.23 4.37 4.21 4.24 40620179 223826048.00
2021/10/25 4.19 4.29 4.09 4.28 23072308 125458160.00
2021/10/26 4.27 4.42 4.21 4.38 31370193 174683792.00
2021/10/27 4.35 4.42 4.31 4.39 21250765 118779472.00
2021/10/28 4.40 4.41 4.29 4.32 20489621 114015968.00
2021/10/29 4.34 4.35 4.23 4.26 16785078 92176200.00
2021/11/01 4.26 4.33 4.13 4.20 20800837 112920096.00
2021/11/02 4.16 4.24 3.96 4.03 43995528 232130032.00
2021/11/03 4.03 4.09 3.98 4.01 12741636 66408984.00
2021/11/04 4.02 4.05 3.96 4.04 16405922 85147168.00
2021/11/05 4.03 4.03 3.66 3.66 50817303 250215216.00
2021/11/08 3.69 3.83 3.63 3.78 29430510 144650176.00
2021/11/09 3.80 3.82 3.69 3.71 13634720 66684308.00
2021/11/10 3.69 3.73 3.63 3.72 12690022 61295720.00
2021/11/11 3.69 3.88 3.68 3.86 24113825 119453768.00
2021/11/12 3.85 3.86 3.73 3.81 16557776 82211520.00
2021/11/15 3.81 3.83 3.75 3.81 13610335 67412336.00
2021/11/16 3.76 3.79 3.69 3.69 11513045 56447144.00
2021/11/17 3.70 3.71 3.67 3.68 8430476 40854496.00
2021/11/18 3.69 3.73 3.63 3.63 13593399 65613280.00
2021/11/19 3.63 3.74 3.62 3.70 12303322 59432240.00
2021/11/22 3.71 3.72 3.66 3.68 7456281 36085100.00
2021/11/23 3.68 3.70 3.66 3.68 9128641 44110936.00
2021/11/24 3.68 3.70 3.66 3.67 7848400 37896848.00
2021/11/25 3.68 3.68 3.65 3.65 5403779 26039234.00
2021/11/26 3.66 3.66 3.60 3.62 6963789 33196304.00
2021/11/29 3.58 3.64 3.57 3.63 13428162 63748348.00
2021/11/30 3.63 3.66 3.61 3.65 7599238 36442848.00
2021/12/01 3.65 3.69 3.63 3.68 8000034 38551404.00
2021/12/02 3.68 3.70 3.65 3.69 8727792 42220148.00
2021/12/03 3.70 3.71 3.66 3.68 8596171 41622748.00
2021/12/06 3.70 3.76 3.67 3.74 15285730 74685592.00
2021/12/07 3.76 3.77 3.70 3.76 12525585 61478768.00
