603337 杰克科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 22.52 24.18 22.39 23.16 3987008 100894536.00
2021/08/03 24.06 24.06 22.76 23.06 2922980 73763096.00
2021/08/04 22.76 23.79 22.34 23.23 4590451 114825528.00
2021/08/05 23.77 24.11 22.48 23.73 3744994 94380328.00
2021/08/06 23.63 23.68 22.98 23.22 1911841 48175220.00
2021/08/09 22.90 24.84 22.90 24.60 3058151 79761056.00
2021/08/10 24.55 24.55 23.48 24.12 3744516 96829608.00
2021/08/11 24.12 25.38 23.91 24.46 3469068 92534744.00
2021/08/12 24.46 24.60 23.81 24.05 2333244 60751856.00
2021/08/13 23.80 24.42 23.76 24.14 1959658 51117348.00
2021/08/16 23.96 24.17 22.88 23.98 3350842 85424456.00
2021/08/17 23.94 24.42 23.01 23.06 2531040 64844376.00
2021/08/18 23.18 23.58 22.84 23.45 1463393 36771844.00
2021/08/19 23.41 23.89 22.88 23.56 1526930 38624592.00
2021/08/20 23.99 24.74 21.79 24.32 7528813 189862240.00
2021/08/23 24.27 24.27 22.15 22.92 7457522 184233888.00
2021/08/24 22.97 23.28 22.08 22.27 5357887 130845752.00
2021/08/25 22.18 22.26 21.49 21.50 4266877 101190896.00
2021/08/26 21.66 21.66 20.69 20.76 3737302 85631072.00
2021/08/27 20.67 20.95 20.21 20.65 3184755 71710800.00
2021/08/30 20.75 21.05 20.40 20.46 2346701 53178732.00
2021/08/31 20.45 20.52 19.83 20.01 2191387 48176164.00
2021/09/01 20.15 20.30 19.58 20.08 2569230 56245712.00
2021/09/02 20.27 21.31 19.57 20.98 3934640 88238688.00
2021/09/03 20.67 20.82 20.10 20.12 2740283 61132572.00
2021/09/06 20.12 20.55 19.94 20.25 2524240 56045220.00
2021/09/07 20.46 20.46 19.86 20.09 2224900 48913356.00
2021/09/08 20.16 20.61 20.13 20.54 2803545 62736876.00
2021/09/09 20.45 20.66 20.08 20.17 2292739 50971392.00
2021/09/10 20.07 20.31 20.07 20.24 1224517 27102938.00
2021/09/13 20.25 20.62 19.98 20.52 2346956 52356204.00
2021/09/14 20.56 21.27 20.44 20.87 2979589 67931360.00
2021/09/15 20.86 21.28 20.60 20.93 1956399 44809220.00
2021/09/16 20.94 21.05 20.29 20.66 1945054 44026708.00
2021/09/17 20.57 20.72 20.19 20.51 1160270 25948268.00
2021/09/22 20.33 20.33 19.21 19.26 2786411 59925640.00
2021/09/23 19.27 19.79 19.23 19.29 2544533 54545504.00
2021/09/24 19.24 20.05 18.93 19.59 2337936 50286288.00
2021/09/27 19.60 19.94 19.18 19.27 1593523 34065912.00
2021/09/28 19.20 19.36 18.85 18.95 1365331 28603480.00
2021/09/29 18.95 18.95 18.18 18.24 1240773 25224652.00
2021/09/30 18.24 19.84 18.24 19.56 1942322 41028428.00
2021/10/08 19.96 20.14 19.41 19.89 1438768 31192324.00
2021/10/11 19.88 19.90 19.08 19.21 1852287 39582264.00
2021/10/12 19.11 19.55 18.89 19.02 908936 19170288.00
2021/10/13 19.25 19.25 18.82 19.02 729060 15284232.00
2021/10/14 19.15 19.46 18.87 19.25 765723 16232993.00
2021/10/15 19.16 20.23 19.16 20.04 1929522 42121340.00
2021/10/18 20.01 20.04 19.47 19.75 818220 17700578.00
2021/10/19 19.72 19.99 19.67 19.86 618925 13464212.00
2021/10/20 19.77 20.21 19.59 20.18 1011151 22239324.00
2021/10/21 20.62 21.00 20.27 20.51 1853750 41746616.00
2021/10/22 20.51 20.78 20.08 20.39 1274037 28368494.00
2021/10/25 20.06 21.35 19.97 20.80 1671618 38138288.00
2021/10/26 20.98 20.98 20.20 20.32 1465464 32813918.00
2021/10/27 20.26 21.04 20.26 20.79 1721077 39161628.00
2021/10/28 20.79 20.79 20.06 20.25 1785078 39638720.00
2021/10/29 19.82 19.87 18.03 18.25 5027505 102895096.00
2021/11/01 18.16 18.16 17.48 18.03 3596486 70591512.00
2021/11/02 17.76 19.36 17.73 18.79 3861670 80170216.00
2021/11/03 18.92 20.72 18.42 20.21 3773295 82575456.00
2021/11/04 20.21 20.64 19.65 20.31 2363928 52521424.00
2021/11/05 20.31 21.29 20.31 20.49 1568660 35574900.00
2021/11/08 20.49 20.56 19.98 20.14 1048447 23137536.00
2021/11/09 19.96 20.50 19.96 20.31 938620 20826718.00
2021/11/10 20.28 20.48 19.93 20.44 1496100 33108132.00
2021/11/11 20.46 21.61 20.28 21.35 2707948 62773804.00
2021/11/12 21.50 21.71 20.96 21.51 1382900 32181058.00
2021/11/15 21.51 22.63 21.41 22.32 2886892 69769152.00
2021/11/16 22.38 24.56 22.38 24.03 6720230 172095696.00
2021/11/17 23.94 24.37 23.01 24.03 4924972 125818720.00
2021/11/18 24.06 25.11 23.68 24.58 4957747 132216608.00
2021/11/19 24.94 25.80 24.14 25.31 4311239 116708544.00
2021/11/22 25.06 25.50 24.06 24.41 3261251 86421424.00
2021/11/23 24.12 25.18 23.99 24.86 3029855 81227936.00
2021/11/24 24.38 25.28 24.31 24.64 2105196 55966660.00
2021/11/25 24.46 24.64 24.07 24.26 1817614 47647376.00
2021/11/26 24.43 24.46 23.52 23.99 1946954 50221736.00
2021/11/29 23.60 23.63 22.96 23.31 2410260 60589748.00
2021/11/30 23.72 24.61 23.56 24.26 2714472 70768616.00
2021/12/01 24.29 26.88 24.02 26.88 3110261 87218128.00
2021/12/02 27.26 27.68 25.68 26.63 4240956 122076248.00
2021/12/03 26.44 26.97 25.56 26.24 2783247 78703056.00
2021/12/06 25.88 26.26 24.37 24.56 3027634 81480520.00
2021/12/07 24.21 24.52 23.31 23.42 3918454 100651760.00
2021/12/08 23.47 24.03 23.00 23.27 1356306 34293200.00
2021/12/09 23.32 23.72 22.88 23.25 1423663 35922952.00
2021/12/10 23.27 23.74 22.70 23.43 1937284 48754144.00
2021/12/13 23.43 23.71 23.11 23.46 1645979 41712064.00
2021/12/14 23.47 24.14 23.28 23.45 1054202 26864612.00
2021/12/15 23.38 23.54 22.33 22.59 2632419 64989040.00
2021/12/16 22.56 23.12 22.52 22.79 780146 19339464.00
2021/12/17 22.34 22.95 21.94 21.94 2024257 48937848.00
2021/12/20 21.92 22.18 21.67 22.00 967100 23096044.00
2021/12/21 22.06 23.14 22.06 22.81 1413510 34991644.00
2021/12/22 22.81 22.81 21.98 22.21 2141002 51715808.00
2021/12/23 22.24 22.33 21.84 22.22 1048763 25196900.00
2021/12/24 22.21 22.54 21.55 21.58 1134846 27142224.00
2021/12/27 21.46 21.91 21.24 21.62 988200 23221176.00
2021/12/28 21.38 22.22 21.38 21.67 1194801 28285112.00
2021/12/29 21.82 21.82 21.17 21.19 1506929 35015532.00
2021/12/30 21.15 21.62 20.76 21.02 2628149 60357192.00
2021/12/31 21.05 21.64 20.88 21.51 1553811 36276336.00
2022/01/04 21.51 21.76 20.86 20.92 2347300 54037556.00
2022/01/05 21.06 22.21 20.81 21.80 3911721 92393264.00
2022/01/06 21.62 22.18 21.53 21.61 1526200 36251564.00
2022/01/07 21.53 22.70 21.36 22.35 3775512 90760512.00
2022/01/10 22.39 24.00 22.39 23.79 5100425 129231768.00
2022/01/11 23.79 23.81 22.94 23.19 2943934 74283440.00
2022/01/12 23.06 23.54 22.78 23.04 1727407 43227632.00
2022/01/13 23.01 23.07 20.54 21.83 2174488 52489488.00
2022/01/14 21.68 22.62 21.51 22.43 1776231 43072116.00
2022/01/17 21.84 23.21 21.84 23.12 1323153 32731376.00
2022/01/18 23.09 23.09 22.16 22.78 1378279 33786008.00
2022/01/19 22.64 22.86 22.07 22.67 1317337 32158952.00
2022/01/20 22.67 22.72 22.01 22.33 777100 18822376.00
2022/01/21 24.66 24.76 23.66 24.76 11976489 316900288.00
2022/01/24 24.94 27.43 24.59 25.59 7327339 204199520.00
2022/01/25 25.59 26.79 24.38 25.07 4676312 127168712.00
2022/01/26 24.47 25.58 24.16 24.66 4106610 109756808.00
2022/01/27 24.63 27.32 24.63 26.84 10514342 301984256.00
2022/01/28 25.74 27.06 24.66 27.01 7267863 203376480.00
2022/02/07 27.35 27.51 25.93 26.84 4379991 125717768.00
2022/02/08 26.84 27.26 26.18 26.82 4341602 124673560.00
2022/02/09 26.52 27.26 26.41 27.15 2616948 75395584.00
