603486 科沃斯 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 172.26 175.84 155.81 166.06 7758644 1287137664.00
2021/08/03 159.69 171.20 159.69 169.75 5506225 939109632.00
2021/08/04 172.75 178.73 170.27 174.56 3668839 649113280.00
2021/08/05 173.52 182.25 170.25 179.25 4044616 730659648.00
2021/08/06 179.61 180.25 168.31 171.73 3961777 696867136.00
2021/08/09 170.96 189.18 170.15 187.22 4339967 808110208.00
2021/08/10 183.01 189.69 176.26 186.32 4501270 832712256.00
2021/08/11 183.24 196.43 180.26 193.14 3415485 661026112.00
2021/08/12 192.25 193.71 185.45 185.95 2552403 488468928.00
2021/08/13 186.00 189.73 176.90 183.41 3007576 553548224.00
2021/08/16 179.71 192.25 179.71 187.14 2509157 477664320.00
2021/08/17 186.51 186.94 176.25 178.25 2581747 472953088.00
2021/08/18 178.25 182.25 176.26 180.25 1663279 303057376.00
2021/08/19 180.59 186.98 172.57 175.13 2606907 468356896.00
2021/08/20 175.13 178.24 166.05 170.22 3013247 522957760.00
2021/08/23 172.36 173.64 167.15 169.65 3418998 589055104.00
2021/08/24 172.65 178.65 169.13 175.40 2241930 397889632.00
2021/08/25 175.40 177.81 167.62 176.30 2891152 507228000.00
2021/08/26 175.30 176.85 164.71 166.25 4037199 690970304.00
2021/08/27 168.21 177.23 167.38 173.17 3443254 605436032.00
2021/08/30 167.25 167.25 155.58 155.58 2881130 462459552.00
2021/08/31 145.95 148.84 139.80 143.94 13591068 1986585472.00
2021/09/01 146.57 152.25 138.25 149.41 7878858 1174786816.00
2021/09/02 147.26 155.84 146.30 149.17 4562099 702873920.00
2021/09/03 148.75 150.34 139.25 148.20 4240952 629867264.00
2021/09/06 150.25 155.91 146.86 155.65 3811780 597911936.00
2021/09/07 156.25 163.80 151.80 161.91 3923573 639943616.00
2021/09/08 162.25 162.60 150.42 151.12 4689030 730503360.00
2021/09/09 151.14 153.46 148.75 151.74 3570334 548502272.00
2021/09/10 150.87 153.25 145.78 148.03 3590179 539723392.00
2021/09/13 151.04 151.13 144.76 144.96 2713263 405249760.00
2021/09/14 147.72 150.86 145.05 146.95 3324268 503733760.00
2021/09/15 142.89 148.25 139.76 141.80 4105539 596989248.00
2021/09/16 144.73 156.26 143.36 154.94 7428580 1169638784.00
2021/09/17 149.25 152.25 142.45 150.25 6273128 938881152.00
2021/09/22 149.85 149.85 140.15 143.68 3177372 464296576.00
2021/09/23 144.56 149.91 141.13 147.55 3890675 582004288.00
2021/09/24 145.03 159.94 145.03 156.97 4805575 762224704.00
2021/09/27 153.25 164.46 153.25 158.20 6441574 1048094144.00
2021/09/28 155.80 162.24 151.75 152.78 3615920 574117248.00
2021/09/29 153.06 156.25 146.55 153.00 3702824 573066176.00
2021/09/30 153.63 153.72 146.77 149.15 3497179 532539616.00
2021/10/08 152.24 152.75 146.34 149.13 2795827 425575456.00
2021/10/11 147.22 150.62 143.25 145.05 3004378 448403168.00
2021/10/12 145.25 148.25 140.75 142.75 2876007 422344320.00
2021/10/13 142.74 148.61 139.26 147.19 2381454 350187968.00
