603848 好太太 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 11.60 11.99 11.41 11.95 4152343 52667312.00
2021/08/03 11.95 12.00 11.68 11.82 1425083 18275748.00
2021/08/04 11.82 11.92 11.64 11.77 1032800 13090215.00
2021/08/05 11.71 11.95 11.38 11.44 1619900 20300184.00
2021/08/06 11.45 11.45 11.10 11.17 1263600 15391154.00
2021/08/09 11.15 11.47 11.10 11.46 845300 10369385.00
2021/08/10 11.33 11.78 11.30 11.74 1274000 16033049.00
2021/08/11 11.74 11.96 11.66 11.76 1435544 18293056.00
2021/08/12 11.81 12.00 11.72 11.83 1319600 16905300.00
2021/08/13 11.83 11.95 11.70 11.75 764300 9747360.00
2021/08/16 11.75 11.82 11.61 11.75 912100 11560344.00
2021/08/17 11.74 11.82 11.32 11.34 939800 11774085.00
2021/08/18 11.30 11.93 11.30 11.88 1674800 21112458.00
2021/08/19 11.95 12.06 11.69 11.94 1073883 13735638.00
2021/08/20 12.01 12.21 11.77 12.00 2157801 27872492.00
2021/08/23 12.15 12.85 12.13 12.82 3888445 52821324.00
2021/08/24 12.82 13.12 12.37 12.48 2562657 34701316.00
2021/08/25 12.48 12.83 12.40 12.46 1847457 25032118.00
2021/08/26 12.43 12.85 12.29 12.60 1924434 26042806.00
2021/08/27 12.43 12.54 12.20 12.32 1681800 22287464.00
2021/08/30 12.41 12.41 12.12 12.23 1219957 16089586.00
2021/08/31 12.05 12.35 11.84 12.24 1700200 22090520.00
2021/09/01 12.31 12.70 11.97 12.43 1894400 25186822.00
2021/09/02 12.29 12.44 12.13 12.31 1119000 14753914.00
2021/09/03 12.37 12.60 12.33 12.48 1162200 15591302.00
2021/09/06 12.49 12.80 12.40 12.72 1753388 23827232.00
2021/09/07 12.71 12.71 12.43 12.55 1200200 16141755.00
2021/09/08 12.45 12.66 12.41 12.56 900900 12158991.00
2021/09/09 12.56 12.56 12.21 12.28 1740383 23141586.00
2021/09/10 12.31 12.43 12.01 12.14 1650300 21652864.00
2021/09/13 12.14 12.35 11.99 12.25 988500 12990488.00
2021/09/14 12.25 12.44 12.07 12.11 890200 11759491.00
2021/09/15 12.11 12.11 11.95 11.98 767122 9941372.00
2021/09/16 11.98 12.22 11.92 11.93 803400 10429071.00
2021/09/17 11.90 12.02 11.80 11.91 707152 9066856.00
2021/09/22 11.80 11.90 11.68 11.81 704100 8963485.00
2021/09/23 11.81 12.14 11.81 11.89 690252 8895709.00
2021/09/24 11.92 11.92 11.58 11.62 770300 9766036.00
2021/09/27 11.62 11.73 11.36 11.62 883200 11034594.00
2021/09/28 11.62 11.68 11.46 11.50 358016 4464902.00
2021/09/29 11.50 11.50 11.03 11.03 900200 10927147.00
2021/09/30 11.03 11.38 11.03 11.31 679776 8235889.00
2021/10/08 11.37 11.59 11.16 11.48 587000 7265876.00
2021/10/11 11.56 11.70 11.49 11.60 482068 6061748.00
2021/10/12 11.60 11.70 11.33 11.57 541040 6740366.00
2021/10/13 11.64 11.64 11.37 11.57 605872 7540903.00
2021/10/14 11.63 11.68 11.50 11.60 434800 5455569.00
2021/10/15 11.60 11.66 11.47 11.51 535600 6685755.00
2021/10/18 11.57 11.66 11.27 11.65 565948 7041058.00
2021/10/19 11.61 11.86 11.52 11.79 794900 10083045.00
2021/10/20 11.80 11.80 11.52 11.65 471435 5929671.00
2021/10/21 11.60 11.60 11.28 11.32 554700 6862576.00
2021/10/22 11.38 11.55 11.30 11.32 513000 6332877.00
2021/10/25 11.28 11.40 11.09 11.40 473000 5796152.00
2021/10/26 11.44 11.44 11.10 11.13 648900 7877192.00
2021/10/27 11.18 11.18 10.61 10.72 993400 11645768.00
2021/10/28 10.92 11.23 10.67 10.69 1213900 14345116.00
2021/10/29 10.68 11.12 10.58 11.05 730400 8678311.00
2021/11/01 11.12 12.23 11.04 11.90 3197157 40684268.00
2021/11/02 11.96 11.97 11.66 11.73 1255800 15978829.00
2021/11/03 11.85 12.12 11.78 11.93 1248667 16129497.00
2021/11/04 11.93 12.40 11.78 12.32 2070800 27370286.00
2021/11/05 12.31 12.40 12.03 12.26 1274500 16829646.00
2021/11/08 12.22 12.52 12.22 12.34 1325900 17660358.00
2021/11/09 12.32 12.60 12.31 12.45 1519157 20401860.00
2021/11/10 12.35 12.81 12.35 12.51 3313801 45045856.00
2021/11/11 12.47 12.90 12.44 12.70 2646938 36214360.00
2021/11/12 12.70 12.70 12.41 12.58 959200 12960280.00
2021/11/15 12.57 13.12 12.55 12.91 3933700 54716888.00
2021/11/16 12.83 13.09 12.65 12.84 1343600 18575120.00
2021/11/17 12.77 12.90 12.47 12.63 1646200 22327268.00
2021/11/18 12.59 13.99 12.51 13.99 5636844 81371816.00
2021/11/19 14.25 14.35 13.20 13.31 5949098 86163120.00
2021/11/22 13.31 13.32 12.55 12.70 6548588 89413016.00
2021/11/23 12.67 12.88 12.60 12.65 3820700 52176856.00
2021/11/24 12.65 12.70 12.19 12.34 3927012 52093488.00
2021/11/25 12.33 12.39 12.09 12.16 3029450 39860792.00
2021/11/26 12.13 12.26 11.94 12.16 2899812 37902340.00
2021/11/29 11.98 12.01 11.62 11.68 3187681 40378444.00
2021/11/30 11.66 11.85 11.55 11.62 2780530 35159288.00
2021/12/01 11.58 11.82 11.47 11.76 2132571 26936850.00
2021/12/02 11.73 11.79 11.59 11.70 1911700 24156400.00
