603860 中公高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 18.52 19.02 18.46 18.84 207401 4000117.25
2021/08/03 18.75 19.30 18.75 19.12 324900 6370396.00
2021/08/04 19.11 19.23 18.97 19.15 194273 3826124.00
2021/08/05 19.21 19.21 19.02 19.09 130400 2561061.00
2021/08/06 19.14 19.25 18.75 18.90 197900 3854463.00
2021/08/09 18.93 19.11 18.73 19.11 277683 5414888.50
2021/08/10 19.11 19.43 19.10 19.41 386800 7668104.00
2021/08/11 19.34 19.65 19.20 19.43 383600 7671016.00
2021/08/12 19.43 19.53 19.31 19.40 242300 4831540.00
2021/08/13 19.40 19.52 19.35 19.50 138000 2757319.00
2021/08/16 19.60 19.79 19.36 19.54 482600 9702645.00
2021/08/17 19.48 19.63 19.13 19.13 511600 10192617.00
2021/08/18 19.15 19.52 19.15 19.45 257973 5147021.50
2021/08/19 19.48 19.88 19.45 19.63 349700 7089890.00
2021/08/20 19.64 19.72 19.13 19.38 284973 5663438.50
2021/08/23 19.38 19.81 19.26 19.65 388899 7856156.00
2021/08/24 19.65 19.77 19.57 19.67 214600 4342762.00
2021/08/25 20.13 20.13 19.56 19.80 311100 6334470.00
2021/08/26 19.65 20.19 19.65 19.97 662500 13599882.00
2021/08/27 19.88 20.01 19.71 19.84 243900 4969674.00
2021/08/30 19.93 19.94 19.41 19.45 407700 8226878.00
2021/08/31 19.43 19.74 19.23 19.63 395900 7919884.00
2021/09/01 19.63 19.81 19.26 19.74 441500 8874210.00
2021/09/02 19.74 19.76 19.42 19.64 316600 6374730.00
2021/09/03 19.56 20.35 19.50 20.10 528700 10816522.00
2021/09/06 20.15 20.15 19.75 20.06 366500 7525000.00
2021/09/07 19.91 20.25 19.91 20.25 209600 4336353.00
2021/09/08 20.30 20.60 20.17 20.41 307400 6433972.00
2021/09/09 20.45 20.61 20.32 20.50 366300 7678855.00
2021/09/10 20.49 20.69 20.18 20.39 324200 6800084.00
2021/09/13 20.40 20.55 19.49 20.45 367800 7700157.00
2021/09/14 20.58 20.58 19.99 20.02 250300 5207782.00
2021/09/15 19.93 20.47 19.91 20.43 307600 6393887.00
2021/09/16 20.43 20.85 20.22 20.32 357600 7542291.00
