605008 长鸿高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 17.19 17.65 16.84 17.56 1822946 32258076.00
2021/08/03 17.67 18.27 17.56 17.72 2316280 42229756.00
2021/08/04 17.75 17.95 17.50 17.74 1483300 26680938.00
2021/08/05 17.74 17.99 17.51 17.67 1258800 22540360.00
2021/08/06 17.72 17.81 17.50 17.63 1106743 19788552.00
2021/08/09 17.64 17.73 17.39 17.62 1028971 18371020.00
2021/08/10 17.63 18.16 17.53 17.95 1264880 23062794.00
2021/08/11 18.07 18.32 17.72 18.09 2229758 40894260.00
2021/08/12 18.38 18.38 17.82 17.90 1735579 31758336.00
2021/08/13 17.90 17.97 17.70 17.75 1478780 26759902.00
2021/08/16 17.47 17.74 16.69 17.46 2091819 36935184.00
2021/08/17 17.46 17.57 16.84 16.93 2412209 41848624.00
2021/08/18 16.71 16.93 15.82 15.95 4161024 68826128.00
2021/08/19 15.95 16.21 15.79 16.03 1530090 25024730.00
2021/08/20 16.14 16.14 15.09 15.56 2566620 40774432.00
2021/08/23 15.59 16.96 15.59 16.55 4220764 70395296.00
2021/08/24 16.57 17.76 16.57 16.85 4396149 77083352.00
2021/08/25 16.87 17.14 16.39 16.48 3030582 51070804.00
2021/08/26 16.48 16.59 16.11 16.14 1901488 31527746.00
2021/08/27 16.09 16.31 15.69 16.01 2127240 34642268.00
2021/08/30 16.47 16.47 15.58 15.64 3260040 52692352.00
2021/08/31 15.39 15.64 14.79 14.93 3908342 60224072.00
2021/09/01 14.98 15.00 14.53 14.57 4146305 62056420.00
2021/09/02 14.59 14.59 14.14 14.23 3640660 53110704.00
2021/09/03 14.14 14.68 14.06 14.18 4547548 66418148.00
2021/09/06 14.21 14.34 14.14 14.29 3867920 56205220.00
2021/09/07 14.44 14.97 14.39 14.96 8168947 123293672.00
2021/09/08 14.91 14.91 14.54 14.76 5347240 80201944.00
2021/09/09 14.65 14.88 14.60 14.76 2973705 44717276.00
2021/09/10 14.76 15.25 14.64 15.15 4551200 69647944.00
2021/09/13 15.34 15.47 15.02 15.08 3779160 58624208.00
2021/09/14 15.10 15.13 14.70 14.75 2974089 45034944.00
2021/09/15 14.83 15.10 14.76 15.05 2601464 39694036.00
2021/09/16 15.11 15.92 15.11 15.26 5367860 84953248.00
2021/09/17 15.27 15.27 14.61 14.91 3547436 53812640.00
2021/09/22 14.69 14.89 14.57 14.67 1772380 26584262.00
2021/09/23 14.83 14.94 14.69 14.73 1512300 22815164.00
2021/09/24 14.73 14.75 14.53 14.56 1695380 25259914.00
2021/09/27 14.29 14.54 14.12 14.22 2247510 32830256.00
2021/09/28 14.21 14.22 13.95 14.00 1783828 25664056.00
2021/09/29 14.00 14.04 13.49 13.49 1915840 26678104.00
2021/09/30 13.48 13.59 13.37 13.51 1718480 23665954.00
2021/10/08 13.66 13.94 13.59 13.81 1657820 23299412.00
2021/10/11 13.86 13.94 13.69 13.84 1210889 17098060.00
2021/10/12 13.81 13.83 13.29 13.69 2048300 28413074.00
2021/10/13 13.68 13.75 13.52 13.69 862520 12023018.00
2021/10/14 13.76 13.78 13.61 13.63 1127600 15775018.00
2021/10/15 13.68 13.94 13.39 13.94 1759920 24697350.00
2021/10/18 13.95 14.24 13.94 13.95 1625240 23324172.00
2021/10/19 13.94 14.14 13.85 13.96 1204700 17229850.00
2021/10/20 14.13 14.16 13.90 14.07 1345562 19293916.00
2021/10/21 14.12 14.46 14.12 14.20 1842322 26844888.00
2021/10/22 14.32 14.34 14.00 14.13 1520700 21970626.00
2021/10/25 14.14 14.34 14.14 14.20 1584000 23044132.00
2021/10/26 14.20 14.27 13.83 13.92 1549960 22173028.00
2021/10/27 13.92 13.93 13.54 13.68 1393280 19487552.00
2021/10/28 13.66 13.75 13.29 13.33 1397635 19197624.00
2021/10/29 13.34 13.95 13.34 13.75 1779740 24986816.00
2021/11/01 13.94 14.89 13.84 14.61 5051320 74804376.00
2021/11/02 14.61 14.70 14.33 14.55 2520200 37353556.00
2021/11/03 14.54 15.15 14.49 14.96 3519860 53526780.00
2021/11/04 14.96 15.11 14.78 14.90 1952680 29686136.00
2021/11/05 14.92 15.09 14.77 14.90 2419860 36851452.00
2021/11/08 14.90 14.95 14.54 14.62 1765325 26407232.00
2021/11/09 14.69 14.92 14.44 14.79 2065360 30938124.00
2021/11/10 14.80 15.17 14.69 14.90 2430440 37138212.00
2021/11/11 15.10 15.10 14.67 14.74 1659460 25119700.00
2021/11/12 14.34 14.64 14.00 14.54 3512391 51402064.00
2021/11/15 14.44 15.06 14.41 15.00 3902446 59103128.00
2021/11/16 15.19 15.19 14.80 14.84 2072020 31611532.00
2021/11/17 14.69 15.00 14.68 14.90 1445260 21908882.00
