605020 永和股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 23.60 25.51 22.89 24.99 26591818 934619584.00
2021/08/03 24.46 26.36 22.41 23.32 23976688 836149824.00
2021/08/04 23.03 24.46 22.84 23.89 19006937 652102720.00
2021/08/05 23.67 23.74 21.42 21.46 23612318 747031424.00
2021/08/06 21.66 23.04 20.47 22.56 20157317 640759360.00
2021/08/09 22.39 24.89 22.28 24.89 21604728 738485312.00
2021/08/10 26.74 27.45 26.44 27.45 6105951 237635280.00
2021/08/11 30.27 30.27 30.27 30.27 749542 32560104.00
2021/08/12 30.28 33.37 27.87 31.36 31893999 1411853696.00
2021/08/13 30.67 34.49 29.19 32.63 25710225 1171307648.00
2021/08/16 35.95 35.96 34.26 35.96 27338536 1388953088.00
2021/08/17 32.29 32.81 32.29 32.29 5797786 268405248.00
2021/08/18 29.24 31.85 28.99 29.46 23917680 1026072512.00
2021/08/19 28.53 29.31 26.69 27.88 18232939 731160512.00
2021/08/20 28.33 29.06 26.40 26.91 14381000 572151808.00
2021/08/23 26.79 29.67 26.71 29.37 19771425 806508736.00
2021/08/24 28.65 29.11 27.29 27.99 15383732 624132288.00
2021/08/25 27.46 30.86 27.41 30.86 16562320 692285632.00
2021/08/26 33.17 34.02 31.05 32.06 20168231 950209088.00
2021/08/27 32.46 35.24 31.02 34.67 16711596 801658944.00
2021/08/30 35.31 38.21 35.03 38.21 16865657 901544320.00
2021/08/31 37.46 37.67 34.31 35.08 19139098 961391424.00
2021/09/01 36.03 36.78 31.54 32.83 14171588 698619392.00
2021/09/02 31.87 36.01 31.86 34.94 13440705 651025408.00
2021/09/03 33.85 34.46 31.36 31.36 13529509 630643136.00
2021/09/06 30.80 31.31 28.17 30.24 9969919 422018080.00
2021/09/07 29.99 32.74 29.64 31.61 10233364 461976320.00
2021/09/08 31.53 33.15 30.90 32.09 9161716 422303360.00
2021/09/09 32.09 32.09 29.96 30.34 9710817 426886496.00
2021/09/10 30.53 31.31 28.56 30.17 9687358 413118176.00
2021/09/13 30.17 31.31 29.51 30.79 8821614 387740128.00
2021/09/14 30.46 31.55 28.31 29.75 10543100 449649888.00
2021/09/15 29.24 32.80 29.01 32.80 8799750 400953760.00
2021/09/16 35.00 36.06 31.36 31.38 16798433 809159936.00
2021/09/17 30.50 32.56 28.96 30.78 12252145 542248640.00
2021/09/22 30.14 32.52 29.44 31.74 10907614 490939040.00
2021/09/23 31.74 32.34 29.34 29.54 11368595 493108736.00
2021/09/24 28.54 29.16 26.51 26.51 13220377 519008448.00
2021/09/27 25.29 26.24 23.78 24.30 9845949 351559360.00
2021/09/28 23.89 24.64 23.17 23.59 6663034 229862336.00
2021/09/29 23.31 23.42 21.78 21.82 6668364 215891536.00
2021/09/30 21.89 23.52 21.86 23.36 5912830 196461136.00
2021/10/08 23.75 24.51 22.51 22.67 5929126 199259840.00
2021/10/11 22.69 23.01 21.79 22.55 3397600 110200992.00
2021/10/12 22.52 22.86 20.81 21.19 5677501 176571376.00
2021/10/13 21.66 21.95 21.11 21.77 4583181 143604768.00
2021/10/14 21.52 23.17 21.46 22.44 5391637 174347392.00
2021/10/15 22.34 22.87 22.04 22.47 4282000 139666016.00
2021/10/18 22.78 23.44 22.18 22.83 6053662 199223744.00
2021/10/19 22.67 24.23 22.38 23.69 9258754 314071488.00
2021/10/20 22.96 24.87 22.28 24.13 11790054 404266880.00
2021/10/21 23.61 24.67 23.46 23.86 8582872 296841792.00
2021/10/22 23.35 24.43 23.06 23.16 7374472 252601648.00
2021/10/25 22.84 23.92 22.81 23.58 6204300 211996144.00
2021/10/26 23.46 24.24 23.39 23.61 5910782 202678848.00
2021/10/27 23.36 25.53 23.35 24.96 11810536 416767904.00
2021/10/28 24.24 24.60 22.39 22.39 10777503 360783520.00
2021/10/29 22.39 23.53 22.10 22.50 5450615 180044944.00
2021/11/01 22.21 24.16 22.21 23.92 8619705 292027584.00
2021/11/02 24.00 24.51 22.59 22.66 7082949 239179920.00
2021/11/03 23.02 23.23 21.69 22.51 5103108 164851600.00
2021/11/04 22.39 22.76 21.95 22.15 5048650 163375680.00
2021/11/05 22.00 22.00 20.48 20.73 7202439 220061872.00
2021/11/08 20.66 21.21 19.96 21.20 4393708 131839480.00
2021/11/09 21.11 21.56 20.82 21.44 3972874 122302408.00
2021/11/10 21.38 21.95 20.96 21.40 3895466 121199024.00
2021/11/11 21.49 21.76 21.26 21.28 3255206 101287504.00
