688338 赛科希德 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 38.71 39.39 38.26 38.86 384176 19879696.00
2021/08/03 38.86 39.76 38.36 39.21 513232 26902886.00
2021/08/04 39.01 39.75 38.48 39.67 519858 27265524.00
2021/08/05 39.69 39.81 38.36 38.95 470250 24420374.00
2021/08/06 39.02 39.02 37.41 37.66 527500 26723846.00
2021/08/09 37.19 38.22 37.19 37.88 554964 28027904.00
2021/08/10 37.48 37.48 36.33 36.71 761917 37309056.00
2021/08/11 36.56 36.96 36.26 36.56 397580 19415600.00
2021/08/12 36.83 37.29 36.50 36.66 497256 24424030.00
2021/08/13 36.66 36.89 36.40 36.55 328416 16027031.00
2021/08/16 36.56 37.35 36.40 37.13 390287 19292858.00
2021/08/17 36.83 36.92 36.53 36.56 257715 12602961.00
2021/08/18 36.71 36.71 35.86 36.06 479434 23083968.00
2021/08/19 35.79 36.28 35.79 35.88 229543 11045945.00
2021/08/20 35.99 36.16 35.03 35.34 353433 16704284.00
2021/08/23 35.48 36.31 35.19 36.17 327957 15701462.00
2021/08/24 36.18 36.39 35.76 36.16 337636 16230437.00
2021/08/25 36.17 37.16 35.96 36.66 526561 25794162.00
2021/08/26 36.65 36.65 35.33 35.62 536543 25632882.00
2021/08/27 35.60 35.60 35.16 35.33 189754 8951157.00
2021/08/30 35.19 35.43 34.98 35.02 240463 11272608.00
2021/08/31 35.01 35.29 34.63 34.75 223624 10420203.00
2021/09/01 34.63 35.00 34.31 34.89 278116 12887434.00
2021/09/02 34.54 34.99 34.54 34.88 205368 9553971.00
2021/09/03 34.67 35.17 34.67 35.08 244262 11431404.00
2021/09/06 34.97 35.70 34.95 35.56 363958 17204772.00
2021/09/07 35.63 35.63 35.22 35.40 294591 13909098.00
2021/09/08 35.79 35.79 35.16 35.26 257413 12131400.00
2021/09/09 35.39 35.39 34.81 34.94 281642 13178009.00
2021/09/10 35.14 35.24 34.67 34.93 274558 12789962.00
2021/09/13 35.09 35.17 34.63 34.94 140609 6559606.00
2021/09/14 34.85 35.75 34.84 35.53 463219 21885956.00
2021/09/15 35.53 37.48 35.39 36.62 946869 46506344.00
2021/09/16 36.62 36.90 35.60 35.86 513211 24662144.00
2021/09/17 35.64 36.01 34.71 35.14 481654 22613876.00
2021/09/22 34.85 35.40 34.81 34.81 217773 10195148.00
