688489 三未信安 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/12/02 85.55 88.59 78.83 80.14 13182309 1632805632.00
2022/12/05 81.83 84.19 77.16 82.64 7795167 946762880.00
2022/12/06 81.84 84.45 78.45 82.90 5423580 658037824.00
2022/12/07 82.64 87.83 80.48 80.48 4079648 514613856.00
2022/12/08 79.75 81.40 75.08 75.08 2869126 334097600.00
2022/12/09 74.39 77.91 73.74 75.80 2794263 317110144.00
2022/12/12 76.43 79.01 75.63 78.84 2144640 248734288.00
2022/12/13 78.92 78.92 74.52 75.67 1714752 194531440.00
2022/12/14 75.78 76.87 74.16 74.47 1009246 113424976.00
2022/12/15 73.78 76.15 71.41 75.51 1564147 173187376.00
2022/12/16 74.40 74.93 71.63 71.69 1141270 123983000.00
2022/12/19 70.41 73.65 68.25 68.98 866429 90948800.00
2022/12/20 72.20 72.27 66.74 67.64 1170688 120688752.00
2022/12/21 66.29 68.26 65.69 66.63 1129501 112994664.00
2022/12/22 67.03 68.83 66.35 66.83 740229 74525224.00
2022/12/23 66.26 70.48 66.23 69.24 777035 80100504.00
2022/12/26 68.65 70.89 68.01 68.92 877311 90514192.00
2022/12/27 68.65 69.74 66.02 67.04 999585 100631288.00
2022/12/28 66.29 66.61 62.58 62.75 1593755 152808016.00
2022/12/29 62.57 67.90 62.42 67.02 1648118 160989776.00
2022/12/30 66.96 70.68 66.29 67.86 1267123 128473896.00
2023/01/03 67.84 79.60 67.06 76.19 2384922 264598880.00
2023/01/04 77.49 80.38 75.95 78.97 1661241 193340016.00
2023/01/05 78.21 80.61 77.47 79.99 988507 116613448.00
2023/01/06 79.49 81.14 76.42 78.42 1113562 130096976.00
2023/01/09 77.92 80.48 77.10 80.17 1062150 125135584.00
2023/01/10 79.63 81.49 78.86 80.15 828470 99185760.00
2023/01/11 79.22 80.15 75.75 75.75 931053 107975168.00
2023/01/12 77.10 78.79 74.65 76.76 880641 100465616.00
2023/01/13 76.42 76.42 72.96 75.07 723484 80326120.00
2023/01/16 76.76 86.86 76.76 80.40 1801891 221566976.00
2023/01/17 80.82 82.40 79.27 80.80 823123 99079184.00
2023/01/18 81.15 87.15 79.54 85.26 1359107 171377424.00
2023/01/19 85.88 87.36 83.26 84.34 1291911 164137904.00
2023/01/20 85.21 85.49 80.26 80.43 1086470 132873752.00
2023/01/30 81.83 82.84 79.19 79.50 981981 118631512.00
2023/01/31 79.44 80.92 77.07 77.84 764859 89435328.00
2023/02/01 77.78 82.30 77.62 81.31 1234803 147469040.00
2023/02/02 80.81 83.59 80.01 81.55 777758 94834776.00
2023/02/03 80.56 86.55 80.56 85.42 1300053 163035888.00
2023/02/06 84.63 88.10 84.11 86.76 965581 123020136.00
2023/02/07 86.66 86.66 81.32 82.51 1004171 124430128.00
2023/02/08 82.51 83.90 81.33 82.60 465552 57347648.00
2023/02/09 82.61 88.92 81.08 87.56 1079201 137756000.00
2023/02/10 87.42 89.94 84.18 85.19 1065318 137425680.00
2023/02/13 84.26 84.57 81.49 82.44 1243285 153216896.00
2023/02/14 82.28 83.65 81.83 82.61 699628 86101936.00
2023/02/15 82.61 86.85 81.36 86.01 1060843 133445576.00
2023/02/16 85.38 85.50 79.74 81.01 1373260 169025696.00
2023/02/17 79.89 80.63 77.36 78.79 889911 105252544.00
2023/02/20 78.80 80.99 76.42 80.82 815522 95547192.00
2023/02/21 80.44 81.84 77.94 79.23 518685 61639256.00
2023/02/22 77.91 81.83 77.91 79.81 503027 59776232.00
2023/02/23 80.14 81.15 78.82 80.94 323879 38840824.00
2023/02/24 81.65 86.09 80.88 84.55 972370 122036400.00
2023/02/27 85.07 86.90 82.68 83.88 578158 72491744.00
2023/02/28 85.59 87.78 82.51 83.28 855197 107972408.00
2023/03/01 82.86 84.51 79.80 80.16 1083769 132422120.00
2023/03/02 79.67 80.40 77.64 79.80 715492 84231080.00
2023/03/03 79.11 80.59 78.05 78.45 568485 66892072.00
2023/03/06 78.82 80.82 77.34 80.04 790816 93193968.00
2023/03/07 79.31 81.02 77.84 78.55 558490 66141636.00
2023/03/08 79.04 81.57 78.65 81.19 482076 57827808.00
2023/03/09 80.18 84.19 79.36 82.49 578076 70535096.00
2023/03/10 81.55 86.01 80.48 83.69 806040 100405032.00
2023/03/13 82.93 85.17 81.41 83.79 875285 108962824.00
2023/03/14 83.67 84.33 80.04 81.24 957162 115988704.00
2023/03/15 80.94 82.37 79.40 79.64 546886 65797084.00
2023/03/16 79.25 80.12 77.50 77.71 502354 58914936.00
2023/03/17 78.21 80.74 78.21 79.05 541081 64094936.00
2023/03/20 78.65 78.79 70.38 70.72 1967511 216877024.00
2023/03/21 70.05 75.79 69.49 74.80 1154906 126278704.00
2023/03/22 74.79 74.99 73.08 74.32 694406 76755560.00
2023/03/23 73.64 74.69 72.33 73.65 495212 54266292.00
