000153 丰原药业 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 5.90 6.54 5.80 6.54 18182701 169976080.00
2021/08/03 6.46 6.83 6.43 6.75 15810910 155709792.00
2021/08/04 6.72 6.97 6.57 6.93 19331418 193733984.00
2021/08/05 6.91 7.00 6.83 6.84 12313180 125067080.00
2021/08/06 6.84 6.89 6.64 6.71 8238150 81499320.00
2021/08/09 6.69 6.73 6.53 6.57 7812330 76259880.00
2021/08/10 6.55 6.67 6.47 6.53 7257100 70048096.00
2021/08/11 6.53 7.04 6.44 6.86 14142000 140556064.00
2021/08/12 6.90 6.91 6.65 6.71 7284926 72214400.00
2021/08/13 6.72 6.75 6.49 6.51 7109800 69222928.00
2021/08/16 6.49 6.91 6.34 6.36 9645793 92839136.00
2021/08/17 6.34 6.61 6.24 6.31 8595300 81304280.00
2021/08/18 6.31 6.76 6.31 6.47 10580301 101810560.00
2021/08/19 6.49 6.54 6.23 6.31 7898809 74267456.00
2021/08/20 6.29 6.61 6.11 6.46 9325977 88040088.00
2021/08/23 6.43 6.55 6.39 6.54 6215100 59309616.00
2021/08/24 6.56 6.65 6.47 6.59 6735400 65239136.00
2021/08/25 6.61 6.69 6.49 6.52 5839709 56270708.00
2021/08/26 6.52 6.53 6.34 6.34 5724400 54054224.00
2021/08/27 6.34 7.01 6.29 7.01 22936575 230295728.00
2021/08/30 7.08 7.19 6.75 6.84 24207667 246336016.00
2021/08/31 6.84 7.08 6.72 6.89 15553274 157306704.00
2021/09/01 6.86 7.11 6.79 6.92 16006203 163398464.00
2021/09/02 6.92 7.54 6.83 7.40 22301586 237173488.00
2021/09/03 7.54 7.56 7.24 7.36 15296997 165417328.00
2021/09/06 7.29 7.84 7.27 7.76 17368783 194385472.00
2021/09/07 7.66 8.12 7.51 8.01 17548058 204369408.00
2021/09/08 7.97 8.51 7.89 7.98 21529201 255917568.00
2021/09/09 7.96 8.23 7.81 8.13 16169267 190232448.00
2021/09/10 8.09 8.41 8.06 8.36 16260664 196100880.00
2021/09/13 8.40 8.76 7.98 8.02 19275331 232235184.00
2021/09/14 8.07 8.23 7.81 7.92 12558521 147113408.00
2021/09/15 7.99 7.99 7.22 7.70 26395112 289603904.00
2021/09/16 7.68 7.92 7.48 7.56 13798856 154612240.00
2021/09/17 7.53 8.24 7.49 8.11 16299430 189802112.00
2021/09/22 8.16 8.21 7.73 8.13 14558254 169784544.00
2021/09/23 8.02 8.29 8.01 8.16 13831400 164258496.00
2021/09/24 8.22 8.73 8.09 8.69 23663401 292797792.00
2021/09/27 8.79 9.06 8.08 8.37 26506838 331151008.00
2021/09/28 8.12 8.62 8.12 8.38 12277068 150554912.00
2021/09/29 8.38 8.41 7.51 7.79 14420700 170406112.00
2021/09/30 8.03 8.36 7.84 8.16 12075876 144313104.00
2021/10/08 8.31 8.52 8.01 8.21 8953800 107478088.00
2021/10/11 8.19 8.21 7.36 7.39 14947800 168035088.00
2021/10/12 7.43 7.59 7.06 7.16 12383833 132779896.00
2021/10/13 7.24 7.26 6.66 7.07 13624280 138537552.00
2021/10/14 7.22 7.51 6.86 7.28 13407299 142518432.00
2021/10/15 7.46 7.56 6.79 6.80 15637900 162810208.00
2021/10/18 6.77 6.78 6.47 6.60 14423688 140220656.00
2021/10/19 6.59 6.91 6.48 6.75 8996205 88877808.00
2021/10/20 6.71 7.46 6.60 7.46 15822517 163586528.00
2021/10/21 7.41 7.97 7.31 7.93 29298149 331192352.00
2021/10/22 7.83 8.00 7.61 7.72 15468100 176076560.00
2021/10/25 7.72 7.87 7.62 7.79 10086265 114644400.00
2021/10/26 7.79 7.90 7.71 7.79 8109300 92572920.00
2021/10/27 7.86 7.86 7.59 7.81 8089700 91870880.00
2021/10/28 7.82 7.86 7.31 7.38 10591510 116545008.00
2021/10/29 7.44 7.45 7.09 7.13 8108407 86097336.00
2021/11/01 7.21 7.30 7.03 7.11 6029101 63564832.00
2021/11/02 7.20 7.21 6.76 6.88 7140308 72734008.00
2021/11/03 6.92 6.99 6.84 6.94 4169894 42425600.00
2021/11/04 6.94 7.01 6.84 6.86 5795613 58858840.00
2021/11/05 6.84 6.87 6.69 6.71 5480097 54656472.00
2021/11/08 6.72 6.84 6.64 6.71 5377400 53268216.00
2021/11/09 6.71 7.21 6.67 7.10 11327001 116965408.00
2021/11/10 7.04 7.84 6.97 7.84 23996654 268483680.00
2021/11/11 7.79 8.08 7.67 7.96 23093219 267019024.00
2021/11/12 7.94 8.28 7.84 8.10 16975707 201678768.00
2021/11/15 8.15 8.15 7.40 7.66 21702655 243192208.00
2021/11/16 7.69 7.86 7.53 7.71 11784800 132122832.00
2021/11/17 7.61 7.76 7.54 7.61 8435512 94011672.00
2021/11/18 7.64 7.79 7.45 7.54 9536501 106301792.00
2021/11/19 7.51 7.61 7.44 7.50 7552860 83096656.00
2021/11/22 7.56 7.61 7.15 7.52 9844299 106667192.00
2021/11/23 7.53 7.70 7.46 7.64 9640514 107189056.00
2021/11/24 7.64 7.83 7.56 7.63 9438576 106392224.00
2021/11/25 7.59 8.43 7.56 8.43 18412585 218601680.00
2021/11/26 8.51 8.67 8.11 8.39 27970211 342959136.00
2021/11/29 8.46 8.73 8.15 8.24 15167597 183910864.00
2021/11/30 8.29 8.64 8.18 8.62 18006502 221952064.00
2021/12/01 8.54 8.74 8.26 8.51 13338016 165190048.00
2021/12/02 8.56 8.59 8.38 8.48 8406401 103925848.00
2021/12/03 8.48 9.13 8.39 9.04 20331658 262850560.00
2021/12/06 8.95 9.04 8.31 8.36 17425298 217420544.00
2021/12/07 8.43 8.51 8.09 8.29 9009711 108715048.00
2021/12/08 8.31 8.52 8.22 8.49 6370902 78126752.00
2021/12/09 8.49 8.50 8.16 8.29 7777200 93872544.00
2021/12/10 8.37 8.44 8.15 8.19 7399001 89462392.00
2021/12/13 8.28 8.28 8.02 8.04 6626058 78589184.00
2021/12/14 8.06 8.14 7.99 8.13 4977401 58667328.00
2021/12/15 8.13 8.58 8.07 8.29 11542300 140942912.00
2021/12/16 8.27 8.39 8.16 8.16 6203900 74541496.00
2021/12/17 8.14 8.22 7.91 7.93 7004600 81955384.00
2021/12/20 7.93 8.39 7.85 8.14 8497100 101523264.00
2021/12/21 8.22 8.61 8.09 8.59 14795808 182654848.00
2021/12/22 8.66 8.67 8.32 8.53 8158312 100517728.00
2021/12/23 8.49 8.56 8.26 8.28 6832300 83297216.00
2021/12/24 8.29 8.42 8.10 8.23 7853900 94910416.00
2021/12/27 8.25 8.76 8.16 8.49 13429103 166818496.00
2021/12/28 8.48 8.55 8.19 8.29 7847800 94898912.00
2021/12/29 8.34 8.51 8.22 8.24 6586384 80323840.00
2021/12/30 8.24 8.33 8.01 8.09 9120301 107743360.00
2021/12/31 8.14 8.58 8.09 8.21 11301449 137618960.00
2022/01/04 8.08 8.44 8.07 8.17 11185000 135546000.00
2022/01/05 8.18 8.25 7.64 7.79 14904841 171394736.00
2022/01/06 7.80 8.34 7.71 8.27 13258027 157408160.00
2022/01/07 8.24 8.34 7.94 7.97 8993514 106855192.00
2022/01/10 8.03 8.09 7.76 7.94 6337572 73183504.00
2022/01/11 7.92 8.22 7.86 7.96 6700765 78911800.00
2022/01/12 8.00 8.36 7.91 8.24 12628001 151374592.00
2022/01/13 8.19 8.31 8.03 8.10 5994100 71120392.00
2022/01/14 8.10 8.24 7.99 8.14 7834800 93001912.00
2022/01/17 8.14 8.24 7.83 8.04 8621753 100935016.00
2022/01/18 7.96 8.02 7.51 7.54 13825300 155475536.00
2022/01/19 7.52 7.53 7.12 7.21 12424401 132719256.00
2022/01/20 7.23 7.41 6.96 7.00 9525999 99848744.00
2022/01/21 7.01 7.04 6.78 6.92 6610077 66964664.00
2022/01/24 6.92 6.96 6.80 6.88 3549400 35951976.00
2022/01/25 6.86 6.92 6.51 6.51 6268471 61561356.00
2022/01/26 6.51 6.73 6.51 6.56 5527965 53785032.00
2022/01/27 6.56 6.64 6.28 6.33 5184880 48961240.00
2022/01/28 6.36 6.44 5.66 6.29 7156139 66279240.00
2022/02/07 6.34 6.40 6.19 6.29 4797598 44551984.00
2022/02/08 6.31 6.41 6.22 6.41 3911740 36570720.00
2022/02/09 6.40 6.61 6.34 6.59 4662402 44835156.00
2022/02/10 6.60 6.63 6.49 6.56 3813226 36777760.00
2022/02/11 6.52 6.52 6.18 6.24 7461676 69604768.00
2022/02/14 6.17 6.36 6.14 6.22 4749902 43811344.00
2022/02/15 6.23 6.26 6.12 6.20 4224840 38707324.00
2022/02/16 6.21 6.52 6.19 6.44 6673426 62726660.00
2022/02/17 6.44 6.49 6.29 6.30 4345260 40895956.00
2022/02/18 6.27 6.39 6.27 6.39 2744150 25659400.00
2022/02/21 6.38 6.46 6.31 6.42 3265001 30734362.00
2022/02/22 6.37 6.39 6.19 6.26 4338000 40234568.00
2022/02/23 6.26 6.38 6.26 6.36 3740200 35038484.00
2022/02/24 6.39 6.54 6.15 6.24 7359701 68941776.00
2022/02/25 6.32 6.48 6.29 6.36 5168085 48713232.00
2022/02/28 6.36 6.46 6.20 6.44 4721212 44358084.00
2022/03/01 6.48 6.49 6.36 6.44 2954131 27951038.00
2022/03/02 6.36 6.69 6.34 6.59 6564250 63380688.00
2022/03/03 6.61 6.66 6.56 6.62 4464700 43555844.00
2022/03/04 6.61 6.82 6.52 6.57 6497412 64100076.00
2022/03/07 6.53 6.65 6.41 6.49 4620100 44402264.00
2022/03/08 6.46 6.54 6.01 6.02 7602400 69647496.00
2022/03/09 6.08 6.14 5.53 5.76 9772778 84687592.00
2022/03/10 5.93 6.11 5.88 6.00 6179900 54991044.00
2022/03/11 5.92 6.13 5.80 6.12 6516300 57792776.00
2022/03/14 6.08 6.28 5.98 5.99 5812600 52567372.00
2022/03/15 5.92 6.03 5.55 5.59 6854745 59047876.00
2022/03/16 5.68 5.79 5.44 5.76 6398800 53384592.00
2022/03/17 5.76 5.98 5.72 5.78 7036250 61237660.00
2022/03/18 5.78 6.29 5.76 6.11 11596513 104145704.00
2022/03/21 6.01 6.39 5.95 6.33 12994481 119519232.00
2022/03/22 6.24 6.39 6.10 6.11 7552557 69060952.00
2022/03/23 6.11 6.18 6.06 6.14 5658557 51281728.00
2022/03/24 6.08 6.33 6.01 6.32 9911058 91325056.00
2022/03/25 6.29 6.42 6.22 6.24 8429501 78420368.00
2022/03/28 6.23 6.26 6.07 6.15 6365400 57949592.00
2022/03/29 6.16 6.22 6.04 6.14 4971200 45083728.00
2022/03/30 6.16 6.20 6.07 6.18 5435300 49366996.00
2022/03/31 6.14 6.69 6.14 6.47 19383043 185753856.00
2022/04/01 6.34 6.51 6.17 6.19 9992700 92446000.00
2022/04/06 6.24 6.41 6.24 6.30 6710600 62709116.00
2022/04/07 6.30 6.32 6.04 6.08 6828600 62110272.00
2022/04/08 6.08 6.09 5.86 5.89 5944513 52207652.00
2022/04/11 5.84 5.89 5.55 5.57 5134800 43485300.00
2022/04/12 5.58 5.72 5.45 5.68 5445501 45104804.00
2022/04/13 5.70 5.72 5.46 5.54 3844100 31695000.00
2022/04/14 5.54 5.64 5.54 5.56 3475400 28870812.00
