000423 东阿阿胶 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 22.70 23.73 22.58 23.37 6264179 193462832.00
2021/08/03 23.56 24.23 23.27 24.13 4750572 149968832.00
2021/08/04 24.13 24.18 23.64 23.73 3896782 122497976.00
2021/08/05 23.75 24.25 23.24 23.39 3675118 114835024.00
2021/08/06 23.16 23.21 22.56 22.91 3799078 115772032.00
2021/08/09 22.86 23.67 22.68 23.50 3391959 105145328.00
2021/08/10 23.41 23.81 23.29 23.72 3622994 113040152.00
2021/08/11 23.56 23.93 23.25 23.31 4067021 126711184.00
2021/08/12 23.32 24.05 23.27 23.89 5456221 171908112.00
2021/08/13 23.89 24.08 23.62 23.81 2940313 92371088.00
2021/08/16 23.88 24.34 23.64 23.71 3228795 101837360.00
2021/08/17 23.88 23.98 23.18 23.19 3734510 116538888.00
2021/08/18 23.27 23.44 22.90 23.36 3128203 96207368.00
2021/08/19 23.29 23.49 22.95 23.11 2796455 86093888.00
2021/08/20 23.25 23.34 22.39 22.70 5050649 151692496.00
2021/08/23 23.29 25.70 22.98 25.34 17462831 562885888.00
2021/08/24 25.59 25.59 24.37 25.23 9645755 310008416.00
2021/08/25 25.45 27.57 24.99 26.70 17999232 609677824.00
2021/08/26 26.72 27.27 26.09 26.09 9696409 329257216.00
2021/08/27 26.09 27.29 26.09 26.96 8516539 291898240.00
2021/08/30 27.01 27.37 26.49 27.09 7660995 262462176.00
2021/08/31 26.91 27.28 26.36 27.06 4893975 167050544.00
2021/09/01 26.94 27.44 26.40 27.18 5995702 206562368.00
2021/09/02 27.18 27.26 26.13 26.69 6645753 225733712.00
2021/09/03 26.63 26.93 26.39 26.74 4173662 141800480.00
2021/09/06 26.60 27.54 26.59 26.75 5808391 199219344.00
2021/09/07 26.51 27.04 26.50 26.75 3820253 130184848.00
2021/09/08 26.71 28.56 26.54 27.02 9906701 347038784.00
2021/09/09 27.26 27.47 26.32 26.70 8444959 287102656.00
2021/09/10 26.53 26.83 25.82 26.15 7508029 251568448.00
2021/09/13 26.27 27.74 26.22 27.67 10573304 364707744.00
2021/09/14 27.42 27.62 26.42 26.69 6673496 228453360.00
2021/09/15 26.49 26.62 25.94 26.19 5310810 177950384.00
2021/09/16 26.19 26.57 25.69 25.72 4260887 141872112.00
2021/09/17 25.72 25.85 24.77 25.26 4043026 131365040.00
2021/09/22 24.89 26.12 24.89 25.97 3496314 115124704.00
2021/09/23 25.74 26.65 25.74 26.44 3552682 119674928.00
2021/09/24 26.63 27.84 26.34 27.09 7365043 253950352.00
2021/09/27 27.13 28.54 26.94 27.57 8134267 286002880.00
2021/09/28 27.53 27.94 26.85 27.46 4556006 158194528.00
2021/09/29 27.21 27.74 26.82 26.95 5069580 175438896.00
2021/09/30 26.97 28.05 26.89 27.71 5802922 203132000.00
2021/10/08 27.92 28.65 27.29 28.18 6256428 221527296.00
2021/10/11 28.19 28.68 27.70 27.86 4509559 159217744.00
2021/10/12 27.86 28.44 27.57 27.90 5612118 198333744.00
2021/10/13 27.97 28.79 27.51 28.79 7389906 263828352.00
2021/10/14 28.78 29.11 28.02 28.68 6169595 221188432.00
2021/10/15 32.28 32.28 31.74 32.28 33655902 1332259840.00
2021/10/18 32.48 34.18 32.20 34.09 37361185 1522288256.00
2021/10/19 33.69 36.98 33.51 36.87 31862934 1379262336.00
2021/10/20 37.24 37.84 36.54 37.51 25340763 1131344384.00
2021/10/21 37.11 38.52 36.74 37.12 19152982 856722048.00
2021/10/22 37.00 37.10 35.57 36.04 15847439 688815424.00
2021/10/25 35.69 36.25 34.69 35.19 18175452 772887936.00
2021/10/26 35.19 35.54 33.29 33.74 20737189 862476608.00
2021/10/27 33.32 33.48 32.40 32.65 16458515 660768384.00
2021/10/28 32.69 33.36 32.29 32.82 16767908 674801344.00
2021/10/29 32.59 33.99 32.29 33.32 15369686 624143744.00
2021/11/01 33.79 34.53 33.05 33.92 15675270 647562048.00
2021/11/02 33.92 34.62 32.77 33.39 12303731 503808768.00
2021/11/03 33.37 33.81 32.97 33.43 8046576 327776352.00
2021/11/04 33.69 34.44 32.63 34.24 12207144 500599168.00
2021/11/05 33.69 34.09 32.79 33.63 10526545 429299072.00
2021/11/08 33.19 34.19 32.90 33.47 8129199 331621600.00
2021/11/09 33.64 35.23 32.96 33.15 14372528 595493952.00
2021/11/10 32.94 33.91 32.27 32.71 11410538 458331072.00
2021/11/11 32.59 33.09 32.09 32.63 7984729 318471936.00
2021/11/12 32.80 33.28 32.62 32.98 5612747 225983968.00
2021/11/15 32.99 33.50 32.41 33.22 6308893 254925904.00
2021/11/16 33.14 34.56 33.05 33.87 10122016 418095200.00
2021/11/17 33.31 35.64 33.31 34.89 13835404 583729408.00
2021/11/18 34.89 35.00 33.87 34.49 6990354 291737056.00
2021/11/19 34.28 35.17 33.92 34.39 6583432 274945984.00
2021/11/22 34.69 35.33 33.62 34.90 10432303 438547008.00
2021/11/23 34.95 34.95 33.79 34.07 6070339 251736688.00
2021/11/24 33.70 34.08 31.98 32.30 12148485 483895360.00
2021/11/25 32.20 35.03 32.05 34.39 14391108 593887488.00
2021/11/26 34.80 34.80 33.35 33.60 7610781 312968224.00
2021/11/29 33.19 33.85 32.90 33.59 4852189 197666272.00
2021/11/30 33.48 34.19 32.61 33.61 6959831 282954560.00
2021/12/01 33.59 34.75 33.29 34.43 9106983 376010336.00
2021/12/02 34.37 37.04 33.91 33.95 17260922 740553344.00
2021/12/03 33.94 35.74 33.87 34.70 11644462 491500896.00
2021/12/06 35.28 35.79 34.74 35.25 7689400 326862848.00
2021/12/07 35.34 36.98 35.34 35.94 13548332 589557376.00
2021/12/08 36.10 36.79 34.94 36.29 9415906 408953408.00
2021/12/09 35.74 37.84 35.74 37.21 11629518 519124320.00
2021/12/10 37.19 38.19 36.79 37.88 10801204 485307680.00
2021/12/13 38.19 38.84 37.59 37.95 8257036 374444832.00
2021/12/14 37.67 38.68 36.64 36.94 9669416 431045696.00
2021/12/15 36.76 37.18 35.33 35.54 9192641 398011648.00
2021/12/16 35.59 36.15 34.84 35.47 7335496 313412512.00
2021/12/17 35.29 35.54 34.21 34.40 8624742 361338016.00
2021/12/20 34.67 36.92 34.40 36.10 13675853 594277952.00
2021/12/21 35.70 36.39 35.09 35.59 6513662 279839264.00
2021/12/22 35.59 39.29 35.27 38.92 15451520 695579136.00
2021/12/23 38.92 38.94 37.32 38.02 12907349 585636416.00
2021/12/24 38.20 40.77 38.09 40.17 17619643 832775872.00
2021/12/27 40.66 41.49 39.11 40.05 12844971 609950528.00
2021/12/28 39.54 39.79 37.89 38.25 13241263 605956416.00
2021/12/29 38.25 39.29 36.90 37.00 11963650 540105792.00
2021/12/30 36.90 38.77 36.66 38.45 9283467 419655520.00
2021/12/31 38.69 41.83 38.33 41.44 15304607 736834816.00
2022/01/04 41.81 42.81 39.99 40.14 15658778 760623808.00
2022/01/05 40.19 40.54 38.49 39.33 10189314 475136672.00
2022/01/06 39.34 39.94 38.05 39.67 11590733 536540576.00
2022/01/07 38.74 39.79 37.15 37.43 13845400 631397632.00
2022/01/10 37.43 38.66 37.24 37.73 8303831 374464832.00
2022/01/11 39.09 42.23 38.68 42.23 26487099 1294871552.00
2022/01/12 41.44 41.44 37.50 37.66 32442813 1494944384.00
2022/01/13 37.65 37.65 33.58 33.69 27522785 1161501184.00
2022/01/14 33.40 34.92 32.79 33.75 15481214 641026048.00
2022/01/17 33.69 34.13 32.89 33.28 10796981 438606976.00
2022/01/18 33.27 33.93 32.89 33.44 9588266 390611584.00
2022/01/19 33.46 34.10 32.19 33.36 9967577 402910816.00
2022/01/20 33.34 33.85 32.70 32.91 6879298 278851680.00
2022/01/21 32.95 33.17 31.40 31.62 9522412 375288096.00
2022/01/24 31.69 32.38 31.19 32.09 6900091 269925632.00
2022/01/25 32.10 32.47 30.15 30.30 10099327 387838688.00
2022/01/26 31.06 31.71 30.09 31.09 7448799 285208480.00
2022/01/27 31.51 31.89 30.29 30.48 5813388 222430928.00
2022/01/28 29.69 31.69 29.52 30.58 8545379 324416704.00
2022/02/07 31.09 31.17 30.19 30.29 6685346 253274912.00
2022/02/08 30.31 30.55 29.42 30.24 6713479 249996048.00
2022/02/09 30.38 32.02 29.89 31.76 9278026 356254816.00
2022/02/10 31.69 31.98 31.09 31.22 4955271 191670944.00
2022/02/11 31.22 31.22 29.80 29.91 6102389 229879456.00
2022/02/14 29.54 30.37 29.39 29.49 4832600 178782880.00
2022/02/15 29.59 30.46 29.51 30.28 4106785 153676480.00
2022/02/16 30.31 30.42 29.91 30.31 3570732 133573024.00
2022/02/17 30.14 30.54 29.98 30.15 3290600 123374856.00
2022/02/18 30.09 30.82 29.92 30.24 3403217 128046608.00
2022/02/21 30.25 30.99 30.19 30.92 4316823 163620416.00
2022/02/22 30.54 30.64 29.40 29.91 5830253 216651984.00
2022/02/23 29.76 30.72 29.76 30.19 6611618 248220256.00
2022/02/24 29.99 31.19 29.59 29.76 9516055 357462816.00
2022/02/25 30.39 31.06 29.99 30.70 6772399 256779808.00
2022/02/28 30.88 30.94 30.19 30.63 4044966 152945616.00
2022/03/01 30.67 31.17 30.46 30.76 4689687 178578992.00
2022/03/02 30.68 31.24 30.14 31.06 4764634 181575744.00
2022/03/03 30.99 31.43 30.64 30.69 5613839 215049872.00
2022/03/04 30.65 31.49 30.19 30.69 6104850 233782112.00
2022/03/07 30.71 30.73 29.58 29.67 7851234 293001344.00
2022/03/08 29.51 29.76 26.27 26.27 15202930 527037824.00
2022/03/09 26.39 27.48 25.06 26.73 10933511 370791072.00
2022/03/10 27.47 27.77 26.88 27.09 5982734 206844048.00
2022/03/11 26.76 27.64 26.54 27.59 7222868 247897728.00
2022/03/14 27.43 27.66 26.59 26.67 6468669 222495056.00
2022/03/15 26.19 26.53 24.53 24.59 8285052 272847168.00
2022/03/16 24.99 25.77 24.11 25.59 7209705 233169472.00
2022/03/17 26.15 27.18 26.09 26.27 7077332 239549440.00
2022/03/18 26.46 27.17 26.28 26.66 4933337 167639328.00
2022/03/21 26.80 27.57 26.80 27.38 5038599 173932080.00
2022/03/22 27.32 27.57 26.84 27.14 4198010 144798416.00
2022/03/23 27.19 27.90 27.12 27.54 5855599 204545216.00
2022/03/24 27.54 28.77 27.34 28.30 6005450 213204240.00
2022/03/25 28.22 28.80 27.62 27.81 5663407 201021328.00
2022/03/28 26.70 27.46 26.45 27.21 6431192 220764928.00
2022/03/29 27.19 27.83 26.75 27.24 7603530 262960896.00
2022/03/30 27.49 27.49 26.49 26.81 9653374 328896544.00
2022/03/31 26.69 28.04 26.51 26.59 10152021 349877952.00
2022/04/01 26.34 26.62 25.56 26.50 6997653 234244288.00
2022/04/06 27.19 27.19 25.82 25.99 6667151 224616304.00
2022/04/07 25.99 26.76 25.42 25.44 7328911 243316464.00
2022/04/08 25.55 25.59 24.50 24.73 5810197 186933488.00
2022/04/11 24.66 24.82 23.66 23.87 6777532 213498640.00
2022/04/12 23.71 24.98 23.71 24.84 6198477 196258240.00
2022/04/13 24.73 24.90 24.14 24.49 4177470 132986784.00
