000609 ST中迪 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 2.99 3.00 2.93 2.99 1919532 5687008.00
2021/08/03 2.96 3.14 2.95 3.14 2300710 7026238.50
2021/08/04 3.30 3.30 3.30 3.30 456800 1507440.00
2021/08/05 3.47 3.47 3.37 3.47 16202558 55940612.00
2021/08/06 3.53 3.64 3.49 3.64 7748399 27884036.00
2021/08/09 3.79 3.82 3.73 3.82 3822507 14521408.00
2021/08/10 3.69 3.95 3.65 3.68 18755661 70351864.00
2021/08/11 3.65 3.86 3.58 3.86 6932936 25757074.00
2021/08/12 3.92 4.05 3.83 3.90 19737197 79091064.00
2021/08/13 3.84 4.10 3.76 3.96 15076239 59175008.00
2021/08/16 3.94 4.16 3.88 4.13 21261987 87595040.00
2021/08/17 4.01 4.19 3.92 3.92 18776553 75702808.00
2021/08/18 3.86 4.12 3.86 4.12 16032487 65540912.00
2021/08/19 4.08 4.15 3.91 3.92 13453850 54247664.00
2021/08/20 3.95 3.97 3.77 3.94 8788452 34223736.00
2021/08/23 3.93 4.14 3.90 4.09 6588758 26606766.00
2021/08/24 4.06 4.18 4.02 4.06 7732292 31491652.00
2021/08/25 4.02 4.09 3.98 4.06 4467767 18082652.00
2021/08/26 4.07 4.26 4.04 4.26 11306120 47984596.00
2021/08/27 4.22 4.47 4.22 4.47 5666090 24971664.00
2021/08/30 4.69 4.69 4.57 4.69 3102621 14538439.00
2021/08/31 4.92 4.92 4.92 4.92 1487278 7317408.00
2021/09/01 5.17 5.17 4.67 4.82 19871767 97326248.00
2021/09/02 4.76 5.06 4.71 4.80 14690047 72230432.00
2021/09/03 5.04 5.04 4.80 4.96 18937698 94010712.00
2021/09/06 4.74 5.06 4.71 4.85 15442317 74777992.00
2021/09/07 5.08 5.09 4.94 5.09 12020846 60867476.00
2021/09/08 5.34 5.34 5.34 5.34 1229900 6567666.00
2021/09/09 5.61 5.61 5.61 5.61 1071700 6012237.00
2021/09/10 5.85 5.89 5.62 5.89 33047429 193601968.00
2021/09/13 5.91 6.14 5.74 5.96 19111825 112752880.00
2021/09/14 5.89 5.96 5.66 5.68 15258424 87867792.00
2021/09/15 5.42 5.63 5.40 5.40 15643767 84756264.00
2021/09/16 5.36 5.53 5.13 5.13 13965802 73690232.00
2021/09/17 5.14 5.18 4.87 4.92 10667729 52981480.00
2021/09/22 4.86 5.08 4.71 4.95 8392400 41179120.00
2021/09/23 4.85 4.98 4.70 4.91 14196478 67620880.00
2021/09/24 4.84 4.85 4.66 4.66 9152600 43123604.00
2021/09/27 4.50 4.56 4.43 4.43 5534986 24615980.00
2021/09/28 4.54 4.56 4.21 4.21 14532208 62112336.00
2021/09/29 4.15 4.24 4.01 4.17 9896595 40602240.00
2021/09/30 4.34 4.38 4.30 4.38 2976613 12964157.00
2021/10/08 4.60 4.60 4.35 4.52 13676610 61497572.00
2021/10/11 4.55 4.75 4.50 4.75 6187054 28645228.00
2021/10/12 4.80 4.99 4.73 4.99 11609434 57381548.00
2021/10/13 4.89 5.11 4.88 4.90 8272581 41105720.00
2021/10/14 4.91 4.92 4.66 4.66 5767401 27056014.00
2021/10/15 4.43 4.64 4.43 4.51 9698800 43444496.00
2021/10/18 4.53 4.53 4.28 4.34 7881300 34021540.00
2021/10/19 4.34 4.46 4.26 4.29 5633527 24381488.00
2021/10/20 4.25 4.38 4.13 4.38 6363729 26929354.00
2021/10/21 4.25 4.35 4.22 4.27 3568500 15260203.00
2021/10/22 4.22 4.25 4.10 4.17 4534102 18822142.00
2021/10/25 4.14 4.14 3.96 3.96 6209000 24836094.00
2021/10/26 4.11 4.16 4.03 4.16 1888353 7800614.50
2021/10/27 4.30 4.37 4.25 4.37 6650823 28915450.00
2021/10/28 4.59 4.59 4.50 4.59 4977400 22830780.00
2021/10/29 4.66 4.76 4.47 4.71 11767652 54202876.00
2021/11/01 4.64 4.95 4.56 4.95 7885313 37868252.00
2021/11/02 4.90 4.97 4.70 4.70 7930727 38269964.00
2021/11/03 4.63 4.90 4.56 4.82 7281040 34157404.00
2021/11/04 4.77 4.87 4.71 4.80 5312889 25338324.00
2021/11/05 4.74 5.04 4.71 4.91 7769336 38080964.00
2021/11/08 4.83 5.10 4.76 4.99 6613470 32615416.00
2021/11/09 4.96 5.24 4.94 5.24 12966600 67405984.00
2021/11/10 5.15 5.20 5.05 5.09 9870300 50514476.00
2021/11/11 5.05 5.32 5.05 5.13 8842666 45842368.00
2021/11/12 5.02 5.11 4.98 5.09 6347923 32069784.00
2021/11/15 5.01 5.30 4.99 5.12 5197996 26737300.00
2021/11/16 5.12 5.29 5.06 5.25 6645999 34547420.00
2021/11/17 5.27 5.45 5.23 5.41 6135972 32982144.00
2021/11/18 5.37 5.54 5.28 5.38 7356702 39718340.00
2021/11/19 5.40 5.65 5.31 5.62 8640929 48127648.00
2021/11/22 5.51 5.83 5.50 5.78 7967340 45020452.00
2021/11/23 5.75 5.75 5.49 5.49 9344700 52137984.00
2021/11/24 5.22 5.35 5.22 5.22 14101755 73861952.00
2021/11/25 5.20 5.48 5.18 5.33 11904458 64081860.00
2021/11/26 5.31 5.60 5.27 5.60 14677278 81362824.00
2021/11/29 5.68 5.75 5.36 5.48 13588750 75952016.00
2021/11/30 5.26 5.75 5.21 5.21 26154073 141493424.00
2021/12/01 4.95 4.95 4.95 4.95 3312600 16397370.00
2021/12/02 4.83 5.10 4.77 4.90 15389725 75210312.00
2021/12/03 4.83 4.84 4.66 4.72 9999398 47270848.00
2021/12/06 4.71 4.89 4.60 4.77 4794763 23013778.00
2021/12/07 4.79 5.01 4.78 5.01 5831169 29008082.00
2021/12/08 5.11 5.13 4.92 4.94 7247022 36316844.00
2021/12/09 5.00 5.04 4.89 4.99 3110611 15430724.00
2021/12/10 5.03 5.07 4.92 4.98 3366521 16793346.00
2021/12/13 4.92 5.03 4.80 4.83 4110501 20201444.00
2021/12/14 4.79 4.86 4.66 4.76 3133000 14796435.00
2021/12/15 4.74 4.90 4.72 4.78 2022400 9694506.00
2021/12/16 4.80 4.83 4.75 4.75 1536200 7337412.00
2021/12/17 4.75 4.79 4.66 4.73 1812900 8559014.00
2021/12/20 4.68 4.76 4.50 4.56 2555792 11857213.00
2021/12/21 4.56 4.79 4.38 4.79 4156610 19144278.00
2021/12/22 4.79 4.96 4.70 4.74 2930500 14162607.00
2021/12/23 4.62 4.76 4.62 4.70 1427490 6708961.50
2021/12/24 4.77 4.92 4.72 4.79 2184600 10553440.00
2021/12/27 4.78 4.93 4.74 4.84 2049002 9955912.00
2021/12/28 4.81 4.88 4.79 4.81 1110200 5355420.00
2021/12/29 4.79 4.86 4.75 4.80 1366800 6551573.00
2021/12/30 5.03 5.04 4.83 4.87 4350202 21565318.00
2021/12/31 4.78 4.88 4.74 4.84 2569590 12367258.00
2022/01/04 4.84 4.95 4.79 4.82 2433306 11787223.00
2022/01/05 4.86 4.89 4.75 4.82 2193100 10563886.00
2022/01/06 4.81 4.89 4.76 4.81 1767810 8519958.00
2022/01/07 4.80 4.83 4.79 4.83 2283600 10979758.00
2022/01/10 4.82 4.87 4.74 4.76 1712360 8207635.00
