000635 英 力 特 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 11.30 11.57 11.12 11.50 7644200 86628840.00
2021/08/03 11.54 11.58 11.13 11.20 6152650 69882528.00
2021/08/04 11.13 11.59 11.12 11.45 5755300 65734132.00
2021/08/05 11.46 11.47 11.09 11.15 6044500 67921992.00
2021/08/06 11.17 12.26 11.17 12.15 15594731 184147232.00
2021/08/09 12.50 13.27 12.27 12.42 26747664 338849088.00
2021/08/10 12.70 13.35 12.63 13.01 24168008 314590848.00
2021/08/11 12.98 14.10 12.90 13.86 20963716 286780704.00
2021/08/12 13.74 13.80 13.34 13.46 14485643 195632224.00
2021/08/13 13.59 13.66 13.29 13.51 11903450 160435088.00
2021/08/16 13.51 13.64 13.13 13.36 12915784 172213168.00
2021/08/17 13.41 13.75 13.01 13.14 12534734 166921520.00
2021/08/18 13.13 14.18 13.11 13.78 21090800 289958048.00
2021/08/19 13.78 13.87 12.75 13.28 15661896 206346784.00
2021/08/20 13.16 13.77 12.61 13.45 12914650 171764208.00
2021/08/23 13.69 13.94 13.30 13.46 13759595 186845984.00
2021/08/24 13.47 13.57 13.21 13.32 10444120 139790896.00
2021/08/25 13.32 13.62 13.00 13.62 11198166 149299232.00
2021/08/26 13.75 13.87 13.26 13.38 12436150 167813728.00
2021/08/27 13.49 14.72 13.11 14.72 30793084 437272256.00
2021/08/30 14.84 15.50 14.30 14.57 34390366 503406336.00
2021/08/31 14.66 14.72 14.00 14.28 23769576 338523008.00
2021/09/01 14.35 14.67 12.85 12.85 31828688 431947424.00
2021/09/02 12.50 13.64 12.38 13.54 22779608 299798496.00
2021/09/03 13.66 14.89 13.65 14.30 39688582 576223232.00
2021/09/06 14.30 14.39 12.95 13.46 26788326 359166592.00
2021/09/07 13.62 14.81 13.60 14.81 22374215 323900128.00
2021/09/08 15.37 16.29 15.22 16.29 44139578 696353344.00
2021/09/09 16.30 17.57 16.30 16.59 45854804 770263040.00
2021/09/10 16.80 17.22 16.29 16.49 27983756 466939104.00
2021/09/13 16.51 17.04 16.15 16.87 26640408 442415040.00
2021/09/14 16.60 16.65 15.64 16.14 21846724 354983648.00
2021/09/15 16.15 16.98 15.95 16.73 24673184 406837056.00
2021/09/16 17.28 18.14 16.69 16.80 29980993 519497056.00
2021/09/17 16.60 17.35 15.71 16.36 21915143 362659008.00
2021/09/22 16.40 17.66 16.34 17.66 22555223 383321376.00
2021/09/23 17.65 18.30 16.60 17.34 25032485 438308256.00
2021/09/24 17.36 17.50 15.66 15.76 20173711 326324320.00
2021/09/27 16.09 16.28 14.18 14.18 18434700 276074848.00
2021/09/28 13.92 15.28 13.92 14.76 18154900 264522848.00
2021/09/29 14.90 15.34 14.13 14.14 14434406 211843264.00
2021/09/30 14.30 15.12 14.16 14.77 11001218 161350288.00
2021/10/08 15.00 15.07 13.85 14.02 16658505 235896864.00
2021/10/11 14.14 14.26 12.63 13.77 12971806 178131520.00
2021/10/12 13.94 14.18 12.88 13.16 12380083 165472736.00
2021/10/13 13.00 13.25 12.25 12.63 11913700 149986640.00
2021/10/14 11.68 11.95 11.37 11.72 25162200 290268992.00
