001259 利仁科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2022/08/31 23.14 27.88 23.14 27.88 665356 18833188.00
2022/09/01 30.72 30.72 30.72 30.72 101600 3178048.00
2022/09/02 33.85 33.85 33.85 33.85 145966 5022690.00
2022/09/05 37.29 37.29 37.29 37.29 468426 17729924.00
2022/09/06 40.21 40.26 34.52 34.77 12058796 456215456.00
2022/09/07 31.94 34.44 31.24 31.24 7843156 252549024.00
2022/09/08 29.86 30.42 29.41 29.58 6440277 195593856.00
2022/09/09 29.65 30.12 29.46 29.70 3620672 109647192.00
2022/09/13 29.39 30.21 28.76 29.79 3678489 111503272.00
2022/09/14 29.09 30.79 28.75 30.79 5347799 163797040.00
2022/09/15 30.74 30.74 28.64 28.64 4902501 147752608.00
2022/09/16 28.34 31.56 28.05 31.56 6968637 213870096.00
2022/09/19 31.78 34.77 31.50 34.77 10919512 370836672.00
2022/09/20 36.43 38.30 32.95 38.30 12569022 466513888.00
2022/09/21 37.74 42.19 37.43 42.19 7369820 302194208.00
2022/09/22 43.04 46.47 39.22 46.47 9857133 440128128.00
2022/09/23 42.88 44.12 41.77 42.94 10493179 450019968.00
2022/09/26 42.54 45.79 42.54 43.58 9347421 417281856.00
2022/09/27 42.45 43.63 39.17 40.34 9730319 396185760.00
2022/09/28 39.52 42.80 37.26 37.40 11547894 469634208.00
2022/09/29 36.29 36.94 33.60 33.60 9394353 329919296.00
2022/09/30 32.43 32.60 30.19 30.64 8040093 254826816.00
2022/10/10 30.64 31.80 29.77 31.23 8298308 260977456.00
2022/10/11 30.74 30.79 29.59 29.94 5598631 171191792.00
2022/10/12 30.04 31.19 29.86 31.14 6096082 189025952.00
2022/10/13 31.77 31.78 30.57 31.12 6337726 200654720.00
2022/10/14 32.05 32.39 30.81 31.59 7280049 233535664.00
2022/10/17 31.06 31.41 30.47 31.30 4916900 155144080.00
2022/10/18 31.24 34.22 31.11 32.57 8323700 276074720.00
2022/10/19 31.60 32.43 31.27 31.32 5272200 170303904.00
2022/10/20 30.44 30.85 29.59 29.82 5290002 161865728.00
2022/10/21 29.65 29.82 28.76 29.00 3781204 112486312.00
2022/10/24 29.34 29.70 28.65 28.98 3085220 92017032.00
2022/10/25 28.70 29.22 27.51 28.02 3045100 87245168.00
2022/10/26 28.02 29.09 28.01 28.91 3146200 92228784.00
2022/10/27 28.64 29.37 28.34 28.37 2352055 68780344.00
2022/10/28 28.74 31.26 28.60 31.26 4186202 129789128.00
2022/10/31 32.69 34.44 31.24 31.27 10186341 339560608.00
2022/11/01 30.33 31.21 29.76 31.21 6816273 210380768.00
2022/11/02 30.94 31.40 30.63 30.85 5302355 167004432.00
2022/11/03 30.44 31.79 30.23 31.00 4808184 152003392.00
2022/11/04 30.49 31.74 30.49 31.24 4513100 142762032.00
2022/11/07 31.31 32.92 31.14 32.28 6406058 208664144.00
2022/11/08 31.82 32.08 30.94 31.55 4111570 131312736.00
2022/11/09 31.39 31.91 31.06 31.72 3313000 106073424.00
2022/11/10 31.39 31.39 29.94 30.05 4569616 142501632.00
2022/11/11 30.36 31.04 29.57 29.83 3800186 116942928.00
2022/11/14 30.07 31.07 29.85 30.72 4541425 141402896.00
2022/11/15 30.64 31.08 30.15 30.94 3045100 95330960.00
2022/11/16 30.93 30.93 30.11 30.16 2534500 78474080.00
2022/11/17 30.02 32.62 29.64 31.69 6434100 205619824.00
2022/11/18 31.22 31.80 29.95 30.24 4959377 155933472.00
2022/11/21 30.24 30.29 28.94 29.98 2299072 69653168.00
2022/11/22 29.73 29.93 28.85 29.09 3048416 91126544.00
2022/11/23 28.99 29.09 28.05 28.73 2268000 65801296.00
2022/11/24 28.74 29.41 28.74 29.06 1773506 52628392.00
2022/11/25 29.08 29.34 28.77 28.96 1470416 43479064.00
2022/11/28 28.24 29.06 28.10 28.52 1421000 41369112.00
2022/11/29 28.79 29.32 28.68 29.10 1787216 52869980.00
2022/11/30 29.20 29.52 28.88 29.12 1807900 53773324.00
2022/12/01 29.29 29.73 29.21 29.65 1834700 55218028.00
2022/12/02 29.48 30.21 29.29 30.10 2595716 79006264.00
2022/12/05 30.29 30.94 29.85 30.40 2766832 85186992.00
2022/12/06 30.24 30.90 29.87 30.04 2437616 75251736.00
2022/12/07 29.87 30.24 29.75 29.83 1846100 56312936.00
2022/12/08 29.49 30.95 29.26 30.33 3602384 111173504.00
2022/12/09 30.28 32.74 30.26 30.95 5614961 179270848.00
2022/12/12 30.49 32.42 30.07 30.74 3964645 125281776.00
2022/12/13 30.18 31.59 30.18 31.14 3170300 100257424.00
2022/12/14 30.75 31.94 30.39 31.92 4112819 131152984.00
2022/12/15 31.93 32.04 30.64 30.89 4064306 129442616.00
2022/12/16 30.26 30.85 29.39 30.07 3447844 105540216.00
2022/12/19 29.94 30.37 28.84 29.07 2311832 68923000.00
2022/12/20 28.95 30.39 28.95 29.51 1984800 59984736.00
2022/12/21 29.51 29.78 28.55 28.61 1782216 52687560.00
2022/12/22 28.61 29.14 27.72 27.81 1935700 55780488.00
2022/12/23 27.51 29.44 27.51 28.14 1998032 57906396.00
2022/12/26 28.16 28.44 28.03 28.32 1243000 35792908.00
2022/12/27 28.27 28.72 27.84 28.58 1596800 46088432.00
2022/12/28 28.45 28.59 27.75 27.99 1375368 39440124.00
2022/12/29 27.66 28.08 26.60 27.04 2253800 62805392.00
2022/12/30 27.20 27.25 26.57 26.89 1632700 44822600.00
2023/01/03 26.90 28.21 26.88 28.03 1986500 56155724.00
2023/01/04 28.03 28.53 27.78 27.87 1643900 47084812.00
2023/01/05 27.79 28.08 27.45 28.02 991500 28165872.00
2023/01/06 27.99 28.19 27.73 27.85 899184 25645044.00
2023/01/09 27.89 28.26 27.75 28.19 1004384 28684832.00
2023/01/10 28.19 28.19 27.77 27.94 739000 21056480.00
2023/01/11 27.94 28.00 27.12 27.14 1235800 34697764.00
2023/01/12 27.02 27.43 26.91 26.98 891800 24654556.00
2023/01/13 27.10 27.82 26.94 27.53 1066884 29842546.00
2023/01/16 27.49 27.84 27.37 27.65 961400 27130404.00
2023/01/17 27.59 27.82 27.20 27.51 757700 21245780.00
2023/01/18 27.52 27.92 27.35 27.75 813536 22978554.00
2023/01/19 27.69 28.01 27.57 27.90 881300 25068556.00
2023/01/20 27.91 28.25 27.91 28.22 832500 23894304.00
2023/01/30 28.45 28.82 28.45 28.70 1435200 41893440.00
2023/01/31 28.79 28.82 28.49 28.65 793716 23131988.00
2023/02/01 28.99 29.19 28.65 29.05 1396148 41254600.00
2023/02/02 29.15 29.28 28.84 28.87 974816 28738746.00
2023/02/03 28.84 29.13 28.39 28.97 1352132 39647720.00
2023/02/06 28.87 29.07 28.46 28.59 686100 20106348.00
2023/02/07 28.79 28.79 28.51 28.73 575100 16800072.00
2023/02/08 28.75 28.89 28.54 28.70 604700 17710500.00
2023/02/09 28.58 28.95 28.55 28.91 785664 23111244.00
2023/02/10 29.04 29.18 28.76 28.89 806700 23806366.00
2023/02/13 29.00 29.36 28.84 29.28 1177160 35043816.00
2023/02/14 29.54 29.91 29.27 29.62 1804300 54350708.00
2023/02/15 29.44 29.54 29.28 29.35 1025816 30713972.00
2023/02/16 29.35 29.52 28.02 28.24 1735800 51093344.00
2023/02/17 28.90 31.12 28.59 31.12 3605784 111659752.00
2023/02/20 32.19 32.64 30.57 31.30 8817075 281454560.00
2023/02/21 31.05 31.33 30.40 31.08 4443160 139578688.00
2023/02/22 30.59 31.11 30.54 30.76 2726964 85517328.00
2023/02/23 30.69 31.69 30.64 31.01 3607791 114578752.00
2023/02/24 30.69 31.66 30.30 31.37 3542232 111994928.00
2023/02/27 31.05 32.52 31.04 31.75 5226944 169873584.00
2023/02/28 31.56 31.72 30.43 30.96 3508900 110542672.00
2023/03/01 31.19 31.19 30.40 30.74 2264315 70595320.00
2023/03/02 30.74 30.87 30.12 30.22 1957307 60529076.00
2023/03/03 30.40 30.40 29.63 29.98 1771500 54070968.00
2023/03/06 30.12 30.45 29.54 30.45 1974400 60565804.00
2023/03/07 30.35 30.35 29.23 29.26 1861711 56336088.00
2023/03/08 29.04 29.51 29.04 29.44 956236 28544458.00
2023/03/09 29.46 29.61 29.14 29.47 686000 20538776.00
2023/03/10 29.36 29.68 28.61 28.69 1176800 34833348.00
2023/03/13 28.67 28.99 28.25 28.91 782600 22914924.00
2023/03/14 28.89 28.89 28.10 28.31 939500 27196472.00
2023/03/15 28.44 28.72 28.43 28.49 547200 15946868.00
2023/03/16 28.12 29.52 28.02 28.89 1274700 37561884.00
2023/03/17 28.92 28.97 28.57 28.76 725368 21268136.00
2023/03/20 28.74 28.74 28.00 28.05 1001768 28879842.00
2023/03/21 28.05 28.87 28.04 28.86 1066500 31100328.00
2023/03/22 28.76 29.24 28.64 29.13 1019800 30117004.00
2023/03/23 28.80 29.58 28.80 29.26 1069000 31890784.00
2023/03/24 29.37 29.54 28.95 29.12 714800 21305450.00
2023/03/27 29.11 29.52 28.72 29.31 899668 26751398.00
2023/03/28 29.31 29.47 28.97 29.04 607600 18057632.00
2023/03/29 29.40 29.60 28.95 29.33 757500 22608280.00
2023/03/30 29.25 29.25 28.45 28.89 920700 27003364.00
2023/03/31 28.89 29.32 28.76 29.10 673600 19985684.00
2023/04/03 29.42 29.42 29.11 29.25 745100 22220660.00
2023/04/04 29.25 29.26 28.29 28.62 1078700 31545656.00
2023/04/06 28.61 28.73 28.35 28.40 553500 16086274.00
2023/04/07 28.59 29.09 28.39 28.84 643600 18920192.00
2023/04/10 28.83 28.83 28.06 28.25 851400 24562990.00
2023/04/11 28.12 28.36 27.95 28.05 496500 14234034.00
2023/04/12 28.05 28.43 27.75 27.84 536800 15311457.00
2023/04/13 27.86 28.10 27.54 28.01 520500 14775034.00
2023/04/14 28.02 28.04 27.53 27.60 638600 18072212.00
2023/04/17 27.77 28.78 27.63 28.58 1457400 42308608.00
2023/04/18 28.34 28.82 28.23 28.40 909700 26509886.00
2023/04/19 28.40 28.86 27.88 27.97 725900 20956684.00
2023/04/20 28.10 28.10 27.34 27.65 641902 18077028.00
2023/04/21 27.65 27.80 26.79 26.80 646600 17943686.00
2023/04/24 26.75 27.21 26.74 26.95 316700 8711642.00
2023/04/25 27.41 27.89 26.44 27.53 693100 19224568.00
2023/04/26 26.04 26.69 25.86 26.65 849200 22872540.00
2023/04/27 26.47 26.97 26.47 26.89 472300 12904652.00
2023/04/28 26.75 27.11 26.74 27.08 477600 13129590.00
2023/05/04 27.31 27.32 26.84 27.24 556300 15401179.00
2023/05/05 27.08 27.29 26.71 27.04 404400 11138996.00
2023/05/08 26.97 27.24 26.61 26.67 313200 8571910.00
2023/05/09 26.58 26.76 25.62 25.82 686200 18215744.00
2023/05/10 25.83 26.11 25.83 26.10 310900 8258929.00
2023/05/11 26.19 26.57 25.95 26.54 348500 9366178.00
2023/05/12 26.33 26.68 26.21 26.43 377800 10187975.00
2023/05/15 26.63 26.79 26.38 26.79 357800 9732431.00
2023/05/16 26.79 26.91 26.34 26.34 324100 8752160.00
2023/05/17 26.23 27.40 26.19 27.16 765300 21083132.00
2023/05/18 27.35 27.37 26.91 27.07 367300 10160796.00
2023/05/19 26.95 27.39 26.89 27.37 446000 12387424.00
2023/05/22 27.37 27.74 27.22 27.63 412500 11594897.00
2023/05/23 27.61 27.81 27.45 27.52 355300 10023463.00
2023/05/24 27.27 29.94 27.27 28.92 2777221 81465904.00
2023/05/25 28.67 30.40 28.53 30.04 5009684 152081104.00
2023/05/26 29.51 30.75 29.02 30.26 3254064 99740056.00
2023/05/29 30.33 30.33 29.37 29.70 2055300 62241792.00
2023/05/30 29.49 29.74 28.58 29.42 1617637 48251012.00
2023/05/31 29.65 29.69 28.25 28.31 1342300 39208176.00
2023/06/01 28.27 28.33 27.67 27.80 847800 24192934.00
2023/06/02 27.96 28.11 27.53 27.94 976800 27705612.00
2023/06/05 28.21 28.21 27.69 28.00 717100 20443432.00
2023/06/06 27.86 28.13 27.33 27.42 689000 19449460.00
2023/06/07 27.75 28.20 27.03 28.16 901000 25599776.00
2023/06/08 27.98 28.16 27.53 27.80 722700 20494324.00
2023/06/09 28.00 29.74 27.84 29.30 2561400 75510672.00
2023/06/12 29.11 29.22 28.34 28.45 1594200 46609424.00
2023/06/13 28.59 28.63 28.09 28.29 958900 27770600.00
2023/06/14 28.31 28.58 27.89 28.40 924200 26588144.00
2023/06/15 28.24 28.94 27.57 27.72 1637900 47056952.00
2023/06/16 27.66 27.90 27.64 27.73 727400 20602984.00
2023/06/19 27.70 27.82 27.47 27.74 545400 15394775.00
2023/06/20 27.74 27.75 27.35 27.51 500700 14058895.00
2023/06/21 27.57 27.65 27.17 27.17 409400 11461322.00
2023/06/26 27.19 27.44 26.97 27.14 526302 14598104.00
2023/06/27 27.14 27.94 27.05 27.64 796300 22480416.00
2023/06/28 27.64 28.42 27.09 28.28 1182300 33684900.00
2023/06/29 28.10 29.03 28.04 28.64 1220600 35803924.00
2023/06/30 28.72 28.94 28.48 28.70 645400 18895080.00
2023/07/03 28.83 28.83 28.39 28.44 571800 16663412.00
2023/07/04 28.57 29.73 28.54 29.51 2084800 62242076.00
2023/07/05 29.39 29.47 29.02 29.11 760100 22645376.00
2023/07/06 29.11 29.14 28.69 28.73 391700 11522812.00
2023/07/07 28.86 29.32 28.45 29.00 605100 17825650.00
2023/07/10 29.00 29.00 28.15 28.38 832800 24089084.00
2023/07/11 28.44 28.70 28.16 28.69 356100 10372845.00
2023/07/12 28.92 29.22 28.49 28.64 572800 16844436.00
2023/07/13 28.80 29.16 28.59 28.79 449900 13195788.00
2023/07/14 28.67 28.89 28.36 28.73 526300 15363649.00
2023/07/17 28.78 28.80 28.24 28.51 666500 19342290.00
2023/07/18 28.45 28.76 28.38 28.61 576400 16800240.00
2023/07/19 28.81 28.87 28.32 28.48 574400 16704429.00
2023/07/20 28.59 28.83 28.21 28.25 588900 17097468.00
2023/07/21 28.25 28.51 28.09 28.30 492500 14234343.00
2023/07/24 28.30 28.43 27.82 27.84 465800 13293699.00
2023/07/25 28.07 29.79 28.05 29.09 1746200 51674000.00
2023/07/26 29.10 29.10 28.68 28.93 670000 19719980.00
2023/07/27 28.67 29.43 28.57 28.62 1138500 33561096.00
2023/07/28 28.47 29.04 28.22 29.03 788600 23149088.00
2023/07/31 29.04 29.19 28.71 28.97 826400 24368942.00
2023/08/01 28.84 28.97 28.49 28.84 634300 18554236.00
2023/08/02 28.85 29.70 28.50 29.29 1346700 40167164.00
2023/08/03 29.20 30.08 28.44 28.52 2020000 60014256.00
2023/08/04 28.52 28.52 27.60 28.29 1720800 49197308.00
2023/08/07 28.01 28.21 27.61 27.78 701700 19890410.00
2023/08/08 27.78 27.90 27.63 27.78 436300 12358903.00
2023/08/09 27.70 27.81 27.39 27.60 435100 12235094.00
2023/08/10 27.77 28.59 27.60 28.59 1334400 38457104.00
2023/08/11 28.64 28.77 28.09 28.19 713800 20685060.00
2023/08/14 28.62 28.62 27.60 28.23 537200 15366044.00
2023/08/15 28.41 29.14 28.02 28.81 843800 24648268.00
2023/08/16 28.79 28.84 28.10 28.24 881900 25584904.00
2023/08/17 28.36 28.69 27.58 28.61 927300 26587030.00
2023/08/18 28.20 29.19 28.09 28.73 1548400 45473160.00
2023/08/21 29.19 29.19 28.64 29.06 1167400 34536864.00
2023/08/22 28.93 29.30 27.78 28.52 1305000 37861556.00
2023/08/23 28.50 28.56 27.66 27.94 915200 26121260.00
2023/08/24 27.94 28.04 26.85 27.54 981900 27466660.00
2023/08/25 27.49 27.49 26.02 26.24 1179400 32083880.00
2023/08/28 27.42 27.64 26.84 27.04 1525800 42508768.00
2023/08/29 26.93 28.64 26.84 28.61 1693100 48831000.00
2023/08/30 28.87 29.14 28.24 28.81 1053800 30946084.00
2023/08/31 29.03 29.61 28.91 29.28 1208000 36086960.00
2023/09/01 29.27 29.71 29.10 29.27 1201300 35988800.00
2023/09/04 29.26 29.71 28.81 29.05 901100 26704844.00
2023/09/05 29.05 29.37 28.82 29.15 672500 19959644.00
2023/09/06 28.94 30.44 28.94 29.84 1878700 57102312.00
2023/09/07 29.63 29.78 28.72 28.90 1153700 34295920.00
2023/09/08 28.74 29.10 28.53 28.77 591200 17368728.00
2023/09/11 28.77 29.10 28.53 28.89 532200 15622657.00
2023/09/12 28.85 28.92 28.40 28.56 523100 15250995.00
2023/09/13 28.68 28.92 28.27 28.52 653600 18992254.00
2023/09/14 28.61 28.62 27.98 28.13 644300 18542920.00
2023/09/15 28.52 28.52 27.92 28.28 458900 13196245.00
2023/09/18 28.28 29.52 27.97 29.35 1442800 42843608.00
2023/09/19 29.54 29.84 29.13 29.28 1113900 33555004.00
2023/09/20 29.28 29.52 28.94 29.20 637600 19000076.00
2023/09/21 29.20 29.27 28.39 28.57 433000 12722518.00
2023/09/22 28.56 29.34 28.24 29.34 655200 19367190.00
2023/09/25 29.28 29.41 28.51 28.81 449600 13180834.00
2023/09/26 29.04 29.04 28.37 28.54 330500 9618861.00
2023/09/27 28.54 29.42 28.28 29.24 766500 22707662.00
2023/09/28 29.23 29.41 28.42 28.66 1227800 36190056.00
2023/10/09 28.66 29.02 28.17 28.64 1176200 34268336.00
2023/10/10 28.62 28.71 27.97 28.16 620900 17880220.00
2023/10/11 28.16 28.17 27.78 27.98 711700 20294614.00
2023/10/12 28.06 28.36 27.80 27.92 711800 20356876.00
2023/10/13 27.81 28.01 27.40 27.46 781500 22061896.00
2023/10/16 27.46 27.92 27.46 27.84 496900 14060506.00
2023/10/17 28.04 28.36 27.86 27.90 594100 16994988.00
2023/10/18 27.91 27.91 27.07 27.37 583400 16323259.00
2023/10/19 27.23 27.93 26.97 27.22 422300 11805543.00
2023/10/20 27.09 27.66 27.04 27.23 326200 9062778.00
2023/10/23 27.22 27.22 26.34 26.61 549100 14948908.00
2023/10/24 26.71 27.87 26.71 27.73 689700 19384096.00
2023/10/25 27.91 28.07 27.34 27.84 616800 17426268.00
2023/10/26 27.44 28.03 27.31 28.03 480400 13542595.00
2023/10/27 27.89 28.36 27.71 28.12 786400 22548568.00
2023/10/30 28.06 28.13 27.69 27.92 660600 18789360.00
2023/10/31 27.92 28.12 27.67 28.03 506019 14376744.00
2023/11/01 27.97 28.42 27.89 28.14 555000 15922893.00
2023/11/02 28.08 28.31 27.44 27.71 932300 26361820.00
2023/11/03 27.74 28.17 27.71 27.97 877500 25051412.00
2023/11/06 28.24 28.34 27.93 28.30 661700 19006962.00
2023/11/07 28.39 28.81 28.12 28.68 1546300 45111264.00
2023/11/08 28.65 28.67 28.12 28.31 827800 23951174.00
