002022 科华生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 13.64 13.79 13.29 13.46 18455874 261329696.00
2021/08/03 13.34 14.59 12.32 14.57 36960665 542777792.00
2021/08/04 14.34 14.42 13.91 14.25 21360902 316553120.00
2021/08/05 14.18 14.77 14.00 14.01 18012533 269722624.00
2021/08/06 13.83 13.83 13.33 13.59 16463084 233048032.00
2021/08/09 13.59 13.79 13.49 13.71 11430206 163764000.00
2021/08/10 13.72 13.72 13.38 13.53 11029006 155907920.00
2021/08/11 13.46 13.63 13.40 13.55 8433039 119628536.00
2021/08/12 13.54 13.55 13.40 13.47 8208501 115839320.00
2021/08/13 13.45 13.55 13.37 13.44 7692978 108576088.00
2021/08/16 13.45 13.53 13.12 13.13 11931824 166648784.00
2021/08/17 13.12 13.24 12.77 12.83 10948104 149479520.00
2021/08/18 12.73 12.88 12.61 12.75 7714255 103230656.00
2021/08/19 12.75 12.95 12.74 12.78 6302303 85045472.00
2021/08/20 12.74 12.74 12.37 12.49 6962693 91452408.00
2021/08/23 12.52 13.01 12.51 12.99 8034028 108461528.00
2021/08/24 12.94 13.13 12.89 12.96 9221898 125987904.00
2021/08/25 12.99 13.04 12.76 13.03 6361753 86601056.00
2021/08/26 13.14 13.19 12.62 12.66 11005404 148079536.00
2021/08/27 12.64 12.64 12.41 12.58 8486817 111571544.00
2021/08/30 12.51 12.70 12.45 12.50 6606957 87349384.00
2021/08/31 12.50 12.52 12.14 12.40 7769828 100895568.00
2021/09/01 12.33 12.64 12.27 12.58 7429078 97697200.00
2021/09/02 12.58 12.62 12.45 12.55 5687259 75117040.00
2021/09/03 12.54 12.77 12.50 12.72 7746380 103340040.00
2021/09/06 12.73 12.99 12.68 12.92 10337877 139609200.00
2021/09/07 12.89 12.94 12.80 12.92 6692141 90635072.00
2021/09/08 12.94 13.20 12.89 13.15 9960320 136101952.00
2021/09/09 13.04 13.16 13.01 13.16 7750408 106470280.00
2021/09/10 13.16 13.47 13.00 13.35 12397594 172182640.00
2021/09/13 13.46 13.68 13.39 13.54 12043268 170999728.00
2021/09/14 13.54 13.62 13.09 13.12 10047552 140550720.00
2021/09/15 13.08 13.28 12.96 13.15 5591978 77247008.00
2021/09/16 13.15 13.29 13.04 13.08 5443195 75244856.00
2021/09/17 13.04 13.28 12.79 13.23 6639258 90947736.00
2021/09/22 13.19 13.43 13.06 13.34 6115454 85414896.00
2021/09/23 13.34 13.49 13.27 13.42 6220403 87481144.00
2021/09/24 13.44 13.44 13.04 13.06 6340353 87895904.00
2021/09/27 13.06 13.14 12.76 12.82 5530073 75045168.00
2021/09/28 12.82 12.89 12.77 12.79 2942432 39657720.00
2021/09/29 12.67 12.68 12.34 12.40 5843171 76663984.00
2021/09/30 12.41 12.56 12.41 12.52 3438838 45242212.00
2021/10/08 12.56 12.79 12.44 12.78 3710876 49407784.00
2021/10/11 12.78 12.90 12.60 12.72 3980666 53381104.00
2021/10/12 12.64 12.74 12.43 12.51 4603306 60815704.00
2021/10/13 12.74 13.23 12.73 13.23 13255355 181698816.00
2021/10/14 13.09 13.34 12.99 13.13 8604815 118939728.00
2021/10/15 13.04 13.04 12.75 12.76 7628828 103206304.00
2021/10/18 12.68 12.77 12.45 12.72 4428791 58785300.00
2021/10/19 12.74 13.04 12.74 12.99 4774278 64790248.00
2021/10/20 13.03 13.03 12.78 12.80 4723300 63961984.00
2021/10/21 12.76 13.11 12.67 13.11 7619797 103397696.00
2021/10/22 13.12 13.13 12.92 12.96 5652605 77254480.00
2021/10/25 12.84 13.09 12.74 13.07 5688817 77538992.00
2021/10/26 13.09 13.41 12.97 13.26 10858769 150873152.00
2021/10/27 13.22 13.24 12.84 13.22 7238977 99268792.00
2021/10/28 13.13 13.35 12.75 12.77 8069376 110835808.00
2021/10/29 12.76 13.12 12.74 13.11 6129038 83825272.00
2021/11/01 13.29 13.41 13.06 13.23 8938064 124276168.00
2021/11/02 13.15 13.24 12.75 12.95 6588200 90200912.00
2021/11/03 12.97 13.67 12.97 13.49 17885764 252779488.00
2021/11/04 13.39 13.64 13.35 13.63 13926099 197591856.00
2021/11/05 13.65 13.65 13.42 13.50 9983888 141270576.00
