002036 联创电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 17.68 18.19 17.10 17.40 51365872 902351936.00
2021/08/03 17.25 17.91 16.64 17.03 48347636 836801408.00
2021/08/04 16.89 18.57 16.88 18.42 58579644 1057656512.00
2021/08/05 18.42 20.26 18.19 20.26 46915313 923451968.00
2021/08/06 20.18 21.16 19.70 20.33 56823661 1150951296.00
2021/08/09 20.25 20.26 18.88 19.16 55932581 1079208064.00
2021/08/10 19.16 19.51 18.77 19.14 37072104 708149568.00
2021/08/11 19.14 19.34 18.68 18.88 26447919 500726112.00
2021/08/12 18.98 19.83 18.66 19.25 41336321 794024256.00
2021/08/13 19.55 20.66 19.19 19.28 46206897 919633344.00
2021/08/16 19.22 19.28 17.35 17.68 77138023 1366442496.00
2021/08/17 17.61 17.71 16.74 16.81 37793594 651478592.00
2021/08/18 16.84 17.25 16.38 16.78 29565363 496823936.00
2021/08/19 16.68 17.30 16.32 17.12 29035885 491430624.00
2021/08/20 16.98 17.23 16.45 16.99 24638789 416468384.00
2021/08/23 17.14 17.43 16.78 17.18 30633672 525159296.00
2021/08/24 16.98 18.08 15.64 17.90 70316320 1190989056.00
2021/08/25 17.98 18.20 17.50 17.56 31177228 552955328.00
2021/08/26 17.65 17.74 16.38 16.52 47526961 797629184.00
2021/08/27 16.52 18.00 16.09 17.55 42478524 726921600.00
2021/08/30 18.13 18.26 17.26 17.37 37118305 653182016.00
2021/08/31 17.30 17.30 16.32 16.73 37098609 619059584.00
2021/09/01 16.73 16.86 15.69 16.08 44739001 721118080.00
2021/09/02 15.90 16.58 15.56 16.05 23628911 381111072.00
2021/09/03 15.81 16.36 15.43 15.55 28555382 451527552.00
2021/09/06 15.63 16.16 15.43 16.00 22320096 355276544.00
2021/09/07 16.00 16.48 15.83 16.36 27846261 451162464.00
2021/09/08 16.33 17.15 16.28 17.15 35400915 594722688.00
2021/09/09 16.98 17.00 16.28 16.35 35680422 590666816.00
2021/09/10 16.31 16.85 16.23 16.38 26875106 442121152.00
2021/09/13 16.36 16.62 15.89 16.03 26012811 421514720.00
2021/09/14 16.19 16.30 15.82 15.97 20446083 330053248.00
2021/09/15 16.08 17.28 15.99 16.88 42719098 714843584.00
2021/09/16 16.73 16.81 15.88 15.88 31395232 510439296.00
2021/09/17 15.93 15.98 15.50 15.81 17385642 273215296.00
2021/09/22 15.59 16.14 15.54 16.08 13934196 222399744.00
2021/09/23 16.07 16.33 16.00 16.12 16591490 268475680.00
2021/09/24 16.12 17.07 16.08 16.59 27212096 454200416.00
2021/09/27 16.75 16.88 16.27 16.50 19530151 323645376.00
2021/09/28 16.46 16.62 16.18 16.31 15614184 255768144.00
2021/09/29 16.23 16.26 15.70 15.77 16780010 267129216.00
2021/09/30 15.95 16.68 15.88 16.50 18698808 308158816.00
2021/10/08 16.78 16.91 16.13 16.32 14352856 235819264.00
2021/10/11 16.45 16.78 16.05 16.55 15881235 262007712.00
2021/10/12 16.53 17.13 16.30 16.81 25727140 430921184.00
2021/10/13 17.07 18.48 16.80 17.79 33026128 580155008.00
2021/10/14 17.80 18.66 17.80 17.84 32014238 580753536.00
2021/10/15 17.48 18.53 17.38 17.96 29503542 529431520.00
2021/10/18 17.96 18.40 17.73 17.94 19813963 357840544.00
2021/10/19 18.22 18.86 17.63 17.87 33002672 601153344.00
2021/10/20 17.88 18.94 17.75 18.81 39094182 725692480.00
2021/10/21 18.86 18.98 17.08 17.20 50029118 890811264.00
2021/10/22 17.58 17.78 16.91 16.98 26997779 463148192.00
2021/10/25 16.96 17.21 16.81 16.97 18499886 314596704.00
2021/10/26 17.73 18.65 17.68 18.03 60157552 1092886144.00
2021/10/27 18.38 18.71 17.98 18.33 38304096 701684800.00
2021/10/28 18.64 20.06 18.28 19.41 65246309 1265984896.00
2021/10/29 19.79 20.56 19.29 20.27 45348017 912404672.00
2021/11/01 20.32 20.97 19.95 20.77 41242290 848848960.00
2021/11/02 20.54 20.90 19.58 19.76 53252486 1070772416.00
2021/11/03 19.98 20.07 19.10 19.88 44224833 865222016.00
2021/11/04 20.22 21.87 20.19 21.87 49094913 1039128192.00
2021/11/05 22.28 22.67 20.85 20.93 68961083 1495271680.00
2021/11/08 20.98 21.65 20.62 21.06 40813248 863102464.00
2021/11/09 21.46 21.46 20.33 20.97 42381348 885044864.00
2021/11/10 21.44 22.36 20.78 21.83 55096425 1200137344.00
2021/11/11 21.75 22.56 21.43 21.57 43326490 949579264.00
2021/11/12 21.34 22.97 21.28 22.28 42378954 938658304.00
2021/11/15 22.28 22.62 21.48 21.91 34606653 760962368.00
2021/11/16 21.67 22.30 20.64 20.78 47202353 1005572224.00
2021/11/17 20.94 21.19 20.56 20.99 26194804 549082624.00
2021/11/18 20.97 21.81 20.56 21.36 28788275 608912320.00
2021/11/19 21.16 23.50 21.11 23.50 69236176 1583997696.00
2021/11/22 23.28 24.14 23.10 23.94 67425437 1596654464.00
2021/11/23 23.84 24.55 23.64 23.77 41950242 1008172544.00
2021/11/24 23.71 24.58 23.44 23.74 38729184 928853824.00
2021/11/25 23.73 23.83 22.56 23.05 45338092 1043946944.00
2021/11/26 22.38 22.85 21.90 22.13 43851602 977968320.00
2021/11/29 21.78 22.90 21.66 22.55 39209369 874344064.00
2021/11/30 22.68 22.78 20.88 21.14 50744597 1099594496.00
2021/12/01 21.16 21.82 20.99 21.50 33044364 709163648.00
2021/12/02 21.38 22.12 20.77 21.83 35529610 764205184.00
2021/12/03 21.98 22.28 21.18 21.35 26714318 575980800.00
2021/12/06 21.26 21.53 20.87 20.87 21163166 448040928.00
2021/12/07 21.05 21.29 20.13 20.49 23538650 485212032.00
2021/12/08 20.63 21.92 20.50 21.15 30033451 637813568.00
2021/12/09 21.15 21.78 20.95 21.31 21252296 454974848.00
2021/12/10 20.97 21.53 20.77 21.10 19047901 401157120.00
2021/12/13 21.92 21.99 21.13 21.58 30730735 665136192.00
2021/12/14 21.34 22.47 21.28 22.04 30493142 670631040.00
2021/12/15 22.01 22.13 20.96 21.04 28225051 606876864.00
2021/12/16 21.02 21.18 20.41 20.96 19307589 401916960.00
2021/12/17 20.80 22.06 20.61 21.10 27615255 584480128.00
2021/12/20 21.33 22.77 21.10 21.13 53779436 1178114176.00
2021/12/21 21.48 23.22 21.13 23.06 69138174 1563820672.00
2021/12/22 23.11 25.11 22.82 24.88 72821428 1767018752.00
2021/12/23 24.48 25.77 24.39 25.12 58532107 1469484032.00
2021/12/24 25.08 25.73 24.25 24.48 37915173 943919616.00
2021/12/27 24.49 24.87 23.49 23.63 33235875 798543680.00
2021/12/28 23.85 24.04 23.26 23.65 24850139 587632896.00
2021/12/29 23.64 23.83 22.88 23.30 25973328 605455488.00
2021/12/30 23.98 24.24 23.43 23.83 32525699 776800448.00
2021/12/31 23.98 24.39 23.58 24.24 28806534 694005888.00
2022/01/04 24.43 24.77 22.23 23.11 48580264 1128528640.00
2022/01/05 22.98 23.34 21.79 22.42 30759376 687879936.00
2022/01/06 22.31 23.28 21.40 22.78 40317790 899329984.00
2022/01/07 22.98 23.16 21.43 21.47 30740293 676079168.00
2022/01/10 21.09 21.93 20.87 21.03 25349493 540410304.00
2022/01/11 21.19 21.43 20.24 20.32 23067567 477117504.00
2022/01/12 21.08 22.35 21.07 22.35 51389487 1121875072.00
2022/01/13 22.58 23.01 21.84 22.11 40375375 903868544.00
2022/01/14 21.88 24.21 21.67 23.77 50490279 1183242880.00
2022/01/17 23.52 24.42 23.40 23.80 54277408 1303592448.00
2022/01/18 23.62 24.48 23.28 24.08 37295578 894181312.00
2022/01/19 23.94 24.08 22.66 22.98 35621024 824185664.00
2022/01/20 23.08 23.17 21.54 21.80 36337923 805484608.00
2022/01/21 21.93 22.33 21.23 21.35 24147222 523549440.00
2022/01/24 21.08 22.23 21.08 21.77 25204818 550910784.00
2022/01/25 21.71 21.97 20.70 20.77 25090752 532726560.00
2022/01/26 20.69 21.58 20.61 21.48 29312737 622054848.00
2022/01/27 21.30 21.67 20.38 20.47 29063605 605469952.00
2022/01/28 20.50 20.63 18.42 18.42 57281002 1088982656.00
2022/02/07 18.82 19.04 18.08 18.34 37222090 690560832.00
2022/02/08 18.18 18.20 17.00 17.68 46237655 812315648.00
2022/02/09 18.01 18.70 17.49 18.57 38966651 707372928.00
2022/02/10 18.54 18.58 17.68 17.88 27809115 500429600.00
2022/02/11 17.78 17.78 16.88 17.07 35323858 609438912.00
2022/02/14 17.21 17.68 16.92 17.19 23258193 403499712.00
2022/02/15 17.49 18.44 17.49 18.28 38553636 697794176.00
2022/02/16 18.65 18.98 18.17 18.30 29578789 549678976.00
2022/02/17 18.40 18.64 17.87 18.26 25711758 469989248.00
2022/02/18 18.08 18.51 18.02 18.26 16585856 303317376.00
2022/02/21 18.28 18.50 18.09 18.26 14076741 257168688.00
2022/02/22 17.97 18.08 17.53 17.96 22035413 392284928.00
2022/02/23 18.02 19.56 17.98 19.13 39483595 747803904.00
2022/02/24 18.91 19.38 18.19 18.74 36458166 688626176.00
2022/02/25 19.16 19.48 18.78 18.98 26843292 512473248.00
2022/02/28 18.84 19.05 18.53 18.61 23006263 430120896.00
2022/03/01 18.73 19.05 17.69 17.92 39890872 723474240.00
2022/03/02 17.66 17.85 17.18 17.71 30785612 538562240.00
2022/03/03 17.89 18.03 17.02 17.08 25590957 442568896.00
2022/03/04 16.88 17.18 16.68 16.76 19209679 324461184.00
2022/03/07 16.58 16.61 15.87 16.03 39002291 630555968.00
2022/03/08 16.17 16.39 15.54 15.68 26434062 421732480.00
2022/03/09 15.85 16.23 15.33 16.13 30614107 486472864.00
2022/03/10 16.58 16.88 16.51 16.60 36417298 608669248.00
2022/03/11 16.34 16.39 15.43 16.17 38061655 607943296.00
2022/03/14 15.87 16.01 15.46 15.47 23560847 370162144.00
2022/03/15 15.28 15.43 14.39 14.43 42397732 630764224.00
2022/03/16 14.86 15.66 14.43 15.59 36789150 553629376.00
2022/03/17 16.13 16.98 15.95 16.43 47889051 791747264.00
2022/03/18 16.28 16.53 15.93 16.33 22456014 364484320.00
2022/03/21 16.37 16.99 16.21 16.74 29714139 497973216.00
2022/03/22 16.63 17.01 16.39 16.55 19131282 319377376.00
2022/03/23 16.73 16.73 16.34 16.53 11096185 183545152.00
2022/03/24 16.36 16.47 16.07 16.28 15517859 252267280.00
2022/03/25 16.53 16.58 15.87 15.95 20779819 334409760.00
2022/03/28 15.78 15.78 15.24 15.41 24013673 370983904.00
2022/03/29 15.55 15.75 14.72 14.89 24210727 365703552.00
2022/03/30 15.12 15.55 15.00 15.39 20674972 316942368.00
2022/03/31 15.39 15.42 14.71 14.83 20891964 312197536.00
2022/04/01 14.77 15.02 14.66 14.80 14769068 219642656.00
2022/04/06 14.67 14.82 14.26 14.43 21338446 308569792.00
