002208 合肥城建 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 7.08 7.24 6.90 7.19 11327223 82638712.00
2021/08/03 7.16 7.37 7.11 7.25 9089929 68039920.00
2021/08/04 7.26 7.27 7.13 7.19 8100545 59957304.00
2021/08/05 7.17 7.39 7.09 7.22 9463636 70992088.00
2021/08/06 7.17 7.20 7.06 7.16 7189674 52798848.00
2021/08/09 7.15 7.40 7.08 7.30 11652394 87769096.00
2021/08/10 7.25 7.33 7.24 7.31 8320277 62481872.00
2021/08/11 7.28 7.61 7.28 7.47 16612993 128625040.00
2021/08/12 7.43 7.57 7.35 7.39 10099926 77049232.00
2021/08/13 7.37 7.43 7.30 7.40 6634316 50328628.00
2021/08/16 7.40 7.49 7.37 7.45 8368342 64210536.00
2021/08/17 7.43 7.56 7.27 7.28 11053405 84568744.00
2021/08/18 7.28 7.46 7.20 7.45 10214064 77424160.00
2021/08/19 7.44 7.52 7.34 7.37 6637006 50583068.00
2021/08/20 7.34 7.57 7.28 7.54 13202146 101536184.00
2021/08/23 7.59 7.76 7.54 7.57 13205525 103786232.00
2021/08/24 7.54 7.67 7.53 7.66 10487996 81960976.00
2021/08/25 7.71 7.99 7.63 7.92 21273042 171360032.00
2021/08/26 7.84 7.97 7.80 7.83 15444495 125124648.00
2021/08/27 7.84 8.60 7.81 8.31 40457413 340568640.00
2021/08/30 8.33 8.39 8.11 8.12 18879870 159536480.00
2021/08/31 8.14 8.96 8.14 8.96 32179430 293439680.00
2021/09/01 9.22 9.88 8.93 9.88 76361087 752393984.00
2021/09/02 9.89 10.16 9.49 9.83 64599497 648728768.00
2021/09/03 9.87 10.02 8.92 9.16 58897541 563509888.00
2021/09/06 8.89 9.12 8.71 9.10 32483140 297805600.00
2021/09/07 9.00 9.24 8.90 8.95 26381650 244370528.00
2021/09/08 8.93 9.04 8.88 9.00 16725747 153915760.00
2021/09/09 9.00 9.01 8.61 8.76 32978218 297313024.00
2021/09/10 8.77 8.87 8.60 8.62 17334550 155054096.00
2021/09/13 8.57 8.85 8.52 8.69 15813605 141789856.00
2021/09/14 8.79 8.90 8.35 8.36 25486430 224323120.00
2021/09/15 8.35 8.51 8.31 8.35 12292552 106111528.00
2021/09/16 8.35 8.46 8.09 8.16 21586160 183227536.00
2021/09/17 8.15 8.21 7.89 7.99 17310545 142815872.00
2021/09/22 7.85 8.06 7.77 7.98 11981858 98146136.00
2021/09/23 8.02 8.30 7.99 8.25 20391805 171923200.00
2021/09/24 8.24 8.24 7.92 7.97 14344254 118889280.00
2021/09/27 7.91 8.01 7.62 7.73 14627022 117163584.00
2021/09/28 7.81 7.99 7.69 7.75 17273820 138839952.00
2021/09/29 7.67 7.83 7.46 7.48 21341470 166887008.00
2021/09/30 7.57 7.79 7.45 7.61 16356756 127914216.00
2021/10/08 7.66 7.88 7.60 7.70 16574880 131650224.00
2021/10/11 7.70 7.77 7.60 7.67 10963401 86727616.00
2021/10/12 7.63 7.76 7.49 7.56 14945910 117300736.00
2021/10/13 7.57 7.61 7.35 7.43 12790330 97982128.00
2021/10/14 7.43 7.51 7.36 7.48 7371704 56532384.00
2021/10/15 7.30 7.39 7.16 7.30 12568226 94450952.00
2021/10/18 7.30 7.36 7.23 7.34 8004873 60293092.00
2021/10/19 7.31 7.36 7.29 7.32 7381862 55765320.00
2021/10/20 7.31 7.32 7.20 7.20 7854685 58670324.00
2021/10/21 7.24 7.38 7.17 7.22 10119045 76023720.00
2021/10/22 7.32 7.61 7.32 7.37 24527260 188222752.00
2021/10/25 7.16 7.19 7.03 7.12 16164173 118380944.00
2021/10/26 7.08 7.11 6.95 7.00 11797798 85538352.00
2021/10/27 6.97 7.00 6.87 6.87 7753713 55356932.00
2021/10/28 6.88 6.91 6.76 6.78 6758552 47485916.00
2021/10/29 6.79 6.90 6.72 6.86 5443178 38389892.00
2021/11/01 6.85 6.91 6.78 6.86 4638378 32865476.00
2021/11/02 6.86 6.91 6.71 6.75 6322237 44390220.00
