002234 民和股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 13.33 13.69 13.10 13.58 4299158 57974092.00
2021/08/03 13.58 13.75 13.50 13.60 3177696 43301688.00
2021/08/04 13.63 13.71 13.40 13.71 2623860 35528500.00
2021/08/05 13.65 13.69 13.44 13.47 2725406 36887168.00
2021/08/06 13.54 13.54 13.32 13.40 1691202 22659188.00
2021/08/09 13.31 14.10 13.18 13.87 7078443 97566408.00
2021/08/10 13.91 13.99 13.70 13.89 3700121 51146128.00
2021/08/11 13.88 14.04 13.76 13.88 2984280 41478236.00
2021/08/12 13.92 14.35 13.87 13.89 3890645 54577248.00
2021/08/13 13.83 13.88 13.68 13.87 2460008 33846028.00
2021/08/16 13.87 13.99 13.76 13.84 2193055 30433224.00
2021/08/17 13.79 14.14 13.73 13.77 4187083 58262736.00
2021/08/18 13.76 13.82 13.40 13.61 3704388 50393644.00
2021/08/19 13.48 13.85 13.45 13.64 1763299 24040032.00
2021/08/20 13.60 13.64 13.40 13.46 1898208 25568834.00
2021/08/23 13.50 13.65 13.48 13.65 2235892 30357718.00
2021/08/24 13.66 13.77 13.62 13.69 2288211 31314550.00
2021/08/25 13.68 13.87 13.56 13.87 2832371 39027848.00
2021/08/26 13.88 13.94 13.74 13.75 2076169 28651726.00
2021/08/27 13.71 13.87 13.35 13.48 4360394 59155196.00
2021/08/30 13.39 13.54 13.26 13.30 3362639 44893336.00
2021/08/31 13.36 13.52 13.27 13.42 2170152 29057438.00
2021/09/01 13.41 13.64 13.30 13.54 2815940 37938608.00
2021/09/02 13.55 13.64 13.48 13.62 2658197 36088800.00
2021/09/03 13.63 13.86 13.53 13.81 4077300 55929148.00
2021/09/06 13.85 13.94 13.73 13.86 3971813 55015864.00
2021/09/07 13.90 14.11 13.89 14.09 4765351 66892372.00
2021/09/08 14.07 14.22 13.97 14.15 4185375 59080100.00
2021/09/09 14.30 15.57 14.30 14.87 18962287 286326016.00
2021/09/10 14.84 15.50 14.79 15.01 13362858 203238592.00
2021/09/13 15.13 15.92 14.87 15.71 14865208 229247088.00
2021/09/14 15.60 15.68 15.05 15.13 10507219 160860176.00
2021/09/15 15.30 15.49 15.07 15.44 7488459 114778520.00
2021/09/16 15.31 16.98 15.21 16.38 23557201 382488000.00
2021/09/17 16.00 16.47 15.67 15.94 17203557 275091584.00
2021/09/22 16.01 16.12 15.36 15.68 8075116 126701056.00
2021/09/23 15.80 16.25 15.72 16.08 10061051 160829680.00
2021/09/24 16.01 16.14 15.52 15.67 8402711 132850360.00
2021/09/27 15.90 16.83 15.72 16.47 17711288 289461312.00
2021/09/28 16.18 16.47 15.56 16.36 10641848 170424560.00
2021/09/29 16.01 16.75 15.88 16.15 14511201 236849904.00
2021/09/30 16.29 16.68 16.13 16.28 10487089 171425072.00
2021/10/08 16.18 16.96 16.11 16.75 14717943 245086848.00
2021/10/11 16.91 16.95 16.12 16.42 12402316 204146256.00
2021/10/12 16.15 16.32 15.30 15.64 13434629 211068896.00
2021/10/13 15.63 15.85 14.89 15.26 9379122 142679248.00
2021/10/14 15.19 15.41 15.10 15.14 4621010 70340848.00
2021/10/15 15.10 15.65 15.01 15.02 6592900 100927608.00
2021/10/18 14.90 15.52 14.70 15.47 7693904 117093760.00
2021/10/19 15.39 17.02 15.30 17.02 20924929 345762432.00
2021/10/20 17.31 17.81 17.12 17.56 27387505 477868512.00
2021/10/21 17.56 18.09 17.42 17.65 22393534 396525760.00
2021/10/22 17.28 17.64 16.56 16.68 17616386 299538432.00
2021/10/25 16.78 16.99 15.49 15.63 30893166 489506528.00
2021/10/26 15.69 15.92 15.33 15.50 20612032 321673216.00
2021/10/27 15.51 15.70 15.08 15.70 15313382 235727392.00
2021/10/28 15.55 15.67 15.26 15.43 13952464 216078976.00
2021/10/29 15.43 16.16 15.39 15.96 18443054 293212064.00
2021/11/01 15.88 16.45 15.80 16.11 13269138 214454016.00
2021/11/02 16.07 16.27 15.80 15.91 14763217 236275408.00
2021/11/03 15.86 16.70 15.71 16.50 23025747 378217920.00
2021/11/04 16.40 18.15 16.31 17.75 37391731 650675712.00
2021/11/05 17.79 17.92 16.80 16.90 24745961 426910240.00
2021/11/08 16.85 17.27 16.39 16.56 16570525 276109632.00
2021/11/09 16.51 17.08 16.42 16.73 14284661 239339728.00
2021/11/10 16.72 16.98 16.54 16.80 11047735 185140944.00
2021/11/11 16.77 17.06 16.42 16.45 12250815 204198896.00
2021/11/12 16.30 17.04 16.25 16.61 13916930 232554224.00
2021/11/15 16.68 16.90 16.03 16.38 11420153 187246912.00
2021/11/16 16.30 16.64 16.03 16.13 9707732 158326720.00
2021/11/17 16.13 16.28 15.78 16.21 7432498 119623224.00
2021/11/18 16.53 16.90 16.23 16.34 16197088 267103344.00
2021/11/19 16.15 16.33 15.85 16.13 10181651 163133296.00
2021/11/22 16.06 16.11 15.86 16.00 8414567 134223344.00
2021/11/23 15.96 16.15 15.65 15.82 9832561 155768912.00
2021/11/24 15.73 15.88 15.63 15.88 6967029 109719248.00
2021/11/25 15.79 16.05 15.73 15.90 6722328 107045264.00
2021/11/26 15.89 15.92 15.35 15.37 8324612 129242760.00
2021/11/29 15.01 15.50 15.01 15.45 7130003 109175560.00
2021/11/30 15.45 15.47 15.12 15.21 6760281 103157192.00
2021/12/01 15.18 15.44 15.05 15.40 4580127 70238048.00
2021/12/02 15.37 15.81 15.33 15.57 9338699 145785168.00
2021/12/03 15.55 15.72 15.42 15.61 5693134 88817376.00
2021/12/06 15.62 15.67 15.18 15.18 6076139 93268056.00
2021/12/07 15.20 15.52 15.14 15.51 5347807 82011072.00
2021/12/08 15.47 15.57 15.30 15.56 5256364 81046720.00
2021/12/09 15.56 15.77 15.47 15.67 7959362 124589976.00
2021/12/10 15.60 16.15 15.56 15.87 10365789 165191600.00
2021/12/13 15.73 16.02 15.72 15.76 5969392 94527240.00
2021/12/14 15.74 15.86 15.53 15.60 5295298 82854848.00
2021/12/15 15.54 15.68 15.35 15.38 5592109 86558240.00
2021/12/16 15.38 15.53 15.29 15.52 4220681 65123704.00
2021/12/17 15.50 15.52 15.36 15.38 4455723 68688752.00
2021/12/20 15.41 15.68 15.35 15.43 6414821 99624800.00
2021/12/21 15.44 15.74 15.38 15.74 6591862 102770064.00
