002546 新联电子 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 3.20 3.37 3.19 3.36 13546580 51322796.00
2021/08/03 3.36 3.39 3.31 3.32 9094080 34814028.00
2021/08/04 3.32 3.36 3.31 3.34 5605180 21398100.00
2021/08/05 3.34 3.39 3.30 3.38 8709497 33389044.00
2021/08/06 3.38 3.45 3.35 3.37 8925200 34566960.00
2021/08/09 3.36 3.40 3.34 3.36 4696665 18088310.00
2021/08/10 3.37 3.44 3.36 3.40 4833400 18788490.00
2021/08/11 3.39 3.49 3.37 3.48 8899197 34981468.00
2021/08/12 3.48 3.53 3.45 3.51 8626834 34315888.00
2021/08/13 3.50 3.50 3.42 3.46 7806293 30687038.00
2021/08/16 3.45 3.49 3.44 3.45 4283320 16880544.00
2021/08/17 3.45 3.46 3.33 3.33 7530400 29109216.00
2021/08/18 3.32 3.43 3.31 3.41 5114400 19753960.00
2021/08/19 3.40 3.41 3.32 3.37 6407040 24644666.00
2021/08/20 3.37 3.38 3.30 3.38 4471800 17083776.00
2021/08/23 3.41 3.58 3.39 3.57 15619802 62657568.00
2021/08/24 3.58 3.63 3.54 3.58 13865203 56314664.00
2021/08/25 3.58 3.63 3.55 3.61 10431780 42540000.00
2021/08/26 3.62 3.70 3.57 3.65 12858240 53180864.00
2021/08/27 3.65 3.70 3.58 3.69 11076500 45630440.00
2021/08/30 3.69 3.70 3.59 3.61 10734992 44193920.00
2021/08/31 3.62 3.76 3.60 3.75 18489121 77554472.00
2021/09/01 3.77 3.79 3.65 3.67 11279219 47158336.00
2021/09/02 3.66 3.74 3.64 3.72 11089334 46267572.00
2021/09/03 3.71 3.87 3.70 3.76 15959539 68140120.00
2021/09/06 3.76 3.81 3.72 3.75 7839330 33160170.00
2021/09/07 3.75 3.82 3.74 3.80 8530280 36406688.00
2021/09/08 3.82 3.86 3.77 3.81 9837753 42179264.00
2021/09/09 3.81 3.82 3.74 3.77 9871958 41936244.00
2021/09/10 3.78 3.82 3.68 3.69 9651119 40760804.00
2021/09/13 3.69 3.78 3.68 3.76 10042039 42402628.00
2021/09/14 3.76 3.79 3.63 3.66 7865300 32905328.00
2021/09/15 3.66 3.76 3.66 3.73 9348591 39225232.00
2021/09/16 3.73 3.79 3.63 3.68 9466289 39743068.00
2021/09/17 3.67 3.70 3.55 3.61 10509782 42977580.00
2021/09/22 3.59 3.84 3.56 3.82 19390927 82200120.00
2021/09/23 3.84 3.92 3.78 3.80 13910838 60067384.00
2021/09/24 3.81 3.82 3.67 3.71 12326300 51967340.00
2021/09/27 3.72 3.78 3.43 3.49 15222948 61606376.00
2021/09/28 3.49 3.67 3.46 3.59 11430851 46084148.00
2021/09/29 3.57 3.86 3.53 3.76 28377106 120364816.00
2021/09/30 3.76 3.84 3.67 3.82 21916159 93002912.00
2021/10/08 3.85 3.97 3.81 3.97 27725846 122187400.00
2021/10/11 4.01 4.01 3.75 3.81 21370060 92089880.00
2021/10/12 3.79 3.89 3.72 3.80 17084932 73153416.00
2021/10/13 3.79 3.80 3.56 3.61 14925344 61398668.00
2021/10/14 3.64 4.02 3.62 4.02 50252690 222312864.00
2021/10/15 3.77 3.82 3.68 3.71 49807205 209871232.00
2021/10/18 3.67 4.13 3.64 4.04 49959393 221465552.00
2021/10/19 4.04 4.07 3.95 4.00 31472833 141171808.00
2021/10/20 4.00 4.11 3.91 3.92 25752850 114973048.00
2021/10/21 3.91 4.01 3.85 3.89 23851120 105183984.00
2021/10/22 3.89 3.93 3.73 3.77 25700258 109784968.00
2021/10/25 3.59 3.59 3.35 3.39 51863542 200903584.00
2021/10/26 3.33 3.38 3.24 3.26 29592600 111733808.00
2021/10/27 3.27 3.27 3.15 3.22 19647320 72542784.00
2021/10/28 3.20 3.25 3.15 3.25 14961375 55013544.00
2021/10/29 3.23 3.25 3.18 3.24 10977112 40595508.00
2021/11/01 3.23 3.30 3.18 3.29 15086405 56244624.00
2021/11/02 3.27 3.30 3.11 3.14 16919574 62057652.00
2021/11/03 3.13 3.17 3.12 3.16 7607907 27572948.00
2021/11/04 3.16 3.27 3.14 3.26 13277877 49177788.00
2021/11/05 3.25 3.26 3.18 3.18 8438774 31095654.00
2021/11/08 3.19 3.26 3.16 3.24 8284926 30618386.00
2021/11/09 3.24 3.27 3.21 3.25 7296423 27150096.00
2021/11/10 3.24 3.28 3.17 3.28 9836705 36548932.00
2021/11/11 3.27 3.31 3.26 3.30 8865910 33468644.00
2021/11/12 3.28 3.36 3.28 3.35 9403000 35789816.00
2021/11/15 3.35 3.40 3.32 3.38 10746821 41288992.00
2021/11/16 3.36 3.40 3.32 3.33 7902175 30324910.00
2021/11/17 3.33 3.46 3.32 3.45 17923481 69943800.00
2021/11/18 3.42 3.49 3.40 3.44 15550433 61236320.00
