002552 宝鼎科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 10.81 11.01 10.56 10.99 763900 8575866.00
2021/08/03 10.98 11.26 10.93 11.00 893600 10206568.00
2021/08/04 11.00 11.21 11.00 11.18 1034400 11870536.00
2021/08/05 11.16 11.94 11.06 11.46 3054400 36232104.00
2021/08/06 11.36 11.38 10.28 11.15 1635301 18795338.00
2021/08/09 11.16 11.31 11.04 11.14 864500 9915801.00
2021/08/10 11.14 11.41 11.10 11.35 1466800 17017988.00
2021/08/11 11.28 11.46 11.28 11.39 1074339 12576820.00
2021/08/12 11.38 11.49 11.34 11.38 1052847 12363532.00
2021/08/13 11.33 11.69 11.32 11.61 1856523 22148866.00
2021/08/16 11.73 12.01 11.56 11.83 2708433 32985792.00
2021/08/17 11.86 11.92 11.43 11.44 2000933 23884776.00
2021/08/18 11.45 11.55 11.36 11.54 1013700 11980487.00
2021/08/19 11.48 11.78 11.39 11.67 1442600 17195068.00
2021/08/20 11.78 11.82 11.42 11.58 1411900 16790308.00
2021/08/23 11.65 12.01 11.52 11.99 3028100 36987400.00
2021/08/24 11.97 12.00 11.77 11.89 1796900 21935502.00
2021/08/25 11.89 12.09 11.78 11.95 2387100 29352332.00
2021/08/26 11.92 12.20 11.84 12.06 2858500 35517576.00
2021/08/27 12.08 12.61 11.96 12.54 4918872 62888972.00
2021/08/30 12.51 12.68 12.26 12.43 3424900 43673672.00
2021/08/31 12.40 12.40 12.01 12.14 2457202 30688744.00
2021/09/01 12.17 13.39 12.17 13.39 7743550 103390336.00
2021/09/02 14.11 14.59 13.66 14.21 12597027 182514640.00
2021/09/03 13.77 14.10 13.48 13.56 7136461 100347208.00
2021/09/06 13.76 14.95 13.52 14.95 9357498 138206944.00
2021/09/07 15.15 15.30 14.46 14.72 8096081 121874528.00
2021/09/08 14.69 15.16 14.46 14.95 6605318 100113168.00
2021/09/09 15.26 15.26 14.44 14.51 5195900 77803752.00
2021/09/10 14.42 14.42 13.55 14.09 6566553 93541208.00
2021/09/13 13.76 14.21 13.76 14.14 3102140 44588716.00
2021/09/14 13.99 14.11 13.64 13.64 3225256 45748436.00
2021/09/15 13.63 14.02 13.58 13.88 2149738 30551132.00
2021/09/16 13.87 14.13 13.71 13.71 2489400 35419540.00
2021/09/17 13.71 14.45 13.56 14.31 4187482 60309788.00
2021/10/12 15.78 15.78 14.91 15.78 3367002 54000296.00
2021/10/13 16.70 17.39 16.28 17.39 5826735 102008560.00
2021/10/14 19.06 19.06 15.85 16.05 18947974 337702272.00
2021/10/15 14.64 15.25 14.41 14.41 12913848 192848144.00
2021/10/18 13.96 14.40 13.79 14.26 6185600 89059472.00
2021/10/19 14.25 14.25 13.81 13.96 5067200 72353776.00
2021/10/20 13.96 14.24 13.65 14.10 4539836 65153248.00
2021/10/21 13.96 14.07 13.41 13.65 5365377 75177424.00
2021/10/22 13.47 13.65 13.02 13.07 4149791 56196056.00
2021/10/25 13.08 13.35 12.89 13.25 3158700 42533808.00
2021/10/26 13.21 13.39 12.95 12.96 2348400 31612100.00
2021/10/27 13.14 13.14 12.68 12.84 2119600 27960612.00
2021/10/28 12.92 12.92 12.40 12.49 2403038 31148924.00
2021/10/29 12.49 13.21 12.47 13.20 3749656 49928620.00
2021/11/01 13.20 13.42 13.07 13.33 2587402 35241692.00
2021/11/02 13.41 13.91 13.28 13.80 5189360 72907760.00
2021/11/03 13.78 14.04 13.27 13.66 4124502 57707684.00
2021/11/04 13.51 13.83 13.48 13.68 2321860 32528822.00
2021/11/05 13.52 13.73 13.31 13.54 2480100 34392044.00
2021/11/08 13.53 13.54 13.21 13.26 1308100 17868900.00
2021/11/09 13.27 13.54 13.22 13.40 1296400 17775632.00
2021/11/10 13.36 13.52 13.09 13.48 1581600 21643190.00
2021/11/11 13.46 13.95 13.28 13.94 3342700 47294792.00
2021/11/12 14.06 14.65 14.06 14.58 5754620 84602912.00
2021/11/15 14.58 14.92 14.29 14.36 4303200 63939652.00
2021/11/16 14.35 14.46 13.87 13.91 2774123 39956820.00
2021/11/17 13.95 14.32 13.82 14.06 2138400 30857080.00
2021/11/18 14.04 15.16 13.96 15.12 7913807 119703888.00
2021/11/19 15.08 15.08 14.48 14.73 4871600 73217992.00
2021/11/22 14.75 14.83 14.42 14.71 2877820 43153736.00
2021/11/23 14.77 14.96 14.52 14.92 3159001 47744984.00
2021/11/24 14.87 14.87 14.49 14.50 2896100 43268704.00
2021/11/25 14.50 14.61 14.13 14.19 2145100 31251414.00
2021/11/26 14.19 14.39 14.09 14.30 1443300 21104408.00
2021/11/29 14.30 14.36 13.87 14.10 1769200 25536158.00
2021/11/30 14.10 14.45 14.06 14.23 1891300 27678142.00
2021/12/01 14.21 14.31 13.96 14.30 1429800 20764440.00
2021/12/02 14.33 14.54 14.16 14.54 2515800 37047152.00
2021/12/03 14.55 14.82 14.43 14.53 2519500 37722492.00
2021/12/06 14.47 14.55 14.06 14.07 2314500 33621564.00
2021/12/07 14.08 14.17 13.53 13.64 1804800 25451910.00
2021/12/08 13.82 14.03 13.62 14.02 1249200 17742932.00
2021/12/09 14.02 14.13 13.85 14.00 1093900 15734528.00
2021/12/10 14.00 14.08 13.82 13.86 1082000 15422053.00
2021/12/13 13.87 13.96 13.75 13.87 1340600 19043432.00
2021/12/14 13.94 14.01 13.80 13.90 889500 12638693.00
2021/12/15 13.87 14.05 13.82 13.96 851600 12190152.00
2021/12/16 14.03 14.03 13.64 13.68 1959400 27600240.00
2021/12/17 13.67 14.06 13.49 13.85 1862500 26223530.00
2021/12/20 13.81 13.85 13.57 13.61 1191514 16668799.00
2021/12/21 13.63 13.90 13.53 13.83 1364600 19218728.00
2021/12/22 13.84 13.99 13.78 13.99 1136600 16209864.00
2021/12/23 13.88 14.02 13.68 13.77 1036900 14648414.00
2021/12/24 13.77 13.95 13.56 13.59 957801 13363126.00
2021/12/27 13.75 13.75 13.51 13.65 556400 7773913.00
2021/12/28 13.58 13.73 13.54 13.62 683725 9530837.00
2021/12/29 13.60 14.19 13.42 14.09 2715525 38619764.00
2021/12/30 14.08 14.17 13.95 14.09 1607425 23174502.00
2021/12/31 14.10 14.36 14.03 14.27 2120402 30970484.00
2022/01/04 14.26 14.74 14.11 14.72 3216769 47948468.00
2022/01/05 14.74 14.81 14.37 14.44 1843001 27416630.00
2022/01/06 14.32 14.59 14.32 14.57 1374535 20390102.00
2022/01/07 14.57 14.96 14.45 14.61 2531269 38209108.00
2022/01/10 14.56 14.61 14.34 14.47 1472002 21777374.00
2022/01/11 14.47 14.61 14.28 14.28 1233000 18218980.00
2022/01/12 14.41 14.72 14.31 14.70 1758300 26254192.00
2022/01/13 14.88 14.91 14.62 14.79 1828134 27666204.00
2022/01/14 14.89 15.62 14.70 15.48 4987764 78358344.00
2022/01/17 15.59 15.71 15.06 15.15 3134870 48701588.00
2022/01/18 15.06 15.28 14.76 14.87 2175400 33293360.00
2022/01/19 14.87 15.31 14.66 14.80 1341700 20428136.00
2022/01/20 14.92 15.66 14.92 15.58 4894787 77271168.00
2022/01/21 15.55 15.55 14.81 14.94 3053378 47033988.00
2022/01/24 15.04 15.34 14.83 14.94 1402700 21568078.00
2022/01/25 14.94 14.94 14.07 14.12 2241386 32964884.00
2022/01/26 14.15 14.23 13.91 14.05 934702 13432987.00
2022/01/27 14.15 14.15 13.51 13.52 1196900 16842710.00
2022/01/28 14.00 14.73 13.66 14.51 2133666 31374738.00
2022/02/07 14.66 15.03 14.31 14.42 1361700 20328946.00
2022/02/08 14.42 15.16 14.41 15.16 2564000 38982900.00
2022/02/09 15.19 15.20 14.87 15.03 1637700 25142910.00
2022/02/10 15.00 15.24 14.89 15.07 1544300 23812300.00
2022/02/11 15.15 15.16 14.78 15.11 1496000 22952032.00
2022/02/14 15.10 15.33 14.97 15.23 1556700 24218636.00
2022/02/15 15.28 15.46 14.97 15.25 1599404 24964300.00
2022/02/16 15.23 15.43 15.15 15.30 1540500 24112420.00
2022/02/17 15.17 15.44 15.07 15.16 1544778 24026110.00
2022/02/18 14.96 15.20 14.96 15.14 861800 13323566.00
2022/02/21 15.13 15.48 15.12 15.28 1217300 19095742.00
2022/02/22 15.28 15.52 15.06 15.43 1595001 25005208.00
2022/02/23 15.37 15.54 15.31 15.44 1328971 20956530.00
2022/02/24 15.44 15.54 14.58 14.95 3591933 55238572.00
2022/02/25 14.96 15.44 14.96 15.25 1732200 27048522.00
2022/02/28 15.23 15.31 14.96 15.13 1128600 17477030.00
2022/03/01 15.18 16.68 15.13 16.68 4546503 75656184.00
2022/03/02 17.46 17.84 15.96 16.78 13721135 234638688.00
2022/03/03 16.38 16.95 16.35 16.77 7224646 122350288.00
2022/03/04 16.71 17.24 16.17 16.99 7516897 129143304.00
2022/03/07 17.30 17.34 16.63 16.68 4458035 76753240.00
2022/03/08 16.69 16.96 16.17 16.96 4271173 72550944.00
2022/03/09 17.31 18.54 16.48 17.63 8731439 153904176.00
2022/03/10 17.25 17.66 16.68 17.52 6377486 111902024.00
2022/03/11 16.99 17.02 16.44 16.77 4546401 78004552.00
2022/03/14 16.76 16.77 15.57 15.66 5318120 87440128.00
2022/03/15 15.43 16.53 14.78 15.69 5428800 87135808.00
2022/03/16 15.96 16.15 15.27 16.02 3654385 58907228.00
2022/03/17 16.76 17.54 15.92 16.04 8091474 136189920.00
2022/03/18 15.80 16.20 15.26 16.13 3675560 59783016.00
2022/03/21 16.10 16.14 15.43 15.60 3969400 63611168.00
2022/03/22 15.57 15.65 15.29 15.34 2341800 36855900.00
2022/03/23 15.36 15.37 14.78 14.97 3608800 55435624.00
2022/03/24 14.94 14.94 14.29 14.32 2855100 42386288.00
2022/03/25 14.32 14.81 14.24 14.25 2214300 32766288.00
2022/03/28 14.24 14.34 13.78 14.25 1999133 28897942.00
2022/03/29 14.25 14.40 13.72 13.74 2237500 31925368.00
2022/03/30 13.78 13.96 13.72 13.89 1404600 19900066.00
2022/03/31 13.89 13.98 13.31 13.84 2502100 34999852.00
2022/04/01 13.95 13.95 13.57 13.58 1571601 22033444.00
2022/04/06 13.58 14.08 13.51 13.94 1889400 26720232.00
2022/04/07 13.86 14.29 13.77 14.01 1776504 25621638.00
2022/04/08 13.97 14.12 13.68 13.80 1293600 18364396.00
2022/04/11 13.80 14.01 13.59 13.79 1172200 16575487.00
2022/04/12 13.80 13.94 13.36 13.77 1160200 16251624.00
2022/04/13 13.66 13.76 13.46 13.56 905106 12634302.00
2022/04/14 13.78 13.78 13.44 13.47 918500 12769540.00
2022/04/15 13.46 13.46 12.86 12.99 1609203 21560618.00
2022/04/18 12.99 13.16 12.79 13.02 790952 10505244.00
2022/04/19 13.13 13.20 12.76 12.87 1102600 14644175.00
2022/04/20 12.77 13.03 12.77 12.91 724200 9566379.00
2022/04/21 12.93 12.93 12.07 12.12 1865300 23742568.00
2022/04/22 12.12 12.19 11.68 11.99 1456339 17861944.00
2022/04/25 11.94 11.94 11.03 11.10 1944700 22796832.00
2022/04/26 11.15 11.19 10.46 10.49 1691000 18882012.00
2022/04/27 10.37 11.03 10.17 11.03 1926200 21073528.00
2022/04/28 10.99 11.36 10.97 11.06 1384100 15911887.00
2022/04/29 11.36 11.69 11.01 11.60 1536600 18198880.00
2022/05/05 11.49 12.22 11.43 11.88 1583800 19420784.00
2022/05/06 11.73 11.96 11.52 11.74 976700 11798771.00
2022/05/09 11.91 11.95 11.56 11.83 663000 8082627.00
2022/05/10 11.83 12.00 11.56 11.91 812500 9932844.00
2022/05/11 11.93 12.20 11.76 11.82 1014600 12522219.00
2022/05/12 11.78 12.05 11.74 11.91 755667 9231424.00
2022/05/13 12.01 12.02 11.75 11.92 458300 5597258.00
2022/05/16 12.06 12.11 11.86 11.94 453769 5575842.00
2022/05/17 12.01 12.01 11.67 11.83 521102 6327120.50
2022/05/18 11.92 12.03 11.69 11.95 659502 8100837.50
2022/05/19 11.79 11.97 11.79 11.87 551400 6730170.00
2022/05/20 11.88 12.16 11.83 11.91 649500 7981086.00
2022/05/23 11.88 12.16 11.88 12.15 1035023 12838913.00
2022/05/24 12.14 12.29 11.66 11.66 1572159 19289632.00
2022/05/25 11.71 11.86 11.66 11.72 626400 7561011.00
2022/05/26 11.72 11.93 11.52 11.90 937659 11338079.00
2022/05/27 11.94 12.64 11.89 12.45 3051500 38763920.00
2022/05/30 12.37 13.34 12.16 13.04 3898900 51426544.00
2022/05/31 13.04 13.25 12.86 12.91 2610200 34805496.00
2022/06/01 12.88 13.24 12.78 13.23 2093400 27981540.00
2022/06/02 13.14 13.35 12.97 13.25 1439000 19447386.00
2022/06/06 13.90 14.61 13.38 14.61 5782795 84308608.00
2022/06/07 14.31 15.66 13.87 14.44 7787379 117714608.00
2022/06/08 14.29 14.45 13.67 13.72 4816402 68973288.00
2022/06/09 13.73 13.86 13.26 13.35 2362500 32577932.00
2022/06/10 13.27 13.51 13.27 13.31 1586510 21731250.00
2022/06/13 13.31 13.74 13.28 13.50 2010124 27730618.00
2022/06/14 13.27 13.46 13.04 13.45 1817200 24770480.00
2022/06/15 13.43 13.97 13.36 13.56 2499900 35012204.00
2022/06/16 13.57 13.61 13.36 13.38 1570557 21680134.00
2022/06/17 13.45 13.95 13.36 13.91 3195137 45171644.00
2022/06/20 14.01 14.21 13.82 14.20 2457300 35392272.00
2022/06/21 14.36 14.36 13.83 13.88 2183900 31481800.00
2022/06/22 13.86 13.95 13.71 13.75 1237481 17515400.00
2022/06/23 13.67 13.91 13.66 13.91 1189900 16835024.00
2022/06/24 13.77 14.01 13.67 13.72 1541744 21767034.00
2022/06/27 13.96 14.24 13.82 14.09 2164267 31082986.00
2022/06/28 14.08 14.56 13.96 14.46 2632200 38682600.00
2022/06/29 14.38 14.54 13.73 13.77 2816700 40465912.00
2022/06/30 13.71 13.95 13.58 13.67 1328712 18654702.00
2022/07/01 13.67 13.88 13.61 13.71 809724 11384616.00
2022/07/04 13.85 13.86 13.46 13.71 997812 13967774.00
2022/07/05 13.71 13.82 13.49 13.68 1069491 14917207.00
2022/07/06 13.68 13.72 13.56 13.67 706468 9864100.00
2022/07/07 13.67 13.79 13.62 13.75 913138 12834786.00
2022/07/08 13.73 14.03 13.67 13.83 1377767 19549448.00
2022/07/11 13.93 13.98 13.65 13.95 1075100 15236987.00
2022/07/12 13.96 15.38 13.96 15.38 4974453 76692472.00
2022/07/13 16.00 16.95 15.66 16.95 7889465 132319384.00
2022/07/14 18.24 18.24 15.34 15.46 22633279 387479104.00
2022/07/15 14.56 15.33 14.56 15.13 13710855 207897936.00
2022/07/18 14.88 15.52 13.89 15.48 11852100 181954864.00
2022/07/19 15.33 15.66 14.89 15.06 8508288 131697768.00
2022/07/20 15.04 16.60 14.92 16.60 12676568 213211296.00
2022/07/21 17.16 17.16 16.23 16.23 21055346 359482112.00
2022/07/22 16.06 17.58 15.76 17.09 19056646 329581024.00
2022/07/25 16.75 16.84 15.69 15.88 12734900 210557136.00
2022/07/26 15.61 17.50 15.56 17.50 5768487 101093992.00
2022/07/27 18.01 19.28 16.99 19.28 28090546 517652320.00
2022/07/28 20.55 21.24 19.28 19.48 39299129 819714752.00
2022/07/29 18.09 18.40 17.50 17.61 28210531 513322496.00
2022/08/01 17.61 18.36 17.28 18.18 19208699 349097664.00
2022/08/02 17.81 20.03 17.50 18.98 27781359 540992704.00
2022/08/03 18.37 18.96 17.36 17.90 19101559 356039584.00
2022/08/04 17.55 18.14 16.66 17.08 14346979 249460800.00
2022/08/05 17.40 17.88 16.76 16.76 11986601 209349584.00
2022/08/08 16.66 16.82 15.87 16.77 10075124 168846096.00
2022/08/09 16.89 16.89 16.11 16.21 10230135 171166032.00
2022/08/11 17.16 17.16 16.30 16.42 11303035 192380240.00
2022/08/12 16.03 16.09 15.56 15.62 11227137 180679392.00
2022/08/15 15.35 15.91 15.31 15.79 6300435 100950480.00
2022/08/16 15.81 16.55 15.68 16.45 9957735 165468240.00
2022/08/17 16.44 16.59 16.11 16.40 6858633 114100680.00
2022/08/18 16.40 16.56 16.18 16.23 5318381 88761528.00
2022/08/19 16.15 16.15 15.68 15.74 5352799 86910640.00
2022/08/22 15.49 16.32 15.49 16.32 5737381 93987216.00
2022/08/23 16.26 16.52 16.02 16.37 5505398 91491328.00
2022/08/24 16.37 16.37 15.67 15.70 4548335 73980480.00
2022/08/25 15.77 16.19 15.57 15.93 3349700 54384824.00
2022/08/26 15.73 16.09 15.63 15.77 3073700 49755708.00
2022/08/29 15.43 15.97 15.28 15.67 2636664 42254708.00
2022/08/30 15.68 15.76 15.16 15.16 4081300 64093496.00
2022/08/31 15.24 15.36 14.62 14.70 4406002 66665636.00
2022/09/01 14.70 14.94 14.50 14.58 2345300 35183460.00
2022/09/02 14.59 15.03 14.46 14.88 2821100 42612000.00
2022/09/05 14.88 15.16 14.76 15.14 2519788 38719660.00
2022/09/06 15.26 15.54 15.01 15.49 2256648 35398936.00
2022/09/07 15.57 16.03 15.56 15.69 3269100 52731748.00
2022/09/08 15.81 15.88 15.44 15.47 2581300 41206496.00
2022/09/09 15.55 15.62 15.26 15.26 2056400 32236168.00
2022/09/13 15.27 15.61 15.27 15.37 1694702 26683664.00
2022/09/14 15.21 15.43 14.97 15.15 1452296 22553236.00
2022/09/15 15.15 15.23 14.62 14.75 2505096 37848124.00
2022/09/16 14.60 15.36 14.55 15.12 3779646 58095104.00
2022/09/19 14.95 14.98 14.30 14.32 2889800 43111924.00
2022/09/20 14.40 15.08 14.40 15.01 2815102 42921220.00
2022/09/21 15.02 15.05 14.59 14.74 1369700 20658422.00
2022/09/22 14.71 14.91 14.55 14.60 1481100 22290592.00
2022/09/23 14.65 14.75 14.18 14.33 1964300 28964408.00
2022/09/26 14.33 14.37 13.86 13.89 1771900 25529080.00
2022/09/27 13.98 14.31 13.87 14.28 1678391 24235028.00
2022/09/28 14.53 14.53 13.74 13.74 1669728 23884554.00
2022/09/29 13.87 14.54 13.76 13.94 1388004 19798840.00
2022/09/30 13.79 14.00 13.57 13.57 1165700 16433356.00
2022/10/10 13.65 14.26 13.52 13.64 1719899 24192378.00
2022/10/11 13.64 13.81 13.36 13.75 1306021 18238782.00
2022/10/12 13.72 14.26 13.45 14.22 2254300 32054294.00
2022/10/13 14.21 14.65 14.08 14.41 1768300 26160574.00
2022/10/14 14.56 14.71 14.43 14.50 1409398 20976258.00
2022/10/17 14.50 14.82 14.37 14.73 1429600 21486160.00
2022/10/18 14.81 14.86 14.60 14.64 1251900 18845696.00
2022/10/19 14.64 14.81 14.47 14.51 1147100 17163838.00
2022/10/20 14.63 15.21 14.38 15.03 3463902 52635376.00
2022/10/21 14.98 15.37 14.84 14.86 2232601 34244728.00
2022/10/24 14.85 15.16 14.61 14.79 2239800 34173716.00
2022/10/25 14.56 15.05 14.48 14.94 1784300 27110556.00
2022/10/26 15.39 15.39 14.91 14.98 2382159 36605436.00
2022/10/27 14.98 15.05 14.80 14.88 1447500 22067074.00
2022/10/28 14.77 15.00 14.57 14.86 1684302 25475848.00
2022/10/31 14.87 15.07 14.49 14.52 2356710 35586724.00
2022/11/01 14.65 15.08 14.52 14.86 2797408 42598276.00
2022/11/02 14.95 15.05 14.80 14.87 1692300 25822344.00
2022/11/03 14.80 15.16 14.71 15.01 1848541 28375298.00
2022/11/04 15.12 15.13 14.92 15.03 2064004 31676612.00
2022/11/07 15.13 15.67 15.01 15.25 3056957 47580928.00
2022/11/08 15.23 15.33 15.00 15.23 1800857 27910602.00
2022/11/09 15.26 15.31 15.12 15.24 1338439 20808996.00
2022/11/10 15.20 15.31 14.95 14.96 2101450 32444714.00
2022/11/11 15.15 15.23 14.84 14.86 2025300 31037896.00
2022/11/14 14.86 14.93 14.68 14.74 1448000 21890020.00
2022/11/15 14.68 15.05 14.68 15.05 1613600 24638730.00
2022/11/16 15.05 15.43 15.01 15.29 2650800 41250940.00
2022/11/17 15.27 15.31 14.76 14.92 2464408 37739904.00
2022/11/18 14.84 15.16 14.80 14.86 1448038 22110850.00
2022/11/21 14.76 15.20 14.68 15.14 2115702 32563538.00
2022/11/22 15.16 16.66 15.05 15.75 8468584 137496592.00
2022/11/23 15.61 16.11 15.41 15.93 5332708 86102320.00
