002585 双星新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 18.16 18.43 17.84 18.16 17565878 328442304.00
2021/08/03 18.23 18.89 18.06 18.22 18455504 351879008.00
2021/08/04 18.09 18.89 18.02 18.67 20291142 388416096.00
2021/08/05 18.65 20.16 18.55 19.91 32633626 658593728.00
2021/08/06 20.04 20.14 19.49 19.67 17897449 362428832.00
2021/08/09 19.69 20.48 19.24 20.28 23473864 482472128.00
2021/08/10 20.43 21.22 20.05 20.92 34997809 746374272.00
2021/08/11 21.06 23.07 20.96 23.07 42647895 979122304.00
2021/08/12 23.44 25.01 23.14 24.09 52340635 1297326720.00
2021/08/13 24.14 24.54 23.70 24.11 25048839 618256128.00
2021/08/16 24.39 24.93 23.87 24.57 31888206 793793280.00
2021/08/17 24.44 24.44 22.64 22.84 33514679 799952064.00
2021/08/18 23.19 24.79 23.12 24.11 29789472 731490560.00
2021/08/19 24.15 25.41 23.59 24.74 27576871 696003008.00
2021/08/20 24.74 24.74 23.87 24.35 19248653 477749248.00
2021/08/23 25.14 26.84 24.61 26.84 42869527 1146927104.00
2021/08/24 27.61 28.08 26.70 27.07 41759458 1163520128.00
2021/08/25 27.03 28.77 26.57 28.60 34386151 982393152.00
2021/08/26 28.66 28.83 26.77 26.94 31080209 871064640.00
2021/08/27 26.12 28.04 26.04 27.69 24090603 675602240.00
2021/08/30 28.24 29.43 27.45 27.91 25899344 745021120.00
2021/08/31 27.75 28.28 27.10 27.92 18484732 521744160.00
2021/09/01 27.92 28.10 25.47 26.76 29909543 813045312.00
2021/09/02 26.57 28.03 26.46 27.23 19999924 561780224.00
2021/09/03 27.41 27.53 25.99 26.61 18230741 495893312.00
2021/09/06 26.94 27.84 26.07 27.22 17359226 475977440.00
2021/09/07 27.14 27.64 26.44 27.51 14666802 406704000.00
2021/09/08 27.79 29.12 27.59 27.82 25337316 730979840.00
2021/09/09 27.80 27.80 26.64 27.00 13395624 369958944.00
2021/09/10 26.78 27.44 25.89 26.79 17074206 461865632.00
2021/09/13 27.09 27.76 26.22 26.46 13085422 358047328.00
2021/09/14 27.74 29.16 26.84 29.16 46118864 1336350464.00
2021/09/15 28.67 29.54 26.94 27.75 48067113 1374407040.00
2021/09/16 27.65 28.11 25.97 26.10 29196056 801158016.00
2021/09/17 26.12 26.58 24.54 26.43 21877802 575798656.00
2021/09/22 26.36 26.82 25.45 26.52 13247035 356259616.00
2021/09/23 26.21 26.57 25.51 25.60 17400836 459767520.00
2021/09/24 25.64 25.87 24.14 24.49 23498862 593026368.00
2021/09/27 24.30 25.14 23.63 24.89 25895491 648637184.00
2021/09/28 24.94 25.34 24.12 24.24 15605868 393702208.00
2021/09/29 24.46 24.48 23.03 23.30 19169943 461424512.00
2021/09/30 23.54 24.49 23.26 24.40 15575141 380910048.00
2021/10/08 24.91 25.95 24.44 25.28 20043099 514846816.00
2021/10/11 24.94 25.75 24.10 25.74 16585868 426091712.00
2021/10/12 25.61 25.62 24.03 24.03 22920042 576252032.00
2021/10/13 24.22 24.74 23.54 24.62 15312534 379111488.00
2021/10/14 24.62 24.94 24.33 24.34 11076592 279208672.00
2021/10/15 24.34 24.75 23.32 23.97 17738539 434700704.00
2021/10/18 23.96 24.49 23.50 24.48 13757006 337296832.00
2021/10/19 24.45 24.65 23.89 24.36 10246720 254414064.00
2021/10/20 24.30 26.26 24.06 25.50 24241018 628860416.00
2021/10/21 25.44 25.86 24.69 24.73 16197186 417582784.00
2021/10/22 24.82 25.19 24.54 24.67 11925694 302973728.00
2021/10/25 24.65 24.95 23.74 24.48 15642584 388004064.00
2021/10/26 24.47 25.12 24.18 24.39 13785690 346427872.00
2021/10/27 24.39 24.96 24.00 24.89 14734850 368864416.00
2021/10/28 24.63 25.29 24.33 24.54 13725372 347004832.00
2021/10/29 24.40 24.59 22.29 23.14 39083632 933756544.00
2021/11/01 23.02 25.24 22.84 24.74 31836650 798287488.00
2021/11/02 24.98 25.02 23.77 24.24 22100300 547193728.00
2021/11/03 24.43 24.67 23.34 23.67 14052145 343940608.00
2021/11/04 23.68 24.28 23.49 24.16 15419355 375724800.00
2021/11/05 23.91 24.23 22.92 22.93 17795296 427168320.00
2021/11/08 22.94 23.09 21.40 21.91 36591436 825381248.00
2021/11/09 21.99 22.99 21.91 22.54 18178404 418848832.00
2021/11/10 22.77 23.32 22.37 23.24 19657767 458897344.00
2021/11/11 23.44 25.28 23.16 25.11 31961189 798316416.00
2021/11/12 25.09 27.64 24.98 27.03 40904010 1116492672.00
2021/11/15 27.49 27.94 26.78 27.10 26327437 731773312.00
2021/11/16 27.20 27.34 26.14 26.24 21411906 583049344.00
2021/11/17 26.24 26.39 25.47 25.61 23449750 618079552.00
2021/11/18 25.60 26.22 24.91 25.52 23340573 608349888.00
2021/11/19 25.52 27.75 25.30 27.16 29391392 804445696.00
2021/11/22 27.37 27.45 26.80 27.29 15953494 442017248.00
2021/11/23 27.24 28.26 27.14 27.82 22093811 626486784.00
2021/11/24 27.62 27.73 26.78 26.89 14531608 402467968.00
2021/11/25 26.64 27.16 26.35 26.83 12249773 334690592.00
2021/11/26 26.81 27.54 26.24 26.44 13965531 379546528.00
2021/11/29 25.90 27.20 25.75 26.63 13013257 353220800.00
2021/11/30 26.79 27.27 26.23 26.26 14481199 392376448.00
2021/12/01 26.17 27.04 25.93 26.84 17737701 480774176.00
2021/12/02 26.74 26.74 26.10 26.25 11818001 317814400.00
2021/12/03 26.21 27.09 26.19 26.49 17545707 476932384.00
2021/12/06 28.28 29.14 27.13 27.34 38881717 1111643776.00
2021/12/07 27.54 27.62 25.43 26.17 33916557 908300608.00
2021/12/08 24.83 25.79 24.74 25.79 34162896 884771648.00
2021/12/09 26.10 27.06 25.89 26.13 21765536 587214400.00
2021/12/10 26.06 28.69 25.75 28.43 35244583 993774784.00
2021/12/13 28.84 29.47 27.58 28.94 27310062 799034560.00
2021/12/14 28.89 29.74 28.35 29.30 18500798 550692032.00
2021/12/15 29.14 29.81 28.84 29.00 15610311 465998208.00
2021/12/16 28.88 29.62 28.55 28.95 10623037 315306304.00
2021/12/17 28.95 29.08 27.54 27.60 13832206 396918112.00
2021/12/20 27.89 27.92 26.19 26.20 17841223 486936416.00
2021/12/21 26.10 26.62 26.04 26.36 9300459 250826800.00
2021/12/22 26.38 27.38 26.24 26.90 13494483 369299776.00
2021/12/23 26.97 27.52 26.64 27.10 9376939 260092656.00
2021/12/24 27.09 27.23 26.54 26.67 9926561 271403872.00
2021/12/27 26.83 26.92 26.22 26.38 9561969 258678912.00
2021/12/28 26.32 26.62 26.22 26.41 7627832 205565536.00
2021/12/29 26.29 26.56 25.79 25.84 14043653 375151584.00
2021/12/30 25.85 26.17 25.29 25.85 15251979 400849632.00
2021/12/31 26.69 27.20 26.18 26.52 17311658 471643424.00
2022/01/04 26.76 26.92 25.91 25.99 10272079 275232960.00
2022/01/05 26.04 26.05 24.61 24.91 16170815 414882816.00
2022/01/06 24.82 25.15 24.42 24.89 8953084 226872992.00
2022/01/07 24.84 24.93 23.15 23.30 23716054 577662976.00
2022/01/10 23.30 24.54 23.24 24.04 13361688 328135520.00
2022/01/11 24.06 24.41 23.78 23.86 8440040 207305552.00
2022/01/12 24.04 26.30 23.94 26.30 30615036 799606784.00
2022/01/13 26.43 26.77 25.55 25.58 20584123 551018240.00
2022/01/14 25.60 26.65 25.40 26.40 13376890 358875648.00
2022/01/17 26.38 26.78 26.15 26.74 12041685 325760416.00
2022/01/18 26.54 26.76 26.28 26.44 8165915 221068480.00
2022/01/19 26.14 26.53 25.63 25.88 9099164 241752976.00
2022/01/20 25.70 26.03 24.64 24.75 11732813 301443104.00
2022/01/21 24.90 24.94 23.73 23.84 13270697 328300768.00
2022/01/24 23.85 24.90 23.60 24.69 11104905 276415616.00
2022/01/25 24.44 24.80 23.75 23.99 7669640 190436528.00
2022/01/26 24.24 24.37 23.24 23.66 8579927 208215088.00
2022/01/27 23.45 23.87 22.66 22.73 9324561 220779136.00
2022/01/28 22.98 24.23 22.65 23.52 13105118 314835904.00
2022/02/07 24.05 24.39 23.63 23.94 14675430 360964960.00
