002591 恒大高新 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 5.00 5.23 4.94 5.19 3922200 20114924.00
2021/08/03 5.20 5.24 5.15 5.18 2375031 12330704.00
2021/08/04 5.23 5.23 5.14 5.19 1976427 10236015.00
2021/08/05 5.24 5.28 5.16 5.18 2387300 12416285.00
2021/08/06 5.17 5.21 5.11 5.13 2085300 10747223.00
2021/08/09 5.20 5.25 5.16 5.24 2307227 12029916.00
2021/08/10 5.26 5.34 5.25 5.29 2078427 10993374.00
2021/08/11 5.30 5.40 5.24 5.40 2948250 15780986.00
2021/08/12 5.40 5.45 5.35 5.37 2118460 11415327.00
2021/08/13 5.37 5.40 5.33 5.35 1869677 10026584.00
2021/08/16 5.35 5.45 5.35 5.42 2431177 13179251.00
2021/08/17 5.39 5.43 5.23 5.23 2190400 11676244.00
2021/08/18 5.22 5.36 5.22 5.33 2337800 12423511.00
2021/08/19 5.33 5.37 5.27 5.28 1463900 7778802.00
2021/08/20 5.30 5.30 5.15 5.22 2246000 11687678.00
2021/08/23 5.25 5.43 5.23 5.42 4143000 22317912.00
2021/08/24 5.40 5.56 5.36 5.46 3648300 20019248.00
2021/08/25 5.45 5.54 5.45 5.53 2973900 16374361.00
2021/08/26 5.55 5.61 5.49 5.53 3166400 17578366.00
2021/08/27 5.50 5.54 5.44 5.45 2213900 12109068.00
2021/08/30 5.46 5.52 5.36 5.39 2274800 12361826.00
2021/08/31 5.36 5.48 5.36 5.45 2818300 15308680.00
2021/09/01 5.42 5.56 5.40 5.46 3548902 19445062.00
2021/09/02 5.49 5.49 5.36 5.43 3251600 17552356.00
2021/09/03 5.47 5.57 5.45 5.49 3827702 21073134.00
2021/09/06 5.52 5.52 5.42 5.49 2451502 13391567.00
2021/09/07 5.47 5.53 5.45 5.52 2967102 16314019.00
2021/09/08 5.52 5.78 5.51 5.74 7504329 42553648.00
2021/09/09 5.73 5.74 5.65 5.66 3690050 20971950.00
2021/09/10 5.66 5.72 5.55 5.59 3811000 21372970.00
2021/09/13 5.59 5.67 5.54 5.66 2384205 13431667.00
2021/09/14 5.66 5.83 5.65 5.69 5497805 31483002.00
2021/09/15 5.69 5.79 5.67 5.77 3500300 20097668.00
2021/09/16 5.76 5.91 5.67 5.70 4402635 25480930.00
2021/09/17 5.72 5.73 5.57 5.70 3388206 19139786.00
2021/09/22 5.65 5.70 5.57 5.63 3143524 17637030.00
2021/09/23 5.63 5.75 5.63 5.66 3157700 17956450.00
2021/09/24 5.66 5.67 5.47 5.48 3823900 21199564.00
2021/09/27 5.48 5.54 5.09 5.11 5095800 26698478.00
2021/09/28 5.13 5.18 5.06 5.12 2481944 12685125.00
2021/09/29 5.09 5.11 4.98 5.00 2313700 11685694.00
2021/09/30 5.02 5.14 5.00 5.12 2160202 10933475.00
2021/10/08 5.14 5.34 5.14 5.33 2783002 14631759.00
2021/10/11 5.33 5.39 5.23 5.33 1851700 9793733.00
2021/10/12 5.30 5.32 5.19 5.27 2521100 13260571.00
2021/10/13 5.27 5.29 5.13 5.21 1877400 9771591.00
2021/10/14 5.24 5.28 5.17 5.26 2158566 11293056.00
2021/10/15 5.26 5.26 5.13 5.16 1829927 9473442.00
2021/10/18 5.15 5.23 5.12 5.21 2228600 11578464.00
2021/10/19 5.23 5.24 5.14 5.15 1474600 7650807.00
2021/10/20 5.13 5.15 5.04 5.04 2645536 13445937.00
2021/10/21 5.05 5.07 4.92 4.95 2781080 13857134.00
2021/10/22 4.95 4.96 4.88 4.90 1927100 9464981.00
2021/10/25 5.16 5.18 4.86 4.91 5666950 28191960.00
2021/10/26 4.86 4.95 4.81 4.85 2080700 10106731.00
2021/10/27 4.87 4.87 4.70 4.72 3790800 18014116.00
2021/10/28 4.62 4.75 4.61 4.71 2414400 11332231.00
2021/10/29 4.70 4.88 4.67 4.85 1921900 9244059.00
2021/11/01 4.82 4.96 4.81 4.90 2106900 10330608.00
2021/11/02 4.98 5.03 4.81 4.84 3315900 16347432.00
2021/11/03 4.80 4.89 4.80 4.89 1793100 8678745.00
2021/11/04 4.85 4.91 4.81 4.90 2151600 10481149.00
2021/11/05 4.95 5.02 4.90 5.00 3779000 18843142.00
2021/11/08 4.99 5.06 4.97 5.01 2190100 10992632.00
