002778 中晟高科 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 15.80 16.08 15.32 15.97 1258707 19911720.00
2021/08/03 16.05 16.20 15.85 16.13 804600 13031852.00
2021/08/04 16.13 16.25 15.85 16.05 810020 13091461.00
2021/08/05 16.15 16.15 15.62 15.73 683600 10899536.00
2021/08/06 15.65 15.67 15.41 15.50 618720 9692101.00
2021/08/09 15.53 15.65 15.49 15.55 485660 7627103.00
2021/08/10 15.50 15.72 15.45 15.70 808300 12746548.00
2021/08/11 15.65 16.21 15.59 16.04 830960 13388401.00
2021/08/12 16.30 16.39 15.98 16.02 580080 9410268.00
2021/08/13 15.90 16.20 15.85 16.17 720798 11686052.00
2021/08/16 16.05 16.29 16.01 16.13 578560 9417006.00
2021/08/17 16.13 16.26 15.55 15.66 654880 10527034.00
2021/08/18 15.80 16.20 15.74 16.08 574100 9244524.00
2021/08/19 16.08 16.29 16.05 16.24 624940 10219604.00
2021/08/20 16.25 16.27 15.85 16.01 694140 11247316.00
2021/08/23 16.13 16.47 15.90 16.35 1115940 18366980.00
2021/08/24 16.35 16.49 16.16 16.23 828480 13656727.00
2021/08/25 16.02 16.76 16.02 16.75 1509865 25142540.00
2021/08/26 16.76 17.72 16.65 17.62 2082465 36249672.00
2021/08/27 17.77 17.92 16.81 17.55 2784805 48708624.00
2021/08/30 17.35 17.71 17.10 17.16 1457005 25503780.00
2021/08/31 17.35 17.50 17.16 17.27 952580 16630626.00
2021/09/01 17.83 17.83 16.71 16.87 1144300 19719150.00
2021/09/02 16.87 17.06 16.58 16.80 687361 11689033.00
2021/09/03 16.78 17.49 16.78 17.15 1116980 19386118.00
2021/09/06 17.37 17.54 17.14 17.27 1090261 19025862.00
2021/09/07 17.35 17.42 17.23 17.30 770440 13461906.00
2021/09/08 17.25 17.50 17.07 17.15 902200 15682561.00
2021/09/09 17.34 17.83 17.15 17.79 2357520 41983044.00
2021/09/10 17.83 17.85 17.03 17.14 1473860 25774012.00
2021/09/13 17.20 17.84 16.91 17.72 1563085 27531548.00
2021/09/14 17.75 18.10 17.46 17.94 1931671 34694364.00
2021/09/15 17.83 18.35 17.57 18.13 2204400 40180212.00
2021/09/16 18.40 18.40 17.53 17.57 1798220 32240056.00
2021/09/17 17.47 17.74 16.97 17.23 1470326 25675780.00
2021/09/22 17.15 17.63 16.95 17.60 1031764 18129170.00
2021/09/23 17.59 17.84 17.13 17.22 993120 17381292.00
2021/09/24 17.22 17.30 16.73 16.74 1105180 18983962.00
2021/09/27 16.88 16.95 15.85 15.90 1360180 22226196.00
2021/09/28 15.92 16.45 15.92 16.25 714400 11685158.00
2021/09/29 16.07 16.65 15.95 16.21 840738 13790880.00
2021/09/30 16.30 16.35 16.05 16.27 522206 8548407.00
2021/10/08 16.49 17.91 16.49 17.91 2734118 48038112.00
2021/10/11 18.35 19.17 17.17 17.76 4268362 76579336.00
2021/10/12 17.74 18.39 17.55 17.76 2471222 44477484.00
2021/10/13 17.77 17.98 17.45 17.97 1647298 29497812.00
2021/10/14 17.75 17.97 17.56 17.83 721180 12898806.00
2021/10/15 17.81 18.01 17.60 17.84 697618 12440776.00
2021/10/18 17.95 18.32 17.83 18.18 1700358 31014840.00
2021/10/19 17.97 18.45 17.65 18.32 2521119 46368880.00
2021/10/20 18.40 18.40 17.57 17.57 1743620 31151658.00
2021/10/21 17.57 17.88 17.43 17.65 1095435 19482604.00
2021/10/22 17.65 18.04 17.06 17.37 1525880 27005436.00
2021/10/25 17.38 18.23 17.10 17.95 1946598 34881468.00
2021/10/26 17.91 18.10 17.56 17.93 1359698 24391840.00
2021/10/27 17.95 18.02 17.41 17.89 1315140 23453212.00
2021/10/28 17.79 18.00 17.55 17.55 1451100 26029788.00
2021/10/29 17.54 17.75 16.25 17.57 2442359 41917616.00
2021/11/01 17.55 17.90 17.15 17.73 1234758 21980008.00
2021/11/02 17.72 18.07 17.45 17.75 1598680 28673632.00
2021/11/03 17.75 18.23 17.74 17.90 1831994 33206966.00
2021/11/04 17.99 18.13 17.73 17.91 1269760 22936676.00
2021/11/05 17.91 18.07 17.62 17.63 1395715 25064060.00
2021/11/08 17.63 17.93 17.55 17.75 843797 15096930.00
2021/11/09 17.89 17.89 17.45 17.70 964900 17137664.00
2021/11/10 17.70 18.30 17.52 18.01 2618655 47431604.00
2021/11/11 18.34 18.34 17.90 18.22 2420634 44205492.00
2021/11/12 18.21 19.02 18.09 18.75 4293588 80777904.00
2021/11/15 18.49 19.26 18.49 19.15 3109160 59538464.00
2021/11/16 19.12 19.12 18.43 18.56 2734540 51598516.00
2021/11/17 18.69 19.09 18.21 19.04 2461035 46351200.00
2021/11/18 19.04 19.20 18.68 18.72 2011160 38321820.00
2021/11/19 18.72 19.31 18.55 19.03 2528940 48467972.00
2021/11/22 18.95 19.64 18.77 19.30 2778960 53895144.00
2021/11/23 19.25 19.25 18.53 18.67 2576960 48935484.00
2021/11/24 18.66 19.13 18.45 18.77 1924360 36438712.00
2021/11/25 18.78 19.09 18.35 19.09 2662828 50339128.00
2021/11/26 19.09 19.13 18.58 18.92 1742660 32961502.00
2021/11/29 18.56 18.56 17.90 18.15 2065880 37998324.00
2021/11/30 18.14 19.40 17.95 18.86 4038482 76827024.00
2021/12/01 18.95 19.20 18.65 19.05 2380400 45608260.00
2021/12/02 18.88 19.47 18.73 19.26 2527214 48764832.00
2021/12/03 19.33 19.33 18.80 19.05 1776800 34096752.00
2021/12/06 19.14 19.40 18.71 18.73 1801070 34507808.00
2021/12/07 18.69 18.87 18.34 18.48 1919700 35911584.00
2021/12/08 18.55 18.72 18.33 18.48 913180 17056904.00
2021/12/09 18.48 18.73 18.13 18.73 2526706 46914120.00
2021/12/10 18.74 19.01 18.54 18.67 1316760 24879394.00
2021/12/13 18.57 18.70 18.23 18.23 1119110 20770980.00
2021/12/14 18.25 18.38 18.10 18.35 619440 11422469.00
2021/12/15 18.33 18.75 18.25 18.32 1666400 31176498.00
2021/12/16 18.25 18.47 18.13 18.25 828258 15254078.00
2021/12/17 18.22 18.28 17.77 17.80 1450760 26307366.00
2021/12/20 17.72 18.07 17.61 17.89 900920 16261060.00
2021/12/21 17.89 18.04 17.78 18.01 591120 10688178.00
2021/12/22 18.06 18.20 17.97 18.10 693440 12635839.00
2021/12/23 18.03 18.14 17.72 17.79 1058124 19061778.00
2021/12/24 17.74 17.94 17.15 17.18 2217360 38967932.00
2021/12/27 17.20 17.53 16.95 17.53 1737220 30291506.00
2021/12/28 17.55 17.73 17.25 17.62 1080760 19151922.00
2021/12/29 17.64 17.85 17.39 17.69 1077140 19170208.00
2021/12/30 17.65 17.93 17.62 17.85 807220 14457527.00
2021/12/31 17.82 18.09 17.79 17.96 987340 17873174.00
2022/01/04 17.92 18.33 17.83 18.28 1871510 34120660.00
2022/01/05 18.28 18.47 18.03 18.31 1507500 27707676.00
