002988 豪美新材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 13.86 14.13 13.76 14.12 2970636 43460796.00
2021/08/03 14.09 14.88 14.01 14.72 6541026 99489088.00
2021/08/04 14.73 15.11 14.40 15.02 5096475 78351688.00
2021/08/05 14.87 15.22 14.72 14.85 2437122 37912556.00
2021/08/06 14.81 15.02 14.73 14.96 1808400 28071212.00
2021/08/09 14.94 15.15 14.67 15.13 2984354 46453784.00
2021/08/10 15.11 15.34 15.04 15.31 2090128 33117030.00
2021/08/11 15.33 15.47 15.16 15.40 1560900 24958552.00
2021/08/12 15.34 15.97 15.27 15.87 2699289 44235252.00
2021/08/13 15.87 16.39 15.65 16.18 3793972 63223224.00
2021/08/16 17.26 17.86 17.25 17.86 4215721 77453992.00
2021/08/17 18.01 18.49 16.72 16.87 9529435 170976896.00
2021/08/18 16.85 17.06 16.44 16.95 4383105 76470104.00
2021/08/19 16.67 18.11 16.52 17.95 7099134 129320064.00
2021/08/20 18.32 18.36 17.17 18.10 5847265 107892592.00
2021/08/23 18.02 18.17 17.46 17.77 4476797 82700024.00
2021/08/24 17.77 18.29 17.73 18.20 3596681 67413488.00
2021/08/25 18.27 19.12 17.97 18.88 4787897 92953776.00
2021/08/26 18.76 19.23 18.03 18.92 3352509 65205452.00
2021/08/27 18.56 19.23 18.56 18.87 2554233 49840668.00
2021/08/30 19.18 19.27 18.75 18.96 2497172 48895088.00
2021/08/31 18.86 19.70 18.57 19.58 3144502 62435432.00
2021/09/01 19.58 20.32 18.92 19.38 4239110 86019944.00
2021/09/02 19.27 20.75 19.05 20.32 3830487 79004392.00
2021/09/03 20.58 20.64 19.72 20.07 2347300 48740152.00
2021/09/06 20.07 20.32 19.17 19.27 2512184 50597248.00
2021/09/07 19.17 20.06 19.07 19.85 2348466 47765932.00
2021/09/08 19.84 20.53 19.70 20.32 2504572 52290148.00
2021/09/09 20.07 20.95 20.07 20.37 2296706 48391168.00
2021/09/10 20.77 20.77 19.65 19.90 2554905 52741884.00
2021/09/13 19.70 20.97 19.70 20.91 4094714 86780680.00
2021/09/14 20.75 20.86 20.39 20.45 2935400 62342096.00
2021/09/15 20.66 20.66 20.09 20.33 1457105 30564516.00
2021/09/16 20.15 20.57 19.32 19.47 2560482 52336504.00
2021/09/17 19.55 19.81 18.59 19.08 2316506 45755748.00
2021/09/22 19.01 19.41 18.57 19.12 1768200 34792548.00
2021/09/23 19.12 19.63 19.12 19.35 1042039 20861876.00
2021/09/24 19.35 19.75 18.62 18.62 1219400 23904308.00
2021/09/27 18.58 19.36 17.07 17.13 2709100 50084296.00
2021/09/28 17.13 17.41 16.03 16.72 3424310 59420508.00
2021/09/29 16.76 17.36 15.67 15.78 3529400 59760424.00
2021/09/30 15.81 15.98 15.49 15.75 2017100 32955716.00
2021/10/08 15.90 17.39 15.89 17.39 1656894 29305326.00
2021/10/11 18.37 19.19 17.51 18.06 5076734 96544736.00
2021/10/12 18.17 19.05 17.88 18.85 4668326 89978312.00
2021/10/13 18.61 18.77 17.93 18.07 3034310 57368192.00
2021/10/14 18.07 19.17 18.04 19.01 2987397 57837984.00
2021/10/15 19.01 19.37 18.61 19.13 2260500 44513188.00
2021/10/18 19.11 19.40 18.79 19.27 2416975 47952476.00
2021/10/19 19.63 19.63 18.77 18.96 1880087 36869872.00
2021/10/20 18.96 19.48 18.80 19.10 2095405 41553432.00
2021/10/21 19.27 19.46 18.82 18.85 1176200 23106410.00
2021/10/22 18.68 18.95 18.30 18.38 1787051 34303552.00
2021/10/25 18.38 18.87 18.08 18.11 1752500 33137002.00
2021/10/26 18.36 18.36 17.49 17.64 1856800 34035500.00
2021/10/27 17.81 17.84 17.08 17.25 1216700 21900940.00
2021/10/28 17.26 17.32 16.32 16.71 1221091 21061130.00
2021/10/29 16.65 17.04 16.57 16.77 845247 14733407.00
2021/11/01 16.96 18.11 16.82 17.65 2049047 37465288.00
2021/11/02 17.85 18.27 16.62 16.94 1854240 32995012.00
2021/11/03 16.71 17.81 16.70 17.80 1548993 27959046.00
2021/11/04 17.67 17.73 17.20 17.34 1749605 31463280.00
2021/11/05 17.28 17.65 17.16 17.22 1283093 23149708.00
2021/11/08 17.16 17.21 16.77 16.94 873195 15326158.00
2021/11/09 16.99 17.21 16.81 17.11 694900 12272123.00
2021/11/10 17.25 17.25 16.39 17.07 1318800 22983382.00
2021/11/11 16.97 17.45 16.67 16.69 1524800 26918492.00
2021/11/12 16.75 17.41 16.67 17.30 2437600 43262344.00
2021/11/15 17.55 17.55 16.75 17.25 1534301 27224206.00
