300302 同有科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 11.13 11.30 10.88 11.27 17054530 189272768.00
2021/08/03 11.20 11.98 11.10 11.52 30800189 357159712.00
2021/08/04 11.37 11.88 11.35 11.55 21166099 245755024.00
2021/08/05 11.54 11.60 11.15 11.24 15240904 172097280.00
2021/08/06 11.30 11.49 11.15 11.49 14347343 162701024.00
2021/08/09 11.52 11.85 11.29 11.36 15216510 175235488.00
2021/08/10 11.25 11.96 11.18 11.93 24854806 291177280.00
2021/08/11 11.92 12.33 11.67 11.92 22223595 265082160.00
2021/08/12 11.97 12.45 11.90 12.06 23537639 286945472.00
2021/08/13 11.99 12.23 11.84 12.07 15979722 191785264.00
2021/08/16 12.18 12.19 11.50 11.75 14080943 165816864.00
2021/08/17 11.71 12.68 11.36 12.19 31046772 372847328.00
2021/08/18 12.08 12.58 11.93 12.15 23544647 288427200.00
2021/08/19 12.01 13.00 11.87 12.79 38460033 485300416.00
2021/08/20 12.65 13.35 12.45 13.30 39433000 510913920.00
2021/08/23 13.45 14.27 12.81 13.10 52878614 710197312.00
2021/08/24 13.00 14.20 12.85 14.20 51843359 709470208.00
2021/08/25 13.89 14.06 13.44 13.87 36741784 502644224.00
2021/08/26 13.86 14.15 13.06 13.23 33874805 455508960.00
2021/08/27 12.99 13.14 12.35 12.35 29626282 374608096.00
2021/08/30 11.95 12.49 11.85 12.12 24127014 292441248.00
2021/08/31 12.00 12.01 11.23 11.41 23170716 266931040.00
2021/09/01 11.45 11.64 11.12 11.59 13020089 148720128.00
2021/09/02 11.54 11.54 11.27 11.37 9814903 111419552.00
2021/09/03 11.48 11.80 11.39 11.53 13243465 153365616.00
2021/09/06 11.42 11.63 11.18 11.60 9880148 112598096.00
2021/09/07 11.90 12.09 11.52 11.57 19231556 226162224.00
2021/09/08 11.36 11.44 10.93 11.10 19144565 213678752.00
2021/09/09 11.05 11.07 10.63 10.65 14539978 156878432.00
2021/09/10 10.66 10.75 10.61 10.73 7497560 80179120.00
2021/09/13 10.69 10.69 10.32 10.39 10629498 110845256.00
2021/09/14 10.44 10.66 10.40 10.47 8062102 84958360.00
2021/09/15 10.48 10.56 10.32 10.51 5407225 56672036.00
2021/09/16 10.56 10.77 10.50 10.77 9293662 98820224.00
2021/09/17 10.75 10.75 10.38 10.58 6855417 72283552.00
2021/09/22 10.35 10.49 10.34 10.42 3519530 36615928.00
2021/09/23 10.45 10.59 10.40 10.52 4283744 45042904.00
2021/09/24 10.53 10.65 10.34 10.38 5403102 56814268.00
2021/09/27 10.41 10.47 9.61 9.71 9481710 94207304.00
2021/09/28 9.69 9.79 9.62 9.72 2603966 25286502.00
2021/09/29 9.66 9.71 9.21 9.30 5027700 47203180.00
2021/09/30 9.31 9.46 9.31 9.40 2327010 21897682.00
2021/10/08 9.50 9.80 9.49 9.68 3610140 34930108.00
2021/10/11 9.68 9.86 9.56 9.78 3438375 33395184.00
2021/10/12 9.76 9.76 9.34 9.49 4022570 38139036.00
2021/10/13 9.49 9.60 9.41 9.55 2183270 20742824.00
2021/10/14 9.56 9.58 9.39 9.52 2403900 22829232.00
2021/10/15 9.52 9.60 9.46 9.50 2356900 22460946.00
2021/10/18 9.53 9.53 9.27 9.40 3086436 28866368.00
2021/10/19 9.32 9.51 9.32 9.43 2422402 22879986.00
2021/10/20 9.52 9.65 9.48 9.52 3660500 34990412.00
2021/10/21 9.50 9.51 9.23 9.23 3990438 37258144.00
2021/10/22 9.29 9.33 9.22 9.28 2371221 21969656.00
2021/10/25 9.36 9.38 9.23 9.29 1965370 18259098.00
2021/10/26 9.26 9.29 9.01 9.01 4500027 40845772.00
2021/10/27 9.00 9.00 8.74 8.86 3309217 29262634.00
2021/10/28 8.83 8.91 8.69 8.73 3099060 27194550.00
2021/10/29 8.74 9.13 8.74 8.96 3785572 33997208.00
2021/11/01 8.94 9.17 8.86 9.07 3957629 35793584.00
2021/11/02 9.12 9.20 8.84 8.96 3809798 34414960.00
2021/11/03 9.00 9.14 8.98 9.09 2489186 22573008.00
2021/11/04 9.09 9.18 9.07 9.17 3221877 29406274.00
2021/11/05 9.18 9.44 9.13 9.33 5224840 48613712.00
2021/11/08 9.30 9.30 9.15 9.24 3036820 27952668.00
2021/11/09 9.20 9.62 9.20 9.48 6223586 58880860.00
2021/11/10 9.62 9.63 9.47 9.57 4759451 45436348.00
2021/11/11 9.74 9.90 9.63 9.77 7797912 76303336.00
2021/11/12 9.72 9.84 9.60 9.78 6322245 61453252.00
2021/11/15 9.80 10.25 9.80 10.20 10217063 102968344.00
2021/11/16 10.20 10.34 9.98 10.01 9973820 101241576.00
2021/11/17 9.97 10.06 9.90 10.02 6001880 59919684.00
2021/11/18 10.02 10.15 9.76 9.79 6042673 59632808.00
2021/11/19 9.79 10.20 9.73 10.03 7519679 75104304.00
2021/11/22 10.05 10.13 9.92 10.04 5115169 51193696.00
2021/11/23 10.08 10.10 9.95 10.05 3758706 37644344.00
2021/11/24 10.07 10.45 9.96 10.29 8920542 91271536.00
2021/11/25 10.42 10.42 10.03 10.11 6716706 68265544.00
2021/11/26 10.12 10.29 9.91 10.10 5330310 53827772.00
2021/11/29 9.91 10.04 9.80 9.86 5206585 51609768.00
2021/11/30 9.89 10.26 9.66 10.03 8221117 82843144.00
2021/12/01 10.19 10.54 10.19 10.42 13780632 143326352.00
2021/12/02 10.33 10.38 10.02 10.03 9718743 98730136.00
2021/12/03 10.09 10.66 10.01 10.46 16370816 170575872.00
2021/12/06 10.43 10.45 10.10 10.17 12600432 128937176.00
2021/12/07 10.25 10.44 10.10 10.19 8408827 86065984.00
2021/12/08 10.10 10.43 9.87 10.36 11988124 122066744.00
2021/12/09 10.53 10.67 10.35 10.39 12699477 133334392.00
2021/12/10 10.36 10.47 10.22 10.25 7529042 77765016.00
2021/12/13 10.21 10.32 10.12 10.18 4832026 49190408.00
2021/12/14 10.26 10.35 10.13 10.30 5391436 55399872.00
2021/12/15 10.27 10.37 10.13 10.13 5660520 58009116.00
2021/12/16 10.15 10.30 10.13 10.23 4745727 48525344.00
2021/12/17 10.23 10.24 9.98 9.98 7691328 77549072.00
2021/12/20 9.96 10.08 9.67 9.67 6574901 64775076.00
2021/12/21 9.69 9.96 9.69 9.92 4552974 44924304.00
2021/12/22 9.87 10.05 9.85 9.88 3650500 36330412.00
2021/12/23 9.88 9.95 9.70 9.71 4583526 44771108.00
2021/12/24 9.83 9.85 9.41 9.42 5618877 53859292.00
2021/12/27 9.41 9.57 9.33 9.52 2732054 25859164.00
2021/12/28 9.54 9.73 9.51 9.69 3386400 32721728.00
2021/12/29 9.73 10.15 9.73 9.96 11614190 116396248.00
2021/12/30 9.91 10.44 9.81 10.27 12858824 132287600.00
2021/12/31 10.34 10.43 10.20 10.29 8339484 85903808.00
2022/01/04 10.30 10.49 10.24 10.46 9298446 96640256.00
2022/01/05 10.45 10.48 10.20 10.34 7245097 74767000.00
2022/01/06 10.39 10.39 10.17 10.27 4955368 50816544.00
2022/01/07 10.27 10.34 9.96 9.99 6475611 65538644.00
2022/01/10 10.01 10.15 9.80 10.10 5011665 50193344.00
2022/01/11 10.09 10.24 9.93 9.96 4205906 42244300.00
2022/01/12 9.98 10.14 9.95 10.11 3745250 37743640.00
2022/01/13 10.14 10.35 9.97 10.00 4654700 46973248.00
2022/01/14 10.00 10.07 9.86 9.94 4134900 41289260.00
2022/01/17 9.91 10.68 9.91 10.66 19579230 204527904.00
2022/01/18 10.58 10.84 10.45 10.52 16046793 170974512.00
2022/01/19 10.45 10.98 10.27 10.90 19907288 214264064.00
2022/01/20 10.81 10.85 10.51 10.61 13914539 147784800.00
2022/01/21 10.69 10.89 10.56 10.68 14617904 156867936.00
2022/01/24 10.61 10.90 10.50 10.66 11978478 128019400.00
2022/01/25 10.60 10.64 10.00 10.04 11827566 121125248.00
2022/01/26 10.04 10.15 9.58 9.87 8112773 79881952.00
2022/01/27 9.87 9.91 9.02 9.12 9657047 90501856.00
2022/01/28 9.18 9.35 9.07 9.21 5525930 51013768.00
2022/02/07 9.39 9.48 9.07 9.14 5911300 54674208.00
2022/02/08 9.09 9.29 9.06 9.28 4569042 42025208.00
2022/02/09 9.27 9.74 9.22 9.68 8436463 80524400.00
2022/02/10 9.65 9.70 9.54 9.63 4873400 46846588.00
2022/02/11 9.55 9.63 9.35 9.44 4367601 41261984.00
2022/02/14 9.40 9.43 9.20 9.31 3991620 37215572.00
2022/02/15 9.37 9.46 9.21 9.33 4007820 37408536.00
2022/02/16 9.59 9.84 9.41 9.47 6212620 59434788.00
2022/02/17 9.37 9.52 9.22 9.28 6594337 61757000.00
2022/02/18 9.36 9.59 9.25 9.57 7131339 67640272.00
2022/02/21 9.78 10.86 9.70 10.68 25865637 267717520.00
2022/02/22 10.41 10.64 10.30 10.63 16686377 175522608.00
2022/02/23 10.60 11.25 10.48 10.96 24124438 264567008.00
2022/02/24 10.81 11.15 10.54 10.72 20364111 220615936.00
2022/02/25 10.90 10.99 10.37 10.44 12862342 136003584.00
2022/02/28 10.45 10.58 10.01 10.52 10681400 110771008.00
2022/03/01 10.58 10.58 10.30 10.42 7347506 76309224.00
2022/03/02 10.30 10.45 10.21 10.35 5774921 59569692.00
2022/03/03 10.41 10.42 10.06 10.09 8035800 81590952.00
2022/03/04 10.08 10.14 9.80 9.85 7365442 73357752.00
2022/03/07 9.76 9.89 9.50 9.58 5522800 53273056.00
2022/03/08 9.59 9.67 9.22 9.30 7811320 73538848.00
2022/03/09 9.32 9.42 8.70 9.19 9599180 87163624.00
2022/03/10 9.42 9.44 9.10 9.13 7384829 68442496.00
2022/03/11 8.98 9.25 8.85 9.20 7053403 63900884.00
2022/03/14 9.11 9.23 8.87 8.89 5705660 51332760.00
2022/03/15 8.81 8.93 8.31 8.32 8770068 75817584.00
2022/03/16 8.52 8.64 8.12 8.57 9440014 79691632.00
2022/03/17 8.61 8.75 8.47 8.58 9228915 79693608.00
2022/03/18 8.63 8.87 8.58 8.75 7854992 68647408.00
2022/03/21 8.78 8.81 8.57 8.70 6551342 56969368.00
2022/03/22 8.71 8.77 8.52 8.72 5930233 51296924.00
2022/03/23 8.70 8.74 8.60 8.70 4980018 43241708.00
2022/03/24 8.67 8.68 8.40 8.45 5583852 47357360.00
2022/03/25 8.47 8.60 8.39 8.40 4453268 37782772.00
2022/03/28 8.39 8.53 8.20 8.38 3892110 32607774.00
2022/03/29 8.38 8.46 8.15 8.19 4326340 35640440.00
2022/03/30 8.26 8.31 8.19 8.29 3412600 28192764.00
2022/03/31 8.30 8.51 8.22 8.37 5029200 42078960.00
2022/04/01 8.34 8.83 8.22 8.53 9730719 83226984.00
2022/04/06 8.45 8.85 8.44 8.68 7324548 63695412.00
2022/04/07 8.66 8.68 8.43 8.47 4045700 34534368.00
2022/04/08 8.46 8.47 8.22 8.34 3369355 28027740.00
2022/04/11 8.21 8.29 8.16 8.23 3560295 29244408.00
2022/04/12 8.19 8.41 7.90 8.37 5443231 44109848.00
2022/04/13 8.13 8.29 7.87 7.90 5819388 46744696.00
2022/04/14 7.92 8.03 7.84 7.87 3347323 26529584.00
2022/04/15 7.84 7.86 7.55 7.65 4521837 34607156.00
2022/04/18 7.64 7.66 7.38 7.63 3484817 26173616.00
2022/04/19 7.65 7.70 7.53 7.61 2078265 15843063.00
2022/04/20 7.72 7.82 7.51 7.61 2519180 19399834.00
2022/04/21 7.59 7.63 7.10 7.19 4543310 33394088.00
2022/04/22 7.11 7.28 7.08 7.18 2496300 17903592.00
2022/04/25 7.08 7.09 6.36 6.39 6710401 45079292.00
2022/04/26 6.40 6.56 6.11 6.20 4497086 28716310.00
2022/04/27 6.00 6.65 6.00 6.65 5744567 36606980.00
2022/04/28 6.65 6.65 6.43 6.63 4555212 29844780.00
2022/04/29 6.83 7.12 6.46 7.02 10445053 71559592.00
2022/05/05 7.00 7.22 6.95 7.10 4569402 32501224.00
2022/05/06 6.96 7.86 6.86 7.60 9926162 73990832.00
2022/05/09 7.53 7.75 7.43 7.49 6634887 50243564.00
2022/05/10 7.40 7.56 7.35 7.52 4003165 30000006.00
2022/05/11 7.41 7.88 7.41 7.58 6098331 46847200.00
2022/05/12 7.50 7.68 7.40 7.59 4418972 33270914.00
2022/05/13 7.53 7.65 7.53 7.59 2631038 19964882.00
2022/05/16 7.64 7.68 7.42 7.43 2867642 21583482.00
2022/05/17 7.47 7.50 7.28 7.36 3815093 28012086.00
2022/05/18 7.42 7.64 7.40 7.44 3776945 28396536.00
2022/05/19 7.43 7.47 7.34 7.45 3250296 24061552.00
2022/05/20 7.40 7.58 7.40 7.57 3327104 24976198.00
2022/05/23 7.60 7.69 7.47 7.64 4172900 31658516.00
2022/05/24 7.75 7.75 7.21 7.21 4981951 37144716.00
2022/05/25 7.26 7.43 7.23 7.35 3503400 25717648.00
2022/05/26 7.36 7.50 7.17 7.42 4030881 29630156.00
2022/05/27 7.55 7.55 7.20 7.33 4265000 31417932.00
2022/05/30 7.38 7.40 7.23 7.37 3962467 29002232.00
2022/05/31 7.37 7.55 7.28 7.55 4460580 33203390.00
2022/06/01 7.56 7.64 7.45 7.58 4235250 32067740.00
2022/06/02 7.58 7.81 7.48 7.75 5693404 43672184.00
2022/06/06 7.77 7.96 7.71 7.89 5614400 44334832.00
2022/06/07 7.91 7.96 7.70 7.79 4164405 32529296.00
