300316 晶盛机电 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 64.80 69.02 61.79 65.57 43291042 2884516608.00
2021/08/03 64.78 66.85 62.17 63.25 26759141 1764366848.00
2021/08/04 62.22 66.58 62.17 65.37 27058653 1795675904.00
2021/08/05 64.47 64.57 62.17 63.50 16527330 1073620096.00
2021/08/06 63.67 65.55 62.49 63.66 14774307 971020032.00
2021/08/09 63.34 63.68 58.77 59.92 23413146 1454807040.00
2021/08/10 60.14 61.52 58.79 59.91 19217471 1192007808.00
2021/08/11 60.37 63.39 59.91 62.55 20476139 1311503744.00
2021/08/12 62.57 65.84 62.28 63.22 20038444 1324806656.00
2021/08/13 62.43 63.16 59.92 60.17 16443931 1039423808.00
2021/08/16 59.82 61.23 58.35 59.11 15664921 961707904.00
2021/08/17 58.76 59.93 56.53 57.55 19129477 1139117184.00
2021/08/18 58.27 58.75 56.26 57.17 15731262 934995776.00
2021/08/19 57.05 59.32 56.34 58.66 13962351 836334592.00
2021/08/20 58.67 60.05 57.98 59.13 13082935 798368896.00
2021/08/23 59.28 62.00 58.46 61.16 17182555 1072937536.00
2021/08/24 61.54 62.47 59.78 60.95 15037901 946050880.00
2021/08/25 60.85 63.13 59.17 62.27 14449720 910550720.00
2021/08/26 62.25 67.85 61.99 66.57 26264246 1768554880.00
2021/08/27 65.78 70.37 65.27 69.93 25654251 1801369344.00
2021/08/30 69.87 77.91 69.82 74.97 30436298 2334379520.00
2021/08/31 75.17 75.84 72.85 75.84 16679015 1269061760.00
2021/09/01 81.43 83.16 70.47 75.03 33184874 2570782208.00
2021/09/02 74.97 78.67 74.38 75.62 19943196 1549675776.00
2021/09/03 74.12 78.47 72.48 73.17 22086358 1697906304.00
2021/09/06 72.63 73.96 69.87 72.03 20398296 1506567552.00
2021/09/07 71.75 75.02 71.05 72.28 14735880 1094418048.00
2021/09/08 72.67 73.12 67.97 68.68 21573731 1534835456.00
2021/09/09 69.67 69.67 66.57 68.10 17523309 1218224896.00
2021/09/10 69.17 74.02 68.05 73.46 24566325 1798877824.00
2021/09/13 74.04 74.16 68.07 69.12 21924427 1572474240.00
2021/09/14 68.18 71.54 67.96 68.77 15193369 1081740288.00
2021/09/15 68.50 71.03 68.18 69.69 12348989 884704256.00
2021/09/16 68.60 69.77 67.17 67.67 16058513 1129222016.00
2021/09/17 67.07 69.05 63.56 65.89 16754561 1127601664.00
2021/09/22 63.74 67.67 63.63 66.41 11007272 749700032.00
2021/09/23 67.03 67.13 65.22 66.17 10221555 694891776.00
2021/09/24 65.53 68.67 64.98 66.38 14220668 977463104.00
2021/09/27 66.38 69.02 63.81 65.91 13177949 898173568.00
2021/09/28 64.89 67.07 63.77 64.59 9962685 666567680.00
2021/09/29 62.28 64.73 61.17 62.12 13965804 902467648.00
2021/09/30 62.46 63.62 60.86 62.52 9430161 607990144.00
2021/10/08 63.17 63.45 60.17 60.88 11355276 718662400.00
2021/10/11 60.45 62.25 59.37 60.67 9200933 575749376.00
2021/10/12 60.67 62.04 58.77 59.47 9594147 593863808.00
2021/10/13 59.47 61.74 59.17 61.69 9511362 592432256.00
2021/10/14 61.22 69.65 60.87 69.40 25654948 1769520000.00
2021/10/15 70.17 72.24 68.85 70.40 17247394 1246630528.00
2021/10/18 71.72 74.59 70.68 74.26 21958212 1647209088.00
2021/10/19 74.84 75.05 72.84 74.50 12335752 938331328.00
2021/10/20 74.53 76.15 73.45 73.85 11231770 855976320.00
2021/10/21 74.17 74.45 71.83 73.17 14278874 1069337920.00
2021/10/22 73.33 73.85 71.46 71.67 9535477 706594880.00
2021/10/25 72.07 74.12 71.29 73.13 12162907 911586496.00
2021/10/26 72.64 73.85 70.18 72.39 13347784 989931840.00
2021/10/27 74.07 74.15 71.83 73.12 12207382 915435648.00
2021/10/28 73.16 74.75 72.37 73.18 14622848 1103077376.00
2021/10/29 73.47 76.65 71.17 74.58 15120328 1140525696.00
2021/11/01 74.58 75.67 71.53 73.82 14737349 1112561792.00
2021/11/02 72.19 77.79 72.19 74.92 18357205 1412524544.00
2021/11/03 73.67 76.45 73.67 74.78 11751187 903226688.00
2021/11/04 75.03 76.37 73.89 74.53 10465414 802820416.00
2021/11/05 74.53 78.77 73.72 77.18 16362066 1283947904.00
2021/11/08 76.40 78.05 74.97 77.67 11897432 935048320.00
2021/11/09 80.19 80.75 75.17 75.80 13969437 1103275520.00
2021/11/10 75.17 78.67 75.05 77.85 10896885 863153856.00
2021/11/11 77.46 79.56 76.27 79.28 10606053 848335744.00
2021/11/12 79.27 81.40 78.12 80.90 12818415 1047548160.00
2021/11/15 81.76 82.03 73.73 73.97 21391010 1672408320.00
2021/11/16 72.77 74.03 71.78 72.32 16882366 1255533824.00
2021/11/17 72.24 73.32 71.02 72.17 11398423 841872192.00
2021/11/18 72.06 72.06 68.47 69.73 17016251 1220461952.00
2021/11/19 69.71 71.06 67.96 70.21 18018764 1282894592.00
2021/11/22 70.28 75.10 69.67 74.65 20298186 1514346496.00
2021/11/23 73.98 73.98 69.24 69.41 19303221 1407453824.00
2021/11/24 67.87 69.41 65.77 66.11 20724739 1432952448.00
2021/11/25 65.79 67.00 64.76 64.99 13451956 907487104.00
2021/11/26 65.17 67.43 64.77 66.38 10569283 720701120.00
2021/11/29 66.05 68.96 65.78 68.72 13886828 971840128.00
2021/11/30 69.67 70.00 67.47 70.00 10707683 757412800.00
2021/12/01 69.67 69.67 66.67 67.09 16057231 1111982080.00
2021/12/02 66.66 67.95 66.08 67.11 9117103 627480768.00
2021/12/03 66.23 67.45 65.15 66.37 13635288 927511744.00
2021/12/06 68.53 69.60 66.18 66.18 14603273 1015077376.00
2021/12/07 67.16 69.15 65.18 66.20 12876864 880712320.00
2021/12/08 67.05 69.57 66.59 69.05 15965488 1121150976.00
2021/12/09 69.05 69.17 67.57 68.97 12239858 858647744.00
2021/12/10 68.46 74.16 68.46 73.46 30474493 2255811328.00
2021/12/13 74.00 74.00 69.98 73.27 22893562 1698582528.00
2021/12/14 72.51 72.86 71.38 71.82 12040363 889165824.00
2021/12/15 70.97 71.72 70.40 70.47 10480097 762438784.00
2021/12/16 71.17 71.29 70.00 70.90 5371825 389221120.00
2021/12/17 70.62 70.62 68.70 68.90 8461268 602718656.00
2021/12/20 68.37 69.37 66.25 66.92 8082578 559820480.00
2021/12/21 66.65 68.30 65.07 66.37 8892452 605732608.00
2021/12/22 66.56 68.68 65.32 67.73 11555163 800395200.00
2021/12/23 67.52 69.67 67.07 68.65 7097809 499877152.00
2021/12/24 69.33 69.47 65.98 67.59 6369404 439638912.00
2021/12/27 66.82 67.58 65.44 66.21 9689568 659243712.00
2021/12/28 66.17 67.08 65.19 66.85 8158575 554713664.00
2021/12/29 66.55 68.14 64.58 66.17 9815204 667056064.00
2021/12/30 65.81 67.10 64.85 64.87 10867659 732068608.00
2021/12/31 65.60 68.54 65.55 67.67 19586327 1356842752.00
2022/01/04 67.67 68.23 62.17 62.80 26121373 1712285568.00
2022/01/05 63.37 63.55 58.47 59.83 20029511 1245506816.00
2022/01/06 57.78 59.67 57.27 58.61 16186684 977138560.00
2022/01/07 58.71 59.63 55.83 56.91 16440763 966928064.00
2022/01/10 56.77 56.77 54.17 54.84 16004163 910804992.00
2022/01/11 54.76 55.40 54.03 54.62 13091795 739881536.00
2022/01/12 54.95 57.38 54.35 57.26 15788844 916006656.00
2022/01/13 57.62 59.83 55.55 57.63 18912981 1130929280.00
2022/01/14 57.27 61.16 57.17 59.42 17001063 1050849216.00
2022/01/17 60.36 61.74 59.83 61.02 11446786 717402432.00
2022/01/18 60.66 61.53 59.91 60.64 8529940 531545920.00
2022/01/19 60.56 60.56 58.82 59.16 8416330 515051328.00
2022/01/20 59.65 60.11 58.06 58.47 8279543 500864800.00
2022/01/21 58.49 59.12 56.98 57.52 7013855 418691552.00
2022/01/24 57.49 60.17 57.19 59.57 8652391 525391296.00
2022/01/25 59.42 60.87 58.92 58.94 8557392 528924928.00
2022/01/26 58.87 59.90 58.05 59.67 6384620 388035840.00
2022/01/27 59.52 59.52 56.18 56.37 14244408 839417216.00
2022/01/28 56.41 57.51 54.97 55.46 11104558 640475328.00
2022/02/07 56.77 58.44 55.97 57.60 10501550 620250624.00
2022/02/08 58.17 58.17 53.33 53.98 12347794 695862464.00
2022/02/09 53.92 55.62 52.87 55.40 12296461 690739456.00
2022/02/10 55.37 55.97 53.78 55.27 9833683 555194880.00
2022/02/11 54.17 54.60 52.05 52.21 11911740 655303616.00
2022/02/14 51.31 53.87 51.01 52.47 12431002 676185664.00
2022/02/15 53.37 55.27 52.47 55.22 12214722 688628224.00
2022/02/16 55.61 55.87 54.51 55.11 6434117 366866976.00
2022/02/17 54.97 58.53 54.97 57.35 10394108 612631424.00
2022/02/18 57.04 57.62 54.56 55.27 9980594 573134272.00
2022/02/21 55.20 55.66 54.09 55.48 7043336 400872192.00
2022/02/22 55.17 58.47 54.47 58.27 14755282 874390592.00
2022/02/23 58.70 62.00 58.28 60.74 18916056 1186422784.00
2022/02/24 60.87 62.35 59.87 60.73 9723521 611655296.00
2022/02/25 62.24 62.76 60.24 61.77 9859334 628004096.00
2022/02/28 61.85 63.37 61.42 63.17 10201765 657592448.00
2022/03/01 63.34 64.31 61.85 62.45 10072409 647603712.00
2022/03/02 61.77 62.11 60.83 61.55 6066582 383859808.00
