300458 全志科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 34.60 35.33 32.17 32.88 36197103 3040172288.00
2021/08/03 32.90 33.18 30.26 30.55 27754130 2192061952.00
2021/08/04 31.05 31.45 30.24 31.12 21565754 1684715776.00
2021/08/05 31.10 32.66 30.56 32.13 23224275 1867051904.00
2021/08/06 32.05 32.70 30.28 30.59 20502484 1601097984.00
2021/08/09 30.15 31.56 29.84 31.08 15600650 1207377920.00
2021/08/10 31.21 31.41 29.90 30.65 14098563 1082102656.00
2021/08/11 30.70 30.84 29.78 30.72 12407031 949929280.00
2021/08/12 30.73 31.84 30.43 30.82 17350992 1359466752.00
2021/08/13 30.52 30.52 28.93 29.27 18060771 1353480960.00
2021/08/16 29.28 31.68 29.27 30.31 19395205 1493547392.00
2021/08/17 30.48 30.69 28.25 28.42 16579880 1220264960.00
2021/08/18 29.31 29.66 28.52 28.78 11076457 813164864.00
2021/08/19 28.62 29.60 28.60 29.06 9648286 709356928.00
2021/08/20 28.26 29.88 27.86 28.60 16008606 1162631424.00
2021/08/23 28.93 29.96 28.43 29.51 15205511 1130956416.00
2021/08/24 30.14 30.63 29.01 29.84 14601446 1104563200.00
2021/08/25 30.14 31.66 29.86 30.56 18127619 1410184832.00
2021/08/26 30.22 30.75 29.18 29.29 13785843 1038015680.00
2021/08/27 29.01 29.89 28.76 29.12 9081294 671207616.00
2021/08/30 29.74 30.70 29.01 29.40 13452785 1013284224.00
2021/08/31 28.92 29.58 27.27 28.04 16357640 1164152832.00
2021/09/01 28.03 29.54 27.64 29.05 17242219 1251827072.00
2021/09/02 28.70 28.73 27.18 27.32 15573305 1091050496.00
2021/09/03 27.04 29.00 26.98 28.06 14567395 1032770624.00
2021/09/06 28.63 29.95 27.71 29.18 14923890 1099301760.00
2021/09/07 28.73 29.29 28.43 28.93 8640404 628314560.00
2021/09/08 29.02 29.54 28.41 28.77 9403494 685177024.00
2021/09/09 28.77 29.56 28.35 28.87 10037385 730679552.00
2021/09/10 28.52 31.09 28.14 30.91 23614960 1785651712.00
2021/09/13 30.70 30.84 27.31 27.42 26324148 1902168704.00
2021/09/14 27.27 29.07 27.27 28.34 17289958 1235731072.00
2021/09/15 28.01 29.20 27.31 28.33 12711547 906497856.00
