300464 星徽股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 11.15 11.80 11.15 11.67 8605258 99182048.00
2021/08/03 11.74 12.10 11.68 11.75 9485158 112094552.00
2021/08/04 11.65 11.90 11.61 11.82 8403350 98684952.00
2021/08/05 11.69 11.81 11.33 11.38 8619282 99368152.00
2021/08/06 11.24 11.50 11.24 11.39 6289117 71354792.00
2021/08/09 11.39 11.47 11.27 11.38 6438995 73086512.00
2021/08/10 11.31 11.75 11.25 11.73 11669980 134999920.00
2021/08/11 11.72 12.29 11.69 11.85 14901709 178328704.00
2021/08/12 11.89 12.13 11.66 11.71 10193074 119947328.00
2021/08/13 11.62 11.68 11.26 11.39 11240742 127864608.00
2021/08/16 11.39 11.95 11.31 11.79 11514450 133969816.00
2021/08/17 11.80 11.82 11.26 11.33 9711333 111093912.00
2021/08/18 11.32 11.45 11.17 11.40 5126300 58089496.00
2021/08/19 11.40 11.41 11.21 11.33 4554750 51390032.00
2021/08/20 11.29 11.29 9.83 10.25 16144742 167840640.00
2021/08/23 10.20 10.36 10.06 10.33 8133642 83218800.00
2021/08/24 10.34 10.35 9.84 9.90 14424350 143652128.00
2021/08/25 9.94 9.94 9.49 9.60 9642300 93155976.00
2021/08/26 9.68 9.86 9.51 9.62 9078700 87906264.00
2021/08/27 9.60 9.62 9.20 9.49 10966047 102729920.00
2021/08/30 9.38 9.72 9.25 9.66 11531550 109471672.00
2021/08/31 9.59 9.99 9.40 9.48 13944177 134101816.00
2021/09/01 9.41 9.60 9.30 9.55 7510148 70952224.00
2021/09/02 9.48 9.57 9.36 9.43 5540600 52374764.00
2021/09/03 9.45 9.88 9.41 9.88 13784497 134308768.00
2021/09/06 9.86 9.97 9.65 9.93 8763300 86174776.00
2021/09/07 9.86 10.20 9.78 10.06 9993988 100125240.00
2021/09/08 10.04 10.22 9.94 10.14 11026900 111222240.00
2021/09/09 10.09 10.38 9.99 10.23 10727595 109359848.00
2021/09/10 10.20 10.24 9.94 9.98 8207069 82401872.00
2021/09/13 9.92 10.39 9.86 10.34 13733992 140060528.00
2021/09/14 10.38 10.38 9.99 10.02 9657500 98069584.00
2021/09/15 9.92 10.08 9.88 9.96 6384739 63536336.00
2021/09/16 9.92 10.06 9.59 9.61 8246104 80679336.00
2021/09/17 9.67 9.67 9.37 9.58 5729250 54508744.00
2021/09/22 9.52 9.56 9.39 9.47 3965900 37511472.00
2021/09/23 9.47 9.77 9.47 9.64 4889100 47178928.00
2021/09/24 9.65 9.98 9.47 9.82 9213142 89890224.00
2021/09/27 9.91 10.33 9.66 10.15 14358104 143273648.00
2021/09/28 10.02 10.14 9.87 9.96 6740576 67122624.00
2021/09/29 9.91 9.92 9.52 9.52 5263200 50871060.00
2021/09/30 9.56 9.80 9.55 9.74 2974550 28845124.00
2021/10/08 9.79 10.17 9.75 10.06 8982700 90018360.00
2021/10/11 10.03 10.60 9.96 10.38 19814276 205797680.00
2021/10/12 10.20 10.31 9.35 9.43 21107387 204263248.00
2021/10/13 9.30 9.37 9.00 9.16 10260437 93416680.00
2021/10/14 9.10 9.24 9.09 9.20 4616500 42349056.00
2021/10/15 9.17 9.24 8.78 8.81 10101023 90581744.00
2021/10/18 8.70 8.73 8.43 8.67 7194205 61704952.00
2021/10/19 8.22 8.34 8.06 8.13 16094754 131121176.00
2021/10/20 8.08 8.08 7.73 7.85 12687150 99703504.00
2021/10/21 7.79 7.94 7.73 7.92 7099303 55931872.00
2021/10/22 7.92 7.93 7.66 7.73 6468150 50342220.00
2021/10/25 7.67 7.77 7.53 7.74 5577038 42579764.00
2021/10/26 7.72 7.80 7.55 7.56 5423700 41564680.00
2021/10/27 7.66 7.70 7.27 7.36 6533995 48309988.00
2021/10/28 7.35 7.56 7.22 7.50 7001238 51913652.00
2021/10/29 7.43 7.68 7.38 7.52 6121973 46268092.00
2021/11/01 7.55 7.67 7.43 7.56 6089266 46057124.00
2021/11/02 7.59 7.73 7.28 7.36 7713339 58120388.00
2021/11/03 7.39 7.69 7.33 7.66 8492901 64239064.00
2021/11/04 7.71 7.72 7.55 7.69 5192271 39627132.00
2021/11/05 7.68 7.85 7.61 7.78 6277671 48760420.00
2021/11/08 7.76 7.79 7.57 7.69 4485469 34355688.00
2021/11/09 7.69 7.73 7.55 7.60 4577036 34848376.00
2021/11/10 7.58 7.76 7.48 7.75 5620621 42786428.00
2021/11/11 7.71 7.91 7.66 7.84 5767698 44996384.00
2021/11/12 7.85 8.04 7.71 7.93 7561777 59555348.00
2021/11/15 7.90 8.24 7.90 8.20 8725236 70965176.00
2021/11/16 8.21 8.29 8.04 8.04 7040192 57369920.00
2021/11/17 8.02 8.21 7.98 8.12 5061600 41083256.00
2021/11/18 8.15 8.15 7.93 8.00 5626974 45086668.00
2021/11/19 8.03 8.12 7.92 8.04 3745590 30072108.00
2021/11/22 8.07 8.10 7.96 8.00 3243080 25979790.00
2021/11/23 8.00 8.13 7.95 8.09 4552190 36635708.00
2021/11/24 8.08 8.29 7.98 8.17 6868200 55924568.00
2021/11/25 8.16 8.93 8.08 8.47 22978354 195863360.00
2021/11/26 8.38 8.56 8.18 8.20 12258363 101593952.00
2021/11/29 8.00 9.12 7.96 8.90 25906161 224428288.00
2021/11/30 9.20 10.68 8.95 10.68 47155624 470608256.00
2021/12/01 10.88 10.99 10.01 10.32 53642235 553462912.00
2021/12/02 9.90 9.98 9.08 9.18 43886510 416000512.00
2021/12/03 9.20 9.31 8.96 8.97 22152655 201128784.00
2021/12/06 9.03 9.05 8.67 8.69 15876910 139411152.00
