300470 中密控股 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 33.15 35.68 33.14 35.40 3614438 137453328.00
2021/08/03 35.49 36.19 35.03 36.01 2832573 111533520.00
2021/08/04 36.17 36.34 35.18 35.20 2226656 87170608.00
2021/08/05 35.20 35.80 34.80 35.44 2146706 83504632.00
2021/08/06 35.70 36.15 35.00 35.67 1941618 75691440.00
2021/08/09 35.67 36.87 35.08 36.68 1809639 71943544.00
2021/08/10 36.46 38.20 36.46 38.05 3189757 130886976.00
2021/08/11 38.06 39.14 37.62 38.50 2315147 96986832.00
2021/08/12 38.00 38.40 36.80 36.89 2122684 86595456.00
2021/08/13 37.08 37.98 36.40 37.31 2490818 101512824.00
2021/08/16 37.29 37.29 36.00 36.84 1977618 79520440.00
2021/08/17 36.79 38.10 36.45 36.58 2157026 88072544.00
2021/08/18 36.30 37.86 35.70 37.66 1733111 70244976.00
2021/08/19 37.41 38.00 36.70 36.70 1739565 70813072.00
2021/08/20 36.70 38.16 36.05 37.81 2020683 82752368.00
2021/08/23 37.89 41.77 37.89 40.88 4280929 188564608.00
2021/08/24 40.59 42.93 40.05 42.20 4219113 190493792.00
2021/08/25 42.00 42.20 40.50 41.16 2502978 111454264.00
2021/08/26 41.10 42.00 40.10 41.69 3250578 145462592.00
2021/08/27 41.55 43.77 40.29 42.80 4744892 219492944.00
2021/08/30 43.00 43.00 40.74 41.30 3560593 160517232.00
2021/08/31 41.50 42.38 40.90 41.73 2212034 99854392.00
2021/09/01 41.59 41.73 39.38 40.24 2777610 120984600.00
2021/09/02 40.50 41.49 39.85 40.10 1954550 86270976.00
2021/09/03 40.22 40.40 39.33 39.50 1998260 86379864.00
2021/09/06 39.73 41.48 39.67 40.83 1939894 85673448.00
2021/09/07 41.10 42.61 40.78 41.40 2609152 118136160.00
2021/09/08 41.15 41.60 40.26 40.50 1867144 82483480.00
2021/09/09 40.71 40.74 38.40 38.95 2532354 108416584.00
2021/09/10 39.98 39.98 37.88 38.64 2151870 90985584.00
2021/09/13 38.52 39.20 38.00 38.59 1089980 45830844.00
2021/09/14 38.62 38.87 37.90 38.15 1124900 47128264.00
2021/09/15 37.80 39.20 37.34 38.73 1450436 60997924.00
2021/09/16 38.56 38.89 37.56 37.61 1490375 61960132.00
2021/09/17 37.70 38.72 36.18 36.50 1919718 78238000.00
2021/09/22 36.43 38.10 36.10 37.89 1527056 62560048.00
2021/09/23 38.10 38.20 36.27 36.28 2197715 88682176.00
2021/09/24 36.19 37.05 35.18 35.49 1790432 71108416.00
2021/09/27 36.10 36.79 34.58 34.89 2047474 79293080.00
2021/09/28 34.80 35.60 34.60 35.17 1348664 52085168.00
2021/09/29 35.10 35.90 34.00 34.13 1371352 52514764.00
2021/09/30 34.32 34.80 33.33 33.69 2345766 87674360.00
2021/10/08 33.53 35.30 33.53 34.32 1482668 56496580.00
2021/10/11 34.32 35.70 33.90 34.68 1155533 44119944.00
2021/10/12 34.85 34.85 32.90 33.39 1475811 54877736.00
2021/10/13 33.49 33.61 32.55 33.09 1238444 45201776.00
2021/10/14 33.10 33.47 32.67 32.94 1126400 41061924.00
2021/10/15 33.10 33.80 32.75 32.90 1411876 51810052.00
2021/10/18 32.93 33.78 32.93 33.65 1002357 37011692.00
2021/10/19 33.65 34.83 33.40 34.52 1476501 56039920.00
2021/10/20 34.80 35.85 34.17 35.55 1984141 76351320.00
2021/10/21 35.22 35.48 34.51 34.95 1573830 60528080.00
2021/10/22 34.77 35.36 34.50 34.95 1172300 44982432.00
2021/10/25 34.68 36.35 34.57 35.83 1509540 59371052.00
2021/10/26 36.22 36.50 35.56 36.34 1048108 41625604.00
2021/10/27 35.73 36.35 35.27 36.15 1537470 60601560.00
2021/10/28 36.10 37.12 35.21 36.92 2855812 114198904.00
2021/10/29 36.88 36.89 34.90 35.39 2041226 79619464.00
2021/11/01 35.24 36.10 34.83 35.90 1735224 67502584.00
2021/11/02 35.65 36.30 34.24 34.96 1536900 59244172.00
2021/11/03 34.92 36.80 34.70 35.90 2203720 87066536.00
2021/11/04 36.50 36.63 35.91 36.26 1093309 43502748.00
2021/11/05 36.26 39.00 36.11 38.42 5175444 215478992.00
2021/11/08 36.79 38.20 35.60 37.70 3444900 140290096.00
2021/11/09 37.70 38.08 36.85 37.75 1642412 67414304.00
2021/11/10 37.63 37.80 37.01 37.66 1117349 45717312.00
2021/11/11 37.30 38.49 37.06 38.45 1782561 73564384.00
2021/11/12 38.45 40.44 37.80 39.83 2616166 111958232.00
2021/11/15 39.78 40.38 39.20 39.65 2020982 87241976.00
2021/11/16 39.43 40.08 38.55 38.65 1414288 60389448.00
2021/11/17 38.86 39.66 38.54 39.40 1233473 52674344.00
2021/11/18 39.48 39.83 39.00 39.80 1622295 69853672.00
2021/11/19 39.51 40.08 39.40 39.62 1016812 43863040.00
