300699 光威复材 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 41.38 49.19 41.37 47.69 22765972 1760543488.00
2021/08/03 47.38 49.30 46.54 48.19 15083527 1206021632.00
2021/08/04 48.05 49.18 47.59 48.48 10482375 840941120.00
2021/08/05 49.50 50.61 47.64 48.46 17761629 1444176000.00
2021/08/06 47.56 49.81 47.45 49.18 13236436 1072603392.00
2021/08/09 49.50 50.74 47.99 48.30 12040014 977330816.00
2021/08/10 47.94 50.71 47.94 49.91 14500678 1198158464.00
2021/08/11 49.37 51.28 49.03 49.91 11886528 986569728.00
2021/08/12 49.38 51.88 48.58 49.68 13635678 1134092288.00
2021/08/13 49.94 51.67 49.14 49.88 11409287 949770944.00
2021/08/16 50.20 51.28 47.77 48.68 10219894 833488128.00
2021/08/17 48.78 49.86 47.02 47.63 8801387 705349696.00
2021/08/18 47.69 50.94 46.88 49.93 11879565 973169024.00
2021/08/19 49.50 50.50 48.33 49.77 8677314 710150976.00
2021/08/20 49.78 49.81 47.32 48.25 9233212 737404352.00
2021/08/23 48.58 52.59 48.58 51.56 15112795 1281584256.00
2021/08/24 50.33 50.42 47.94 49.95 17497688 1422096512.00
2021/08/25 50.00 51.19 48.76 49.33 9023451 741657152.00
2021/08/26 49.49 50.44 47.63 47.89 9229714 746331264.00
2021/08/27 47.60 47.63 44.47 44.99 15311065 1160656384.00
2021/08/30 45.22 47.13 44.76 44.88 12706666 967676864.00
2021/08/31 44.87 45.26 43.11 43.90 10340988 754631808.00
2021/09/01 43.75 44.48 43.18 44.05 7286458 531714848.00
2021/09/02 44.03 44.03 42.58 42.93 7365750 527046528.00
2021/09/03 42.81 43.70 41.78 43.04 8036206 572189440.00
2021/09/06 43.25 44.26 42.25 43.93 7988219 578900288.00
2021/09/07 44.18 44.53 43.36 43.49 7035595 511701088.00
2021/09/08 43.47 44.11 42.53 43.04 6077287 436524224.00
2021/09/09 42.69 43.63 42.69 43.62 5264916 378975872.00
2021/09/10 43.84 43.86 42.56 43.10 5641104 403624128.00
2021/09/13 43.04 43.18 41.88 42.03 6607381 464789248.00
2021/09/14 42.43 43.62 42.01 42.23 8010174 570313024.00
2021/09/15 42.24 43.20 41.38 42.98 7086587 503241504.00
2021/09/16 42.98 43.34 42.28 42.88 5056654 360374848.00
2021/09/17 42.76 42.87 41.64 42.03 4288391 301099808.00
2021/09/22 41.38 42.38 40.55 42.03 5007619 345417536.00
2021/09/23 42.29 42.54 41.56 42.05 4781035 333445920.00
2021/09/24 41.79 42.06 41.05 41.11 4482269 310937184.00
2021/09/27 40.88 41.54 39.84 39.90 6111032 413298816.00
2021/09/28 39.94 40.33 39.52 39.55 4040127 268913696.00
2021/09/29 39.49 39.88 39.23 39.78 3940787 260849088.00
2021/09/30 39.80 40.04 38.91 39.20 4220727 277172448.00
2021/10/08 39.26 39.69 38.44 38.75 3549339 231943392.00
2021/10/11 38.75 40.66 38.53 40.30 6318422 422752128.00
2021/10/12 40.03 40.03 38.58 38.65 4444343 289643712.00
2021/10/13 38.31 38.36 35.13 36.73 9650791 590484608.00
2021/10/14 36.78 37.07 36.08 36.67 5323108 327260448.00
2021/10/15 36.88 37.56 36.50 37.41 5614920 350460896.00
2021/10/18 37.50 38.44 37.36 37.72 4081850 258109312.00
2021/10/19 37.61 37.94 37.38 37.76 3893601 245470032.00
2021/10/20 37.50 37.89 36.92 36.99 5545681 346193536.00
2021/10/21 37.05 37.42 36.54 36.84 3900916 240864720.00
2021/10/22 36.63 38.15 36.63 37.64 5462843 344777600.00
2021/10/25 37.66 38.35 36.56 38.24 7663809 480293568.00
2021/10/26 38.54 39.66 38.26 38.87 7463657 483122496.00
2021/10/27 39.36 40.27 38.76 39.88 11302009 750202560.00
2021/10/28 39.78 40.23 39.06 39.69 5744590 380844448.00
2021/10/29 39.68 40.79 39.29 40.68 6298766 423940096.00
2021/11/01 40.68 43.42 40.52 43.09 11448520 809944192.00
2021/11/02 43.05 44.23 42.76 43.41 9482466 688802432.00
2021/11/03 43.25 44.63 42.75 44.17 9063129 661889152.00
2021/11/04 44.09 47.17 44.09 46.79 14124357 1085413120.00
2021/11/05 46.78 47.19 44.73 44.77 9825157 744677248.00
2021/11/08 44.88 45.91 44.06 44.80 5882696 437210112.00
2021/11/09 44.86 47.18 44.86 46.21 10206812 787878144.00
2021/11/10 47.16 47.17 45.74 46.44 8050067 619865088.00
2021/11/11 46.06 46.47 45.16 46.07 7282494 553837888.00
2021/11/12 46.07 47.75 46.07 47.66 8635281 679064064.00
2021/11/15 47.66 48.85 46.06 46.44 7430171 579031808.00
2021/11/16 46.29 48.25 46.07 46.13 8486386 661705152.00
2021/11/17 46.49 48.24 45.44 47.83 10095818 788932672.00
2021/11/18 47.83 49.95 47.51 49.12 10814481 879000256.00
2021/11/19 49.28 50.19 48.76 49.06 7365137 604191104.00
2021/11/22 50.10 53.43 49.83 52.21 13231390 1133776000.00
2021/11/23 52.22 53.11 51.43 51.70 7528489 649619392.00
2021/11/24 51.54 52.54 50.46 51.20 7659511 649073600.00
2021/11/25 51.21 52.84 51.13 51.31 5874237 502712224.00
2021/11/26 49.22 51.24 48.80 49.39 17744004 1461522048.00
2021/11/29 49.50 51.21 49.34 50.74 8798762 734078656.00
2021/11/30 50.74 52.36 50.54 50.94 8015702 679301952.00
2021/12/01 50.45 51.86 50.18 50.73 5632165 472904032.00
2021/12/02 50.11 50.13 48.79 48.94 7793097 636824128.00
2021/12/03 49.19 49.62 48.41 49.29 5624418 457055616.00
2021/12/06 48.95 50.55 48.87 49.37 6491244 534445760.00
2021/12/07 49.62 49.62 47.63 48.46 6064176 485443264.00
2021/12/08 48.62 50.61 48.62 49.89 5845902 483333952.00
2021/12/09 49.88 49.88 48.54 49.56 5252493 429005344.00
2021/12/10 50.68 52.16 49.54 51.91 12772698 1083978880.00
