300841 康华生物 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 137.89 140.17 131.83 139.61 860190 182817520.00
2021/08/03 140.17 147.41 136.85 145.82 1388141 309954208.00
2021/08/04 143.50 143.50 138.83 139.36 1268658 275479936.00
2021/08/05 138.34 140.17 135.43 136.91 822328 175328496.00
2021/08/06 137.03 137.49 130.53 131.91 733471 150921280.00
2021/08/09 130.64 139.88 130.17 138.40 869856 184032144.00
2021/08/10 138.83 139.19 135.03 138.09 527036 111811480.00
2021/08/11 139.50 139.50 133.42 135.65 766736 160821600.00
2021/08/12 135.49 136.05 131.87 132.11 655694 135245728.00
2021/08/13 132.10 134.70 130.89 133.88 643558 132654552.00
2021/08/16 133.75 134.37 131.70 132.94 521072 107490512.00
2021/08/17 132.93 132.93 126.17 126.33 957748 192285744.00
2021/08/18 125.54 126.95 122.32 123.30 807265 155470784.00
2021/08/19 123.50 125.42 120.48 122.05 946611 180200640.00
2021/08/20 120.85 120.90 115.50 116.43 991017 181277968.00
2021/08/23 117.76 123.43 117.75 122.53 1012763 191608208.00
2021/08/24 122.95 123.51 119.83 120.17 743296 139596704.00
2021/08/25 120.17 122.69 118.83 122.23 598503 113074440.00
2021/08/26 122.16 122.17 116.92 117.55 755319 139616064.00
2021/08/27 117.55 119.21 116.17 116.54 655803 119400056.00
2021/08/30 116.10 117.02 113.50 115.21 828375 148480112.00
2021/08/31 116.11 116.11 110.24 111.23 834705 145989184.00
2021/09/01 110.19 116.41 110.19 113.63 888808 157290640.00
2021/09/02 116.17 121.23 114.55 117.03 1378034 255143104.00
2021/09/03 114.83 115.56 110.16 114.40 801357 141574752.00
2021/09/06 113.28 120.03 112.75 119.17 879398 160871312.00
2021/09/07 118.81 120.29 117.21 118.58 621349 114542920.00
2021/09/08 117.90 119.50 115.50 116.43 562150 102575016.00
2021/09/09 117.46 117.76 115.09 116.43 391572 70782056.00
2021/09/10 115.51 116.57 113.95 114.43 561398 100423112.00
2021/09/13 115.15 117.41 113.02 113.53 438643 78517088.00
2021/09/14 113.47 115.03 111.42 111.71 699650 122933192.00
2021/09/15 112.91 113.17 109.51 110.10 628900 108662864.00
2021/09/16 110.16 112.03 108.17 110.30 834580 143689312.00
2021/09/17 110.30 110.96 106.23 109.01 876742 148664064.00
2021/09/22 108.15 109.34 106.17 108.23 805300 134876592.00
2021/09/23 108.51 112.48 107.71 110.83 950851 163933984.00
2021/09/24 111.22 111.49 108.12 109.44 787292 134247584.00
2021/09/27 109.12 112.98 108.19 111.49 1019825 177216992.00
2021/09/28 111.50 111.57 107.72 108.17 865753 147172592.00
2021/09/29 107.42 107.99 104.83 105.58 667756 110531160.00
2021/09/30 105.58 107.14 104.67 106.70 459250 76026464.00
2021/10/08 106.17 109.97 105.50 108.74 640754 108209168.00
2021/10/11 109.37 121.03 108.85 120.63 2530425 458193920.00
2021/10/12 119.38 132.39 118.97 128.25 2865800 567468224.00
2021/10/13 128.17 131.07 125.90 129.51 1359780 271744832.00
2021/10/14 129.57 130.83 123.27 124.17 1390730 272507808.00
2021/10/15 125.49 127.13 120.95 123.29 979055 188290944.00
2021/10/18 124.17 124.27 116.69 118.13 1228875 226375632.00
2021/10/19 117.57 120.83 116.87 118.82 779688 144807088.00
2021/10/20 119.49 119.49 114.83 117.53 619678 113041008.00
2021/10/21 118.16 118.37 114.93 115.86 552693 99796992.00
2021/10/22 116.03 120.23 115.23 120.23 771437 142184864.00
2021/10/25 119.37 122.03 116.20 117.19 810265 148804416.00
2021/10/26 114.14 114.17 106.77 110.31 2150265 367713984.00
2021/10/27 108.84 109.23 105.50 105.52 1003109 166653616.00
2021/10/28 105.50 105.50 99.50 99.58 1278665 202642368.00
2021/10/29 101.49 104.33 100.91 101.97 992978 159339424.00
2021/11/01 102.77 103.73 99.57 103.18 661788 105413616.00
2021/11/02 102.51 104.15 100.17 100.29 624607 99685504.00
2021/11/03 102.38 104.46 101.50 102.92 700522 113072360.00
2021/11/04 103.15 104.99 102.33 103.92 658350 106998704.00
2021/11/05 103.67 110.56 103.03 107.05 1380273 231868224.00
2021/11/08 107.06 107.48 104.09 105.47 665742 109454208.00
2021/11/09 105.23 107.05 104.57 106.17 483050 80030872.00
2021/11/10 105.50 110.07 105.50 109.47 885679 149695440.00
2021/11/11 108.83 109.64 106.87 108.11 549620 92660600.00
2021/11/12 108.07 108.71 105.65 106.17 530950 88463984.00
2021/11/15 105.80 108.57 105.51 107.75 563552 94677568.00
2021/11/16 108.17 110.33 106.61 108.77 1020150 173486000.00
2021/11/17 108.77 108.83 105.89 107.40 743674 124242488.00
2021/11/18 107.59 107.86 104.37 104.85 654001 108220120.00
2021/11/19 105.63 107.13 105.20 106.13 477618 79321696.00
2021/11/22 105.89 106.77 104.22 104.94 613548 100720272.00
2021/11/23 104.91 106.83 104.57 105.82 648030 107293160.00
2021/11/24 106.42 109.29 105.37 108.80 1190458 200581104.00
2021/11/25 109.29 110.70 107.17 109.72 1013676 172592704.00
2021/11/26 108.83 112.15 108.50 109.49 954903 164226560.00
2021/11/29 109.53 113.17 107.83 109.53 1147322 197257232.00
2021/11/30 108.03 108.81 106.61 107.51 844050 141770368.00
2021/12/01 107.48 107.48 106.17 106.26 567300 94550160.00
2021/12/02 106.17 106.70 102.95 103.42 913610 149982064.00
2021/12/03 103.83 104.48 103.23 104.30 459566 74695624.00
2021/12/06 103.91 104.69 102.37 102.41 538200 86829728.00
2021/12/07 103.17 103.51 101.62 102.35 521920 83713784.00
2021/12/08 102.50 103.11 101.50 103.10 494357 79445232.00
2021/12/09 103.16 105.03 102.37 104.88 1025486 166919920.00
2021/12/10 105.42 113.50 104.89 109.35 1735650 297803968.00
2021/12/13 109.29 109.88 107.57 108.65 943752 160053136.00
2021/12/14 108.83 111.76 108.65 110.77 1039004 179015360.00
2021/12/15 110.83 111.35 108.85 108.93 851852 146313200.00
2021/12/16 108.79 109.41 107.16 107.53 582920 98101512.00
2021/12/17 108.03 111.47 106.71 110.71 1065282 182086912.00
2021/12/20 110.77 111.46 107.57 107.84 914980 156818016.00
2021/12/21 107.79 108.87 106.15 107.63 549916 92138696.00
2021/12/22 107.77 110.31 107.18 109.56 670744 114096480.00
2021/12/23 109.55 110.52 107.17 109.57 654450 110797408.00
2021/12/24 110.75 113.28 108.23 109.97 978270 169310848.00
2021/12/27 109.97 113.45 108.70 112.72 973864 168954400.00
2021/12/28 118.75 124.24 114.83 120.83 2902573 539566336.00
2021/12/29 118.86 120.83 115.50 115.50 1740439 320096416.00
2021/12/30 116.09 121.42 113.83 120.87 1630973 298864096.00
2021/12/31 122.17 143.63 121.50 137.31 4356856 901685312.00
2022/01/04 136.17 148.08 135.57 146.97 3818103 849431744.00
2022/01/05 147.43 160.75 147.07 148.01 4430675 1052106432.00
2022/01/06 147.50 160.17 144.38 157.89 3148589 757516672.00
2022/01/07 157.50 157.50 150.97 155.75 1769494 423267616.00
2022/01/10 154.17 166.80 146.50 163.16 2970372 725647872.00
2022/01/11 163.09 165.50 156.17 158.63 1572809 388890560.00
2022/01/12 158.63 172.08 158.63 169.22 2104110 543149440.00
2022/01/13 168.29 168.29 156.83 156.83 2095261 521934912.00
2022/01/14 155.37 164.50 154.83 158.05 1946810 479007584.00
2022/01/17 156.17 156.83 147.42 149.92 2839300 660487104.00
2022/01/18 150.69 151.15 145.89 148.35 2133736 488320416.00
2022/01/19 146.71 151.00 146.09 147.17 1556474 355880128.00
2022/01/20 148.21 149.03 144.17 145.01 1195591 270379968.00
2022/01/21 144.30 145.15 138.87 139.50 1129239 246983168.00
2022/01/24 139.05 141.82 135.63 140.38 1039710 225023856.00
2022/01/25 147.53 159.21 145.65 148.64 2567858 597724224.00
2022/01/26 152.17 153.49 140.17 141.49 1305678 292920800.00
2022/01/27 141.49 148.49 137.22 140.94 1126587 251196320.00
2022/01/28 141.94 151.35 140.24 145.16 1130415 254779360.00
