300855 图南股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 28.40 30.70 27.66 29.12 9123134 536399584.00
2021/08/03 28.82 28.97 27.03 28.12 5639898 318295104.00
2021/08/04 27.90 28.45 27.02 28.16 4737606 265173856.00
2021/08/05 28.09 30.91 28.09 29.14 7080907 418047616.00
2021/08/06 28.94 30.53 28.50 28.61 5453012 322352512.00
2021/08/09 28.81 30.04 28.41 29.46 4307442 253970272.00
2021/08/10 29.67 31.92 28.91 29.80 8421170 511435008.00
2021/08/11 29.93 30.91 28.48 29.07 6881927 405187296.00
2021/08/12 29.00 29.17 27.92 28.74 5773590 330599008.00
2021/08/13 28.83 30.25 27.79 27.80 6973323 400701216.00
2021/08/16 27.97 29.17 27.80 27.94 4719086 268685952.00
2021/08/17 28.03 28.55 27.21 27.38 4464798 248869168.00
2021/08/18 27.41 28.88 27.41 28.71 4970065 283098336.00
2021/08/19 28.85 34.29 28.44 33.52 10458396 660060544.00
2021/08/20 33.43 34.27 32.05 32.76 7803392 515664928.00
2021/08/23 32.85 34.81 32.25 33.45 8152378 548517248.00
2021/08/24 32.50 32.71 30.71 31.81 10188583 643611904.00
2021/08/25 32.14 32.84 30.85 31.84 6153653 389994400.00
2021/08/26 32.34 32.67 31.14 32.36 4493365 285996032.00
2021/08/27 32.25 32.27 30.77 31.46 4725382 297354112.00
2021/08/30 31.70 33.24 31.43 32.61 6076655 392938752.00
2021/08/31 32.61 33.27 31.22 32.65 4238284 274169568.00
2021/09/01 32.49 32.97 28.71 29.17 6263500 381554048.00
2021/09/02 28.76 31.76 28.61 31.43 4862174 295425920.00
2021/09/03 31.34 32.44 28.87 28.98 5104786 308901504.00
2021/09/06 29.30 29.30 27.63 28.43 3396187 192327344.00
2021/09/07 29.01 29.53 28.15 28.84 3051448 176180832.00
2021/09/08 28.84 29.06 27.79 28.07 2843500 162419040.00
2021/09/09 28.03 28.56 27.26 28.31 3994237 223251760.00
2021/09/10 28.14 28.18 27.22 27.48 3223278 178754464.00
2021/09/13 27.52 27.71 26.29 26.81 3187307 171687168.00
2021/09/14 26.68 27.19 25.53 26.09 3704930 195784416.00
2021/09/15 25.94 27.53 25.84 27.45 4249539 228309984.00
2021/09/16 26.87 27.72 25.78 25.85 3485285 187534208.00
2021/09/17 25.88 26.43 24.81 25.31 1819200 93221144.00
2021/09/22 24.82 26.34 24.34 25.79 2361132 121673280.00
2021/09/23 26.05 26.58 25.26 26.00 2049175 107162248.00
2021/09/24 25.62 26.12 25.22 25.25 1382643 71174088.00
2021/09/27 25.25 25.57 23.20 23.37 3598458 173646352.00
2021/09/28 23.37 24.53 23.37 24.11 3434038 166259264.00
2021/09/29 23.61 24.66 23.16 23.16 2152766 103488280.00
2021/09/30 23.21 23.64 22.69 22.93 2464255 114778768.00
2021/10/08 23.07 23.38 22.62 22.85 1606632 74578952.00
2021/10/11 22.89 24.74 22.77 23.63 3299590 159628864.00
2021/10/12 23.27 24.27 23.27 23.88 3420760 164416528.00
2021/10/13 23.86 24.02 22.76 23.79 1716306 81319544.00
2021/10/14 23.78 25.18 23.22 24.50 1873236 92280496.00
2021/10/15 24.50 25.32 24.40 24.73 2042676 102075680.00
2021/10/18 24.75 26.17 24.42 25.84 2693766 138540992.00
2021/10/19 24.71 24.71 22.72 23.53 9175341 429849536.00
2021/10/20 22.91 23.86 22.66 23.01 3814817 178201280.00
2021/10/21 22.89 23.27 22.81 22.85 1851033 86005768.00
2021/10/22 22.85 22.97 22.25 22.26 2432098 110556848.00
2021/10/25 22.43 23.48 22.06 23.43 2854720 132119632.00
2021/10/26 23.44 25.66 23.32 24.91 3833541 191148448.00
2021/10/27 25.16 25.71 24.63 24.74 2686686 135908848.00
2021/10/28 24.64 24.97 24.20 24.40 1849102 91623720.00
2021/10/29 24.29 25.58 23.93 25.40 2967453 148557312.00
2021/11/01 25.19 25.94 24.89 25.43 2232197 114737344.00
2021/11/02 26.27 27.17 25.89 26.30 3844460 205873360.00
2021/11/03 26.11 26.52 25.40 26.38 2293459 119697024.00
2021/11/04 26.14 27.12 25.94 26.90 3237683 174948768.00
2021/11/05 27.22 28.13 26.64 27.05 2905200 159221856.00
2021/11/08 26.87 29.25 26.25 29.01 3751269 212213568.00
2021/11/09 28.98 29.27 28.59 29.07 2348987 136380672.00
2021/11/10 29.00 30.04 28.66 29.73 3738297 222767216.00
2021/11/11 29.92 30.26 29.17 29.56 1995837 118822368.00
2021/11/12 29.49 31.24 29.01 30.45 2724241 165269056.00
