300869 康泰医学 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 70.89 70.90 65.93 67.33 4346044 297963584.00
2021/08/03 67.53 72.91 66.99 70.33 5309507 377799424.00
2021/08/04 69.03 69.83 66.44 68.74 3893762 268053296.00
2021/08/05 69.03 71.54 66.93 66.93 3671476 257509744.00
2021/08/06 66.43 68.53 63.57 64.18 3173594 209769232.00
2021/08/09 65.21 67.06 64.15 66.13 2351440 157211728.00
2021/08/10 65.89 66.55 64.56 65.38 2007996 132677352.00
2021/08/11 65.03 65.83 64.32 64.94 1532929 101123408.00
2021/08/12 65.73 65.73 61.54 61.71 3021330 193632528.00
2021/08/13 61.16 62.00 59.61 60.29 2072646 127621160.00
2021/08/16 60.04 62.01 60.04 60.50 1484290 91894688.00
2021/08/17 60.65 60.73 57.69 58.12 1892376 113186928.00
2021/08/18 58.11 59.98 57.53 58.31 1585841 94167336.00
2021/08/19 58.53 59.60 57.80 57.80 1362216 80952608.00
2021/08/20 57.03 57.53 55.42 56.96 1743348 100112024.00
2021/08/23 54.45 57.33 54.45 56.01 2286145 130757256.00
2021/08/24 54.01 54.22 48.64 48.87 9178863 466655168.00
2021/08/25 46.52 46.53 40.72 41.42 17105048 751310592.00
2021/08/26 41.04 41.69 39.78 40.23 11373411 471598528.00
2021/08/27 40.33 40.33 38.33 38.58 8501823 339798784.00
2021/08/30 38.84 39.00 37.98 38.22 6514425 256759728.00
2021/08/31 38.22 38.48 36.66 37.07 7418343 283936096.00
2021/09/01 37.16 38.14 36.63 37.82 6957713 268055840.00
2021/09/02 37.60 37.73 36.85 37.03 4940547 188292624.00
2021/09/03 37.23 37.93 36.76 37.12 6012073 229896256.00
2021/09/06 37.20 38.47 36.83 38.01 7118233 275997504.00
2021/09/07 37.98 38.39 37.47 37.91 4857780 188592736.00
2021/09/08 38.04 38.42 37.75 38.08 4556856 177664912.00
2021/09/09 38.13 38.16 37.11 37.58 4705448 181429856.00
2021/09/10 37.33 37.71 37.03 37.17 4311931 164752560.00
2021/09/13 37.29 38.52 37.28 37.63 7111215 276605728.00
2021/09/14 37.63 38.20 37.33 37.80 5923354 229602560.00
2021/09/15 37.62 37.62 36.03 36.38 5620487 210607408.00
2021/09/16 36.29 37.33 36.11 36.41 5478928 206473936.00
2021/09/17 36.08 36.36 35.04 36.13 6019924 221076480.00
2021/09/22 35.63 37.00 35.51 36.29 3749707 139890944.00
2021/09/23 36.51 39.03 36.23 37.64 8936749 347308960.00
2021/09/24 37.77 37.99 36.37 36.51 6554976 247619824.00
2021/09/27 36.53 36.82 35.44 35.81 6718881 248568464.00
2021/09/28 35.47 35.83 34.59 34.68 5914829 213016560.00
2021/09/29 34.19 34.72 33.45 33.49 4285369 150057344.00
2021/09/30 33.91 34.47 33.75 34.17 2913220 102353472.00
2021/10/08 34.17 35.58 34.16 35.42 5469912 197811648.00
2021/10/11 35.54 36.16 34.89 34.96 3917621 142056096.00
2021/10/12 34.85 35.48 34.44 34.58 4448561 159586784.00
2021/10/13 34.73 36.00 34.33 34.96 4968370 179085552.00
2021/10/14 34.73 35.16 34.42 34.84 2986882 106530616.00
2021/10/15 34.84 34.92 33.76 33.80 4625972 162053504.00
2021/10/18 33.80 33.89 32.95 33.01 4257285 145121200.00
2021/10/19 33.00 33.51 32.81 33.24 3693555 126435600.00
2021/10/20 33.32 33.48 32.61 32.72 4367212 147716864.00
2021/10/21 32.75 33.11 32.61 32.61 3328923 112557120.00
2021/10/22 32.65 33.13 32.56 32.65 3056100 103132216.00
2021/10/25 32.77 32.83 32.13 32.23 3194506 106309200.00
2021/10/26 32.40 33.43 32.24 32.64 5356821 181528368.00
2021/10/27 32.58 32.69 30.03 30.15 7319525 231698256.00
2021/10/28 30.13 30.71 29.65 30.29 3909977 121587960.00
2021/10/29 30.03 31.24 29.69 30.91 4169631 132264328.00
2021/11/01 30.97 33.39 30.81 33.04 8329961 279353984.00
2021/11/02 33.03 33.38 31.83 32.06 4971200 166282144.00
2021/11/03 32.22 35.11 32.22 33.71 11605196 405315904.00
2021/11/04 33.23 33.92 33.03 33.63 5898661 202760176.00
2021/11/05 33.64 34.15 32.54 32.60 6439723 220510688.00
2021/11/08 32.59 32.73 31.58 32.05 4640145 152615664.00
2021/11/09 32.15 33.32 32.03 32.29 4198542 140694768.00
2021/11/10 32.33 34.53 32.21 33.59 9237423 316537056.00
2021/11/11 33.34 34.96 33.24 33.96 8741844 307708896.00
2021/11/12 33.94 34.11 33.37 33.64 5162440 178584032.00
2021/11/15 33.53 35.03 33.49 34.34 7410042 261847936.00
2021/11/16 34.35 36.39 34.21 35.76 12875243 468982592.00
2021/11/17 35.63 35.64 34.43 34.94 9132924 326283040.00
2021/11/18 34.68 34.78 33.84 33.86 6486801 227858832.00
2021/11/19 33.96 34.47 33.95 34.20 4004543 140804768.00
2021/11/22 34.20 34.94 33.62 33.92 5967462 209363664.00
2021/11/23 33.92 34.41 33.44 34.19 5400755 188453248.00
2021/11/24 33.91 34.93 33.84 34.66 6586768 233461504.00
2021/11/25 34.78 41.79 34.70 41.79 30019392 1193132928.00
2021/11/26 43.03 46.48 42.63 43.09 40232303 1816492800.00
2021/11/29 44.62 46.33 42.85 45.63 30228337 1377638656.00
2021/11/30 44.03 47.86 42.86 46.50 29699930 1362840704.00
2021/12/01 45.89 45.99 43.48 43.74 19558193 894385280.00
2021/12/02 43.12 45.03 42.23 42.55 14494449 644140736.00
2021/12/03 42.20 42.83 41.29 41.45 12189529 521885504.00
2021/12/06 41.11 41.53 39.15 39.43 12683085 520523936.00
2021/12/07 39.46 40.79 38.64 39.93 12820220 520223840.00
2021/12/08 40.08 40.47 39.30 40.18 8067521 330214944.00
2021/12/09 40.03 41.23 39.73 40.20 9704268 402481216.00
2021/12/10 40.33 41.51 40.04 40.93 9670021 405281376.00
2021/12/13 40.97 41.23 39.80 40.35 7669256 318233504.00
2021/12/14 40.77 43.58 40.58 42.77 14630886 634121984.00
2021/12/15 42.52 42.77 41.12 41.65 9995546 427532960.00
2021/12/16 41.98 41.98 39.61 39.87 10405239 430156192.00
2021/12/17 39.43 39.86 38.34 38.43 9299244 369694080.00
2021/12/20 38.13 39.49 38.09 38.48 6569608 262132960.00
2021/12/21 38.39 39.35 37.70 38.84 5116414 202483440.00
2021/12/22 38.94 39.55 38.35 38.37 5285604 210222864.00
2021/12/23 38.63 38.74 37.31 37.58 6098729 235712800.00
2021/12/24 37.89 38.01 36.98 37.77 5379620 207432096.00
2021/12/27 37.88 38.76 37.88 38.72 5875821 231025840.00
2021/12/28 38.53 38.70 37.45 38.42 6105121 238218464.00
2021/12/29 38.83 42.00 38.58 40.13 14644187 605834368.00
2021/12/30 39.83 40.78 39.20 40.38 9262406 379556768.00
2021/12/31 40.37 41.00 39.03 39.58 7417828 303957184.00
2022/01/04 39.02 40.08 38.98 39.24 5224880 210413264.00
2022/01/05 39.42 39.53 37.77 38.82 6478187 255819216.00
2022/01/06 38.43 39.42 38.34 39.24 5161325 205767904.00
2022/01/07 39.28 40.78 39.00 39.01 8577048 350303552.00
2022/01/10 39.06 40.87 39.06 40.40 7905173 325784576.00
2022/01/11 40.42 41.63 39.71 41.30 10873429 453378656.00
2022/01/12 42.31 43.13 40.77 40.90 11644789 498619488.00
2022/01/13 40.83 41.28 39.50 39.50 8163484 336838112.00
2022/01/14 39.06 42.46 39.06 41.52 14078475 593822464.00
2022/01/17 41.69 42.53 40.98 41.69 10350405 443012448.00
2022/01/18 41.53 41.53 38.43 39.08 11150610 452385312.00
2022/01/19 39.08 39.59 38.58 39.28 4801402 192589232.00
2022/01/20 39.39 40.01 38.03 38.14 5840017 233420608.00
2022/01/21 38.03 38.07 34.32 34.32 9421318 342834144.00
2022/01/24 34.43 35.16 34.13 34.80 3815922 135718112.00
2022/01/25 34.52 34.86 32.79 32.88 5151764 177607696.00
2022/01/26 32.89 33.53 32.36 32.98 3142669 106945824.00
2022/01/27 32.68 33.06 31.25 31.39 5028324 165819584.00
2022/01/28 34.02 34.03 32.54 32.57 7163535 244298608.00
2022/02/07 32.63 33.73 32.63 33.00 4385232 149712784.00
2022/02/08 32.91 33.35 32.62 33.29 2931200 99736272.00
2022/02/09 33.23 33.61 33.02 33.53 3152088 108272568.00
2022/02/10 33.32 33.78 33.26 33.49 2639366 90979288.00
2022/02/11 33.37 33.46 32.03 32.36 4261400 142604384.00
2022/02/14 32.43 33.58 32.05 32.90 3095890 105090384.00
2022/02/15 33.09 33.54 32.68 33.32 2967078 101552504.00
2022/02/16 33.33 33.68 33.03 33.46 3320459 114047096.00
2022/02/17 33.23 34.13 33.14 33.36 3725267 129132776.00
2022/02/18 35.41 40.23 35.33 40.23 16843588 665614592.00
2022/02/21 44.01 44.35 39.88 39.99 25502634 1084588160.00
2022/02/22 39.83 39.99 36.93 37.76 16844967 660065664.00
2022/02/23 37.49 38.38 37.48 37.82 9462497 368185760.00
2022/02/24 37.77 38.32 35.73 36.23 12227661 465065760.00
2022/02/25 36.38 37.83 36.38 37.06 9254818 353619360.00
2022/02/28 37.29 37.96 36.45 37.54 8116631 310983264.00
2022/03/01 37.28 37.49 36.63 37.25 6011650 228386512.00
2022/03/02 37.02 37.31 36.41 37.31 5254915 198815024.00
2022/03/03 38.02 41.04 38.02 39.38 18057789 730462656.00
2022/03/04 38.61 39.72 38.03 38.04 9660579 383320352.00
2022/03/07 38.02 38.40 36.80 38.14 7346448 283654592.00
2022/03/08 38.83 39.60 36.93 38.33 9070351 355693632.00
2022/03/09 38.29 38.29 34.44 36.36 9102708 341025984.00
2022/03/10 36.88 39.03 36.68 38.99 11730480 455181152.00
2022/03/11 38.43 41.24 38.06 40.16 21300117 871960512.00
2022/03/14 42.03 43.53 38.63 38.71 21538492 906583296.00
2022/03/15 37.13 38.34 35.53 35.65 13128368 500201568.00
2022/03/16 37.20 37.20 33.03 34.93 13483965 479134944.00
2022/03/17 34.86 36.93 34.73 35.36 12049405 443811776.00
2022/03/18 35.33 36.03 35.06 35.62 7303525 267036672.00
2022/03/21 35.86 37.10 35.63 36.82 10551408 394758752.00
2022/03/22 36.53 36.53 35.09 35.33 8638026 315744512.00
2022/03/23 35.43 35.72 34.51 34.98 5887446 212406912.00
2022/03/24 34.62 35.13 33.77 34.63 6712135 237937648.00
2022/03/25 34.63 34.88 33.38 33.43 6301274 221250336.00
2022/03/28 33.82 34.23 33.03 33.17 4825608 165998032.00
2022/03/29 33.41 34.23 33.09 33.61 5540995 192353520.00
2022/03/30 33.63 34.00 32.43 33.78 5256254 180008704.00
2022/03/31 33.77 34.38 33.19 33.22 5658367 197017872.00
2022/04/01 33.01 33.16 32.28 32.53 5001109 168019072.00
2022/04/06 32.53 33.42 32.53 32.95 3899716 132460112.00
2022/04/07 32.80 32.95 31.69 31.75 4539239 150600576.00
2022/04/08 31.98 31.99 30.49 30.67 4672982 149261600.00
2022/04/11 30.56 31.02 29.21 29.49 5020916 155827568.00
2022/04/12 29.53 30.25 29.37 30.18 3769316 116190224.00
2022/04/13 29.99 30.02 29.36 29.44 3288587 100642280.00
2022/04/14 29.73 30.71 29.55 30.27 4845931 151266512.00
2022/04/15 29.96 30.81 29.83 30.69 4741788 148533328.00
2022/04/18 30.83 32.71 30.83 31.99 7808658 258014336.00
2022/04/19 31.58 31.92 30.88 31.22 4751953 153512016.00
2022/04/20 31.03 31.51 30.20 30.30 3848102 122459512.00
2022/04/21 30.16 30.53 28.96 29.13 4230550 129816264.00
2022/04/22 29.06 29.06 27.24 27.41 5601216 160471968.00
2022/04/25 27.00 27.00 24.61 24.62 6625557 177207440.00
2022/04/26 24.62 25.54 24.17 24.33 5496608 142360928.00
2022/04/27 23.88 24.99 23.35 24.94 5289465 132870840.00
2022/04/28 25.23 25.53 24.25 24.53 5220859 134691808.00
2022/04/29 24.55 25.69 24.55 25.48 4815569 126151080.00
2022/05/05 26.31 26.47 25.44 26.13 4867354 131461936.00
2022/05/06 25.72 26.69 25.53 26.03 5013677 136020560.00
2022/05/09 26.04 26.52 25.84 26.40 3212316 87522928.00
2022/05/10 26.17 26.62 25.82 26.61 4070409 111204696.00
2022/05/11 26.60 27.41 26.53 26.65 5377043 150646528.00
2022/05/12 26.92 27.23 26.38 27.15 3992609 111578144.00
2022/05/13 27.36 27.69 26.71 27.04 3289314 92299552.00
2022/05/16 27.25 27.32 26.38 26.45 3371218 93370352.00
2022/05/17 26.44 26.53 25.88 26.09 3433028 92923288.00
2022/05/18 26.13 26.62 25.96 26.09 2742083 74720608.00
2022/05/19 25.65 26.08 25.51 26.01 2629994 70421512.00
2022/05/20 26.13 26.91 26.13 26.82 4137551 114143120.00
2022/05/23 27.31 27.71 26.98 27.21 3759566 106035576.00
2022/05/24 27.21 27.32 25.08 25.08 5664910 153348416.00
2022/05/25 25.40 25.45 24.96 25.44 2811726 73723688.00
2022/05/26 25.42 25.53 24.57 25.30 3328218 86728360.00
2022/05/27 25.53 25.78 24.91 25.09 2922910 75831864.00
2022/05/30 25.31 25.51 24.80 25.16 2692664 69337312.00
2022/05/31 24.99 25.70 24.54 25.61 4212335 108825336.00
2022/06/01 25.72 26.08 25.45 25.76 3146106 83283232.00
2022/06/02 25.69 26.01 25.35 26.00 2679824 70706296.00
