301008 宏昌科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 24.80 25.31 24.16 25.07 930473 40418876.00
2021/08/03 25.02 25.60 25.02 25.25 817952 36322700.00
2021/08/04 25.59 25.59 25.13 25.45 735489 32726692.00
2021/08/05 25.97 26.79 25.66 25.66 1610491 74266144.00
2021/08/06 25.55 25.55 24.48 24.67 1010862 44086680.00
2021/08/09 24.79 25.08 24.42 24.97 601292 26323026.00
2021/08/10 24.97 25.64 24.49 25.58 885799 39417840.00
2021/08/11 25.50 26.51 25.33 26.48 1567874 71692400.00
2021/08/12 26.30 26.67 25.78 25.84 1085400 49624700.00
2021/08/13 26.17 26.17 25.66 26.00 725100 32939340.00
2021/08/16 25.98 27.04 25.74 27.04 1676225 78149496.00
2021/08/17 27.41 29.48 27.11 27.32 2976005 146652688.00
2021/08/18 26.88 28.26 26.75 27.82 1824899 88183936.00
2021/08/19 27.49 27.57 26.23 26.26 1678664 78504256.00
2021/08/20 26.45 26.45 25.55 25.61 813769 36829528.00
2021/08/23 25.79 26.73 25.66 26.72 1020707 47105760.00
2021/08/24 26.97 26.99 26.36 26.55 857589 40019636.00
2021/08/25 26.55 26.79 26.22 26.72 829607 38746212.00
2021/08/26 26.73 27.38 26.57 26.91 1266749 59909052.00
2021/08/27 26.75 26.80 25.74 26.36 1113785 51233568.00
2021/08/30 26.36 26.58 25.54 25.55 963024 43891012.00
2021/08/31 25.26 25.53 24.53 24.69 861400 37727696.00
2021/09/01 24.73 25.26 24.54 24.93 561301 24597868.00
2021/09/02 25.08 25.40 24.88 25.33 562876 24921460.00
2021/09/03 25.55 25.55 25.11 25.38 512535 22829400.00
2021/09/06 25.48 25.91 25.05 25.80 659094 29529796.00
2021/09/07 26.03 26.33 25.63 26.08 822492 37433104.00
2021/09/08 25.95 26.20 25.71 25.73 569694 25860558.00
2021/09/09 25.76 25.78 25.26 25.29 584291 26099436.00
2021/09/10 25.54 25.54 25.23 25.33 390020 17366436.00
2021/09/13 25.32 25.32 24.73 24.81 497600 21809854.00
2021/09/14 24.66 25.58 24.66 25.53 858813 37970012.00
2021/09/15 25.61 25.80 24.97 25.32 488684 21671274.00
2021/09/16 25.31 25.42 24.73 24.73 385200 16950280.00
2021/09/17 24.95 24.95 24.37 24.44 386600 16687110.00
2021/09/22 24.13 24.59 24.13 24.31 241600 10350773.00
2021/09/23 24.51 24.60 24.31 24.51 245600 10592433.00
2021/09/24 24.59 24.65 24.20 24.42 351813 15097526.00
2021/09/27 24.48 24.60 23.78 23.97 342953 14524109.00
2021/09/28 23.95 24.10 23.85 24.03 207000 8744431.00
2021/09/29 24.15 24.15 23.01 23.03 405800 16825608.00
2021/09/30 23.13 23.39 23.11 23.19 238600 9779224.00
2021/10/08 23.44 23.83 23.44 23.52 263600 10989266.00
2021/10/11 23.75 23.75 23.48 23.59 211849 8813047.00
2021/10/12 23.50 23.65 23.23 23.28 326000 13429918.00
2021/10/13 23.37 23.86 23.18 23.82 327349 13432360.00
2021/10/14 23.89 23.94 23.63 23.76 234500 9680635.00
2021/10/15 23.92 23.92 23.65 23.69 223349 9231874.00
2021/10/18 23.44 24.07 23.41 23.85 242449 9927320.00
2021/10/19 23.77 23.85 23.69 23.70 171849 7090484.50
2021/10/20 23.70 23.70 23.45 23.47 207049 8461696.00
2021/10/21 23.57 23.57 23.20 23.20 202400 8217465.00
2021/10/22 23.29 23.52 23.29 23.50 296400 12069792.00
2021/10/25 23.90 24.66 23.83 24.44 847800 35797456.00
2021/10/26 23.95 24.01 23.53 23.83 713100 29414098.00
2021/10/27 23.83 23.83 22.69 22.69 519900 20912308.00
2021/10/28 22.86 22.86 21.72 21.72 545714 20941928.00
2021/10/29 21.96 22.03 21.69 22.00 276100 10524129.00
2021/11/01 22.03 22.34 21.82 22.10 304014 11698328.00
2021/11/02 22.21 22.33 21.70 21.75 384500 14733603.00
2021/11/03 21.75 22.02 21.75 21.97 281800 10736387.00
2021/11/04 21.97 22.21 21.84 22.11 316600 12182171.00
2021/11/05 22.16 22.49 21.92 22.47 469415 18262794.00
2021/11/08 22.52 22.69 22.21 22.33 249400 9697209.00
2021/11/09 22.41 22.82 22.37 22.78 387711 15294586.00
2021/11/10 22.88 22.88 22.36 22.79 396100 15606381.00
2021/11/11 22.80 23.43 22.74 23.23 578900 23304224.00
2021/11/12 23.25 23.57 23.05 23.47 527527 21455550.00
2021/11/15 23.47 24.14 23.41 24.04 801820 33228140.00
2021/11/16 24.07 24.07 23.43 23.66 735646 30249124.00
2021/11/17 23.94 24.41 23.89 23.96 624400 26073104.00
2021/11/18 23.85 24.22 23.41 23.50 699600 28940550.00
2021/11/19 23.50 24.64 23.33 24.32 984016 41289968.00
2021/11/22 24.72 24.77 24.07 24.16 632800 26687766.00
2021/11/23 24.32 24.71 24.25 24.48 702600 29876268.00
2021/11/24 24.45 25.05 24.32 25.02 984811 42417984.00
2021/11/25 25.03 25.03 24.54 24.79 658372 28265994.00
2021/11/26 24.87 24.92 24.48 24.49 523800 22447310.00
2021/11/29 24.13 24.63 23.89 24.22 491701 20714784.00
2021/11/30 24.36 25.01 24.23 24.78 764092 32798410.00
2021/12/01 24.81 25.47 24.50 25.32 986600 42833532.00
2021/12/02 25.37 25.43 24.30 24.42 885700 38027940.00
2021/12/03 24.57 24.76 24.22 24.46 444300 18901964.00
2021/12/06 24.46 24.48 23.29 23.61 917200 37698104.00
2021/12/07 23.77 23.85 23.00 23.23 531916 21528106.00
2021/12/08 23.29 23.55 23.19 23.34 443000 18012614.00
2021/12/09 23.77 28.17 23.76 28.17 5470128 260702128.00
2021/12/10 27.76 29.54 26.48 28.40 7462403 358772448.00
2021/12/13 27.80 28.04 26.48 27.22 4347314 203103392.00
2021/12/14 26.83 27.28 26.67 27.10 2714066 126667728.00
2021/12/15 26.87 27.02 25.86 26.39 2304985 105339208.00
2021/12/16 26.39 26.90 26.15 26.90 1984015 91385472.00
2021/12/17 26.86 26.86 25.63 25.81 2003227 90540528.00
2021/12/20 25.72 26.19 25.67 26.15 1206327 54368748.00
2021/12/21 26.67 28.44 26.66 27.10 3242000 153796592.00
2021/12/22 26.56 26.56 25.67 26.12 2012391 90834008.00
2021/12/23 25.80 25.99 24.82 25.00 1735000 75716232.00
2021/12/24 25.00 25.18 24.51 25.06 1018214 43810000.00
2021/12/27 24.95 25.32 24.95 25.32 846000 36895312.00
2021/12/28 25.39 25.45 24.70 24.82 842513 36340868.00
2021/12/29 24.78 25.25 24.52 25.20 690300 29921936.00
2021/12/30 25.36 25.38 25.07 25.23 623465 27258984.00
2021/12/31 25.24 25.47 24.83 24.94 671100 29151576.00
2022/01/04 24.92 25.38 24.81 25.35 866628 37821232.00
2022/01/05 25.38 25.38 24.79 24.91 821050 35659088.00
2022/01/06 24.76 25.20 24.67 25.13 513200 22283668.00
2022/01/07 25.17 25.34 24.30 24.30 900450 38667496.00
2022/01/10 24.44 24.70 23.70 24.68 739500 31021520.00
2022/01/11 24.66 25.04 24.36 24.74 682460 29361452.00
2022/01/12 24.78 25.36 24.75 24.97 714960 31126966.00
2022/01/13 24.97 24.99 24.55 24.57 465502 19935136.00
2022/01/14 24.60 24.76 23.95 23.98 537300 22730708.00
2022/01/17 23.89 24.58 23.78 24.30 515100 21613888.00
2022/01/18 24.66 24.66 23.59 23.67 729602 30259386.00
2022/01/19 23.60 23.98 23.59 23.91 457100 18922698.00
2022/01/20 23.81 23.91 23.13 23.24 570460 23271138.00
2022/01/21 23.35 23.35 22.53 22.60 434000 17222304.00
2022/01/24 22.60 22.75 22.41 22.69 219400 8640114.00
2022/01/25 22.79 22.79 21.84 21.84 455000 17460766.00
2022/01/26 21.85 22.20 21.85 22.00 258700 9934888.00
2022/01/27 22.00 22.20 21.80 21.87 313300 11969684.00
2022/01/28 22.16 22.39 21.91 22.28 324300 12558219.00
2022/02/07 22.58 22.88 22.29 22.61 295100 11577783.00
2022/02/08 22.62 22.99 22.53 22.87 274800 10908288.00
2022/02/09 22.72 23.06 22.72 22.95 233172 9309149.00
2022/02/10 22.99 23.00 22.58 22.68 337900 13353678.00
2022/02/11 22.67 23.86 22.48 23.55 811103 32884110.00
2022/02/14 23.82 23.83 23.35 23.47 718500 29418012.00
2022/02/15 23.22 23.45 22.91 23.11 528000 21230354.00
2022/02/16 23.00 23.29 23.00 23.17 248300 10001914.00
2022/02/17 23.17 23.28 22.88 22.92 327500 13153623.00
2022/02/18 23.01 23.72 22.55 23.29 366817 14647338.00
2022/02/21 23.28 23.40 23.11 23.30 279300 11287715.00
2022/02/22 22.98 23.35 22.66 22.89 316282 12599787.00
2022/02/23 22.89 23.53 22.89 23.29 416371 16866824.00
2022/02/24 23.17 23.45 22.40 22.70 491307 19532064.00
2022/02/25 22.99 23.17 22.78 22.78 254382 10147045.00
2022/02/28 22.78 22.99 22.30 22.49 320818 12563889.00
2022/03/01 22.57 22.78 22.47 22.59 261280 10293870.00
2022/03/02 22.52 22.69 22.43 22.64 140880 5539335.00
2022/03/03 22.64 23.41 22.40 23.19 817486 32740498.00
2022/03/04 23.19 23.27 22.71 22.72 395986 15790464.00
2022/03/07 22.66 23.53 22.44 22.85 547000 21941896.00
2022/03/08 22.85 23.17 22.16 22.29 405518 15937179.00
2022/03/09 22.29 22.81 21.20 22.29 516800 19612672.00
2022/03/10 22.55 22.69 22.18 22.28 366300 14308515.00
2022/03/11 22.26 22.26 21.39 21.98 373900 14189967.00
2022/03/14 21.79 21.91 21.21 21.38 347500 13076909.00
2022/03/15 21.38 21.39 19.80 19.82 543774 19633744.00
2022/03/16 20.06 20.30 19.13 20.08 598400 20477820.00
2022/03/17 20.15 20.64 20.15 20.22 436014 15537849.00
2022/03/18 20.22 20.83 20.06 20.64 349700 12559965.00
2022/03/21 20.61 21.02 20.45 21.00 334900 12218017.00
2022/03/22 20.99 21.19 20.69 21.09 343200 12560627.00
2022/03/23 21.10 21.86 20.95 21.50 571300 21320864.00
2022/03/24 21.28 21.30 20.71 20.79 512400 18727750.00
2022/03/25 20.79 21.59 20.79 21.05 528200 19653864.00
2022/03/28 20.79 21.52 20.67 21.29 444400 16350139.00
2022/03/29 21.29 22.24 21.21 21.61 655474 24946946.00
2022/03/30 21.80 23.16 21.51 23.16 1513229 59235492.00
2022/03/31 21.80 21.88 21.27 21.63 1718253 64675328.00
2022/04/01 21.22 21.55 20.62 20.70 884332 32255896.00
2022/04/06 20.62 20.91 20.29 20.77 328400 11851484.00
2022/04/07 20.61 20.72 20.22 20.22 279300 9976600.00
2022/04/08 20.22 20.54 19.78 20.18 241300 8466640.00
2022/04/11 20.11 20.11 19.44 19.47 270100 9286823.00
2022/04/12 19.48 19.90 19.47 19.83 275200 9439063.00
2022/04/13 19.83 19.83 19.33 19.46 178931 6101861.00
2022/04/14 19.72 19.80 19.43 19.50 189000 6464894.00
2022/04/15 19.50 19.53 19.08 19.40 269600 9117605.00
2022/04/18 19.43 19.89 19.11 19.74 176200 6067103.00
2022/04/19 19.74 19.91 19.63 19.73 110300 3813361.00
2022/04/20 19.67 19.88 19.54 19.63 145300 5011730.50
2022/04/21 19.50 19.59 18.75 18.78 209248 7012491.50
2022/04/22 19.29 19.29 18.53 18.93 206772 6822988.00
2022/04/25 18.51 18.62 17.05 17.05 313800 9823609.00
2022/04/26 17.21 17.33 15.86 16.00 254500 7419490.00
2022/04/27 15.97 16.33 15.08 16.14 449600 12469133.00
2022/04/28 16.14 16.30 15.56 15.64 181724 5096452.00
2022/04/29 15.45 16.49 15.44 16.40 266700 7618201.00
2022/05/05 16.09 16.98 16.09 16.70 238600 7012169.00
2022/05/06 16.54 16.86 15.98 16.57 266900 7758581.00
2022/05/09 16.74 16.98 16.46 16.81 187400 5560004.00
2022/05/10 16.91 17.33 16.53 17.15 238016 7131047.50
2022/05/11 17.03 17.61 17.03 17.16 289192 8844895.00
2022/05/12 16.98 17.47 16.98 17.31 222449 6762588.50
2022/05/13 17.16 17.48 17.16 17.45 204526 6248120.50
2022/05/16 17.52 17.70 17.22 17.33 145903 4450257.00
2022/05/17 17.31 17.50 17.05 17.32 173600 5272581.00
2022/05/18 17.32 17.69 17.16 17.28 181400 5561605.00
2022/05/19 17.19 17.45 16.89 17.41 170292 5180064.00
2022/05/20 17.40 17.63 17.23 17.45 260799 8003171.50
2022/05/23 17.47 17.68 17.36 17.66 215249 6639434.00
2022/05/24 17.48 17.83 16.46 16.48 350400 10568910.00
2022/05/25 16.55 16.92 16.54 16.78 175592 5184763.50
2022/05/26 16.78 17.08 16.26 16.92 209192 6148709.00
2022/05/27 17.76 20.47 17.36 18.33 1822683 50515964.00
2022/05/30 18.48 18.48 17.39 17.68 1414823 36677844.00
2022/05/31 17.69 17.89 17.11 17.46 789521 20124116.00
2022/06/01 17.38 18.31 17.36 17.93 874420 22944846.00
2022/06/02 17.76 18.11 17.52 17.95 608800 15841230.00
2022/06/06 17.90 18.31 17.76 18.24 530244 14092186.00
2022/06/07 18.02 18.47 17.65 17.79 585100 15366532.00
2022/06/08 17.65 17.89 17.26 17.76 505100 13016809.00
2022/06/09 17.76 17.76 17.30 17.32 303440 7753066.00
2022/06/10 17.19 17.64 17.19 17.57 258600 6647166.50
2022/06/13 17.42 17.83 17.34 17.58 286510 7394767.00
2022/06/14 17.50 17.88 16.89 17.87 535738 13642799.00
2022/06/15 17.82 18.07 17.76 17.81 435400 11422402.00
2022/06/16 17.99 18.02 17.60 17.62 462790 12065893.00
