301020 密封科技 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2021/08/02 25.49 28.84 24.74 28.19 9201982 258501440.00
2021/08/03 27.76 27.94 26.68 27.34 7537994 214175088.00
2021/08/04 27.46 28.62 27.27 27.45 7009123 202429024.00
2021/08/05 27.11 29.37 26.76 28.68 10426839 305442976.00
2021/08/06 28.34 31.39 28.15 29.30 11705595 363420256.00
2021/08/09 28.44 31.09 27.40 30.24 10257033 309592384.00
2021/08/10 29.62 31.25 29.07 29.65 10025283 312895616.00
2021/08/11 30.30 34.69 29.69 33.09 13800694 457280480.00
2021/08/12 32.56 36.38 31.88 33.84 13648287 474953248.00
2021/08/13 33.24 36.77 32.50 35.39 12384505 437050784.00
2021/08/16 35.29 42.69 35.29 42.69 18828701 771211904.00
2021/08/17 43.89 45.39 37.39 37.54 17888157 749625216.00
2021/08/18 35.78 39.89 35.57 37.17 14334475 552684032.00
2021/08/19 35.99 37.03 33.67 34.04 12016735 428527072.00
2021/08/20 33.42 34.27 32.40 32.69 6831758 234128944.00
2021/08/23 32.86 34.75 32.79 34.05 7157789 250708576.00
2021/08/24 34.69 37.37 34.07 36.10 10125446 372560384.00
2021/08/25 35.84 37.97 34.85 36.98 10492401 395864512.00
2021/08/26 36.78 36.79 34.99 35.04 6738963 248754816.00
2021/08/27 35.29 36.34 33.77 33.93 7154070 256355120.00
2021/08/30 33.56 34.69 33.21 34.00 5852266 204942496.00
2021/08/31 33.89 33.89 29.75 29.78 9279147 297004576.00
2021/09/01 29.62 30.33 28.69 29.67 5484200 167180768.00
2021/09/02 29.77 30.65 29.03 30.32 4793593 148994704.00
2021/09/03 30.04 31.65 30.04 30.80 4861776 155829424.00
2021/09/06 30.61 31.49 29.19 31.31 5142357 162165792.00
2021/09/07 30.69 31.75 30.40 30.95 4246839 137167264.00
2021/09/08 30.97 31.29 30.05 30.16 4608400 146342752.00
2021/09/09 30.43 31.34 30.06 30.41 4371245 138823216.00
2021/09/10 30.02 30.21 28.89 29.06 4541651 138009472.00
2021/09/13 28.55 29.19 28.55 28.90 2444333 73200800.00
2021/09/14 28.90 29.24 28.11 28.39 2920596 87110200.00
2021/09/15 28.42 29.17 27.65 29.16 3232626 95982776.00
2021/09/16 29.28 29.28 27.57 27.59 3351239 98565464.00
2021/09/17 27.70 27.70 26.62 27.25 2558428 72059864.00
2021/09/22 26.69 28.19 26.59 27.76 2534100 72295744.00
2021/09/23 27.96 30.23 27.96 28.65 4425753 134033176.00
2021/09/24 27.92 30.30 27.38 29.84 5434061 163490592.00
2021/09/27 29.79 30.87 29.09 29.79 4106583 127762056.00
2021/09/28 29.19 30.59 29.18 30.44 3724850 115966648.00
2021/09/29 30.37 31.63 29.60 31.07 5609280 179415744.00
2021/09/30 31.08 31.48 30.44 30.89 3268777 104688488.00
2021/10/08 31.30 31.33 28.89 28.98 3561027 110607224.00
2021/10/11 28.68 29.09 27.47 28.42 2889257 84743232.00
2021/10/12 28.39 28.79 27.33 27.67 2239482 65171148.00
2021/10/13 27.50 29.27 27.50 28.98 2603649 77313216.00
2021/10/14 28.90 30.24 28.29 30.24 3331456 101879536.00
2021/10/15 29.92 30.57 29.70 30.15 2484798 77636184.00
2021/10/18 30.14 30.84 29.55 29.82 2745534 85880440.00
2021/10/19 29.63 31.15 29.37 31.09 4502976 142910816.00
2021/10/20 30.62 31.22 30.29 30.30 3711683 117676544.00
2021/10/21 30.16 30.46 29.39 29.48 2496700 77184712.00
2021/10/22 29.37 29.48 28.49 28.51 2188413 65379652.00
2021/10/25 28.64 30.09 28.34 30.08 2827139 86399424.00
2021/10/26 29.89 31.09 29.79 30.42 3151641 98789104.00
2021/10/27 28.89 29.50 27.08 27.29 5342438 154820384.00
2021/10/28 27.09 27.09 25.15 25.64 3538303 95668048.00
2021/10/29 25.64 26.27 25.39 26.06 1858685 50249264.00
2021/11/01 25.93 26.98 25.79 26.75 2120987 58480860.00
2021/11/02 26.64 26.95 25.69 25.88 2020704 55450648.00
2021/11/03 26.19 26.62 25.90 26.26 1473698 40305868.00
2021/11/04 26.04 27.32 26.04 27.17 2529634 70789504.00
2021/11/05 27.15 27.55 26.54 27.04 2327406 65771152.00
2021/11/08 27.97 28.64 27.21 27.34 2545069 73359840.00
2021/11/09 27.11 28.25 27.11 27.92 2633695 76202032.00
2021/11/10 27.77 28.37 27.58 28.25 2068780 60146712.00
2021/11/11 28.28 29.57 28.28 29.26 3804576 115226184.00
2021/11/12 28.93 30.15 28.62 29.74 4005410 122003656.00
2021/11/15 30.23 31.14 29.75 30.93 4940579 156348768.00
2021/11/16 30.94 31.15 29.47 29.48 4108046 127936960.00
2021/11/17 29.47 32.20 29.41 30.87 4986089 159662640.00
2021/11/18 32.02 34.17 30.89 31.08 8834011 295919872.00
2021/11/19 30.34 35.08 30.34 34.27 12020752 413152096.00
2021/11/22 33.88 36.33 33.49 34.44 11615376 415787040.00
2021/11/23 33.87 36.39 33.19 36.39 10773091 388239680.00
2021/11/24 35.76 36.15 34.87 35.41 8340393 304492256.00
2021/11/25 35.40 35.40 32.87 32.97 7470463 259283504.00
2021/11/26 32.61 34.47 32.61 33.05 5344703 185114128.00
2021/11/29 32.29 34.57 32.29 33.92 5480127 190807600.00
2021/11/30 34.62 35.86 33.69 34.34 7075887 253535456.00
2021/12/01 34.07 37.37 34.07 36.79 11658247 433768672.00
2021/12/02 36.59 37.17 35.07 35.34 7763498 287520512.00
2021/12/03 34.79 35.67 33.05 33.44 6541416 229029424.00
2021/12/06 32.90 33.68 31.79 32.03 5554146 186373248.00
2021/12/07 32.54 33.54 31.55 32.49 5809109 195694176.00
2021/12/08 32.69 36.74 31.90 34.89 9589396 343555104.00
2021/12/09 34.94 35.03 32.80 33.47 7138090 247813296.00
2021/12/10 33.13 33.13 32.02 32.17 4862164 163309744.00
2021/12/13 31.92 32.55 31.09 32.41 4667456 154132160.00
2021/12/14 32.38 33.23 31.65 33.04 4910849 165205056.00
2021/12/15 32.91 33.57 32.49 32.87 4012477 136922720.00
2021/12/16 32.69 36.47 32.42 35.13 9641508 342294080.00
2021/12/17 34.89 35.05 32.79 32.91 6707989 234963856.00
2021/12/20 32.80 34.57 32.58 33.00 5661459 196365232.00
2021/12/21 32.64 32.64 31.26 31.60 4687592 153688896.00
2021/12/22 31.89 32.29 30.92 31.89 3760474 123326944.00
2021/12/23 31.41 32.84 31.40 32.47 3727953 124284600.00
