301587 中瑞股份 日线 前复权
      日期	    开盘	    最高	    最低	    收盘	    成交量	    成交额
2024/04/08 39.66 42.18 37.10 37.27 20903632 830572736.00
2024/04/09 34.63 39.50 33.92 36.35 15681976 594107392.00
2024/04/10 36.52 41.62 36.52 37.67 17651524 692589824.00
2024/04/11 34.52 37.00 34.25 34.70 13687310 488655840.00
2024/04/12 34.43 39.02 34.02 37.90 15616016 576469632.00
2024/04/15 37.90 38.52 33.12 33.35 13961301 501993312.00
2024/04/16 31.00 31.42 27.76 27.98 10943435 327273856.00
2024/04/17 28.45 30.02 28.32 29.25 9748716 290559520.00
2024/04/18 28.53 30.26 27.63 29.41 8481920 249791136.00
2024/04/19 28.82 29.31 27.63 27.80 7610178 217636256.00
2024/04/22 27.95 29.90 27.67 28.79 8431427 246169440.00
2024/04/23 28.48 29.36 28.09 28.29 7233056 211198560.00
2024/04/24 28.81 29.40 28.33 29.29 6736335 198355360.00
2024/04/25 29.87 32.47 29.87 30.12 10973474 339952576.00
2024/04/26 28.47 29.51 28.46 28.88 8582073 252130720.00
2024/04/29 28.92 29.80 28.92 29.52 6890469 206251216.00
2024/04/30 29.42 30.07 28.02 28.20 6231330 181777184.00
2024/05/06 28.64 29.52 28.63 29.49 6203434 182978704.00
2024/05/07 29.57 30.31 29.12 29.80 6632609 200283232.00
2024/05/08 29.53 30.75 29.27 30.52 8756533 267789408.00
2024/05/09 32.02 32.72 30.12 30.25 11067402 350590464.00
2024/05/10 29.63 30.22 28.73 28.99 7431210 220465760.00
2024/05/13 28.40 28.40 27.81 27.86 4485733 127751208.00
2024/05/14 28.02 28.57 27.92 28.39 3630449 104295712.00
2024/05/15 28.21 29.02 28.02 28.41 4498132 130843656.00
2024/05/16 28.33 28.49 27.83 27.97 3988173 113976320.00
2024/05/17 27.97 29.09 27.66 29.07 5897619 171725760.00
2024/05/20 28.82 29.00 28.23 28.77 4403545 128491760.00
2024/05/21 28.57 29.77 28.53 29.56 6440930 192027424.00
2024/05/22 29.27 30.80 29.25 30.53 7758620 237526752.00
2024/05/23 30.17 31.87 29.85 30.17 10996632 343894240.00
2024/05/24 29.41 30.00 28.54 29.07 6734344 200072960.00
2024/05/27 28.82 29.09 28.00 28.68 4272403 123181296.00
2024/05/28 28.56 28.79 28.15 28.41 3157752 91205872.00
2024/05/29 29.00 30.85 28.69 29.63 8021046 243363776.00
2024/05/30 29.12 29.52 28.24 28.34 5911805 172926944.00
2024/05/31 28.25 29.47 28.25 28.93 4596677 135201680.00
2024/06/03 28.82 29.01 27.84 28.42 4626192 132843824.00
2024/06/04 28.21 34.20 27.86 34.20 16006304 528851168.00
2024/06/05 32.40 32.92 31.40 31.55 15678686 510555616.00
2024/06/06 31.52 33.81 31.18 31.89 14675574 481093760.00
2024/06/07 30.72 31.40 29.61 30.24 10534590 324645984.00
2024/06/11 29.75 30.32 28.32 30.27 6660350 199318176.00
2024/06/12 29.86 30.70 29.69 30.53 6310579 194326384.00
2024/06/13 30.20 31.59 30.02 31.37 8494394 266984720.00
2024/06/14 30.99 31.80 30.24 30.53 5848392 182640704.00
2024/06/17 30.68 31.37 29.53 31.23 6075316 189052928.00
2024/06/18 30.97 31.53 30.61 31.53 6226613 197014864.00
2024/06/19 31.62 32.74 30.42 30.54 7654619 245140672.00
2024/06/20 30.08 30.18 29.08 29.20 5882948 177321584.00
2024/06/21 28.82 29.37 28.57 29.28 3243100 95885336.00
2024/06/24 28.82 29.01 28.12 28.46 3353292 97305168.00
2024/06/25 28.61 29.21 28.23 29.21 3256678 95491216.00
2024/06/26 28.92 30.41 28.87 30.01 4514378 136649680.00
2024/06/27 29.59 30.00 28.62 28.71 3867728 115383464.00
2024/06/28 28.70 29.37 28.53 29.17 3040989 89895328.00
2024/07/01 29.05 29.34 28.53 29.31 2505676 73762304.00
2024/07/02 29.27 29.31 28.57 28.74 2262957 66483500.00
2024/07/03 28.60 29.24 28.60 28.98 2234597 65751684.00
2024/07/04 28.73 29.20 27.81 27.85 3379697 97631584.00
2024/07/05 27.33 27.35 24.58 25.48 4407940 115273240.00
2024/07/08 25.09 25.42 23.40 23.68 4203868 103612112.00
2024/07/09 23.68 24.70 23.62 24.66 3262280 80285608.00
2024/07/10 24.36 24.84 24.13 24.34 2623362 65446536.00
2024/07/11 25.46 25.84 24.72 25.26 3784185 97630904.00
2024/07/12 24.99 25.40 24.90 25.06 2538541 65134464.00
2024/07/15 24.72 25.22 24.29 24.54 1804657 45173760.00
2024/07/16 24.54 24.92 24.38 24.79 1756700 44191940.00
2024/07/17 24.75 24.89 24.00 24.01 2021230 50012328.00
2024/07/18 23.99 24.58 23.41 24.41 2350100 57479212.00
2024/07/19 24.21 24.70 24.11 24.45 1702215 42456096.00
2024/07/22 24.50 24.74 24.30 24.74 1637225 40955496.00
2024/07/23 24.72 24.72 24.07 24.07 1570700 39033688.00
2024/07/24 23.86 24.33 23.57 23.67 1486015 36162604.00
2024/07/25 23.69 24.05 23.42 23.72 1477169 35776308.00
2024/07/26 24.12 24.57 24.08 24.35 2217719 54892808.00
2024/07/29 24.35 24.50 23.91 24.35 2080401 51350164.00
2024/07/30 24.28 24.58 23.92 24.44 1715850 42474480.00
2024/07/31 24.51 25.07 24.19 25.02 2900185 73351856.00
2024/08/01 24.99 25.40 24.83 24.91 2238969 57095648.00
2024/08/02 24.73 25.15 24.58 24.84 1957487 49649244.00
2024/08/05 25.08 25.72 24.32 24.32 3352901 85811728.00
2024/08/06 24.45 25.02 24.44 25.02 2424262 61009288.00
2024/08/07 24.80 25.18 24.63 24.93 2331082 59385468.00
2024/08/08 25.01 25.10 23.93 24.20 2319254 57505772.00
2024/08/09 24.37 24.80 23.82 23.85 1552900 38425900.00
2024/08/12 23.85 23.87 22.92 23.32 1953900 46428812.00
2024/08/13 23.22 23.51 22.92 23.32 1206600 28560926.00
2024/08/14 23.20 23.42 23.04 23.04 1145000 27159880.00
2024/08/15 22.69 23.17 22.42 22.73 2113206 49148208.00
2024/08/16 22.76 23.15 22.65 22.67 1551504 36179312.00
2024/08/19 22.83 22.83 21.73 21.76 2228450 50507340.00
2024/08/20 21.72 21.90 21.32 21.62 1451750 31995056.00
2024/08/21 21.71 22.31 21.17 22.00 1916057 42632388.00
2024/08/22 21.83 22.65 21.53 21.77 2546724 57818688.00
2024/08/23 21.38 21.51 20.95 21.29 1902624 41288384.00
2024/08/26 21.07 22.15 21.07 21.83 1976900 44157088.00
2024/08/27 21.52 21.72 20.76 20.78 1789258 38682516.00
2024/08/28 20.69 21.10 20.52 20.83 1450708 30973346.00
2024/08/29 20.78 21.44 20.58 21.37 1459774 31662032.00
2024/08/30 21.25 21.88 21.25 21.46 1731600 38277960.00
2024/09/02 21.57 25.52 21.40 22.84 6036658 143711568.00
2024/09/03 22.84 24.04 22.13 23.50 5636497 132661104.00
2024/09/04 23.07 23.80 22.63 23.14 3995407 94691648.00
2024/09/05 23.03 23.12 22.25 22.58 3018957 69669912.00
2024/09/06 22.62 22.72 21.62 21.71 2150502 48466844.00
2024/09/09 21.46 21.81 21.31 21.61 1192202 26251312.00
2024/09/10 21.48 21.62 21.12 21.43 1378552 30084896.00
2024/09/11 21.43 22.02 21.29 21.82 2212400 49324940.00
2024/09/12 21.74 21.97 21.07 21.07 2000850 44031260.00
2024/09/13 21.07 21.25 20.17 20.17 1862700 39151632.00
2024/09/18 20.24 20.33 19.38 19.76 1433145 28868982.00
2024/09/19 19.76 20.23 19.69 20.09 1089552 22346302.00
2024/09/20 20.11 20.21 19.62 19.70 877700 17824020.00
2024/09/23 19.60 20.02 19.54 19.81 763750 15503158.00
2024/09/24 20.11 20.50 19.60 20.43 1877771 38842072.00
2024/09/25 20.71 21.16 20.54 20.82 2378169 50722528.00
2024/09/26 20.65 21.20 20.56 21.20 2137117 45744512.00
2024/09/27 21.83 23.14 21.62 22.77 4250431 97123296.00
2024/09/30 24.19 26.50 23.22 26.25 6955467 176451968.00
2024/10/08 31.20 31.21 26.97 29.45 9921099 291480640.00
2024/10/09 27.66 27.77 25.01 25.01 6088743 164180368.00
2024/10/10 25.18 26.72 25.17 25.42 4350592 114882536.00
2024/10/11 25.52 26.22 24.40 24.75 4334109 113229384.00
2024/10/14 24.75 25.54 24.18 25.49 2981877 75742560.00
2024/10/15 25.88 26.01 24.89 24.90 3194373 83096496.00
2024/10/16 24.18 24.87 23.94 24.08 2610181 64842892.00
2024/10/17 24.32 24.55 23.75 23.75 2145506 52796692.00
2024/10/18 23.79 25.40 23.71 24.86 3258871 81518376.00
2024/10/21 24.93 26.50 24.92 25.97 4258728 112201288.00
2024/10/22 26.11 26.11 25.26 25.82 2728626 71493608.00
2024/10/23 25.71 27.00 25.52 26.72 5167859 139194560.00
2024/10/24 27.02 27.41 25.80 25.89 4197644 112889536.00
2024/10/25 26.32 27.39 26.27 26.98 5508307 150357616.00
2024/10/28 26.62 26.67 26.02 26.37 4183825 111725304.00
2024/10/29 26.37 26.42 25.32 25.39 3378685 88435416.00
2024/10/30 25.13 25.23 24.53 24.89 2323989 58934368.00
2024/10/31 24.88 25.48 24.82 25.04 2024656 51665096.00
2024/11/01 24.80 25.09 23.82 24.00 2430207 60332524.00
2024/11/04 24.00 24.59 24.00 24.58 1543105 38468952.00
2024/11/05 24.53 25.14 24.51 25.13 2465783 62607268.00
2024/11/06 25.72 29.25 25.72 27.98 12175953 344583040.00
2024/11/07 28.88 30.92 27.52 27.86 12603684 371842880.00
2024/11/08 27.54 28.70 27.32 27.67 8113726 230161744.00
2024/11/11 27.63 28.18 27.22 28.08 6189134 175389232.00
2024/11/12 29.23 29.51 28.43 28.94 9123560 268784448.00
2024/11/13 28.02 29.94 27.92 28.91 5908376 174914448.00
2024/11/14 28.77 28.90 27.09 27.36 4820661 137015040.00
2024/11/15 27.08 27.36 26.16 26.26 3008397 82082240.00
2024/11/18 26.32 26.68 25.20 25.75 2435342 63776032.00
2024/11/19 25.75 26.98 25.52 26.85 2833994 75770504.00
2024/11/20 26.59 29.00 26.52 27.99 4517856 128866792.00
2024/11/21 27.52 27.98 26.76 27.38 3186611 88855688.00
2024/11/22 27.22 27.27 25.76 25.83 2511463 67811448.00
2024/11/25 25.82 26.82 25.82 26.73 2279431 61305564.00
2024/11/26 26.77 26.91 25.48 25.55 2074768 54883108.00
2024/11/27 25.32 26.15 24.61 26.14 2242929 57954140.00
2024/11/28 26.03 26.37 25.57 25.60 1531036 40349320.00
2024/11/29 25.62 26.10 25.19 25.87 1744376 45714804.00
2024/12/02 25.86 26.27 25.82 26.20 1708553 45444184.00
2024/12/03 26.04 26.29 25.62 26.11 1469503 38840888.00
2024/12/04 26.02 26.02 25.31 25.39 1771791 46259588.00
2024/12/05 25.42 26.22 25.14 25.97 1552471 40830548.00
2024/12/06 25.83 27.20 25.82 26.36 2200017 58839620.00
2024/12/09 26.27 26.84 26.04 26.82 2235678 60353020.00
2024/12/10 27.52 27.70 26.35 26.43 2617516 71725736.00
